gene_transcript,gene,Non-targetting,replication,umap1,umap2,HBZ,SLC25A37,SPI1,CSF3R
10448_ZNF560_P1P2_ENSG00000198028,ZNF560,targeting,non-replication,2.5312078,-2.9918673,0.68060863,0.1877025,0.068327986,-0.0017051039
10463_ZNF574_P1_ENSG00000105732,ZNF574,targeting,non-replication,0.4248595,1.0961423,0.3277991,-0.016276784,0.041913252,0.028714035
10478_ZNF585A_P1P2_ENSG00000196967,ZNF585A,targeting,non-replication,8.893642,0.65018547,-0.35040787,0.11759707,0.069025286,-0.0070645045
10484_ZNF592_P1P2_ENSG00000166716,ZNF592,targeting,non-replication,4.0826316,-4.1052465,0.55777967,0.009897893,-0.062643394,0.027702268
104_ACTB_P1P2_ENSG00000075624,ACTB,targeting,non-replication,5.770566,1.0720779,-0.10369427,-0.032205954,0.092488825,0.024526635
10510_ZNF622_P1P2_ENSG00000173545,ZNF622,targeting,non-replication,0.56131583,0.89376307,0.23146859,-0.07981991,-0.10228306,-0.06349078
10549_ZNF681_P1P2_ENSG00000196172,ZNF681,targeting,non-replication,9.195543,1.3599232,-0.57140404,0.055027608,-0.037475143,-0.051671464
10553_ZNF687_P1P2_ENSG00000143373,ZNF687,targeting,non-replication,4.2805557,-4.0515027,0.49514177,0.12875915,-0.013683682,0.03430332
10558_ZNF695_ENST00000339986.7_ENSG00000197472,ZNF695,targeting,non-replication,3.1981406,0.81825334,0.04304885,0.029294109,0.07335242,0.07877761
10564_ZNF700_P1P2_ENSG00000196757,ZNF700,targeting,non-replication,7.239503,1.8289365,-0.39710927,-0.15487437,0.13490666,-0.030919103
10566_ZNF703_P1P2_ENSG00000183779,ZNF703,targeting,non-replication,4.22387,-2.23068,0.5778164,0.04523952,0.094716094,0.043614235
10567_ZNF704_P1P2_ENSG00000164684,ZNF704,targeting,non-replication,6.9764733,2.4766147,-0.48562646,-0.13341789,-0.060298767,-0.00014609654
10569_ZNF705B_ENST00000443676.1_ENSG00000215356,ZNF705B,targeting,non-replication,7.300635,2.0615568,-0.29024538,0.011131588,-0.034200273,0.073289774
10571_ZNF705D_ENST00000400085.3_ENSG00000215343,ZNF705D,targeting,non-replication,4.516309,-3.6628964,0.6137936,0.028454721,0.06727279,-0.054276276
10574_ZNF706_P1P2_ENSG00000120963,ZNF706,targeting,non-replication,4.213126,-4.0730457,0.69627655,-0.020284696,-0.022372229,-0.014951234
10595_ZNF729_P1P2_ENSG00000196350,ZNF729,targeting,non-replication,3.986952,0.34950867,0.22548997,0.046365045,0.0135418875,0.03486752
105_ACTG1_P1P2_ENSG00000184009,ACTG1,targeting,non-replication,3.3169644,-0.77022386,0.53529966,0.16393165,0.15732978,-0.090624
10623_ZNF774_P1P2_ENSG00000196391,ZNF774,targeting,non-replication,9.620103,0.9726864,-1.0700114,-0.8073446,-0.25980017,-0.057711307
10629_ZNF780A_P1P2_ENSG00000197782,ZNF780A,targeting,non-replication,9.703907,1.180645,-0.72954494,-0.15207864,0.013480438,-0.05837264
10637_ZNF787_P1P2_ENSG00000142409,ZNF787,targeting,non-replication,0.8689492,0.8147122,0.08366277,-0.1172916,-0.02448308,0.0041824477
10663_ZNF830_P1P2_ENSG00000198783,ZNF830,targeting,replication,8.641229,1.1844592,-1.332366,-0.4954551,-0.3239687,-0.1480179
10676_ZNF84_P1P2_ENSG00000198040,ZNF84,targeting,non-replication,-1.6882985,-0.5551156,0.55189455,0.14162979,0.002135447,-0.019039068
1067_RTL10_P1P2_ENSG00000215012,RTL10,targeting,non-replication,3.6181715,-2.4363403,0.6371045,0.15593101,-0.018748453,0.05136789
10699_ZNHIT1_P1P2_ENSG00000106400,ZNHIT1,targeting,non-replication,3.638588,4.5972495,-0.22970316,-0.026495673,-0.058356933,-0.064342305
1069_C22orf46_P1P2_nan,C22orf46,targeting,non-replication,6.46958,2.311353,-0.16515453,-0.053272944,-0.07879578,-0.016524497
106_ACTL6A_P1P2_ENSG00000136518,ACTL6A,targeting,non-replication,2.5589828,-3.4827855,0.8693197,0.35196203,-0.10537346,0.061068766
10701_ZNHIT3_P1P2_ENSG00000273611,ZNHIT3,targeting,non-replication,-0.3250235,-0.5497642,-0.011309386,-0.0064050537,-0.008589296,-0.0086304555
10702_ZNHIT6_P1P2_ENSG00000117174,ZNHIT6,targeting,non-replication,-3.5218601,-1.3489817,0.29502213,0.06857944,0.0030352834,-0.04289996
10703_ZNRD1_P1P2_ENSG00000066379,ZNRD1,targeting,non-replication,-2.547253,1.4350098,1.1939923,0.2899251,-0.08886324,-0.030434774
10720_ZSCAN26_P1P2_ENSG00000197062,ZSCAN26,targeting,non-replication,5.421188,-0.74312925,-0.1590333,0.0040517193,0.028939433,0.03842545
10722_ZSCAN2_P1P2_ENSG00000176371,ZSCAN2,targeting,non-replication,-1.2373112,2.1422148,0.60424435,0.10018333,-0.024414781,0.09418823
10726_ZSCAN32_P1P2_ENSG00000140987,ZSCAN32,targeting,non-replication,6.93539,4.58859,-0.7295277,0.019824298,0.019621853,0.07001518
10727_ZSCAN5A_ENST00000587340.1_ENSG00000131848,ZSCAN5A,targeting,non-replication,2.0327573,-2.018996,0.679494,0.22259864,0.040214956,0.041826375
