gene,cd14,cd11b_rep1,cd11b_rep2,cd11b
RPS27,0.276811632,1.398214963,1.111828477,1.25502172
FXN,0.275423094,0.932155341,1.571120296,1.251637818
CASP8AP2,-0.335655066,0.86257675,1.621943597,1.242260174
UHRF1,0.458358456,1.191442478,1.277245452,1.234343965
ATIC,0.328054883,1.189488929,1.274718669,1.232103799
MRPS17,0.473263845,1.119690019,1.339506631,1.229598325
RRP9,0.102229429,1.179885117,1.277139771,1.228512444
RRS1,0.771263376,1.269537923,1.18200229,1.225770107
CBFB,0.232045633,1.377783176,1.070376476,1.224079826
TUBGCP4,0.862648387,1.627663355,0.803965082,1.215814218
MBD6,-0.081030567,1.109809858,1.314743153,1.212276506
CCDC101,0.606227741,1.372816165,1.049679648,1.211247906
NDUFA9,0.25550362,1.259516929,1.135344507,1.197430718
TRMT10C,-0.336352357,1.213864481,1.180001325,1.196932903
METTL3,-0.22596682,1.407261637,0.984407433,1.195834535
RAE1,0.693771095,1.418106467,0.968296619,1.193201543
METTL14,-0.138501425,1.768678153,0.605836879,1.187257516
MRPL33,0.491592643,1.178447174,1.19122478,1.184835977
PRPF4,0.468313148,1.283782286,1.053011701,1.168396994
SMC1A,0.536999461,1.262120403,1.07080608,1.166463241
CCNH,-0.214934245,1.371994253,0.958890161,1.165442207
TCF3,0.292035351,1.195965048,1.133096794,1.164530921
XPO5,0.440231852,1.171959262,1.149242843,1.160601052
MED25,0.287694229,1.217438746,1.100193754,1.15881625
TADA2B,0.311697241,1.442242916,0.874618916,1.158430916
GAR1,0.321973856,1.106300055,1.204424356,1.155362205
NVL,0.693203775,1.101303674,1.207884972,1.154594323
SF3B5,0.035376122,1.255559942,1.053603018,1.15458148
TRPM7,-0.310710628,1.07037902,1.232613315,1.151496168
NOP2,0.42781412,1.201973286,1.088119251,1.145046269
TNPO3,1.273568383,0.989455882,1.293628822,1.141542352
MAD2L1BP,0.438426226,1.658894964,0.621855173,1.140375069
EXOSC6,0.097561216,1.213244619,1.040190229,1.126717424
SUPT7L,0.258478253,1.14002029,1.103273529,1.121646909
RCOR1,-0.013743092,1.2687572,0.97185813,1.120307665
PRPF39,0.136218794,1.379649819,0.833190857,1.106420338
SF3B3,0.290229724,1.149226721,1.058966637,1.104096679
RBM19,0.17119644,1.019406989,1.163737328,1.091572159
WDR3,0.103159544,1.161584054,1.019121464,1.090352759
MRPL10,-0.252797599,1.400675301,0.776299029,1.088487165
