gene,wang_cd14,wang_cd11b
ABCG8,0.144463024,-0.32417142
ABHD1,0.226257735,-0.763180488
ABHD10,0.803715192,-0.3052746
ABHD11,-0.63325977,-0.047191389
ABHD12,0.390811264,0.059451978
ABHD12B,-0.027722224,0.013054201
ABHD13,-0.516019186,0.786886501
ABHD14A,-0.250210341,0.158598128
ABHD14B,-0.284047884,-0.023881052
ABHD15,0.267532287,-1.546061801
ABHD16A,-0.10519863,-0.06551392
ABHD16B,-0.576595353,0.741890268
ABHD17A,0.439341485,0.421724921
ABHD17B,-0.809192755,0.252464701
ABHD17C,0.031215531,-0.052756925
ABHD2,-0.503668684,0.251899802
ABHD3,-0.573795012,-0.270367877
ABHD4,0.287801415,0.323796522
ABHD5,0.171073564,0.039083294
ABHD6,0.234205331,-0.154089797
ABHD8,0.464677261,-0.599393724
ABI1,-0.177946151,-0.083424848
ABI2,0.179339582,-0.404392336
ABI3,0.063183226,-0.061542121
ABI3BP,0.313585599,0.379563409
ABL1,-0.104901472,0.616188272
ABL2,0.066631436,0.223536074
ABLIM1,-0.312628679,-0.102020118
ABLIM2,-0.849139748,-0.177461217
ABLIM3,-0.197653804,-0.422711364
ABO,0.168510943,-0.002954872
ABR,-0.833846873,0.361991283
ABRA,-0.656555761,0.345922901
ABRACL,-0.105969719,0.143061077
ABT1,0.265604696,1.270060454
ABTB1,0.09570897,-0.055496713
ABTB2,0.436004656,0.229046223
ACAA1,0.671271722,-0.07642697
ACAA2,-0.016390957,-0.025976636
ACACA,-0.462513363,0.435646751
ACACB,0.067536776,-0.89334528
ACAD10,-0.244532266,-0.408248203
ACAD11,0.265846383,0.347206489
ACAD8,0.019757445,0.401209984
ACAD9,0.423106227,0.058524114
ACADL,0.70703261,0.016646662
ACADM,-0.574715971,-0.449714246
ACADS,0.243641369,0.131361381
ACADSB,-0.077345274,-0.110258482
ACADVL,-0.31597798,-0.111713898
ACAN,0.243179102,0.740142488
ACAP1,0.330272152,-0.047396107
ACAP2,0.230135919,-0.124752048
ACAP3,0.01915109,0.341632635
ACAT1,0.260356158,0.885333485
ACAT2,-0.284678851,0.486407855
ACBD3,-0.019456593,0.700873405
ACBD4,0.143121976,0.005199711
ACBD5,-0.127192459,0.008004285
ACBD6,-0.273950222,-0.022134645
ACBD7,-0.322026436,-0.413866779
ACCS,0.397053822,-0.272209143
ACCSL,0.73287605,0.316827215
ACD,0.056406091,0.354115824
ACE,0.406517409,-0.561834307
ACE2,0.264134674,0.067468466
ACER1,0.334208669,-0.754218419
ACER2,0.441656091,-0.151396707
ACER3,0.386197583,-0.479573228
ACHE,-0.306369055,-0.561678863
ACIN1,0.046329441,0.459181885
ACKR1,-0.906016639,0.175381718
ACKR2,0.254193567,-0.040411078
ACKR3,-0.323648456,0.210603767
ACKR4,-0.200984792,-0.010559125
ACLY,0.553076669,-0.409124512
ACMSD,-0.580901074,-0.186437599
ACO1,0.470423492,0.090233931
ACO2,0.053075371,-0.351937385
ACOT1,-0.029073803,-0.031679272
ACOT11,0.059560677,-0.455352276
ACOT12,0.218874653,0.183406235
ACOT13,-0.0969244,-0.085198936
ACOT2,-0.292481417,0.301663325
ACOT4,-0.08847247,0.278510436
ACOT6,0.095980973,-0.398418406
ACOT7,0.102317367,0.143081668
ACOT8,-0.167164535,0.160827069
ACOT9,-0.432905004,-0.30684983
ACOX1,-0.518438894,-0.503798795
ACOX2,0.11512361,-0.738970313
ACOX3,0.685396389,-0.194826075
ACOXL,-0.431465127,-0.634657816
ACP1,-0.165490205,0.190417887
ACP2,0.594157449,-0.094870873
ACP5,-0.275559932,-0.958225141
ACP6,0.249451608,0.046835345
ACPP,0.066227861,-0.066009844
ACPT,-0.137405297,-0.399289736
ACR,0.046845472,0.069742968
ACRBP,-0.283010879,-0.344640728
ACRC,-0.151534304,0.217577609
ACRV1,-0.609224446,-0.165971608
ACSBG1,-0.392004686,0.66526609
ACSBG2,0.112523742,-0.431194148
ACSF2,-0.124074235,-0.342082343
ACSF3,-0.137411283,0.227521099
ACSL1,-0.313954616,-0.186084477
ACSL3,0.66321162,-0.131701447
ACSL4,1.637833495,0.484630661
ACSL5,-0.397070976,0.3995827
ACSL6,0.107372428,-0.309425693
ACSM1,0.346232471,-0.399430756
ACSM2A,-0.064385278,0.25441782
ACSM2B,0.299887831,0.247162623
ACSM3,-0.008223899,0.379605749
ACSM4,-0.557920016,0.351359618
ACSM5,-0.594019136,0.016351905
ACSM6,0.133333302,-0.189248915
ACSS1,0.298738384,0.169932315
ACSS2,-0.375416844,0.597366757
ACSS3,-0.370370873,-0.318510585
ACTA1,-0.183701715,-0.55546029
ACTA2,0.390773666,-0.145462756
ACTB,0.960895843,1.897390624
ACTBL2,0.089545444,0.016617173
ACTC1,-0.473367422,-0.159615964
ACTG1,0.164848836,0.129273678
ACTG2,-0.080449934,0.086328644
ACTL10,-0.380528881,0.568141953
ACTL6A,0.665496492,-1.626738409
ACTL6B,-0.319118321,-0.285054745
ACTL7A,-0.224198958,-0.080230865
ACTL7B,-0.40857566,-0.24369505
ACTL8,-0.227348964,-0.338620621
ACTL9,0.058889168,0.194433252
ACTN1,-0.657344698,0.544306766
ACTN2,0.502302206,-0.477694007
ACTN3,0.470481556,0.243022715
ACTN4,-0.602459939,0.350116979
ACTR10,0.66551619,0.001734856
ACTR1A,0.179863069,-0.398557006
ACTR1B,0.34710396,-0.742903101
ACTR2,0.371319557,-0.273687777
ACTR3,-0.068791595,0.237116274
ACTR3B,-0.056476425,0.553057901
ACTR3C,-0.534039629,-0.164860144
ACTR5,0.310917924,0.15086597
ACTR6,0.003499793,-0.147873628
ACTR8,-0.314734621,-0.656107296
ACTRT1,-0.726439825,-0.568452087
ACTRT2,-0.353538363,-0.321381194
ACTRT3,0.721807598,0.685470861
ACVR1,0.105128979,-0.607582257
ACVR1B,0.014880431,0.181568297
ACVR1C,0.202936256,-0.280294734
ACVR2A,-0.347130219,0.043557741
ACVR2B,0.473124854,0.572115964
ACVRL1,0.536311934,-1.256298388
ACY1,0.239445215,0.046129024
ACY3,0.469807555,-0.259822485
ACYP1,0.133834326,-0.098423366
ACYP2,-0.472288512,0.237061987
ADA,-0.189305566,0.033618083
ADAD1,-0.244474331,0.139053458
ADAD2,-0.181143441,0.372792417
ADAL,-0.07656487,0.19445174
ADAM10,-0.773031942,-0.222964579
ADAM11,0.216864383,-0.116724825
ADAM12,-0.174334922,-0.101286004
ADAM15,-0.442315702,-0.122386399
ADAM17,0.036619772,-0.360294107
ADAM18,-0.630896525,-0.248743754
ADAM19,-0.21643145,-0.529887467
ADAM2,0.157014014,0.124951929
ADAM20,-0.263222077,-0.643644945
ADAM21,-0.371035622,-0.348558757
ADAM22,-0.331710925,-1.06697247
ADAM23,-0.280234673,-0.416858298
ADAM28,0.227160891,0.210933853
ADAM29,-0.021614758,-0.280109079
ADAM30,-0.180226711,0.458975843
ADAM32,0.248423915,0.331611365
ADAM33,-0.312872644,-0.035759908
ADAM7,0.440426096,0.028001306
ADAM8,0.581269233,0.020964039
ADAM9,-0.403394497,0.397034567
ADAMDEC1,0.044153647,0.233290739
ADAMTS1,0.210468414,-0.075195856
ADAMTS10,0.049237875,0.17024011
ADAMTS12,-0.577898707,0.465518373
ADAMTS13,0.407770776,0.515391517
ADAMTS14,-0.140600818,-0.501153563
ADAMTS15,-0.142006506,0.518609953
ADAMTS16,0.111454256,-0.879212509
ADAMTS17,-0.227099426,0.090038187
ADAMTS18,-0.124917453,-0.327835837
ADAMTS19,-0.385622251,-0.186205138
ADAMTS2,-0.163605965,0.080552412
ADAMTS20,0.204939939,-0.22131392
ADAMTS3,-0.302360292,-0.509640673
ADAMTS4,0.229497894,-0.025163709
ADAMTS5,0.131989317,-0.34184785
ADAMTS6,-0.009094752,0.235404606
ADAMTS7,-1.009642404,0.550000128
ADAMTS8,-0.102638144,0.154497243
ADAMTS9,0.110608504,0.013851598
ADAMTSL1,-0.209510559,0.358173924
ADAMTSL2,-1.161390489,-0.497826782
ADAMTSL3,-0.228337372,-0.034330454
ADAMTSL4,0.1233944,0.112376239
ADAMTSL5,-0.203911999,0.230744068
ADAP1,0.246457872,1.03316931
ADAP2,-0.47004654,0.135408233
ADAR,0.113002364,-0.420406689
ADARB1,-0.19355463,0.044341875
ADARB2,-0.491080773,-0.365111616
ADAT1,-0.078011334,0.097794966
ADAT2,-0.641715339,0.023248097
ADAT3,-0.180124739,-0.453999674
ADCK1,-0.15568477,0.395609399
ADCK2,-0.198950324,0.205052313
ADCK3,0.46875351,-0.046504099
ADCK4,-0.255799253,0.438663269
ADCK5,0.211916463,-0.278276552
ADCY1,0.415144604,-0.0278962
ADCY10,-0.111009881,-0.189802531
ADCY2,0.034551305,-0.500366056
ADCY3,-0.319082108,-0.074484178
ADCY4,-0.139872104,-0.919369609
ADCY5,0.269614551,-0.824216477
ADCY6,-0.040945218,0.032545618
ADCY7,-0.714646338,0.138251335
ADCY8,-0.195126906,0.108144276
ADCY9,-0.629376254,-0.356531418
ADCYAP1,-0.100574776,0.784009882
ADCYAP1R1,-0.091580061,0.126215978
ADD1,-0.024763313,-0.438743631
ADD2,0.475257712,-0.781074075
ADD3,0.345975819,0.373367606
ADGB,-0.152254692,-0.134560693
ADGRA1,0.158591379,-0.301097992
ADGRA2,0.036738232,0.832582837
ADGRA3,0.000480052,-0.492607172
ADGRB1,-0.235789612,-0.292759588
ADGRB2,0.521302621,-1.093070756
ADGRB3,0.088097512,-0.162863525
ADGRD1,0.649604514,0.257805578
ADGRE1,0.010699388,0.135445642
ADGRE2,-0.23433623,-0.11542429
ADGRE3,-0.259387931,0.221671589
ADGRE5,0.168940035,0.617314551
ADGRF1,-0.104132498,0.419935566
ADGRF2,-0.363060467,0.029488648
ADGRF3,-0.064705361,0.519254809
ADGRF4,0.588175696,0.360386693
ADGRF5,-0.246504832,-0.176768481
ADGRG1,0.166968924,0.895539712
ADGRG2,-0.331180256,0.308900841
ADGRG3,0.023970515,-0.576125036
ADGRG4,-0.152058184,-0.191769413
ADGRG5,-0.650209051,-0.252799013
ADGRG6,0.199240513,-0.385618607
ADGRG7,-0.045413467,0.144015662
ADGRL1,-0.128893269,0.108211809
ADGRL2,-0.149610407,-0.028070056
ADGRL3,0.047439036,-0.267801205
ADGRL4,-0.442924187,-0.523029029
ADGRV1,0.152810481,0.307449761
ADH1A,0.076087261,-0.629540684
ADH1B,-0.639307895,-0.907429214
ADH1C,-0.173301682,0.745053241
ADH4,0.362216075,0.462707789
ADH5,-0.359431108,0.36877386
ADH6,-0.468950671,-0.020399858
ADH7,-0.351163442,0.183434656
ADHFE1,-0.422806493,-0.31267212
ADI1,0.174976208,0.10580231
ADIG,0.075533695,0.017722289
ADIPOQ,0.320284322,-0.25014453
ADIPOR1,-0.2410863,0.114054335
ADIPOR2,0.715598452,-0.440001055
ADIRF,0.015512481,-0.86465276
ADK,-0.2118471,0.516183422
ADM,-0.021118444,0.943646813
ADM2,0.154034507,-0.391631677
ADM5,0.15455334,-0.286199595
ADNP,0.443186795,0.164013528
ADNP2,0.01626864,0.066374392
ADO,-0.009739252,-0.812924101
ADORA1,0.326700468,-0.760837088
ADORA2A,-0.279772388,0.557088834
ADORA2B,-0.09778476,-0.497553418
ADORA3,0.339427642,0.580807952
ADPGK,-0.434292216,-0.397145948
ADPRH,-0.105828091,0.654281726
ADPRHL1,-0.364793881,-0.372985219
ADPRHL2,-1.20818836,-0.005459978
ADPRM,-0.376048546,0.038796811
ADRA1A,0.030528849,-0.186301143
ADRA1B,0.126492265,-0.230605592
ADRA1D,0.36873735,0.083833096
ADRA2A,0.1691432,0.023660491
ADRA2B,-0.298907868,0.172783937
ADRA2C,0.249870615,0.035249209
ADRB1,-0.40187032,0.275055421
ADRB2,0.335952288,-0.310421879
ADRB3,-0.186737919,0.521985722
ADRBK1,0.758750975,0.682608318
ADRBK2,-0.285460121,0.449495824
ADRM1,0.417434827,-0.293411547
ADSL,0.049429154,0.060523867
ADSS,-0.446504673,-0.58014813
ADSSL1,0.145887948,-0.548678725
ADTRP,-0.009314553,-0.533354164
AEBP1,0.27368388,0.413335027
AEBP2,-0.44299285,0.876042145
AEN,-0.090185612,0.007441428
AES,0.304956441,-0.307471952
AFAP1,-0.296401896,0.449667599
AFAP1L1,-0.440703478,-0.204405814
AFAP1L2,-0.203824619,-0.617683182
AFF1,0.723352466,1.209080674
AFF2,0.153221815,-0.358143819
AFF3,0.153940052,-1.152511846
AFF4,-0.269466577,-0.118792355
AFG3L2,-0.091277583,-0.633320676
AFM,-0.128585282,0.143295996
AFMID,0.910052187,0.088191158
AFP,-0.828507345,-0.290692178
AFTPH,0.932072826,1.209286613
AGA,-0.056601384,-0.432782346
AGAP1,-0.16905599,-0.490153953
AGAP11,0.445870438,-0.430876942
AGAP2,0.839794364,0.652962002
AGAP3,-0.100412655,-1.228953065
AGAP4,-0.17518352,-0.330638927
AGAP5,0.440765816,-0.073466402
AGAP6,1.021730574,-0.134967134
AGAP9,0.533462461,-0.106692629
AGBL1,0.329619865,-0.770996752
AGBL2,0.07919614,-0.450546906
AGBL3,-0.136141514,0.43484176
AGBL4,0.320223021,0.397133585
AGBL5,0.148122222,-0.084240253
AGER,-0.357691936,0.103723446
AGFG1,-0.670380414,0.368083847
AGFG2,-0.089230302,-0.470243951
AGGF1,-0.431218522,0.001535458
AGK,-0.101051464,-0.229187969
AGL,-0.170288221,-0.283437695
AGMAT,-0.207046528,-0.464571365
AGMO,-0.135792903,-0.617432755
AGO1,-0.195804538,-0.046190489
AGO2,-0.844362698,-0.139015539
AGO3,-0.111638314,-1.150215701
AGO4,-0.575631837,0.085492684
AGPAT1,-0.488005805,0.425818165
AGPAT2,-0.377236211,-0.266514505
AGPAT3,-0.210308751,-0.127986074
AGPAT4,0.507525278,0.912927096
AGPAT5,0.110991597,-0.10899885
AGPAT6,-0.191324349,0.048580654
AGPAT9,-0.464797263,-0.28523067
AGPS,-0.935670052,-1.171232659
AGR2,-0.205690867,0.213845855
AGR3,0.224977724,0.081267883
AGRN,-0.099998474,0.296035548
AGRP,-0.388337272,-0.465892448
AGT,-0.179070988,0.062096761
AGTPBP1,-0.082131583,-0.101426803
AGTR1,0.156378576,-0.268085103
AGTR2,0.254179285,-0.418315846
AGTRAP,0.276065729,-0.488172588
AGXT,0.112294156,0.036742002
AGXT2,-0.020671753,-0.655069748
AHCTF1,0.598180592,0.614626977
AHCY,0.491106269,-0.197627323
AHCYL1,0.644582401,-1.187283549
AHCYL2,-0.775332718,-0.019795987
AHDC1,0.136124706,0.240705484
AHI1,-0.635717583,0.436141922
AHNAK,0.428101604,0.431724805
AHNAK2,0.005691892,-0.31870291
AHR,-0.630332548,1.472730127
AHRR,-0.148516231,-0.635727333
AHSA1,-0.242358069,-0.098945623
AHSA2,0.179797348,0.395478604
AHSG,0.321908518,0.855122294
AHSP,-0.280172249,0.014695299
AICDA,-0.024276007,-0.112126843
AIDA,-0.137752333,0.168501762
AIF1,-0.600405019,-0.073945706
AIF1L,0.17205676,-0.813625431
AIFM1,-0.617239388,-0.169581505
AIFM2,0.238223505,-0.225888535
AIFM3,-0.331410499,-0.117567493
AIG1,-0.453012386,0.056819179
AIM1,0.099989938,0.301164559
AIM1L,0.680506367,-0.459666876
AIM2,0.00477348,-0.191923478
AIMP1,0.177795625,-0.357151622
AIMP2,0.1803152,0.123019121
AIP,0.759029785,0.427994531
AIPL1,-0.27407628,0.340486562
AIRE,0.2410095,-0.230349165
AJAP1,0.129305283,-0.147141318
AJUBA,0.267390579,0.436779406
AK1,0.160977097,0.18254464
