nd1,nd2,ne1,ne2,nh1,nh2,pd1,pd2,pe1,pe2,ph1,ph2
ENSMUSG00000002111_LINE997_Sfpi1_D_N2,0.0713516691650638,0.0721059145194368,0.137005970434313,0.140327807916516,0.132842550788993,0.122818310727039,-0.126106763841146,-0.1237021327516,-0.102936080624047,-0.101159009258367,-0.111346919049064,-0.112289573135558
ENSMUSG00000004359_LINE1005_Spic_D_N1,0.058032416229574,0.0599925833399743,0.117369412024047,0.116393596767952,0.106553851025145,0.0976510426515814,-0.103556798760667,-0.0997265684213307,-0.0836813716333858,-0.0799657985171714,-0.093078221639615,-0.0944013237275915
ENSMUSG00000008193_LINE1008_Spib_I,0.0407744331561735,0.0390779820542115,0.0474749489095187,0.0457389413575649,0.0751190217288991,0.0648952731011874,-0.0519663914539066,-0.0540869092588271,-0.065924123522082,-0.0669799718081512,-0.0417500598060527,-0.0437058380261032
ENSMUSG00000000861_LINE755_Bcl11a_I,0.0202904189309919,0.0227805185830224,0.0483322132859501,0.0476709764430283,0.0645508700511509,0.0562113595577066,-0.0507720909415439,-0.0516770142637169,-0.050644471376601,-0.0542176624783965,-0.0330010186893911,-0.0332772363834644
ENSMUSG00000048251_LINE1408_Bcl11b_I,0.0202904189309919,0.0227805185830224,0.0483322132859501,0.0476709764430283,0.0645508700511509,0.0562113595577066,-0.0507720909415439,-0.0516770142637169,-0.050644471376601,-0.0542176624783965,-0.0330010186893911,-0.0332772363834644
ENSMUSG00000032481_LINE6526_Smarcc1_I_N2,-0.0700117904905998,-0.0689474372089379,-0.0888680278299528,-0.0893050983463208,-0.0145810371975271,-0.00612093669983133,0.0649671094838346,0.0667962901396226,-0.0317159444112664,-0.036211329197265,0.105878995227306,0.108145393538753
ENSMUSG00000027186_LINE1024_Elf5_D_N2,0.0250187741484857,0.0261296237552161,0.0752074457075158,0.0741058026596351,0.0592749804830085,0.0581434995356811,-0.0669770411983033,-0.0625606651134498,-0.0401825948606872,-0.0376368060458447,-0.0547146327809537,-0.0534584368495695
ENSMUSG00000021250_LINE181_Fos_I,-0.0741300093233847,-0.0720301096396942,-0.0915654439949738,-0.0919641909821908,-0.0152314895691434,-0.00764319426038331,0.0673312038914468,0.0688611873381825,-0.0356744650979646,-0.0370840155147028,0.111579360789196,0.11442730109709
ENSMUSG00000003051_LINE1001_Elf3_D_N2,0.0277904509549722,0.0285385924933322,0.0713366868227176,0.0718088756564137,0.0582782904270601,0.0571018133688239,-0.0651371628378459,-0.0618045798438373,-0.0395528977579796,-0.037712494136615,-0.0546783043935739,-0.0532052821042057
ENSMUSG00000025612_LINE191_Bach1_I,-0.0726296371702379,-0.0702370967527922,-0.0967931894714601,-0.0976614814988526,-0.018073781517293,-0.0069412653873556,0.0736235504816899,0.0758748518425438,-0.0358970522196367,-0.0387459440789504,0.111438622987589,0.114148773950196
ENSMUSG00000012350_LINE1015_Ehf_D_N2,0.0238794592136546,0.0250038652706072,0.0725081701775784,0.070762951699678,0.0522912907743067,0.0530947367377783,-0.06265639105368,-0.05796370184662,-0.0346676552292796,-0.0300382537058287,-0.0537621516088265,-0.0525643650707527
