nd1,nd2,ne1,ne2,nh1,nh2,pd1,pd2,pe1,pe2,ph1,ph2
ENSMUSG00000036461_LINE1030_Elf1_I,0.0196767813047411,0.0205822949250763,0.0381079798565036,0.0372555116995055,0.0442467491366089,0.0417422323009022,-0.0399239123900559,-0.0387118108877459,-0.0354092008778394,-0.0361441897208796,-0.0285216339716323,-0.0283840187918051
ENSMUSG00000040270_LINE222_Bach2_I,-0.0544105347441968,-0.0515540649625844,-0.0648492033924824,-0.0652050180451589,-0.0133853815556003,-0.00749858204698514,0.0528686812878382,0.0509775629534837,-0.0181314767839497,-0.0244722023904388,0.0754553277506612,0.0773762128589768
ENSMUSG00000003545_LINE172_Fosb_I,-0.0556996051096365,-0.0546854579264893,-0.0760737072728201,-0.0796798099780925,-0.00711401629632316,-0.00144048449351453,0.0507719682050699,0.0542287466849767,-0.0325791873580895,-0.0315488759676074,0.0907775579972081,0.0917730575926091
ENSMUSG00000071076_LINE258_Jund_D,-0.0736576541163826,-0.0716373828377443,-0.0640760776484607,-0.0671045696918285,-0.0245059421356173,-0.0125354817478907,0.0602796653683435,0.0643770099637113,-0.0300889217550513,-0.0266129429724514,0.0946516720058962,0.0998241885741896
ENSMUSG00000057098_LINE155_Ebf1_D,0.043127897823896,0.0446523822379697,-0.0648036839694488,-0.0681127724994558,0.0149657648125286,0.0101024327960039,0.0491364940665734,0.0447553429118125,-0.0711182548446586,-0.0826568678462093,0.0265882525079208,0.0248711088658582
XP_9117244_LINE5785_Gm4881_I_N4,0.019003931227065,0.0198398851375345,0.00930704669528108,0.00787090694349184,0.0335135421666272,0.0294476121033834,-0.0187867918199226,-0.0187994351926275,-0.0346294798708505,-0.0352288097978511,-0.0105667014336489,-0.010786361646208
ENSMUSG00000031162_LINE1118_Gata1_D,-0.0500992030827946,-0.0497347786459805,-0.0711502873547345,-0.0752882251039342,-0.0203035007612327,-0.03252912809967,0.0200001650739459,0.0164645944195188,0.0748723839269239,0.0658108931514227,0.0579039808205665,0.0536611672494126
ENSMUSG00000018899_LINE1497_Irf1_I,0.0102486140668413,0.0112369225292175,0.0333648543037532,0.0286840658371006,0.0366430562395684,0.0339467162532828,-0.0344184827721172,-0.0318833959038274,-0.0221252860201886,-0.0154756998725468,-0.0247179086578316,-0.0250542768445264
ENSMUSG00000021944_LINE1116_Gata4_D_N1,-0.052636607246578,-0.0550086690780493,-0.0887990391013411,-0.0904476078505342,-0.0300463309748667,-0.0436600979239277,0.0297389632399814,0.0260064313128299,0.0888780447688192,0.0785240771615677,0.0661262654393604,0.062717857537082
ENSMUSG00000022952_LINE1674_Runx1_D,0.0111371842723759,0.0122659084026041,-0.0569984641468144,-0.0572670794973543,0.0190274956943917,0.0146479931046273,0.0192145506684959,0.01475623222385,-0.032037478541028,-0.0310961535213674,0.0325317770128069,0.0306437732190112
ENSMUSG00000070691_LINE7301_Runx3_I_N3,0.0111371842723759,0.0122659084026041,-0.0569984641468144,-0.0572670794973543,0.0190274956943917,0.0146479931046273,0.0192145506684959,0.01475623222385,-0.032037478541028,-0.0310961535213674,0.0325317770128069,0.0306437732190112
ENSMUSG00000015619_LINE1113_Gata3_D,-0.0615519537399886,-0.0636722599300195,-0.0745730838500876,-0.0750761277893446,-0.0296647059294381,-0.0421454205523247,0.020615935996527,0.0180078265097199,0.0961840691092252,0.083076202937803,0.0620469319310043,0.0587935344905834
ENSMUSG00000001911_LINE1689_Nfix_I,0.0353887522781601,0.0370351346462099,-0.0859618865352981,-0.0878189701082147,0.00249316209870101,0.00131389449570743,0.0530438033608037,0.0478582899596756,-0.0269867485090479,-0.0288149965874988,0.0240955777925822,0.0200142098925941
ENSMUSG00000039153_LINE1675_Runx2_I,0.00359029123945591,0.00753594111899534,-0.0516020420960187,-0.0513540512564886,0.0153586306418192,0.00932819587478777,0.019213352889226,0.0116103463740127,-0.0227244866639695,-0.0260279433054526,0.0316791380567692,0.0301160474129761
ENSMUSG00000005836_LINE1110_Gata6_D,-0.0534489829010128,-0.0551627339447569,-0.0821397621771459,-0.0846120418397179,-0.0276013513833465,-0.0408960023795434,0.026000490336595,0.0240322559287467,0.085770394000544,0.0788948173420199,0.0633054338661397,0.0586720402920369
ENSMUSG00000052837_LINE241_Junb_D,-0.0557533655510146,-0.0517527479649841,-0.0503567211269524,-0.0539955564094447,-0.00352761851154472,-0.00237124435455395,0.0352165000530009,0.0362378724093309,-0.0282964147398052,-0.0262108729453901,0.0755149918165444,0.0788093213813293
ENSMUSG00000015053_LINE1112_Gata2_I,-0.0484619596480277,-0.04739604269391,-0.0706905250468394,-0.0760883140421876,-0.0250484782604369,-0.0343101883732775,0.0207536552968703,0.018633812093233,0.0765500627373967,0.0699651371186217,0.0567594696659201,0.0523592623673759
ENSMUSG00000058794_LINE251_Nfe2_I,-0.0386583276368512,-0.0380567743077828,-0.0421050459380354,-0.0470751474468003,0.000603553623887264,0.00201258778727708,0.0193602522485672,0.022911897631187,-0.00668881325034369,-0.00822443745598092,0.053105550170897,0.053216175814888
ENSMUSG00000015627_LINE1114_Gata5_D,-0.0482423568929488,-0.0478630278905885,-0.0719284115919603,-0.0710518435019047,-0.0226373862439072,-0.0357815689745524,0.0178837019611884,0.016633958745245,0.0814852507906647,0.070166726975678,0.0547579648312977,0.049361835513484
ENSMUSG00000015839_LINE175_Nfe2l2_D,-0.0411877105864288,-0.0408531174887684,-0.0439200648161648,-0.0484844848587597,-0.000416284767185748,-0.000659128115403203,0.0154053929924909,0.0160865147624631,0.0105055606930772,0.00926512265713696,0.0510316888460652,0.0491106563055939
ENSMUSG00000040033_LINE1785_Stat2_I,0.00331437069733528,0.00498427169275707,0.0224594782634525,0.017205780760249,0.0326394959081201,0.0291071050750068,-0.0286530027813165,-0.0263428070108057,-0.0184128624565191,-0.0124042116590541,-0.0139404402593987,-0.013689729052744
NP_0322962_LINE6241_NP_0322962_I_N4,0.015229729912035,0.0172859026457037,-0.0606356522377322,-0.0631105262289199,0.0362161039288564,0.0320207137373313,0.0256630593480277,0.0272614988736565,-0.056704472135094,-0.0505088792969332,0.0270135692942736,0.0247223384042053
ENSMUSG00000024912_LINE189_Fosl1_D,-0.0652903075973831,-0.0673551093885921,-0.0380967588779912,-0.0441652096288815,-0.0213751710051205,-0.00841735140677858,0.0355803170952833,0.0441266769937297,-0.00998731460472285,-0.00452863379995533,0.072302170182719,0.0731924744988088
XP_9117244_LINE5828_Gm4881_I_N1,0.00806420429797499,0.0111709462816505,0.0190445136917474,0.0169985118811222,0.0255840813720333,0.0216255337048939,-0.0214817516202294,-0.0214707248136165,-0.0210856807649589,-0.0243800473494582,-0.0110678080142578,-0.0108401004189131
Q8K439_MOUSE_LINE3878_Zfp263_I_N1,0.00618708834180527,0.00980335927136487,0.00866714935209408,0.0106420354176441,0.0195048771623129,0.0106830192346432,-0.00804780961613906,-0.015076544189785,-0.0150071958702587,-0.0284443696896196,-0.00577797390236405,-0.00522911701155743
ENSMUSG00000038539_LINE592_Atf5_I_N2,-0.0395453456010374,-0.0359789649759475,0.0909270952841145,0.0882716904635802,-0.0188440593531684,-0.0248810823375384,-0.030930890713786,-0.0322395732864086,0.0191879054393917,0.0173457224830753,-0.0150478293887672,-0.0148851761336805
ENSMUSG00000038151_LINE465_Prdm1_I,0.00692258436640139,0.00667300128001514,0.0252232791165163,0.0243884634894187,0.0305208824819599,0.0264705692625184,-0.0302597384880114,-0.024656687024995,-0.0197494234046339,-0.0159755086524703,-0.0169882006354099,-0.0154888249795907
ENSMUSG00000052435_LINE239_Cebpe_D,-0.0483608526679221,-0.0470038527375166,0.0887613051120458,0.0850100814160843,-0.0234390945332995,-0.0302164016898097,-0.0383899902476429,-0.0365805758853911,0.0380267332808002,0.0357971817432537,-0.00824542581459398,-0.0101581543653073
ENSMUSG00000009248_LINE50_Ascl2_D_N2,0.0118084730520357,0.0134091938376032,-0.0347256390665478,-0.0359653341149954,0.0094582738328035,0.00480667023118107,0.0171629247339947,0.0144441570855662,-0.0194307230527328,-0.0240059435751155,0.0161719808057453,0.0140431165095059
ENSMUSG00000020052_LINE158_Ascl1_I_N2,0.0118084730520357,0.0134091938376032,-0.0347256390665478,-0.0359653341149954,0.0094582738328035,0.00480667023118107,0.0171629247339947,0.0144441570855662,-0.0194307230527328,-0.0240059435751155,0.0161719808057453,0.0140431165095059
ENSMUSG00000056216_LINE244_Cebpg_D,-0.029055897298512,-0.0296443611771912,0.125128466899508,0.12889542018306,-0.0170961992147953,-0.0251799543283153,-0.0519815531121866,-0.0513821964589465,0.00614896010209748,0.00122906005840692,-0.0259236157051697,-0.0285569763319749
ENSMUSG00000026630_LINE553_Batf3_I_N1,-0.0401913691939254,-0.0400927062165027,-0.0249269534135281,-0.0256302020954646,0.0051531718517595,0.00671977219458876,0.0141241551862909,0.0173038151503636,-0.0249679691642925,-0.0182383325411474,0.0499231992839701,0.0491110085219353
ENSMUSG00000034266_LINE573_Batf_I_N1,-0.0401913691939254,-0.0400927062165027,-0.0249269534135281,-0.0256302020954646,0.0051531718517595,0.00671977219458876,0.0141241551862909,0.0173038151503636,-0.0249679691642925,-0.0182383325411474,0.0499231992839701,0.0491110085219353
BAE290471_LINE1209_Cebpd_I_N23,-0.0324093913196596,-0.033047309463538,0.120422565231231,0.123954722295184,-0.0195127629318559,-0.0254331973629947,-0.0558568555952914,-0.0543530798278521,0.0129764085468109,0.00604615208392056,-0.0203282529322092,-0.021825783212765
ENSMUSG00000056501_LINE246_Cebpb_D_N3,-0.0324093913196596,-0.033047309463538,0.120422565231231,0.123954722295184,-0.0195127629318559,-0.0254331973629947,-0.0558568555952914,-0.0543530798278521,0.0129764085468109,0.00604615208392056,-0.0203282529322092,-0.021825783212765
ENSMUSG00000031103_LINE1027_Elf4_D,-0.012081099590513,-0.00754583695510064,0.0412291420062701,0.0386501943205409,0.00703644131512789,0.0110709909363437,-0.0292699812012588,-0.0227999163177877,0.00887039082235462,0.0115621124275592,-0.0206941208662057,-0.0185171775423791
ENSMUSG00000037174_LINE1031_Elf2_D,-0.0111328136051012,-0.00632563736741564,0.0413215060422221,0.0391669360570514,0.0068875717847334,0.0114143875816225,-0.0288481096208109,-0.022676294015828,0.00852437102963849,0.00957098504636988,-0.0212806958189795,-0.0193780497174631
ENSMUSG00000030199_LINE1026_Etv6_D,-0.00749591895950417,-0.00335363746051395,0.0408741688314687,0.0383683591168903,0.00704932602387218,0.0125755878475697,-0.0277381159453467,-0.0213544280963678,0.00551291985632114,0.00888972644601312,-0.0228829116601548,-0.0214772321026671
ENSMUSG00000041483_LINE489_Zfp281_D_N1,0.00633311093564625,0.0137840876754858,-0.00196633947972967,0.00266636608803844,0.0171067177122021,0.00382565708415067,0.00294209421786437,-0.012897668893365,-0.0131463095990233,-0.0437766769821234,0.000559963415397442,0.00243551971092665
ENSMUSG00000009471_LINE51_Myod1_D,0.00899903816239602,0.00975635946837971,-0.0318516879512986,-0.0324049022718422,0.00821272085393956,0.00301558549369847,0.0163328098719873,0.0129058008789466,-0.0170187461443941,-0.0220377832173526,0.0168112481328995,0.0143212032852606
ENSMUSG00000031627_LINE1502_Irf2_D,-0.000819535658863325,0.000135468074797121,0.0225719943457908,0.0177828596544827,0.0324015732958353,0.0269342254518677,-0.0288698377261993,-0.0231438599344664,-0.0153107137199178,-0.0110916108796033,-0.0130493864713713,-0.0118991921541417
ENSMUSG00000052684_LINE240_Jun_D,-0.0568760315375799,-0.0582944810459227,-0.00609022680262488,-0.0131550624753527,-0.0247768201443206,-0.0133177234392403,0.0170153551516322,0.0233233758531783,0.00406489442754617,0.00820970250501601,0.0490409121770691,0.0500087984058476
ENSMUSG00000048540_LINE148_Nhlh2_D,0.010251584857807,0.0120524838626358,-0.0353683875823755,-0.0363509090500504,0.012131919625145,0.00886639050972023,0.0133421723139038,0.0116320226161625,-0.0220302657181611,-0.0228575106534748,0.0181425963422923,0.0163346550441292
ENSMUSG00000026459_LINE85_Myog_D,0.00908925778875362,0.01080887034372,-0.0351199143176037,-0.0359232450633298,0.0114265918189411,0.00681756146828729,0.0143594424597432,0.0113760480889708,-0.0177582658302647,-0.0236261586704861,0.0180827298593794,0.0157530533640812
XP_0027269251_LINE1938_Nfil3_I_N4,-0.0356424855208334,-0.0358662910113454,0.0262896734715595,0.0235346636375818,-0.0142691291880389,-0.0183702652316629,-0.00617251774203146,-0.00411351673558469,0.013967978630854,0.0250002850542936,0.0135054517983544,0.0109123932252777
ENSMUSG00000025529_LINE371_Zfp711_D,0.0260248847276136,0.0287837372297858,-0.0327914074311915,-0.0345864220557268,0.020867816461043,0.0159642146247934,0.0153462045764833,0.0108006728567766,-0.0408071554480229,-0.0483875862674226,0.0108992528108443,0.00967786069239338
NP_0322962_LINE6263_NP_0322962_I_N4,0.00591316195151181,0.010851085079137,-0.0397937634193886,-0.0441783259406746,0.0229981391593409,0.0189701075096514,0.0204746749989964,0.0194127742308418,-0.0384796602288672,-0.0323501508665544,0.0196346612079363,0.0185778105052099
ENSMUSG00000031681_LINE7378_Smad1_I_N1,-0.0134270471665749,-0.0218252899642548,0.0200324372818031,0.00517175345262496,0.00358832193079851,0.0055829748088975,-0.0175031361689446,-0.0062854295747007,0.00488666803207251,0.0444944754691275,-0.00176276279330145,-0.00534739078393449
ENSMUSG00000021540_LINE17865_Smad5_I_N1,-0.0134270471665749,-0.0218252899642548,0.0200324372818031,0.00517175345262496,0.00358832193079851,0.0055829748088975,-0.0175031361689446,-0.0062854295747007,0.00488666803207251,0.0444944754691275,-0.00176276279330145,-0.00534739078393449
ENSMUSG00000070034_LINE1683_Sp110_D,0.0125718925968366,0.0144943044183352,-0.0237125239806896,-0.0274127100648599,0.0119219588632859,0.00667519742685312,0.014504892339684,0.0120463941972096,-0.0289326474306946,-0.0320107208334056,0.0142125723983811,0.0111463191420068
ENSMUSG00000079808_LINE1684_AC1689771_I,0.0125718925968366,0.0144943044183352,-0.0237125239806896,-0.0274127100648599,0.0119219588632859,0.00667519742685312,0.014504892339684,0.0120463941972096,-0.0289326474306946,-0.0320107208334056,0.0142125723983811,0.0111463191420068
ENSMUSG00000025498_LINE1499_Irf7_D,0.000612054675468793,0.00184758558309874,0.0206583378417367,0.0175816420276164,0.0227401384046025,0.0193260687851136,-0.0249587602072313,-0.0223256967049639,-0.0109175433256882,-0.00701249078672112,-0.0110676725582959,-0.00923150082224067
ENSMUSG00000055991_LINE656_Zkscan5_D,-0.00193524005065996,-0.000142136872635939,0.01880165294471,0.0173651957902898,0.0256887808173386,0.0242157544387088,-0.020625532321016,-0.019722165235991,-0.020246915308514,-0.0210791023950094,-0.00620017640487024,-0.0058660894715194
ENSMUSG00000046873_LINE1387_Mbtps2_I_N16,-0.0125280524257428,-0.0101581760181659,0.0300080443063123,0.0221898314549743,0.00124243993293909,0.00498186638753896,-0.0151203427721883,-0.0117814439492415,0.0161706668686442,0.022551596030403,-0.0178630288234109,-0.0171192884577355
ENSMUSG00000051176_LINE3240_Zfp42_I_N14,-0.0125280524257428,-0.0101581760181659,0.0300080443063123,0.0221898314549743,0.00124243993293909,0.00498186638753896,-0.0151203427721883,-0.0117814439492415,0.0161706668686442,0.022551596030403,-0.0178630288234109,-0.0171192884577355
ENSMUSG00000049672_LINE583_Zfp161_D,-0.0172067346527992,-0.0229354077768418,0.0163111800233236,0.00394279294650452,0.00606892101713856,0.00481889014828409,-0.0180607638687234,-0.00658010950323017,0.00303528723159351,0.0500527984100981,-0.000678658549813159,-0.00134180657349167
ENSMUSG00000039087_LINE476_Rreb1_I,-0.00402843260528234,0.00318949944594888,-0.0123508370665657,-0.00918073524320823,0.013278573431334,-0.00031620623642041,0.00568080421858928,-0.00975384163846068,-0.00401580850070194,-0.0257690046889955,0.00980225983899877,0.0126414126694554
ENSMUSG00000063659_LINE743_Zfp238_I,0.0135255285951847,0.0126940440417327,-0.0305745404751084,-0.0354937473835041,0.00864808550011092,0.00182335004054266,0.020103716783118,0.0162255220681945,-0.0217625317218185,-0.023626727605293,0.0150832474939219,0.0122529607991319
ENSMUSG00000024927_LINE1656_Rela_D_N1,0.0119823411342558,0.0155372370669838,0.00788756207172983,0.00618203937395362,0.0245627403973056,0.0198888368661042,-0.0101213852670236,-0.0114432843476895,-0.0294385050435533,-0.0368080916770409,-0.00498953743312799,-0.00596642010090684
ENSMUSG00000003382_LINE1003_Etv3_D,-0.00382488065652286,-0.000378839139346977,0.0351696260083243,0.029772584949234,0.00471462353224462,0.0117155503475589,-0.0219538943478808,-0.0145307859040309,0.00135053947995582,0.00816635677279549,-0.0213688245098146,-0.0187314159248464
ENSMUSG00000045680_LINE139_Tcf21_D_N1,0.0231209276606394,0.0212481342944696,-0.0330962302654933,-0.0364593918347723,0.00942175891860483,0.00378769918194372,0.0193497543708846,0.0149259254301134,-0.025035681996162,-0.0228890434494249,0.0102229155021364,0.00825396046148771
ENSMUSG00000020453_LINE325_Patz1_I,0.00433344808855298,0.0115993345289495,-0.0020886069313081,0.00148253789012979,0.0157899972082366,0.00484469779970201,0.000880480983001124,-0.0132103903072918,-0.0099738285185945,-0.0343399809859559,0.000408484899306626,0.00192527282003969
ENSMUSG00000005718_LINE44_Tcfap4_D,-0.000949007851501704,0.00130887842712212,-0.0301054743562344,-0.034479420986689,0.00803687525579411,0.00237024762793261,0.0162552160661066,0.0127602229088959,-0.0185777581968795,-0.0182082157960377,0.0232967456100493,0.0222321788393448
ENSMUSG00000051251_LINE151_Nhlh1_I,0.00699490311701191,0.00689428276168084,-0.030374361801607,-0.034389291980101,0.0146420735483102,0.0113260778885268,0.00764840266452608,0.00757807178752633,-0.0184993893536676,-0.0165014485521767,0.0176777859556435,0.0148240537882473
ENSMUSG00000028717_LINE236_Tal1_I_N4,0.011244835046156,0.0119169287175517,-0.0354480659779718,-0.0379237067493226,0.0118793203167236,0.00777964101663906,0.0144392225126103,0.012193983339696,-0.020651624127653,-0.0222256220124837,0.0185265004992787,0.0150413488008169
ENSMUSG00000034041_LINE273_Lyl1_I_N4,0.011244835046156,0.0119169287175517,-0.0354480659779718,-0.0379237067493226,0.0118793203167236,0.00777964101663906,0.0144392225126103,0.012193983339696,-0.020651624127653,-0.0222256220124837,0.0185265004992787,0.0150413488008169
NP_0322962_LINE6261_NP_0322962_I_N2,0.00417820184055431,0.0057668088735747,-0.0590294825382982,-0.0688784702798271,0.0269596602482428,0.0228775981868621,0.0225588081333596,0.028329704756785,-0.0475315603483939,-0.0319334081688571,0.0369877204153935,0.0358541903970319
ENSMUSG00000027104_LINE197_Atf2_D,-0.0326748895219233,-0.0317244598603324,0.0470368438069771,0.037131063624015,-0.0162244507510839,-0.00337926606492579,-0.0244035763215549,-0.0123818415901025,0.036348470147418,0.0342872217999065,-0.0121642011838498,-0.00948268243854214
ENSMUSG00000026735_LINE87_Ptf1a_I,0.00704398567071023,0.0110857742129221,-0.0244108048903582,-0.0248048433960805,0.0220540124790947,0.015634096199593,0.00343457752257537,0.00198793387756602,-0.025437187789742,-0.0271825657542838,0.0121761827464767,0.0121547775340712
ENSMUSG00000022346_LINE75_Myc_D,0.0271140561248615,0.0301603798957435,-0.0132743648067715,-0.0201696235316419,0.010009419209667,0.00297907452935848,0.015917124835787,0.0100196386587232,-0.0283326409539352,-0.0349144491684348,-0.00259516613693381,-0.00353555578232254
ENSMUSG00000019817_LINE320_Plagl1_D,0.0141348531385464,0.0165468379271644,-0.0232076506710129,-0.0241131317880936,0.0233985019254683,0.0113164878185107,0.00600681718199522,0.000328319573704931,-0.0256970607529488,-0.0326783536044911,0.0088339821716023,0.00849183671146849
ENSMUSG00000025958_LINE192_Creb1_D,-0.0308326697947083,-0.0307586304667328,0.0396522534736553,0.0296766975255808,-0.0167816724308144,-0.00358840727053497,-0.0232246817061548,-0.00927694206313681,0.037587477525514,0.0462705810803262,-0.0111330831725815,-0.0097656365456922
ENSMUSG00000000938_LINE1142_Hoxa10_D,-0.0108265387238848,-0.0130057290115421,-0.0459894370026281,-0.053595630304878,0.0137419666920238,0.0103673599832835,0.0203344177953829,0.02153386847876,-0.0289739750886196,-0.017893805708238,0.0396002541664157,0.041461181821224
ENSMUSG00000024513_LINE1513_Mbd2_I,-0.0129101935665071,-0.0170669430455516,0.0157421492783199,0.00466540895332015,0.00654937939837114,0.00810723622325987,-0.0154122906238196,-0.00697591410362945,0.00164809700181334,0.0324418788005378,-0.00190665366657232,-0.00321574516204408
ENSMUSG00000032035_LINE1028_Ets1_D_N1,-0.00480477502268891,-0.00014868368419641,0.0285388847942443,0.0262042886474599,0.00539177122562333,0.0125155881789609,-0.0212293826715847,-0.0152733383015004,0.00458867187681811,0.00499680135687289,-0.0189917410116132,-0.015188770113488
ENSMUSG00000046518_LINE143_Ferd3l_I,0.0104646315870951,0.0106274633857326,-0.0317906910131198,-0.0328406584500959,0.0160033937843836,0.00883768675454636,0.0110877760777991,0.00882361306666456,-0.0233940932105348,-0.026095776936302,0.0178295549877493,0.0148270616298236
ENSMUSG00000005698_LINE295_Ctcf_D,0.00256201416794854,0.00919028105915726,-0.02575334345117,-0.0239540306451999,-0.00640494529063649,-0.00735449775900457,0.0114664715162602,0.010233811471134,0.0053435419834543,0.000185068195031475,0.00943996187212409,0.0114778418696202
ENSMUSG00000026436_LINE1023_Elk4_D,-0.0124197440958381,-0.00878552593437124,0.0285334942518669,0.0242711827971597,-0.00739437162808719,0.00192316015316969,-0.0157318572313732,-0.00829245364658966,0.0183173960590888,0.0214336819796268,-0.0159259973634266,-0.0134983184943751
ENSMUSG00000009406_LINE1014_Elk1_D,-0.0168257348696336,-0.0112091217002607,0.029050398514927,0.0259690492989155,-0.00618075743023537,0.00240364192086777,-0.0174123592651989,-0.00988463309379908,0.0218027351132584,0.0218146879841185,-0.0153255382877921,-0.0133846654738208
ENSMUSG00000000435_LINE113_Myf5_I_N8,0.00510397741502239,0.00858587633627272,-0.0338530192661554,-0.0352025114359608,0.00889626483073005,0.0034681375797505,0.0176631486203648,0.0114185100221107,-0.0167417112444602,-0.0223149696170046,0.0202291631130752,0.0171077020698267
ENSMUSG00000023994_LINE941_Nfya_I,-0.0180602398926753,-0.0178613678477003,0.0172270568711128,0.0170037355752708,-0.00867989662193409,-0.00234696707725979,-0.0100619839947354,-0.00475128424838676,0.0216976083431357,0.0270553491379591,-0.00447353830021813,-0.00689893696924165
ENSMUSG00000019803_LINE1593_Nr2e1_D_N1,-0.00164322336961369,0.000424846037379305,0.0113568170246283,0.00915674395627033,0.0212688804929856,0.0183008034331927,-0.0210952805738303,-0.0171490037544341,-0.00863598209313261,-0.00674141734547135,-0.00473592752404057,-0.00527082228019265
ENSMUSG00000013089_LINE1017_Etv5_D,-0.0119508724086208,-0.00580505991980786,0.0280082606375198,0.0251121132940617,-0.00552936764653834,0.00248401806155304,-0.0162062081206034,-0.0096947601010963,0.0177407830326855,0.0172217037021883,-0.0169900333382825,-0.0139732546414316
ENSMUSG00000044690_LINE1035_ENSMUSG00000044690_I,-0.0119508724086208,-0.00580505991980786,0.0280082606375198,0.0251121132940617,-0.00552936764653834,0.00248401806155304,-0.0162062081206034,-0.0096947601010963,0.0177407830326855,0.0172217037021883,-0.0169900333382825,-0.0139732546414316
ENSMUSG00000021255_LINE1599_Esrrb_D_N3,-0.0140982327125029,-0.00776559286171185,-0.0161090673000388,-0.0181559632412244,0.0116801652465593,0.00685766202311522,0.00393452845665604,0.00328262696459466,-0.0161721004291263,-0.0166422024443264,0.0225356656718612,0.0214859103430095
ENSMUSG00000021264_LINE330_Yy1_I,-0.0126167704682791,-0.00949504903086974,0.0257724160754045,0.0178463952917097,0.0019664991980594,0.00383768902469087,-0.0120925105663479,-0.0106564867648651,0.0143783517396747,0.0187777611004345,-0.0145067274350722,-0.0137547439284326
ENSMUSG00000040732_LINE1032_Erg_D_N1,-0.00664596271194346,-0.00288528558485867,0.0277996401254054,0.0250383563991012,0.0032928039424711,0.0113444162937373,-0.0200202709197263,-0.0137954316858698,0.00653130718360652,0.00825980909645548,-0.0174249933153852,-0.0140469062148491
ENSMUSG00000055053_LINE1700_Nfic_I,-0.00175982232385324,-0.000283546128499609,-0.0163526879328103,-0.0162709017160026,0.00803165317734086,0.00491141195917112,0.0044269872968104,0.00484633976094982,-0.0103870918578197,-0.01031049793837,0.0127584413424712,0.0108524315592983
ENSMUSG00000017724_LINE1019_Etv4_D,-0.0127485712392127,-0.00687439981514839,0.0279753474635065,0.0253519304744544,-0.00580922461784572,0.00292463139414249,-0.0164191602080761,-0.0100418398683824,0.0186622756743629,0.0185156414263267,-0.016808428399032,-0.0139702589535718
