logFC	AveExpr	t	P.Value	adj.P.Val	B	gene	nlogpval
LAPTM5	3.3800116308315	7.64362590042688	25.1096489030552	2.37772355569339e-22	7.37764942242197e-20	41.0523927952924	LAPTM5	19.1320819858028
SAT1	4.48367303423437	8.58264465676857	24.907552402547	3.0286263595746e-22	9.16235189430306e-20	40.8119614521966	SAT1	19.037993032488
CCND1	4.40767187290862	5.59192374122524	24.7949201096659	3.46854441967059e-22	1.02372819566912e-19	40.6185505444194	CCND1	18.9898153351475
ITGB5	5.25565555917434	5.13124367884692	24.573098137235	4.53797422003727e-22	1.30747681039693e-19	40.1812259797208	ITGB5	18.8835660051039
NEAT1	3.89583258955591	7.71184942120386	24.5246795919179	4.81354244873422e-22	1.35462039935193e-19	40.3509820193582	NEAT1	18.8681823886003
PLEKHO1	4.24645622004469	5.91942294431539	24.4701386189404	5.14469678825143e-22	1.41490854169615e-19	40.2618808109364	PLEKHO1	18.8492716316029
PINLYP	8.06225601937927	4.89807198434932	24.1902285962542	7.25392699091813e-22	1.90825588080653e-19	39.5124245262305	PINLYP	18.7193633905484
SPRED1	3.91889466499046	5.96277404419483	24.0501483690635	8.62644897408568e-22	2.22103529862576e-19	39.7574891079805	SPRED1	18.6534445392108
FABP4	8.54283685133359	5.12466031577515	23.8703724148452	1.07894163602473e-21	2.68764707234853e-19	38.9614943888542	FABP4	18.5706277611371
SCARB2	3.3690535860889	6.78969588732751	23.8634601139566	1.08829606268141e-21	2.68764707234853e-19	39.5377136238173	SCARB2	18.5706277611371
ANKRD36C	4.24638209288946	4.96129580630717	23.3875194861989	1.9827241263128e-21	4.70449895147279e-19	38.9301804408836	ANKRD36C	18.327486623926
RDH10	4.51859182058262	4.9633024416957	23.2615613527599	2.32810408027835e-21	5.4177668222016e-19	38.6957950075808	RDH10	18.2661796907038
RP11-346D6.6	6.30585242020536	4.82640218791106	23.1758109629794	2.59820718029583e-21	5.93224624316224e-19	38.4021806330443	RP11-346D6.6	18.2267808300262
TNS3	3.65926077311217	5.73579914191527	23.0927454566765	2.89069974838689e-21	6.47784401022773e-19	38.5638080330829	TNS3	18.1885695142315
MLPH	7.06875530413018	5.11184822310643	23.0385804201098	3.09951200819206e-21	6.81948996566038e-19	37.9816078053173	MLPH	18.1662481053116
CD63	2.84140517857769	9.24744232192022	23.0157621270283	3.19207331825502e-21	6.89772843289358e-19	38.4639591921091	CD63	18.1612939080286
ANKH	3.36690105083807	6.98285996019898	22.8849339652729	3.78061761474327e-21	8.02618486947514e-19	38.2960759984072	ANKH	18.0954908412545
APOC1	3.85479202479361	7.73047845456988	22.7919312862703	4.2661180067412e-21	8.90074034475436e-19	38.1739478881828	APOC1	18.0505738681563
HECA	3.66060019684647	5.38190781543837	22.5846007029143	5.59362140239317e-21	1.14726123034508e-18	37.900177342676	HECA	17.9403376823777
EMP1	7.53065616684824	4.42997377352882	22.2642995446102	8.53811328809348e-21	1.72199514832032e-18	36.6083698896558	EMP1	17.7639680764948
WDR26	2.74745495136505	7.45411878038353	22.1700847122577	9.67904159989062e-21	1.92009971147994e-18	37.3544190119469	WDR26	17.7166762176396
SPRY2	3.39920441634112	6.03329687472752	22.0682860994033	1.10896482245542e-20	2.12712213297788e-18	37.2241704707998	SPRY2	17.6722075734938
HAVCR2	6.80116417143734	4.82312891884443	22.0575706963603	1.1249964177389e-20	2.12712213297788e-18	36.6026177733051	HAVCR2	17.6722075734938
GSN	5.96547701666402	4.37882615443504	21.8371116555831	1.51353694764885e-20	2.77504706113617e-18	36.5682675784312	GSN	17.5567296474175
MMP14	5.03352761466211	4.62665710434976	21.6143565572837	2.04807151293208e-20	3.69906169820763e-18	36.457735742728	MMP14	17.4319084248437
PLAUR	3.44812052123279	8.00631099500713	21.5326392971108	2.28996932046723e-20	4.0751351098491e-18	36.4924453631933	PLAUR	17.3898579877856
IRGQ	4.22499272396524	5.34110325892438	21.4547068477328	2.54811603432883e-20	4.46880465672655e-18	36.3851225393841	IRGQ	17.3498086290854
ITM2B	2.77946225651861	7.03972274534938	21.3467404932607	2.95618143010729e-20	5.11039306938976e-18	36.2359276887974	ITM2B	17.2915456945225
NREP	4.07846917163112	4.66842748887453	21.3331727672167	3.01202272532412e-20	5.13358971818974e-18	36.2255277408206	NREP	17.2895788435427
PDGFA	4.96832155535694	4.15879846428482	21.3051499731536	3.13082226851507e-20	5.26195559323623e-18	35.9889997212981	PDGFA	17.2788528213385
PTGS1	3.49868529492899	5.882428340696	21.2549890089486	3.35566915325611e-20	5.56259622240442e-18	36.1187958346661	PTGS1	17.2547224634721
FBXO38	4.61929673431804	4.37451069408816	21.105737011133	4.12829746817828e-20	6.66087035499004e-18	35.887385333893	FBXO38	17.1764690192271
CCDC80	4.24651112761067	4.23811531081595	21.016688470076	4.67442171250727e-20	7.44278646619086e-18	35.6866836452805	CCDC80	17.1282644407536
MT2A	3.37849334719746	10.7462263540574	20.951583870736	5.12038664790919e-20	8.04698686056481e-18	35.6861373292401	MT2A	17.0943667078055
UBXN11	3.03263969408876	7.7600145936757	20.8349996754879	6.03168402950447e-20	9.35761646679917e-18	35.5202469496015	UBXN11	17.0288347588624
SPP1	8.4874246293373	4.56394648853951	20.7827925733017	6.49240947163418e-20	9.94489202737281e-18	35.2329268747377	SPP1	17.0023999276899
KANK2	3.52407095496753	5.37441404217112	20.7493193777843	6.80673514528135e-20	1.02347479178356e-17	35.4183679429747	KANK2	16.9899228495565
GOLIM4	3.96315823094013	5.55875836467781	20.7447550467175	6.85079399508046e-20	1.02347479178356e-17	35.411634574919	GOLIM4	16.9899228495565
ID2	2.58378377386598	6.83466732840796	20.7202633959282	7.09227477234557e-20	1.04662947585553e-17	35.3607985220258	ID2	16.9802070385423
PCSK6	4.26483342029964	3.9622033273996	20.2981432826332	1.29579366741759e-19	1.86671418683575e-17	34.7377443580807	PCSK6	16.7289221719182
CDKN1A	2.86164451636957	7.45558392424264	20.216746913023	1.4572994551925e-19	2.07468008320994e-17	34.6348123188243	CDKN1A	16.683048862233
TCF4	2.89397682831358	6.17023169623819	20.1331159033877	1.64492823941054e-19	2.31456704943104e-17	34.5263161955644	TCF4	16.6355302338589
FABP5	3.2327288247864	8.95885838070053	20.0300769462366	1.91077951584378e-19	2.65774056565811e-17	34.3609093074608	FABP5	16.5754874148162
GK	4.21065931826539	3.83694350415062	19.9558593117204	2.12938186535718e-19	2.9281420400781e-17	34.2472947692934	GK	16.5334078600843
UPP1	5.26474664282331	4.83425471271574	19.9016446338368	2.30522145949796e-19	3.06543789905328e-17	34.1082964655129	UPP1	16.5135074775702
PSAP	3.18093275992925	7.62353921402391	19.863612462991	2.43744133650397e-19	3.17155673258436e-17	34.1159658888711	PSAP	16.4987275155678
IGFBP5	5.97492089792022	3.11024978681095	19.8453559181449	2.50365988328452e-19	3.22306257953468e-17	33.7005822864523	IGFBP5	16.4917312620698
NT5E	3.14702149298897	4.93756985994968	19.627149723044	3.45483587302677e-19	4.3548925936976e-17	33.7987953571343	NT5E	16.3610225516872
ANKRD36	2.93341763467248	4.50794274933011	19.4177336601079	4.71954614975767e-19	5.76881090487047e-17	33.4811579688287	ANKRD36	16.2389136964929
KIAA1199	6.51571315822194	4.38231167460147	19.3709255800132	5.0623345140103e-19	6.12593099540387e-17	33.0415173352829	KIAA1199	16.2128278995445
IL7R	4.21652183006717	5.90141211399207	19.3089671838629	5.55589122328718e-19	6.59135683264688e-17	33.285322133633	IL7R	16.1810251765627
NPC1	3.07819394323979	5.06951393502665	19.2035050168134	6.51297285158043e-19	7.57821966124758e-17	33.168980537884	NPC1	16.1204328104776
FABP5P7	3.23065372604519	8.77906879476375	19.1477343655928	7.08616959481247e-19	8.01399423054446e-17	33.0416948503194	FABP5P7	16.0961509745616
A2M	7.56067038203127	2.84438598298158	18.9608358717358	9.41533510943461e-19	1.05495342740063e-16	31.8415945469365	A2M	15.9767667125647
AIM2	8.6752650034715	4.84766446949388	18.9096933037312	1.01809548739917e-18	1.11999759027431e-16	32.0600096639455	AIM2	15.9507829117331
MESDC2	2.66535348501372	5.97755731796953	18.8972792418249	1.03762803330343e-18	1.13120151630674e-16	32.6689496186156	MESDC2	15.9464600214015
MICAL2	4.74554342243655	4.07719006599056	18.8072511044413	1.19132941307627e-18	1.25358932414226e-16	32.4124948432145	MICAL2	15.9018447150764
GPR68	6.3454565058149	4.27747422025094	18.7913368057729	1.22084772555542e-18	1.27357571784019e-16	31.9542727566755	GPR68	15.8949752298424
METTL9	3.63046492194121	4.59033493860356	18.7505858719279	1.29991468146312e-18	1.33115886282515e-16	32.4836127112597	METTL9	15.8757701119699
TRIM2	7.2666501464352	2.51545973589279	18.7460437806127	1.30904805120397e-18	1.33115886282515e-16	31.4764076459414	TRIM2	15.8757701119699
SLFN5	4.72738080587231	4.28185507242865	18.7269349514535	1.34820191755174e-18	1.35860025595036e-16	32.3514487989439	SLFN5	15.8669083079274
SH3BGRL3	2.96742981817972	9.33321689317658	18.7179169662854	1.36709635106036e-18	1.35860025595036e-16	32.3800447227612	SH3BGRL3	15.8669083079274
RB1	3.21157566470977	5.03295233200843	18.7115132515521	1.38067866791747e-18	1.35860025595036e-16	32.4184357262618	RB1	15.8669083079274
AP000769.1	2.98798293966826	5.33856463914004	18.6783218425139	1.45333666422258e-18	1.4069461579006e-16	32.3635704009749	AP000769.1	15.851722522163
PLXDC2	7.40976964720587	2.47804070097913	18.6011478845504	1.63788657143755e-18	1.57302106356871e-16	31.2438370994766	PLXDC2	15.8032654619092
DHRS3	5.44845314510504	3.69496708611836	18.5540443040923	1.76222324663342e-18	1.67910736279614e-16	32.0859783900641	DHRS3	15.7749215340113
DOCK10	2.58227004011729	7.49783317722291	18.5310697560349	1.82635249737115e-18	1.72661652896002e-16	32.0923635697295	DOCK10	15.7628041058888
TNFSF4	6.31530338357948	4.3848113887974	18.5071175415446	1.89577179672238e-18	1.76467188554904e-16	31.7964903997235	TNFSF4	15.7533360333597
MEF2C	2.85108797293159	8.22209758759174	18.4381203837036	2.11132246011099e-18	1.95031397632085e-16	31.9412451454973	MEF2C	15.7098954669929
FNIP2	3.62612107469226	4.08234380735929	18.430095021748	2.13798138888022e-18	1.95997824142724e-16	31.9778152497205	FNIP2	15.7077487499091
BMP4	6.57145807129646	4.08560931842165	18.3329676747498	2.48950337610944e-18	2.25711202068233e-16	31.6394831556698	BMP4	15.6464468863113
FTH1	2.89219194141297	8.45728288427867	18.3204715236204	2.53886336288013e-18	2.2607852724383e-16	31.7551210558241	FTH1	15.6457406846355
BEST1	2.89373196330674	8.4622753241709	18.3199768509029	2.54083792291222e-18	2.2607852724383e-16	31.7543378536842	BEST1	15.6457406846355
HTRA1	6.54747523872847	3.59771519219013	18.2643271214691	2.77337633449005e-18	2.44968080464702e-16	31.2571457883327	HTRA1	15.6108905008647
HDAC9	2.58618302781637	5.5362658611389	18.2514079472982	2.83042580215142e-18	2.4819552631764e-16	31.6706693026871	HDAC9	15.6052060508513
NRP1	5.31196363638676	4.41794781113963	18.224749558682	2.95199430120959e-18	2.56993403157822e-16	31.4563268013641	NRP1	15.5900780245634
ATF3	3.41075300761289	4.30809153461579	18.1511309097428	3.31640565378899e-18	2.84622871039011e-16	31.5517794122714	ATF3	15.5457302048598
MUM1	2.93520951035447	4.61773939518424	18.1394554430669	3.37831833897135e-18	2.86920566050178e-16	31.5163248818959	MUM1	15.5422383210395
ARMC9	5.62752204046652	3.41015787447438	18.1359436647813	3.39717231509167e-18	2.86920566050178e-16	31.2028176262492	ARMC9	15.5422383210395
FABP5P2	3.17103152240558	9.56431146171021	18.1327689792696	3.41430968607765e-18	2.86920566050178e-16	31.4572109897371	FABP5P2	15.5422383210395
NPC2	3.32016299857933	8.41961522712814	18.1019591460055	3.58531876347955e-18	2.99213395564594e-16	31.4074206731786	NPC2	15.5240189673264
STARD4-AS1	4.13299153410821	3.8298653458455	18.0874351929967	3.66896629688478e-18	3.04033057134941e-16	31.4438624056446	STARD4-AS1	15.5170791935268
GLIPR1	2.82270866119129	7.6162851450674	18.048022385481	3.90622370028119e-18	3.16345749833777e-16	31.3220714344967	GLIPR1	15.4998379959958
CMTM3	2.69434504918004	5.46352833938726	18.0433023695891	3.93567701035715e-18	3.16345749833777e-16	31.3457077315769	CMTM3	15.4998379959958
YPEL5	3.03841795441123	6.23683525567559	18.0414243350089	3.94745956738289e-18	3.16345749833777e-16	31.3232744066052	YPEL5	15.4998379959958
ANKRD28	3.25577745217424	5.32043294246975	18.0230462405916	4.06469486152064e-18	3.23597845521456e-16	31.3337390922242	ANKRD28	15.4899943785346
PDCL	3.15758832401995	5.65395258813182	17.9451439672433	4.60282675220572e-18	3.64044487113996e-16	31.1832148782012	PDCL	15.4388455412752
SEPP1	6.43411946987524	4.22586263126931	17.8758843809467	5.1427336011552e-18	4.04105320179085e-16	30.7360544179926	SEPP1	15.3935054318904
RIN2	7.94621112276613	4.30614372472074	17.8327865586158	5.51119939915909e-18	4.30264670511123e-16	30.1460265789215	RIN2	15.3662643128344
PPFIA2	4.26422776052379	3.94145737962476	17.8121280149398	5.69734608064463e-18	4.41946057191543e-16	30.9234343761343	PPFIA2	15.3546307362928
FTH1P20	2.81096424494703	6.34396453878764	17.7306131868782	6.49728526919872e-18	4.95834985103451e-16	30.8266649198021	FTH1P20	15.3046628335558
LRP10	2.67367532270851	6.00595653550604	17.72892913403	6.51497914481851e-18	4.95834985103451e-16	30.8231018820982	LRP10	15.3046628335558
HIST1H2AC	3.34599871439647	5.3349184032194	17.6714072603583	7.15008264910702e-18	5.3741087041518e-16	30.7624833854224	HIST1H2AC	15.2696935531734
ANTXR2	2.48358643218986	6.59882946691044	17.6001908448352	8.02559253073696e-18	5.99491945768197e-16	30.6018284268197	ANTXR2	15.222216647314
HCST	4.08954543350007	5.15865435514139	17.5509290751437	8.69512140967925e-18	6.45519412138212e-16	30.5931829558489	HCST	15.1900906930447
MYO6	2.85082327995171	5.22418471665326	17.5379837239568	8.88042113933582e-18	6.55255952482334e-16	30.5302690004022	MYO6	15.1835890251414
KIAA0226L	4.19847444362825	4.70691071896568	17.4629571221245	1.00373484574045e-17	7.36133052624558e-16	30.4393425049609	KIAA0226L	15.1330436818605
ANKRD36B	2.87421215046282	3.80328095308808	17.4405460219945	1.0412194799623e-17	7.59023911266496e-16	30.406726152514	ANKRD36B	15.1197445424609
MYOZ2	8.63098086463062	3.58701585475279	17.4079643988702	1.09830188073559e-17	7.91000097365765e-16	29.6135729349685	MYOZ2	15.1018234630442
ST3GAL1	2.51722256013577	5.87254600231668	17.4062620229888	1.10137146204509e-17	7.91000097365765e-16	30.2983988092447	ST3GAL1	15.1018234630442
HS2ST1	2.58305217498994	5.32958774610576	17.3852340269528	1.14002338371982e-17	8.11495468611385e-16	30.2812596402693	HS2ST1	15.0907139009303
IFIT3	3.89157374571633	4.32300866242157	17.3775180257592	1.15455388674651e-17	8.17032548743833e-16	30.2963677654263	IFIT3	15.0877606418051
FABP5P3	3.13854222707608	7.05529595011674	17.3407668592373	1.22642268563388e-17	8.62845402259045e-16	30.177965767193	FABP5P3	15.0640670107278
VEGFC	4.42702003110194	3.73621716239229	17.330242928873	1.24783888115828e-17	8.72838052074934e-16	30.1720438936364	VEGFC	15.0590663285907
LAPTM4A	3.01078312192116	7.83528291961969	17.3093920251608	1.29141404072393e-17	8.98126511885077e-16	30.114753302761	LAPTM4A	15.04666248344
SASH1	2.85230883506743	5.73751441976587	17.2316099145355	1.46826380337116e-17	1.00381131551381e-15	30.0267471547954	SASH1	14.9983479130199
GNS	2.47589974083543	6.04484570209521	17.2147821593321	1.50969713306493e-17	1.02633960714712e-15	29.9729039347928	GNS	14.9887089110509
METTL7A	3.58902203572772	4.3107284428732	17.1945818861806	1.56102707821925e-17	1.05530662980621e-15	30.0058612420527	METTL7A	14.9766213334617
FN1	3.90131362449675	4.7896166131246	17.1888929930676	1.57580437884365e-17	1.05842243246456e-15	29.9988980740953	FN1	14.9753409641793
LINC00152	2.63542506910651	6.91641117523062	17.0708762474541	1.91707024564491e-17	1.24951441184364e-15	29.7223483412957	LINC00152	14.9032587303754
MMP12	8.27088528105614	4.02258602579924	17.0697774168107	1.92058243618641e-17	1.24951441184364e-15	29.6212907336053	MMP12	14.9032587303754
MYEOV	5.09955134352337	4.95804175680703	17.0475348969421	1.99311693331439e-17	1.28977048182018e-15	29.7306799357387	MYEOV	14.8894875667143
MEF2A	3.09265725757771	4.0044844978472	17.0330102140823	2.04199839626182e-17	1.31437354218959e-15	29.7458605994689	MEF2A	14.8812811916581
ZFP36L1	5.62550036807682	5.41106612040944	17.003553104737	2.14495602006877e-17	1.36419019639064e-15	29.6868551396149	ZFP36L1	14.8651250758053
KRR1	2.36540217927647	7.56481942182665	17.0012539843199	2.15321318494846e-17	1.36419019639064e-15	29.5964366149561	KRR1	14.8651250758053
IL1RN	2.92607150655179	5.81107631655216	16.9969333549038	2.16881905269671e-17	1.36692079982723e-15	29.6534933506274	IL1RN	14.8642566479738
CNIH3	6.50463471757384	4.33579867995016	16.9727897615931	2.25819136714643e-17	1.4085759656618e-15	29.3249412324413	CNIH3	14.8512197261876
CD81	2.72449583768601	6.0715268679102	16.9302188651677	2.42511680758901e-17	1.48966185221496e-15	29.4850439169925	CD81	14.8269123036573
HIST1H1C	2.56591425009936	6.33029192714602	16.8551918391763	2.75087773034827e-17	1.66441857074722e-15	29.3544059801823	HIST1H1C	14.7787374472122
CTD-2262B20.1	3.22368877864359	7.92522230754781	16.7483634227026	3.29421670178296e-17	1.97343150040968e-15	29.1687436507813	CTD-2262B20.1	14.7047779437607
BBOX1	7.71388010435252	3.94306157084741	16.7198147751632	3.45732278078979e-17	2.06093906257819e-15	28.8394339022937	BBOX1	14.6859348491608
SLC39A10	2.72089851575489	6.41935089193983	16.7103682745185	3.51310352337444e-17	2.08392479099775e-15	29.1140597959513	SLC39A10	14.6811179588102
CCDC102B	4.08494065250018	2.79080883519512	16.6914349600738	3.62770674829931e-17	2.14140874932536e-15	29.1345587257097	CCDC102B	14.6693004272253
PCED1B-AS1	3.13415143994794	5.98602366096746	16.6884757824728	3.6459630431938e-17	2.1417378051305e-15	29.1340107501383	PCED1B-AS1	14.6692336972552
RCBTB2	4.60018156904879	6.46391822654083	16.620424499794	4.09291770001173e-17	2.38117293691548e-15	29.0372155523949	RCBTB2	14.6232090620413
LRP12	3.20235424420163	4.92038648704302	16.6134113338375	4.14207535273057e-17	2.39824181068864e-15	29.0385094174946	LRP12	14.6201070298472
CYTIP	4.51680360978921	5.34636336143397	16.5739176019221	4.43046574812801e-17	2.55300314371891e-15	28.9413853184044	CYTIP	14.5929486504136
BCL2A1	4.02932253795933	6.40859990413799	16.4588866206892	5.39397553307813e-17	3.07889141159332e-15	28.7216003969821	BCL2A1	14.5116056278157
TWISTNB	2.44288536935646	8.20495001463281	16.4442323092891	5.53133965885094e-17	3.14247611322794e-15	28.6424181326677	TWISTNB	14.5027280148139
CDKN2A	3.25066266609093	4.36193717904325	16.3839806649643	6.13501507142715e-17	3.45301476182976e-15	28.6533447812357	CDKN2A	14.4618015650136
FZD1	3.56978133460154	4.33939721330964	16.3188209569351	6.86458263119013e-17	3.81047313853357e-15	28.5409982233417	FZD1	14.4190210955326
KLHL24	2.75278240833382	4.4358090217837	16.312962790531	6.93440100310967e-17	3.83165235336211e-15	28.4812737813429	KLHL24	14.4166139014373
KLF10	2.7511028808813	4.76935298784703	16.3064351669457	7.01305874132976e-17	3.8575010831287e-15	28.5012878802924	KLF10	14.4136939433214
ALAS1	2.09520786804826	7.10613923792963	16.2448145659218	7.80236814199449e-17	4.25299355343583e-15	28.2958125154677	ALAS1	14.3713052755764
SOX4	2.76250906270609	9.2891361015492	16.2261519728066	8.05902080922305e-17	4.33659009070728e-15	28.2632236931421	SOX4	14.3628516269076
SESN1	2.31690629403758	5.75715900956963	16.2217679675415	8.12055996532316e-17	4.34809274957414e-15	28.2880797575126	SESN1	14.3617012005106
CALM1	1.96064850057143	8.73549948829118	16.157881648972	9.07423489327339e-17	4.83732671557275e-15	28.1414719835477	CALM1	14.3153945791448
FYB	2.57152400610457	6.10854467349243	16.1282624583174	9.55474501971689e-17	5.07113901243834e-15	28.1386230588471	FYB	14.2948944842052
MALAT1	3.01892048982788	14.0462830985825	16.1104232494599	9.85669903395643e-17	5.18590934825682e-15	28.0795916385214	MALAT1	14.2851750791393
TDO2	8.70419404287894	3.9740933210859	16.0804783418368	1.03858021989965e-16	5.44063170606304e-15	27.728665866576	TDO2	14.2643506718956
ABHD17C	2.50080064604731	5.40406853206652	16.0674038505488	1.06258945491958e-16	5.542411635337e-15	28.0404791387001	ABHD17C	14.2563012222715
FAP	5.76342262860261	3.17490832634123	15.95908424299	1.28481965232085e-16	6.61600111180195e-15	27.561740391086	FAP	14.1794044304734
PECAM1	2.09618414203509	6.7216324718856	15.9563236731721	1.2910702803804e-16	6.62001756901832e-15	27.7931213329998	PECAM1	14.1791408579746
MAP4K4	2.30469258029117	6.05507660967632	15.8728305026351	1.49566212395404e-16	7.63671196707506e-15	27.6562176411707	MAP4K4	14.11709358932
C5AR2	7.67467761431654	3.99196671785014	15.8545775307013	1.54466631949823e-16	7.85378450934794e-15	27.4004050602803	C5AR2	14.1049210189919
LINC00342	4.69424444898432	2.65557874086139	15.808323802844	1.67637414115283e-16	8.39501950390713e-15	27.6061682029425	LINC00342	14.0759782905409
PGPEP1	2.47858771746158	5.08027004303668	15.8074854354889	1.67886515159534e-16	8.39501950390713e-15	27.5851026460245	PGPEP1	14.0759782905409
HUS1	2.34346354904213	5.38885194771613	15.7248732334096	1.94398043033409e-16	9.68070254628509e-15	27.410986056849	HUS1	14.0140931240032
AC003092.1	6.50384636522522	4.96437436101195	15.7037764771446	2.01834249118723e-16	9.96896427994148e-15	27.247568145651	AC003092.1	14.0013499601308
RP11-304F15.3	8.00007876295185	1.06613076007142	15.6296755158766	2.30353021824759e-16	1.12854328627588e-14	26.0711878458986	RP11-304F15.3	13.9474817785178
FRMD4A	6.31157209881523	3.45374921890291	15.6164261560341	2.35873588817268e-16	1.15092995898297e-14	26.9793679259043	FRMD4A	13.9389511049999
STIM2	2.92361621364038	4.21479488143894	15.5868992590237	2.48671126577929e-16	1.20850172799981e-14	27.2458996051738	STIM2	13.9177527242714
GJA1	5.51153793337829	3.72983628715903	15.5465555975818	2.67320428025694e-16	1.28177481584106e-14	26.9933470247046	GJA1	13.8921882656344
