logFC	AveExpr	t	P.Value	adj.P.Val	B	gene	nlogpval
MMP1	8.32888640505253	8.90115289843464	55.416061557653	6.85130559243669e-33	8.29076489740764e-29	64.0446309840809	MMP1	28.0814054000409
GDF15	5.91261565232027	7.70210858910872	44.6190594405648	5.68339278234812e-30	3.43873680295973e-26	57.8171023620901	GDF15	25.4636010633163
RGS16	7.2950670528654	6.10472411237243	41.4702794419829	5.44984935225807e-29	2.19828756705583e-25	55.1088473008119	RGS16	24.6579154963454
SERPINE2	6.84913297022415	5.91720876360865	37.1887620895472	1.56133973860626e-27	4.72344304421859e-24	52.2315774943073	SERPINE2	23.3257413170455
RGS2	6.63418134964488	8.02122660137528	35.4743237129379	6.64609292657486e-27	1.60848741008965e-23	51.2779252535498	RGS2	22.7935823340471
ACPP	7.09796920574468	5.2501253198633	34.9171217339181	1.07962533323052e-26	2.17742435957042e-23	49.9834587870344	ACPP	22.6620569227918
TAC4	7.59563706765294	6.07442233278137	34.5656583814941	1.47174010063805e-26	2.54421813683157e-23	50.2758093903986	TAC4	22.5944456557748
IL1B	5.55102104165505	8.42204804607293	34.2331960441168	1.97841209500233e-26	2.99259559520289e-23	50.213210135634	IL1B	22.5239519676363
MGP	7.80404437152666	4.3258174476959	34.0323458480739	2.36872157675343e-26	3.18487775558815e-23	49.4085233265913	MGP	22.4969072324314
CTSL	4.35435942893081	8.57701024733145	33.4693717274882	3.94505710387741e-26	4.77391360140205e-23	49.5973574374738	CTSL	22.3211254451478
PHLDA1	5.16189401847866	6.56694140137188	31.6890586433088	2.09214533159627e-25	2.26323108574305e-22	47.8253838580997	PHLDA1	21.6452711004247
PIK3R2	5.62894858643777	7.15711846659806	31.5434584596496	2.40732048549056e-25	2.26323108574305e-22	47.8132517167957	PIK3R2	21.6452711004247
RGS1	7.7306974845602	5.76438787042276	31.5331681866664	2.43136964834804e-25	2.26323108574305e-22	47.3686255845492	RGS1	21.6452711004247
IFI30	5.75873394304338	7.1160410571218	31.0132985110243	4.03361059281302e-25	3.48648012740217e-22	47.304279540702	IFI30	21.4576128058883
TIMP1	4.59416688105716	10.5667868624785	30.4459746230035	7.07272889840122e-25	5.70580615997021e-22	46.7906302351564	TIMP1	21.2436829864618
FCER1G	6.10192369170779	8.29368086165064	29.8540979472084	1.28414476454375e-24	9.4658969786775e-22	46.1942956714583	FCER1G	21.0238382264511
CD52	8.2416646327947	4.72388007973396	29.8197578018852	1.32980950861514e-24	9.4658969786775e-22	45.3636117101128	CD52	21.0238382264511
DUSP6	4.34450062729935	6.65403359164566	28.6398755544695	4.52221553275069e-24	2.82708279759809e-21	44.8690818271201	DUSP6	20.5486614720151
GNG11	4.85599795455436	9.33317722845246	28.6089691834255	4.67247797305693e-24	2.82708279759809e-21	44.9403413749294	GNG11	20.5486614720151
CTSB	3.61764310163986	7.59811790030256	28.4294797295227	5.65292658946973e-24	3.10936657541696e-21	44.7538607305286	CTSB	20.5073280742592
DAB2	7.80145813406691	5.34051537187108	28.3223748217003	6.33678174156331e-24	3.3339737328112e-21	43.7069943780978	DAB2	20.4770378261457
USP53	4.21024530586968	6.50481458975889	28.1312237206334	7.77706394913435e-24	3.92126045201978e-21	44.4091660616999	USP53	20.4065743106918
RCAN1	5.01764431390595	5.60279336810062	28.0869300663397	8.15654777367789e-24	3.94809538437105e-21	44.2275665764066	RCAN1	20.4036123634984
TYROBP	4.46580522812113	7.31717605432321	27.8339973776653	1.07211053107993e-23	4.98984982176855e-21	44.1017798412678	TYROBP	20.3019125250297
GPC3	5.76134941549927	3.95347805429419	27.3627029412711	1.79540378592791e-23	8.04673378278283e-21	43.2371517243984	GPC3	20.0943803665842
CD164	3.95766312383056	8.45066802448234	27.1249026219421	2.33614711958921e-23	1.00963272479104e-20	43.3535057739144	CD164	19.9958365812717
CD36	3.63116926139652	7.7587004905927	26.9744169038217	2.76270090816973e-23	1.15280840309524e-20	43.1851189374751	CD36	19.9382428665065
SDC2	3.19207041782965	7.84258262502302	26.7944575478449	3.38006320650251e-23	1.36340482872956e-20	42.9881356214614	SDC2	19.8653751722072
ADAMTS1	5.27797161604993	5.62397230425743	26.7256054506954	3.65241405238628e-23	1.42573749832021e-20	42.6477032704088	ADAMTS1	19.845960427868
PLIN2	4.62619836291047	8.74722011990348	26.6904233902258	3.80021258989122e-23	1.43707414219605e-20	42.8690424214627	PLIN2	19.8425208249653
LIMS1	3.91283301873255	6.38269990624804	26.0654772961648	7.75090980209262e-23	2.8422351368219e-20	42.1469426788845	LIMS1	19.546339995937
ARID5B	5.94405013631234	6.452565772255	26.0357072067809	8.02171443487407e-23	2.85502254048268e-20	42.0136022889694	ARID5B	19.5443904586375
MMP13	7.63284724757208	4.56847145763337	25.9837790547548	8.51765473112192e-23	2.94491828289447e-20	41.0317032813102	MMP13	19.5309267517361
ORAOV1	3.73255878490735	5.26728457226948	25.590524101708	1.34641077118011e-22	4.52581020612514e-20	41.5591738407255	ORAOV1	19.3443036625246
CD109	6.04777432940039	4.39716537981221	25.2679453592061	1.96963954073174e-22	6.44178596821481e-20	40.7095567959411	CD109	19.1909937089431
KCNJ2	5.18172826434892	4.89582961089116	25.2150096182458	2.09739859477307e-22	6.67911063035499e-20	40.9495560168298	KCNJ2	19.1752813629801
