DMSO_rep1,DMSO_rep2,BRQ24_rep1,BRQ24_rep2,BRQ48_rep1,BRQ48_rep2,PMA24_rep1,PMA24_rep2,PMA48_rep1,PMA48_rep2
SMARCC1,-0.178250014720089,-0.166887984474003,-0.0371850651104192,-0.043498015666344,0.0620655420445211,0.0631653141757805,0.0982532941081447,0.092214311506216,0.0406389001904826,0.0254733651174444
JUNB,-0.188407936232506,-0.177131323213638,-0.0417401468273669,-0.0485441883592535,0.064238649105554,0.0651614528878109,0.104477749378733,0.0994011724022376,0.0455679437148083,0.0303205882803354
FOSL1,-0.184529365120316,-0.172229900491794,-0.0386872683256282,-0.0441937169565487,0.0627353359329511,0.0648624067355736,0.100768169573617,0.0953452333643804,0.0429689381574981,0.0277973964400971
FOSL2,-0.190085378195968,-0.179099048932504,-0.0415005034382108,-0.047747766855938,0.0640981995361485,0.0648793539857017,0.104640515475917,0.0998390514996249,0.0470780501037224,0.0315893084981919
FOS,-0.17884107988567,-0.169478604723406,-0.0362175295642755,-0.0414485589052181,0.0641614838455749,0.0666032053911343,0.0945819655636217,0.0890976541855009,0.0405731427407954,0.02734639032652
JUND,-0.175935860270716,-0.164669082405052,-0.0349899774533072,-0.039045520731691,0.0618847848875999,0.0632490004687843,0.0943070466547158,0.0881400892842798,0.0398131549798447,0.0248061136946468
JUN,-0.182835839258021,-0.172274861700713,-0.0375889336690262,-0.0431171039171074,0.0684232677410641,0.0690650046140621,0.0946590666037621,0.0893801988517902,0.0404915816359832,0.0278065570655401
FOSB,-0.16164769326644,-0.151950437608487,-0.0345412762290661,-0.0402891257562693,0.0571698392454081,0.0603071896235218,0.086514170979028,0.0835277389919119,0.0365153419218256,0.0236953097273916
BACH1,-0.167028314522413,-0.156417284891699,-0.0350747150743452,-0.0397124413801131,0.0613510801212177,0.0621274113210381,0.0882993533021544,0.0819233111477664,0.0375515744624504,0.0246267457816241
BACH2,-0.170269734835727,-0.159898656164103,-0.0360624155440085,-0.0420372358887351,0.0593006115847018,0.0599496505818837,0.0922660197735283,0.0877588287062988,0.0405224454716442,0.0262397320507627
JDP2,-0.187302629146116,-0.178458588439282,-0.0440829245824095,-0.0477581712529374,0.0670696685185476,0.0686812765959283,0.0951725104632641,0.0901860544259984,0.0498421410168147,0.0386683583981086
CEBPB,0.0673348763354296,0.0580080062221354,0.115517469467939,0.125289473639933,0.039459325708247,0.0421879822709633,-0.0997312307010795,-0.0967645025985677,-0.106589345489421,-0.101570203807733
CEBPA,0.0691754651607332,0.0640568531984422,0.0931456688979542,0.0971505688109648,0.0216957619166177,0.0249454913016193,-0.0825021083332426,-0.0796123396706445,-0.0885525058739833,-0.0836218342699067
CEBPG,0.0586320873361719,0.050628961170459,0.117422416753917,0.13552178208876,0.0590223727897274,0.0585892790870813,-0.115234294247318,-0.111242141417686,-0.111439876638187,-0.102384085186722
CEBPD,0.0617347046436106,0.054504626695626,0.0981039967654073,0.110432727938225,0.0345572807698641,0.0369111025964057,-0.0896984092376968,-0.0864110104067661,-0.0944525850620726,-0.0873287697958999
CEBPE,0.068287956123406,0.0606322725067706,0.115264960932137,0.129284572613583,0.0429000682385484,0.0448962251069285,-0.112925447539509,-0.10853722254856,-0.103292183992831,-0.0954904242289874
NFE2,-0.104585866727705,-0.0991568983313958,-0.0188480850556492,-0.0239948997682547,0.0390820141035504,0.0412957090356088,0.0568600266911475,0.0534350556586355,0.0194649697441117,0.0109046795693649
HLF,0.0984370865614881,0.0791015981087443,0.0898314696926547,0.102026568756985,0.00757688942193381,0.00904136764236461,-0.0983004747837187,-0.0952921654169453,-0.0774366656799161,-0.0671676026619758
ATF4,0.0731642716817659,0.0278879699628828,0.0782208035183346,0.0775892297069484,0.00942101496330272,0.0111367841294201,-0.0479600786643757,-0.0499355419076283,-0.0630903356462139,-0.0649519420580899
NFE2L2,-0.0876171555182756,-0.0816448368380202,-0.0098974846150653,-0.0137703657621375,0.0343471590894696,0.036021366387585,0.0428736492500033,0.0412139020147456,0.0135190030877015,0.00454911882062239
MYPOP,0.0554565222732306,0.04182658911782,0.0684198615371111,0.0898168038869296,0.0479384689913598,0.0468716736050974,-0.0855707022974249,-0.0848231829231229,-0.078910908627722,-0.0736545967012249
TEF,0.0870905989234155,0.0780008472362626,0.0782301964576613,0.0862074951893091,0.00653907650546297,0.0057334881355515,-0.0892505718159808,-0.0857208653177893,-0.071177913792334,-0.0577179010191932
MAFF,-0.081985144389892,-0.0755400178856846,-0.0136210063009762,-0.0176331785719343,0.0444779867149505,0.0460276871371581,0.0314766261544995,0.0298895666925353,0.00719800637261093,0.00361424806230558
MAFK,-0.0819054514509325,-0.073763939124315,-0.0182250064534228,-0.0218587695595075,0.0358203108443858,0.0396239262274812,0.040149760839781,0.0369248613202143,0.0126674411810244,0.00452955204169101
DBP,0.101140576792342,0.0885114748729069,0.0824712931753059,0.0942598830737926,0.00194103691947682,0.000563084986455326,-0.0945655727046484,-0.0932125955665779,-0.0742922262213203,-0.062300910279895
NRF1,0.0716739908699627,0.0388172249623968,0.0176952137455665,0.025979217575712,0.0118572900339753,0.0120274971140871,-0.0625632910584639,-0.06003537553975,-0.0305647586862983,-0.00326887580035641
PITX2,0.00924201924549688,0.0101446769756822,0.0370587496600916,0.0495300171557152,0.0177468262395372,0.0168217218197608,-0.0242253647619193,-0.0272738405330108,-0.035396456817606,-0.0382214071438213
BATF,-0.0784154993762855,-0.0732489859905399,-0.011103615547818,-0.0105627930662344,0.0358507263317156,0.0407480475569379,0.0347240395626247,0.0348407013816332,0.00628538413970127,0.00215527587963328
TFAP2D,0.0147646978854585,0.0105397967142523,0.0173228428485644,0.0239373921036554,0.00759389069275646,0.00713453640481087,-0.0240876592428964,-0.0234767437981437,-0.0169823169444589,-0.00701651430664851
ELF2,-0.0267288656406735,-0.0140538402458001,-0.0139026698633256,-0.0177146743292403,-0.0146497019417525,-0.0125028812365941,0.0310021579094574,0.0296393074883686,0.0163471528849518,0.0157757763173662
PBX3,0.0409113545253754,0.0274977931192106,0.0213396672473744,0.0226033322925286,0.011864346908293,0.011931590371793,-0.0389561888087037,-0.03750846373868,-0.0280790124475293,-0.020601106889206
ZBTB3,0.00225677148463973,0.00167994343096762,0.0291640234340859,0.0384344710819513,0.0149065089775439,0.0156263062221382,-0.0168481918574793,-0.0190883344799621,-0.0257065064317336,-0.0288849525820191
KLF7,0.0168991785662098,0.0127026650765597,0.0151853248507337,0.0142820288246994,0.0158021829378678,0.0121747775182674,-0.0294096322991405,-0.0275970420182798,-0.0160117191469056,-0.0128334484756037
NFYB,0.0471968881372273,0.0333299360361318,0.0219225001046863,0.025228058727805,0.00985620491222407,0.00964950401693589,-0.0410401901056231,-0.0416868585690705,-0.0291928745955166,-0.0223994558153474
KLF2,0.0125674297705642,0.0105058615633083,0.0168680083695511,0.0164663040416387,0.0159118970127699,0.0126562539003337,-0.0246716553191099,-0.0234103611179314,-0.0177729099988254,-0.017526289703004
NFIL3,0.0927874418729071,0.0666375257218137,0.0607209700654998,0.0678175792616241,-0.00650877376124494,-0.00775816056747247,-0.0659052372052492,-0.0667038619231684,-0.0532950688639541,-0.0443508636149103
DDIT3,0.0188969907356148,0.0173307920445627,0.0383168836479039,0.0467981309039998,0.0157891786411492,0.0158070807590708,-0.0278944186480023,-0.0296993068565056,-0.038073951229711,-0.0415203037725857
TFAP4,-0.0367504794099718,-0.0268600325003194,-0.0224132214583366,-0.025146300169143,-0.0110881612993314,-0.00863857247257752,0.0332321561237126,0.030284627793662,0.0308565695687419,0.0233947572813195
CEBPZ,0.0427015648541434,0.0315888217791791,0.0248932244974707,0.0269327015220395,0.0110911545496774,0.0104998467859033,-0.038283174345152,-0.0391281506743458,-0.0323192504472974,-0.0253475389903306
