0_1,0_2,4_1,4_2,8_1,8_2,12_1,12_2,24_1,24_2,36_1,36_2,48_1,48_2
Ctcf,0.0275620465382454,0.0264744631826547,0.0228084166395709,0.0227914016697062,0.00222182093237613,0.00737453515428462,0.00310054172808056,0.002369398875783,-0.00461846631865041,-0.00831022895049762,-0.0263514640901207,-0.0238631429056633,-0.0305193911268402,-0.022088321402914
Jund,0.0334614594879215,0.0392047145729104,0.039816047724287,0.0397813015528626,0.0136546821786457,0.014011957023337,-0.00545848361258345,-0.00335475855611333,-0.0228245105376799,-0.0381069859957232,-0.0323830906116947,-0.0320332445188146,-0.0304660449673289,-0.0304999038179839
Ctcfl,0.021691635848854,0.0235342714393699,0.0182599074696755,0.0172007117486868,0.000287231909388942,0.00444525049853397,0.00156995999751622,0.000480156485156589,-0.00438024043869894,-0.00915115403321514,-0.0202890834863277,-0.0182501372994688,-0.0226413548604303,-0.0154244507292746
Sfpi1,-0.0203042316784367,-0.0212912189094896,-0.0169875749633679,-0.0167116615547134,-0.00920186987153586,-0.00877351089146015,-0.00786410247787612,-0.00643145867901558,0.00833344165555635,0.0146549004607898,0.0230166703220836,0.0213997292029111,0.0235648598444233,0.0211180678569119
Fos,0.0224614080502138,0.0282001410678554,0.0319796076220257,0.0329380647034066,0.00889439116111185,0.00608746025325409,-0.00744240038325316,-0.00448296611617285,-0.0221615478077206,-0.0320435376379844,-0.0195083704452148,-0.0211503611878354,-0.0173682726996637,-0.0190335450930355
Bach1,0.0218448276111239,0.0271840025423803,0.0294336619510992,0.030866606007428,0.00828085487579635,0.00565177060381903,-0.00592155748123141,-0.00395894188181532,-0.0196899553226815,-0.0314323994213569,-0.0195051573860006,-0.0194903142230426,-0.0170403229161037,-0.0188808326614671
Smarcc1,0.0188130368674938,0.024391826941961,0.0282526553261498,0.0296559610249541,0.00856281838220129,0.00547189229653245,-0.00682388758859173,-0.00446903233944187,-0.019664489971481,-0.0300151817632209,-0.0159923160559388,-0.0171303724793734,-0.0161437644444794,-0.0165629396867085
Bach2,0.018933487518317,0.0221280296028858,0.0242619275442922,0.0244048905510152,0.00731450187711752,0.00598884371387335,-0.00490475495278788,-0.00270938131866831,-0.0155747239840218,-0.0239348932662645,-0.017753114463574,-0.0177215956023758,-0.0151654278526529,-0.0150923377524157
Bcl11a,-0.017292303346834,-0.0167601068948484,-0.0125908128665118,-0.0130048059519256,-0.00497447085843672,-0.00494855992586918,-0.0037912040163814,-0.00220210866067099,0.00691595870750604,0.0074377541808108,0.0163167581541484,0.0144222463683616,0.0163293722985267,0.0159741584441888
Bcl11b,-0.017292303346834,-0.0167601068948484,-0.0125908128665118,-0.0130048059519256,-0.00497447085843672,-0.00494855992586918,-0.0037912040163814,-0.00220210866067099,0.00691595870750604,0.0074377541808108,0.0163167581541484,0.0144222463683616,0.0163293722985267,0.0159741584441888
Spic,-0.014663400760037,-0.0146855196910436,-0.0128005851946804,-0.0112112473016416,-0.00844455480319465,-0.00693884085710051,-0.00649744420670341,-0.00549453899162695,0.00611267746647626,0.0102597057267801,0.0169146992845627,0.0159385687129876,0.0179571959914813,0.0163163320247599
Fosl1,0.0223027450849845,0.0303437678961641,0.0285794255680773,0.026723110725868,0.00500753453438873,0.00303783609748099,-0.00923669628446015,-0.00742475935605157,-0.0205236328539148,-0.028719208579199,-0.0167261969521599,-0.0181668728772516,-0.0134586901858517,-0.0143149189311672
Ebf1,0.00336498243781606,0.00320092062049718,0.0118985979260199,0.0101517848883274,0.0155850086041798,0.0136016185534579,0.0114045146141174,0.0119334947632525,0.00224745391600666,-0.00551273932589044,-0.0195175109303045,-0.0190171811169056,-0.0218416710706274,-0.0173398744102405
Elk4,0.0280512578526965,0.031889045539662,0.0190225305963168,0.0180999945228829,-0.00566488554410094,-0.00136328046777584,-0.0116711705880129,-0.00943561070537395,-0.0138643558351959,-0.0122548026857125,-0.013247111005691,-0.0143066365681654,-0.0119564935936329,-0.0097847363226037
Elk3,0.0266637013380411,0.0296656851067624,0.0171573378230093,0.0170023002079238,-0.00699699377692129,-0.00181538633043875,-0.0117681919897573,-0.0102317441429402,-0.0128174879780962,-0.00992605610618167,-0.0108234059555345,-0.0124542254791484,-0.0104639392800264,-0.00846819830978166
Max,0.0270851408387045,0.0345243137670272,0.0182280466532861,0.0212610846565696,0.00792083864961171,0.00712690286335131,-0.00153654213571093,-0.00357639629563087,-0.00985573144545665,-0.0171530197121216,-0.0250394154489716,-0.0264455786856894,-0.0228873480318786,-0.0193396975756437
Etv5,0.026979259156298,0.0307053362308929,0.0175278847743203,0.0171652750201002,-0.00712063015560282,-0.00273074879400474,-0.0115562469090299,-0.0102369628993544,-0.013400952760895,-0.0105349221322651,-0.0112150875217276,-0.0127416998250108,-0.0103679494516617,-0.00814372895791192
ENSMUSG00000044690,0.026979259156298,0.0307053362308929,0.0175278847743203,0.0171652750201002,-0.00712063015560282,-0.00273074879400474,-0.0115562469090299,-0.0102369628993544,-0.013400952760895,-0.0105349221322651,-0.0112150875217276,-0.0127416998250108,-0.0103679494516617,-0.00814372895791192
Spib,-0.0154133576093159,-0.0157717979253352,-0.00999271648222643,-0.0102201690493812,-0.00315101419514081,-0.00323272599292163,-0.00207632916030348,-0.00208078208539246,0.00570482719962895,0.00839824118774719,0.0130333395424787,0.0113821163004841,0.0137381075068021,0.0125914710621849
Elk1,0.0252456793788448,0.0282505891983216,0.016222562361635,0.0164075240655231,-0.00684291926805862,-0.00213971205540896,-0.0120384396052612,-0.0100986399312455,-0.0122497360917719,-0.00948721240015866,-0.00957986555275174,-0.011682517707191,-0.00946223180074518,-0.00769917999713493
Erg,0.0232265312207933,0.0264083724945781,0.0168202402053192,0.0161859511904184,-0.00491157038892792,-0.00210512484512466,-0.0117691345034594,-0.008506902345279,-0.0115112513964485,-0.00877287833973765,-0.0103553077351179,-0.0120977882982501,-0.00904470127031247,-0.00836592434189026
Etv4,0.0264547344081933,0.0296259472791923,0.0173731037430168,0.0168910819392977,-0.00656458441438942,-0.00229276858706919,-0.0114832969176024,-0.00939022955961658,-0.0127179628920059,-0.0104554322064431,-0.0115174368465296,-0.0129343860918789,-0.010588225701247,-0.00806367474485633
Fli1,0.023109855941161,0.0264176281036022,0.0165934593283166,0.0161067577716194,-0.00499195587180422,-0.00236264565193962,-0.011833189885416,-0.0085339810405842,-0.0114921020991995,-0.00886347559643887,-0.010180955873049,-0.011865815588921,-0.00896735400054152,-0.00803730439629355
Etv1,0.0260887339549227,0.0296928653894972,0.0172720509465771,0.0168339033576159,-0.00607819968673845,-0.00215964529288847,-0.0109515301253336,-0.00931596513818453,-0.012417541217431,-0.010856856687209,-0.0116749162963034,-0.0129210544564613,-0.0110354574138338,-0.00830713349169609
Gm5454,0.0264116740203636,0.0296358500810996,0.0177483227807623,0.0172872582607141,-0.0060345924072631,-0.00216401766130798,-0.0110467593625293,-0.00939937871652615,-0.0123982037725025,-0.0106289927393801,-0.0119815695577013,-0.0131340530294295,-0.0113216774225645,-0.00860827576094846
Ets1,0.0227420335595297,0.0245300394650468,0.0168412393114689,0.0156626572849883,-0.00417008909264497,-0.00201654359509494,-0.0106688366072808,-0.00754578845564112,-0.0113566117153846,-0.00854854950845609,-0.0101665466753458,-0.0123769974505796,-0.009105853602017,-0.00816668817549291
Gabpa,0.023532932861345,0.0266478509980183,0.0156313059012856,0.0156794484325654,-0.0067055046366139,-0.00303184290625125,-0.0115963393456104,-0.00916404143760939,-0.0122905133847026,-0.00876199925886077,-0.00890295179537116,-0.0108421260600762,-0.00841365529432185,-0.00652650192595126
Gm4881,0.023532932861345,0.0266478509980183,0.0156313059012856,0.0156794484325654,-0.0067055046366139,-0.00303184290625125,-0.0115963393456104,-0.00916404143760939,-0.0122905133847026,-0.00876199925886077,-0.00890295179537116,-0.0108421260600762,-0.00841365529432185,-0.00652650192595126
Ets2,0.023532932861345,0.0266478509980183,0.0156313059012856,0.0156794484325654,-0.0067055046366139,-0.00303184290625125,-0.0115963393456104,-0.00916404143760939,-0.0122905133847026,-0.00876199925886077,-0.00890295179537116,-0.0108421260600762,-0.00841365529432185,-0.00652650192595126
Erf,0.0210627276022932,0.0226447437202247,0.0164298543141621,0.0157812549452509,-0.0033224454886739,-0.000952135519646818,-0.0108085583036826,-0.00690070662558363,-0.0110835744342681,-0.00721874354250824,-0.0101276691191568,-0.0126508033943855,-0.00863804051100361,-0.00795989614033521
Fev,0.0234478646335881,0.0258453782053173,0.0167392720848887,0.0171478196295698,-0.00595496617775469,-0.00127418139398732,-0.0117535093918586,-0.00773203843172041,-0.0125666462189571,-0.00749454222681239,-0.0109174773359836,-0.0124379516011202,-0.00936963923149576,-0.00765366437058042
Etv3,0.0233351736125462,0.0264628841581791,0.0152264969984321,0.0141199528754527,-0.00667914322987342,-0.00380484631406371,-0.0120412442575004,-0.00960072395122769,-0.0121169673183877,-0.00664153276840169,-0.00820894724004644,-0.0102109478454167,-0.0077338446463929,-0.00598193618767672
Mbtps2,0.018320115138024,0.0212301335354929,0.0136890915226793,0.0119082726079199,-0.00420243667493127,-0.000955500987890125,-0.00905162317871287,-0.00972148783750383,-0.00837011125285623,-0.00553762619036365,-0.00746802656220219,-0.00835936634034698,-0.00823519071346585,-0.00616294130268152
Zfp42,0.018320115138024,0.0212301335354929,0.0136890915226793,0.0119082726079199,-0.00420243667493127,-0.000955500987890125,-0.00905162317871287,-0.00972148783750383,-0.00837011125285623,-0.00553762619036365,-0.00746802656220219,-0.00835936634034698,-0.00823519071346585,-0.00616294130268152
Fosb,0.011972679203643,0.0155298260423697,0.0204477715387128,0.0212562678055528,0.00343474724066788,0.00194048380579968,-0.00574406790423324,-0.00463933813249087,-0.0149042282100829,-0.0224552452184645,-0.00761328313063812,-0.00873519252852087,-0.00880754820030516,-0.00976909265356457
Yy1,0.0176806492880742,0.0218164855583021,0.0134801605988125,0.0112437672369653,-0.00362338702760414,-0.000884067851802972,-0.00853328232403623,-0.00994597756764633,-0.00804662367939673,-0.00626185236743648,-0.00774402941607892,-0.00832563873691856,-0.00801428099357472,-0.00633245227833371
Atf5,0.0105326697610431,0.0185349071807339,0.0063212852142498,0.00318715026743329,-0.00589231411743489,-0.00581161991571324,-0.0172660468147339,-0.0161949857493659,-0.0219014424211539,-0.0324551471679004,0.0110884901387511,0.00453656301039717,0.0155347202400473,0.0112527146986681
Clock,0.0242113726935354,0.031992613188606,0.01814724200818,0.0225288255228622,0.0114611790501612,0.0099633752746282,0.00127191733570894,-0.00111964631245462,-0.00959208787371663,-0.018907792851823,-0.025845329498501,-0.0289667529088991,-0.0250082601932539,-0.0201456624478902
Elf4,0.0193989100051707,0.0223713428367654,0.0124406555251949,0.0119268380871215,-0.00805649828302828,-0.00462504237802998,-0.0131707148501226,-0.010566912386168,-0.0107391262818774,-0.00694695096914911,-0.00427477010399618,-0.00522048174468084,-0.00391645306776029,-0.00283917758050802
Nfe2l2,-0.00880437524926399,-0.00657180284981258,-0.00592680163698082,-0.00579848410044992,-0.0092451009940328,-0.00943517126903168,-0.0102068193505911,-0.00856106672812363,-0.00697701784842459,-0.00730970234841472,0.0226384614372045,0.0171967165518582,0.0199394712242168,0.0153867662742593
Elf2,0.0186012520838807,0.0218887488583037,0.0117543298936753,0.0115562520661502,-0.00808403677023242,-0.00478098900227601,-0.0135930408227303,-0.0104405795698273,-0.0102555247066276,-0.00621142485830777,-0.00402102915627561,-0.00477045793454815,-0.00338338633662127,-0.00236350956847805
Etv2,0.0187399895135107,0.0199095522968365,0.0151443723664742,0.014210949159347,-0.00208601810075556,0.0008538574914531,-0.00850519479411146,-0.00638885993631491,-0.00967982541613177,-0.00415631097266191,-0.00942761542758512,-0.0119470931238628,-0.00930905974690819,-0.00903024186581681
Foxl1,0.00885563472064218,0.0136155821080906,0.00810713956913209,0.0081674553801844,0.00216679080816279,0.0033904635813756,-0.000644275911134286,7.38045893141359e-05,-0.00231634706978236,-0.00519767009029794,-0.011707664931115,-0.00990954235883641,-0.0107734975251894,-0.00683713077321389
Cebpd,-0.0111038711649404,0.00327522741201092,-0.00808334561609969,-0.0118379166423611,-0.000225311298288439,-0.0079143328561503,-0.0152515118026575,-0.01757362022706,-0.0222327373640134,-0.0364343474735156,0.0262538039722368,0.0199363803437295,0.0339676566115986,0.0247316829759389
Cebpb,-0.0111038711649404,0.00327522741201092,-0.00808334561609969,-0.0118379166423611,-0.000225311298288439,-0.0079143328561503,-0.0152515118026575,-0.01757362022706,-0.0222327373640134,-0.0364343474735156,0.0262538039722368,0.0199363803437295,0.0339676566115986,0.0247316829759389
Ahctf1,0.0099645422528002,0.014873699517089,0.00808590585109516,0.00806180323560959,0.00426576480511614,0.00454233970653685,0.00216275730450216,0.00195747459931452,-0.000880671459702508,-0.00538151167262717,-0.015576399660051,-0.0123922439991358,-0.013404678003407,-0.00958322470535492
Atoh8,0.0107726084063173,0.00901001280135189,0.0116231591547629,0.0107368050914117,0.00938683149401621,0.0123278589007058,0.00124039423620917,0.00100455406772525,-0.00527820295820945,-0.00706657658882704,-0.0138482731271716,-0.0129866699627402,-0.0169369676330739,-0.011792744654829
Cebpg,-0.00928674973815783,0.00293739700863637,-0.00592553192787103,-0.0087234591321415,-0.00212448579955576,-0.00909729288211504,-0.013622195445393,-0.0146647396477855,-0.0178356141319374,-0.0341900701342523,0.0207586496618822,0.0145701324108186,0.0300453861577658,0.0254611186203893
Snai2,0.00789030804545358,0.0055795777001315,0.00862040607937267,0.00825074188333444,0.0088821947969799,0.0114375554003223,0.00034523197734624,0.00140224125678505,-0.00582375949161293,-0.00812478709340152,-0.0090352266434106,-0.0116112261447871,-0.0113619045886637,-0.00911927704373161
Junb,0.0134317610525,0.0145178161910047,0.0189115459121686,0.0178192643465926,0.00432676648664661,0.00528873669288801,-0.0061824741984261,-0.00120353418045557,-0.0118965598912376,-0.0187336123507958,-0.0105944110123926,-0.0113725338809105,-0.0110604740589442,-0.0103158143909911
Irf2,-0.0193056275806803,-0.0155259468673487,-0.0111557879728328,-0.0139123261829376,-0.00322459081467606,-0.00173275392697596,0.000886802030922599,0.00309589292254052,0.00877151167909083,0.0106686675361383,0.011344171295534,0.0094767005134524,0.0107760103968826,0.013834325382776
Etv6,0.0128436520024022,0.0144303831609209,0.00707302048780007,0.00701135281992494,-0.00697753078139465,-0.00331328308855841,-0.0112463195510719,-0.00851242678982317,-0.00717937435422217,-0.000231085656763583,-0.00175029250367804,-0.00210766160761189,-0.000793248863553055,-0.00046901068851422
Klf12,0.00568273958421896,0.0108844002834552,0.00679750458933727,0.00627192078847558,0.00537109725890128,0.00357683385148697,0.00149894299178885,0.000452991407028817,-0.00311831818377938,-0.00841105684151749,-0.00909813187180072,-0.00842822043616742,-0.00846793017687261,-0.00719873196618744
Klf14,0.00541831512415977,0.0118155348071605,0.00704357174357879,0.006509046403281,0.00461917287546294,0.00391435361722978,0.00127624205861598,-2.43324668516218e-05,-0.00312757461657127,-0.00869402259935202,-0.0089979162069931,-0.00872078034560457,-0.00828264322664775,-0.00713609772640351
Klf11,0.00541831512415977,0.0118155348071605,0.00704357174357879,0.006509046403281,0.00461917287546294,0.00391435361722978,0.00127624205861598,-2.43324668516218e-05,-0.00312757461657127,-0.00869402259935202,-0.0089979162069931,-0.00872078034560457,-0.00828264322664775,-0.00713609772640351
Klf13,0.00541831512415977,0.0118155348071605,0.00704357174357879,0.006509046403281,0.00461917287546294,0.00391435361722978,0.00127624205861598,-2.43324668516218e-05,-0.00312757461657127,-0.00869402259935202,-0.0089979162069931,-0.00872078034560457,-0.00828264322664775,-0.00713609772640351
Klf16,0.00541831512415977,0.0118155348071605,0.00704357174357879,0.006509046403281,0.00461917287546294,0.00391435361722978,0.00127624205861598,-2.43324668516218e-05,-0.00312757461657127,-0.00869402259935202,-0.0089979162069931,-0.00872078034560457,-0.00828264322664775,-0.00713609772640351
Npas2,0.0170574362488206,0.021016321637022,0.0103637634903409,0.0163776699494819,0.00285481576370514,0.00332621104312442,-0.0028588148590674,-0.00260267871466593,-0.00745810677916798,-0.0140551774345826,-0.0143526500458829,-0.016395631566709,-0.0124752867772482,-0.00893695124261491
Mycl1,0.0194387944039636,0.0274227613954274,0.011977109359898,0.0142012212000566,0.00344246420849068,0.00378353529818974,-0.00368493308928871,-0.00484460038709993,-0.00834281175410109,-0.0129634702556159,-0.0150641643400428,-0.0174774199677546,-0.0149786076388543,-0.0107770923357341
Mycn,0.0194387944039636,0.0274227613954274,0.011977109359898,0.0142012212000566,0.00344246420849068,0.00378353529818974,-0.00368493308928871,-0.00484460038709993,-0.00834281175410109,-0.0129634702556159,-0.0150641643400428,-0.0174774199677546,-0.0149786076388543,-0.0107770923357341
Mycs,0.0194387944039636,0.0274227613954274,0.011977109359898,0.0142012212000566,0.00344246420849068,0.00378353529818974,-0.00368493308928871,-0.00484460038709993,-0.00834281175410109,-0.0129634702556159,-0.0150641643400428,-0.0174774199677546,-0.0149786076388543,-0.0107770923357341
Jun,0.0197648003343678,0.0286913988238437,0.0250177964544174,0.0193263518740942,0.00150982230898227,0.000647608673567897,-0.014098846139199,-0.0111234018571388,-0.0222853102061617,-0.0275216303370941,-0.0079546424937195,-0.00790209218959281,-0.00649600220521029,-0.00972770437428022
