,Symbol,canonicalName,DEGREE,Gene,id,MCODE_CLUSTER_ID,MCODE_SCORE,MCODE_TYPE,name,selected,cd11b
1,AATF,AATF,5,26574,26574,4,3.285714286,Clustered,26574,FALSE,0.631434323
2,ANAPC1,ANAPC1,8,64682,64682,1,4.617647059,Clustered,64682,FALSE,0.541504509
3,ANAPC5,ANAPC5,7,51433,51433,1,4.617647059,Clustered,51433,FALSE,1.375380766
4,ARID1A,ARID1A,3,8289,8289,10,1.6,Clustered,8289,FALSE,1.052189297
5,ATIC,ATIC,3,471,471,4,3.285714286,Clustered,471,FALSE,1.232103799
6,BCL7B,BCL7B,3,9275,9275,6,2.047619048,Clustered,9275,FALSE,1.299337106
7,BMS1,BMS1,46,9790,9790,3,19.5106383,Clustered,9790,FALSE,0.792347654
8,BYSL,BYSL,37,705,705,3,19.5106383,Clustered,705,FALSE,0.905286482
9,CASC3,CASC3,3,22794,22794,8,1.777777778,Seed,22794,FALSE,0.620083252
10,CBFB,CBFB,4,865,865,10,1.6,Seed,865,FALSE,1.224079826
11,CCNC,CCNC,19,892,892,1,4.617647059,Clustered,892,FALSE,1.078348502
12,CCNH,CCNH,7,902,902,1,4.617647059,Clustered,902,FALSE,1.165442207
13,CDC7,CDC7,6,8317,8317,1,4.617647059,Clustered,8317,FALSE,0.661251801
14,CDK7,CDK7,8,1022,1022,1,4.617647059,Clustered,1022,FALSE,1.9672574
15,CEBPZ,CEBPZ,5,10153,10153,4,3.285714286,Clustered,10153,FALSE,0.542554192
16,CENPE,CENPE,4,1062,1062,5,2.264705882,Clustered,1062,FALSE,0.863970879
17,CENPT,CENPT,4,80152,80152,5,2.264705882,Clustered,80152,FALSE,0.79473441
18,CHEK2,CHEK2,11,11200,11200,4,3.285714286,Clustered,11200,FALSE,0.836182642
19,CLNS1A,CLNS1A,2,1207,1207,12,1,Clustered,1207,FALSE,1.060993305
20,CLSPN,CLSPN,4,63967,63967,5,2.264705882,Clustered,63967,FALSE,0.750721988
21,CNOT1,CNOT1,2,23019,23019,7,1.1,Seed,23019,FALSE,0.995645545
22,CNOT3,CNOT3,4,4849,4849,7,1.1,Clustered,4849,FALSE,2.087944259
23,COG3,COG3,10,83548,83548,1,4.617647059,Clustered,83548,FALSE,0.818244678
24,COG6,COG6,11,57511,57511,1,4.617647059,Clustered,57511,FALSE,0.526085996
25,COG7,COG7,10,91949,91949,1,4.617647059,Clustered,91949,FALSE,0.604745389
26,COG8,COG8,10,84342,84342,1,4.617647059,Clustered,84342,FALSE,1.032547651
27,CTPS1,CTPS1,3,1503,1503,6,2.047619048,Clustered,1503,FALSE,1.37229928
28,CYB5B,CYB5B,2,80777,80777,7,1.1,Clustered,80777,FALSE,0.591425987
29,DCTN1,DCTN1,11,1639,1639,1,4.617647059,Clustered,1639,FALSE,0.7279763
30,DCTN3,DCTN3,11,11258,11258,1,4.617647059,Clustered,11258,FALSE,0.986632644
31,DCTN6,DCTN6,10,10671,10671,1,4.617647059,Clustered,10671,FALSE,0.786542394
32,DDX10,DDX10,5,1662,1662,8,1.777777778,Clustered,1662,FALSE,0.523231758
33,DDX11,DDX11,3,1663,1663,5,2.264705882,Clustered,1663,FALSE,0.582195411
34,DDX21,DDX21,8,9188,9188,5,2.264705882,Clustered,9188,FALSE,0.771627305
