"#COUNT_001","#GeneInGO","#GeneInGOAndHitList","#GeneInHitList","#TotalGeneInLibrary","%InGO","_InGO","_LogP_MyList","_MEMBER_MyList","_PATTERN_","_RANK_","BestEnrichmentInGroup","BestLogPInGroup","canonicalName","Category","CategoryID","CLUSTER_LABEL","Description","Enrichment","EvidenceCutoff","FirstInGroupByEnrichment","FirstInGroupByLogP","Gene","GeneID","GiniIndex","GROUP_ID","Hits","id","Log(q-value)","Log_q_value_","LogP","name","PARENT_GO","selected","shared name","STDV %InGO","STDV_InGO","Symbol","Z-score","Z_score"
"22.0","180.0","22.0","500.0","30242.0","4.4",,"-12.458238892953966","1.0","M1","1.0","7.39248888888889","-12.458238892953966","hsa03013","KEGG Pathway","24.0","RNA transport","RNA transport","7.39248888888889","0.0","1.0","1.0","hsa03013","1207|1981|1982|3692|3837|4928|7514|7919|8480|8667|10073|10250|10556|10799|22794|23636|51068|51367|57187|57510|138716|153443","0.0","20.0","CLNS1A|EIF4G1|EIF4G2|EIF6|KPNB1|NUP98|XPO1|DDX39B|RAE1|EIF3H|SNUPN|SRRM1|RPP30|RPP40|CASC3|NUP62|NMD3|POP5|THOC2|XPO5|RPP25L|SRFBP1","167","-10.075066282167894",,"-12.458238892953966","167","","false","167","0.9172131704244113",,"","11.153092157301671",
"24.0","198.0","24.0","500.0","30242.0","4.8",,"-13.454591305763866","1.0","M1","1.0","34.562285714285714","-13.454591305763866","R-HSA-453274","Reactome Gene Sets","6.0","Mitotic G2-G2/M phases","Mitotic G2-G2/M phases","7.331393939393939","0.0","1.0","1.0","R-HSA-453274","902|1017|1022|1639|1778|1781|1869|2033|5682|5685|5688|5693|5695|5709|5710|7283|7514|11258|23354|27229|55142|79441|114791|115106","0.0","16.0","CCNH|CDK2|CDK7|DCTN1|DYNC1H1|DYNC1I2|E2F1|EP300|PSMA1|PSMA4|PSMA7|PSMB5|PSMB7|PSMD3|PSMD4|TUBG1|XPO1|DCTN3|HAUS5|TUBGCP4|HAUS2|HAUS3|TUBGCP5|HAUS1","166","-10.991322180979386",,"-13.454591305763866","166","","false","166","0.9559916317625379",,"","11.58913564947592",
"26.0","87.0","26.0","500.0","30242.0","5.2",,"-24.995872915629942","1.0","M1","1.0","25.02786206896552","-24.995872915629942","R-HSA-5368286","Reactome Gene Sets","6.0","Mitochondrial translation initiation","Mitochondrial translation initiation","18.07567816091954","0.0","1.0","1.0","R-HSA-5368286","3396|9553|10240|11222|26284|26589|28973|29074|29093|51021|51253|51373|51649|51650|54460|55168|56945|60488|63875|64960|64963|64965|64981|65003|84545|124995","0.0","5.0","MRPL58|MRPL33|MRPS31|MRPL3|ERAL1|MRPL46|MRPS18B|MRPL18|MRPL22|MRPS16|MRPL37|MRPS17|MRPS23|MRPS33|MRPS21|MRPS18A|MRPS22|MRPS35|MRPL17|MRPS15|MRPS11|MRPS9|MRPL34|MRPL11|MRPL43|MRPL10","165","-22.01518794126663",,"-24.995872915629942","165","","false","165","0.9929350431926551",,"","20.68025607918964",
"12.0","32.0","12.0","500.0","30242.0","2.4",,"-13.213127700305284","1.0","M1","1.0","36.2904","-13.213127700305284","CORUM:230","CORUM","33.0","Mediator complex","Mediator complex","22.6815","0.0","1.0","1.0","CORUM:230","892|9282|9439|9862|9968|10025|29079|54797|81857|112950|219541|400569","0.0","17.0","CCNC|MED14|MED23|MED24|MED12|MED16|MED4|MED18|MED25|MED8|MED19|MED11","164","-10.76604533661408",,"-13.213127700305284","164","","false","164","0.6844559883586381",,"","15.910614123237519",
"31.0","152.0","31.0","500.0","30242.0","6.2",,"-24.139125360458234","1.0","M1","1.0","24.1936","-24.139125360458234","GO:0006261","GO Biological Processes","19.0","DNA-dependent DNA replication","DNA-dependent DNA replication","12.335552631578947","0.0","1.0","1.0","GO:0006261","1663|3159|4171|4172|4173|4174|4999|5001|5424|5425|5557|5558|5888|5983|5984|5985|6117|8317|8914|9188|9837|10714|11143|23649|25939|56652|64318|64785|84296|90381|353497","0.0","6.0","DDX11|HMGA1|MCM2|MCM3|MCM4|MCM5|ORC2|ORC5|POLD1|POLD2|PRIM1|PRIM2|RAD51|RFC3|RFC4|RFC5|RPA1|CDC7|TIMELESS|DDX21|GINS1|POLD3|KAT7|POLA2|SAMHD1|TWNK|NOC3L|GINS3|GINS4|TICRR|POLN","163","-21.193202492354132",,"-24.139125360458234","163","19_GO:0008152 metabolic process","false","163","1.0784804124322331",,"","18.165668702302003",
"17.0","31.0","17.0","500.0","30242.0","3.4",,"-22.074292619445476","1.0","M1","1.0","38.88257142857144","-22.074292619445476","R-HSA-69190","Reactome Gene Sets","6.0","DNA strand elongation","DNA strand elongation","33.16864516129032","0.0","1.0","1.0","R-HSA-69190","4171|4172|4173|4174|5424|5425|5557|5558|5983|5984|5985|6117|9837|10714|23649|64785|84296","0.0","7.0","MCM2|MCM3|MCM4|MCM5|POLD1|POLD2|PRIM1|PRIM2|RFC3|RFC4|RFC5|RPA1|GINS1|POLD3|POLA2|GINS3|GINS4","162","-19.204758097204827",,"-22.074292619445476","162","","false","162","0.8104813384649889",,"","23.234271413406873",
"28.0","274.0","28.0","500.0","30242.0","5.6",,"-13.6885275122042","1.0","M1","1.0","35.282333333333334","-13.6885275122042","R-HSA-3247509","Reactome Gene Sets","6.0","Chromatin modifying enzymes","Chromatin modifying enzymes","6.1808467153284665","0.0","1.0","1.0","R-HSA-3247509","2033|2146|2648|4297|6599|6601|6605|7862|8289|9682|9739|9913|10474|10498|10629|11143|23028|23186|23512|27097|55193|55578|64769|79084|79813|93624|112869|117143","0.0","14.0","EP300|EZH2|KAT2A|KMT2A|SMARCC1|SMARCC2|SMARCE1|BRPF1|ARID1A|KDM4A|SETD1A|SUPT7L|TADA3|CARM1|TAF6L|KAT7|KDM1A|RCOR1|SUZ12|TAF5L|PBRM1|SUPT20H|MEAF6|WDR77|EHMT1|TADA2B|SGF29|TADA1","161","-11.208444888410071",,"-13.6885275122042","161","","false","161","1.0282412168358162",,"","11.169793290940172",
"55.0","757.0","55.0","500.0","30242.0","11.0",,"-19.42434510503346","1.0","M1","1.0","4.39447820343461","-19.42434510503346","R-HSA-2262752","Reactome Gene Sets","6.0","Cellular responses to stress","Cellular responses to stress","4.39447820343461","0.0","1.0","1.0","R-HSA-2262752","405|1017|1054|1432|1639|1663|1778|1781|1869|2033|2146|3009|3159|4193|4194|4208|4209|4928|5682|5685|5688|5693|5695|5709|5710|6117|6135|6158|6173|6202|6218|6232|6234|7027|7324|7514|8480|9817|10498|10671|11258|23404|23512|23636|27000|51010|51143|51433|54512|56915|64682|65057|79813|91582|118460","0.0","8.0","ARNT|CDK2|CEBPG|MAPK14|DCTN1|DDX11|DYNC1H1|DYNC1I2|E2F1|EP300|EZH2|H1-5|HMGA1|MDM2|MDM4|MEF2C|MEF2D|NUP98|PSMA1|PSMA4|PSMA7|PSMB5|PSMB7|PSMD3|PSMD4|RPA1|RPL11|RPL28|RPL36A|RPS8|RPS17|RPS27|RPS28|TFDP1|UBE2E1|XPO1|RAE1|KEAP1|CARM1|DCTN6|DCTN3|EXOSC2|SUZ12|NUP62|DNAJC2|EXOSC3|DYNC1LI1|ANAPC5|EXOSC4|EXOSC5|ANAPC1|ACD|EHMT1|RPS19BP1|EXOSC6","160","-16.631650613025535",,"-19.42434510503346","160","","false","160","1.3992855319769442",,"","12.263611658995446",
"41.0","293.0","41.0","500.0","30242.0","8.2",,"-25.066990220248382","1.0","M1","1.0","8.463631399317405","-25.066990220248382","R-HSA-69620","Reactome Gene Sets","6.0","Cell Cycle Checkpoints","Cell Cycle Checkpoints","8.463631399317405","0.0","1.0","1.0","R-HSA-69620","1017|1062|1778|1781|4171|4172|4173|4174|4193|4194|4928|4999|5001|5682|5685|5688|5693|5695|5709|5710|5883|5932|5983|5984|5985|6117|6232|7324|7514|8317|11200|11243|51143|51433|63967|64682|79003|80152|144715|220134|100527963","0.0","4.0","CDK2|CENPE|DYNC1H1|DYNC1I2|MCM2|MCM3|MCM4|MCM5|MDM2|MDM4|NUP98|ORC2|ORC5|PSMA1|PSMA4|PSMA7|PSMB5|PSMB7|PSMD3|PSMD4|RAD9A|RBBP8|RFC3|RFC4|RFC5|RPA1|RPS27|UBE2E1|XPO1|CDC7|CHEK2|PMF1|DYNC1LI1|ANAPC5|CLSPN|ANAPC1|MIS12|CENPT|RAD9B|SKA1|PMF1-BGLAP","159","-22.02831329890738",,"-25.066990220248382","159","","false","159","1.2269963325128566",,"","16.645269149440026",
"81.0","691.0","81.0","500.0","30242.0","16.2",,"-43.82616088267223","1.0","M1","1.0","25.201666666666668","-43.82616088267223","R-HSA-1640170","Reactome Gene Sets","6.0","Cell Cycle","Cell Cycle","7.09002026049204","0.0","1.0","1.0","R-HSA-1640170","896|902|1017|1022|1062|1639|1736|1778|1781|1869|2033|3837|4171|4172|4173|4174|4193|4194|4609|4869|4928|4999|5001|5424|5425|5557|5558|5682|5685|5688|5693|5695|5709|5710|5883|5888|5889|5932|5983|5984|5985|6117|6232|6241|7027|7283|7324|7514|8243|8317|8480|9837|10714|11200|11243|11258|23354|23636|23649|27229|51143|51433|54433|55142|55505|55651|63967|64682|64785|65057|79003|79441|79648|80152|84296|114791|115106|144715|220134|644186|100527963","0.0","2.0","CCND3|CCNH|CDK2|CDK7|CENPE|DCTN1|DKC1|DYNC1H1|DYNC1I2|E2F1|EP300|KPNB1|MCM2|MCM3|MCM4|MCM5|MDM2|MDM4|MYC|NPM1|NUP98|ORC2|ORC5|POLD1|POLD2|PRIM1|PRIM2|PSMA1|PSMA4|PSMA7|PSMB5|PSMB7|PSMD3|PSMD4|RAD9A|RAD51|RAD51C|RBBP8|RFC3|RFC4|RFC5|RPA1|RPS27|RRM2|TFDP1|TUBG1|UBE2E1|XPO1|SMC1A|CDC7|RAE1|GINS1|POLD3|CHEK2|PMF1|DCTN3|HAUS5|NUP62|POLA2|TUBGCP4|DYNC1LI1|ANAPC5|GAR1|HAUS2|NOP10|NHP2|CLSPN|ANAPC1|GINS3|ACD|MIS12|HAUS3|MCPH1|CENPT|GINS4|TUBGCP5|HAUS1|RAD9B|SKA1|SYCE3|PMF1-BGLAP","158","-40.50665735175553",,"-43.82616088267223","158","","false","158","1.6477621187537963",,"","20.997600172498093",
