Cluster,Score,Type,Gene,Symbol,Network
3,2.6500000000000004,Clustered,51343,FZR1,MyList_SUB1
3,2.6500000000000004,Clustered,57459,GATAD2B,MyList_SUB1
3,2.6500000000000004,Clustered,5905,RANGAP1,MyList_SUB1
3,2.6500000000000004,Clustered,528,ATP6V1C1,MyList_SUB1
3,2.6500000000000004,Clustered,6647,SOD1,MyList_SUB1
3,2.6500000000000004,Clustered,3065,HDAC1,MyList_SUB1
3,2.6500000000000004,Clustered,25942,SIN3A,MyList_SUB1
5,2.1052631578947367,Clustered,10726,NUDC,MyList_SUB1
5,2.1052631578947367,Seed,1603,DAD1,MyList_SUB1
5,2.1052631578947367,Clustered,3476,IGBP1,MyList_SUB1
5,2.1052631578947367,Clustered,7184,HSP90B1,MyList_SUB1
5,2.1052631578947367,Clustered,6396,SEC13,MyList_SUB1
5,2.1052631578947367,Clustered,1656,DDX6,MyList_SUB1
5,2.1052631578947367,Clustered,5082,PDCL,MyList_SUB1
5,2.1052631578947367,Clustered,9967,THRAP3,MyList_SUB1
5,2.1052631578947367,Clustered,23383,MAU2,MyList_SUB1
5,2.1052631578947367,Clustered,1650,DDOST,MyList_SUB1
5,2.1052631578947367,Clustered,6421,SFPQ,MyList_SUB1
5,2.1052631578947367,Clustered,57171,DOLPP1,MyList_SUB1
5,2.1052631578947367,Clustered,5591,PRKDC,MyList_SUB1
5,2.1052631578947367,Clustered,55128,TRIM68,MyList_SUB1
5,2.1052631578947367,Clustered,6728,SRP19,MyList_SUB1
5,2.1052631578947367,Clustered,3336,HSPE1,MyList_SUB1
5,2.1052631578947367,Clustered,6950,TCP1,MyList_SUB1
5,2.1052631578947367,Clustered,10576,CCT2,MyList_SUB1
5,2.1052631578947367,Clustered,6184,RPN1,MyList_SUB1
7,2.0,Clustered,3689,ITGB2,MyList_SUB1
7,2.0,Clustered,8773,SNAP23,MyList_SUB1
7,2.0,Seed,121260,SLC15A4,MyList_SUB1
