_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-19,COVID236,M1,1,0,COVID,200,Proteome_Klann_Caco-2_24h_Down,,-19,7.1,14,30242,300,500,35,7,1.1,1054|2926|4076|4171|4172|4173|4174|4700|4716|5424|5425|6599|7023|7037|7283|8602|8805|8914|10629|10714|11243|23512|26284|27229|29128|51077|51433|54552|54606|55756|57647|64682|84296|114049|401466,CEBPG|GRSF1|CAPRIN1|MCM2|MCM3|MCM4|MCM5|NDUFA6|NDUFB10|POLD1|POLD2|SMARCC1|TFAP4|TFRC|TUBG1|NOP14|TRIM24|TIMELESS|TAF6L|POLD3|PMF1|SUZ12|ERAL1|TUBGCP4|UHRF1|FCF1|ANAPC5|GNL3L|DDX56|INTS9|DHX37|ANAPC1|GINS4|BUD23|RBIS,-14,0
1,-16,COVID062,M1,1,0,COVID,200,Phosphoproteome_Bouhaddou_Vero_E6_2h_Up,,-16,6.5,12,30242,300,500,32,6.4,1.1,405|705|902|1503|1736|1981|2146|3159|4173|4869|5977|6574|8899|8914|9136|9497|9774|10153|10199|10250|10772|10992|23512|23613|24148|25962|27340|51068|51366|54853|55193|221937,ARNT|BYSL|CCNH|CTPS1|DKC1|EIF4G1|EZH2|HMGA1|MCM4|NPM1|DPF2|SLC20A1|PRPF4B|TIMELESS|RRP9|SLC4A7|BCLAF1|CEBPZ|MPHOSPH10|SRRM1|SRSF10|SF3B2|SUZ12|ZMYND8|PRPF6|VIRMA|UTP20|NMD3|UBR5|WDR55|PBRM1|FOXK1,-12,0
1,-14,COVID058,M1,1,0,COVID,200,Phosphoproteome_Bouhaddou_Vero_E6_12h_Up,,-14,6,11,30242,300,500,30,6,1.1,705|902|1736|1981|2146|3159|4172|4173|4869|5977|6234|8899|8914|9136|9774|10153|10199|10250|10992|23512|23613|24148|25962|27340|51068|51755|54853|55035|56252|221937,BYSL|CCNH|DKC1|EIF4G1|EZH2|HMGA1|MCM3|MCM4|NPM1|DPF2|RPS28|PRPF4B|TIMELESS|RRP9|BCLAF1|CEBPZ|MPHOSPH10|SRRM1|SF3B2|SUZ12|ZMYND8|PRPF6|VIRMA|UTP20|NMD3|CDK12|WDR55|NOL8|YLPM1|FOXK1,-11,0
1,-14,COVID066,M1,1,0,COVID,200,Phosphoproteome_Bouhaddou_Vero_E6_8h_Up,,-14,5.8,11,30242,300,500,29,5.8,1,705|902|1736|1981|2146|3159|4173|4298|4869|4928|5977|6234|8899|8914|9774|10153|10199|10250|10514|10992|23512|23613|24148|25962|27340|51068|51755|54853|56252,BYSL|CCNH|DKC1|EIF4G1|EZH2|HMGA1|MCM4|MLLT1|NPM1|NUP98|DPF2|RPS28|PRPF4B|TIMELESS|BCLAF1|CEBPZ|MPHOSPH10|SRRM1|MYBBP1A|SF3B2|SUZ12|ZMYND8|PRPF6|VIRMA|UTP20|NMD3|CDK12|WDR55|YLPM1,-10,0
1,-13,COVID064,M1,1,0,COVID,200,Phosphoproteome_Bouhaddou_Vero_E6_4h_Up,,-13,6.2,11,30242,262,500,27,5.4,1,705|902|1503|1736|1981|2146|3009|3159|4173|4869|5977|6234|8899|8914|9774|10153|10250|10514|10992|23512|23613|24148|25962|27340|51366|51755|54853,BYSL|CCNH|CTPS1|DKC1|EIF4G1|EZH2|H1-5|HMGA1|MCM4|NPM1|DPF2|RPS28|PRPF4B|TIMELESS|BCLAF1|CEBPZ|SRRM1|MYBBP1A|SF3B2|SUZ12|ZMYND8|PRPF6|VIRMA|UTP20|UBR5|CDK12|WDR55,-9.9,0
1,-12,COVID007,M1,1,0,COVID,200,RNA_Blanco-Melo_A549_Down,,-12,5.4,10,30242,300,500,27,5.4,1,896|1175|1869|2146|2224|3838|4171|4172|4173|4174|5424|5709|5985|6241|7283|8208|8914|9837|23649|29128|54512|55272|79171|80777|84296|90381|146909,CCND3|AP2S1|E2F1|EZH2|FDPS|KPNA2|MCM2|MCM3|MCM4|MCM5|POLD1|PSMD3|RFC5|RRM2|TUBG1|CHAF1B|TIMELESS|GINS1|POLA2|UHRF1|EXOSC4|IMP3|RBM42|CYB5B|GINS4|TICRR|KIF18B,-8.7,0
1,-12,COVID060,M1,1,0,COVID,200,Phosphoproteome_Bouhaddou_Vero_E6_24h_Up,,-12,5.4,10,30242,300,500,27,5.4,1,705|902|1432|1736|2146|3159|4194|4869|5514|5977|8899|8914|9774|10153|10250|10992|23512|23613|24148|27340|51021|54552|54853|55193|79084|114791|221937,BYSL|CCNH|MAPK14|DKC1|EZH2|HMGA1|MDM4|NPM1|PPP1R10|DPF2|PRPF4B|TIMELESS|BCLAF1|CEBPZ|SRRM1|SF3B2|SUZ12|ZMYND8|PRPF6|UTP20|MRPS16|GNL3L|WDR55|PBRM1|WDR77|TUBGCP5|FOXK1,-8.7,0
1,-11,COVID130,M1,1,0,COVID,200,Phosphoproteome_Stukalov_A549-ACE2_24h_Down,,-11,5.2,9.6,30242,300,500,26,5.2,0.99,2033|2146|4173|4609|5883|6218|6599|7916|8899|9275|10250|10629|11103|22893|23028|23091|23613|23649|26574|27000|51143|55781|90381|196441|221150|494115,EP300|EZH2|MCM4|MYC|RAD9A|RPS17|SMARCC1|PRRC2A|PRPF4B|BCL7B|SRRM1|TAF6L|KRR1|BAHD1|KDM1A|ZC3H13|ZMYND8|POLA2|AATF|DNAJC2|DYNC1LI1|RIOK2|TICRR|ZFC3H1|SKA3|RBMXL1,-8,0
1,-11,COVID234,M1,1,0,COVID,200,Phosphoproteome_Klann_Caco-2_24h_Down,,-11,5.2,9.6,30242,300,500,26,5.2,0.99,1981|2146|4171|4172|4297|4298|4849|6574|6599|7916|8208|8289|8805|8914|9774|9994|10250|11143|22794|23091|55119|79080|84524|121053|170463|221937,EIF4G1|EZH2|MCM2|MCM3|KMT2A|MLLT1|CNOT3|SLC20A1|SMARCC1|PRRC2A|CHAF1B|ARID1A|TRIM24|TIMELESS|BCLAF1|CASP8AP2|SRRM1|KAT7|CASC3|ZC3H13|PRPF38B|CCDC86|ZC3H8|NOPCHAP1|SSBP4|FOXK1,-8,0
1,-10,COVID059,M1,1,0,COVID,200,Phosphoproteome_Bouhaddou_Vero_E6_24h_Down,,-10,5,9.1,30242,300,500,25,5,0.97,1017|1736|4173|4848|4869|4928|6117|6574|6838|7023|8208|9497|10250|10849|23091|23649|29128|51143|55193|57187|64682|79080|79649|196441|221937,CDK2|DKC1|MCM4|CNOT2|NPM1|NUP98|RPA1|SLC20A1|SURF6|TFAP4|CHAF1B|SLC4A7|SRRM1|POLR1G|ZC3H13|POLA2|UHRF1|DYNC1LI1|PBRM1|THOC2|ANAPC1|CCDC86|MAP7D3|ZFC3H1|FOXK1,-7.3,0
1,-10,COVID172,M1,1,0,COVID,200,Proteome_Stukalov_A549_72h_ORF3_Down,,-10,5,9.1,30242,300,500,25,5,0.97,2960|2961|4171|4172|4173|4209|5424|5425|5557|5558|5725|6117|9275|9343|10498|10714|10849|25939|54475|54853|55015|55671|55759|83855|221937,GTF2E1|GTF2E2|MCM2|MCM3|MCM4|MEF2D|POLD1|POLD2|PRIM1|PRIM2|PTBP1|RPA1|BCL7B|EFTUD2|CARM1|POLD3|POLR1G|SAMHD1|NLE1|WDR55|PRPF39|PPP4R3A|WDR12|KLF16|FOXK1,-7.3,0
1,-9.6,COVID389,M1,1,0,COVID,200,Interactome_Laurent_HEK293_24h_ORF9C,,-9.6,4.8,8.7,30242,300,500,24,4.8,0.96,4716|4728|4869|4931|6158|7019|8602|9904|10199|10200|10527|27340|51647|54552|54822|55035|55153|55759|57050|64425|64963|79813|84549|146909,NDUFB10|NDUFS8|NPM1|NVL|RPL28|TFAM|NOP14|RBM19|MPHOSPH10|MPHOSPH6|IPO7|UTP20|CIAO2B|GNL3L|TRPM7|NOL8|SDAD1|WDR12|UTP3|POLR1E|MRPS11|EHMT1|MAK16|KIF18B,-6.6,0
1,-8.7,COVID369,M1,1,0,COVID,200,Interactome_Laurent_HEK293_24h_NSP13,,-8.7,12,10,30242,57,500,11,2.2,0.66,3151|6234|6241|28974|51490|55319|64745|64963|64981|79171|83855,HMGN2|RPS28|RRM2|C19orf53|SPOUT1|TMA16|METTL17|MRPS11|MRPL34|RBM42|KLF16,-5.8,0
1,-7.1,COVID097,M1,1,0,COVID,200,Interactome_Gordon_HEK-293T_38h_NSP8,,-7.1,18,11,30242,24,500,7,1.4,0.53,1662|10199|23404|26574|51010|56915|79080,DDX10|MPHOSPH10|EXOSC2|AATF|EXOSC3|EXOSC5|CCDC86,-4.3,0
1,-6.6,COVID380,M1,1,0,COVID,200,Interactome_Laurent_HEK293_24h_NSP9,,-6.6,8.6,8.3,30242,70,500,10,2,0.63,4700|4725|4728|8602|51490|55319|64745|64963|79171|83855,NDUFA6|NDUFS5|NDUFS8|NOP14|SPOUT1|TMA16|METTL17|MRPS11|RBM42|KLF16,-4,0
1,-6.3,COVID138,M1,1,0,COVID,200,Proteome_Stukalov_A549_72h_E_Down,,-6.3,4.3,6.7,30242,238,500,17,3.4,0.81,2733|4171|4298|5394|5710|5725|7027|9343|10025|10714|10849|23404|23648|26574|55759|91582|170463,GLE1|MCM2|MLLT1|EXOSC10|PSMD4|PTBP1|TFDP1|EFTUD2|MED16|POLD3|POLR1G|EXOSC2|SSBP3|AATF|WDR12|RPS19BP1|SSBP4,-3.6,0
1,-6.1,COVID015,M1,1,0,COVID,200,RNA_Blanco-Melo_Calu-3_Down,,-6.1,3.8,6.4,30242,300,500,19,3.8,0.86,1175|2224|3838|4172|4173|4174|4708|5424|5425|6241|10607|26121|51367|51690|55272|55651|83443|90381|146909,AP2S1|FDPS|KPNA2|MCM3|MCM4|MCM5|NDUFB2|POLD1|POLD2|RRM2|TBL3|PRPF31|POP5|LSM7|IMP3|NHP2|SF3B5|TICRR|KIF18B,-3.5,0
1,-6.1,COVID235,M1,1,0,COVID,200,Phosphoproteome_Klann_Caco-2_24h_Up,,-6.1,3.8,6.4,30242,300,500,19,3.8,0.86,3009|3159|4839|5394|6601|8243|9774|10514|10556|10992|23223|23360|51143|51366|51496|55119|56339|79171|83548,H1-5|HMGA1|NOP2|EXOSC10|SMARCC2|SMC1A|BCLAF1|MYBBP1A|RPP30|SF3B2|RRP12|FNBP4|DYNC1LI1|UBR5|CTDSPL2|PRPF38B|METTL3|RBM42|COG3,-3.5,0
1,-6,COVID055,M1,1,0,COVID,200,Phosphoproteome_Bouhaddou_Vero_E6_0h_Down,,-6,3.9,6.4,30242,277,500,18,3.6,0.83,1503|1736|2146|3009|4173|4298|4869|4928|6117|6838|8805|10250|11143|23091|23649|51143|79649|121053,CTPS1|DKC1|EZH2|H1-5|MCM4|MLLT1|NPM1|NUP98|RPA1|SURF6|TRIM24|SRRM1|KAT7|ZC3H13|POLA2|DYNC1LI1|MAP7D3|NOPCHAP1,-3.4,0
1,-5.5,COVID057,M1,1,0,COVID,200,Phosphoproteome_Bouhaddou_Vero_E6_12h_Down,,-5.5,3.6,5.9,30242,300,500,18,3.6,0.83,4609|4848|6117|6574|6838|8208|9497|10250|23091|23649|51143|51755|57187|64682|79080|79649|196441|221937,MYC|CNOT2|RPA1|SLC20A1|SURF6|CHAF1B|SLC4A7|SRRM1|ZC3H13|POLA2|DYNC1LI1|CDK12|THOC2|ANAPC1|CCDC86|MAP7D3|ZFC3H1|FOXK1,-3,0
1,-5.5,COVID065,M1,1,0,COVID,200,Phosphoproteome_Bouhaddou_Vero_E6_8h_Down,,-5.5,3.6,5.9,30242,300,500,18,3.6,0.83,790|3159|4609|4848|6117|6574|8208|9497|9774|10250|23091|51143|51755|64682|79080|79649|196441|221937,CAD|HMGA1|MYC|CNOT2|RPA1|SLC20A1|CHAF1B|SLC4A7|BCLAF1|SRRM1|ZC3H13|DYNC1LI1|CDK12|ANAPC1|CCDC86|MAP7D3|ZFC3H1|FOXK1,-3,0
1,-5.4,COVID182,M1,1,0,COVID,200,Proteome_Stukalov_A549_72h_ORF9B_Down,,-5.4,4.2,6.1,30242,218,500,15,3,0.76,3396|4704|4716|4718|4725|6908|9553|11222|29074|51253|63875|64981|65003|79080|84817,MRPL58|NDUFA9|NDUFB10|NDUFC2|NDUFS5|TBP|MRPL33|MRPL3|MRPL18|MRPL37|MRPL17|MRPL34|MRPL11|CCDC86|TXNDC17,-2.9,0
1,-4.9,COVID381,M1,1,0,COVID,200,Interactome_Laurent_HEK293_24h_ORF10,,-4.9,6.4,6.5,30242,85,500,9,1.8,0.59,4700|4725|5710|9277|51118|64745|64963|64981|401466,NDUFA6|NDUFS5|PSMD4|WDR46|UTP11|METTL17|MRPS11|MRPL34|RBIS,-2.6,0
1,-4.9,COVID134,M1,1,0,COVID,200,Proteome_Stukalov_A549-ACE2_24h_Down,,-4.9,3.4,5.5,30242,299,500,17,3.4,0.81,1981|4173|6599|7023|7324|8914|10245|23019|23028|23649|29128|51077|51366|51433|54606|54680|55165,EIF4G1|MCM4|SMARCC1|TFAP4|UBE2E1|TIMELESS|TIMM17B|CNOT1|KDM1A|POLA2|UHRF1|FCF1|UBR5|ANAPC5|DDX56|ZNHIT6|CEP55,-2.6,0
1,-4.9,COVID378,M1,1,0,COVID,200,Interactome_Laurent_HEK293_24h_NSP7,,-4.9,3.4,5.5,30242,300,500,17,3.4,0.81,405|1175|1663|5424|10992|23038|23354|25847|51366|55142|55165|57511|63967|64682|79441|79649|115106,ARNT|AP2S1|DDX11|POLD1|SF3B2|WDTC1|HAUS5|ANAPC13|UBR5|HAUS2|CEP55|COG6|CLSPN|ANAPC1|HAUS3|MAP7D3|HAUS1,-2.6,0
1,-4.9,COVID387,M1,1,0,COVID,200,Interactome_Laurent_HEK293_24h_ORF8,,-4.9,3.4,5.5,30242,300,500,17,3.4,0.81,41|537|3151|6158|6234|9277|10652|28974|51490|54822|55319|64745|64960|64963|79171|83855|84928,ASIC1|ATP6AP1|HMGN2|RPL28|RPS28|WDR46|YKT6|C19orf53|SPOUT1|TRPM7|TMA16|METTL17|MRPS15|MRPS11|RBM42|KLF16|TMEM209,-2.6,0
1,-4.5,COVID125,M1,1,0,COVID,200,Interactome_Stukalov_A549_72h_ORF7A,,-4.5,7.7,6.4,30242,55,500,7,1.4,0.53,23195|55622|57510|79944|83548|91949|92105,MDN1|TTC27|XPO5|L2HGDH|COG3|COG7|INTS4,-2.2,0
1,-4.3,COVID383,M1,1,0,COVID,200,Interactome_Laurent_HEK293_24h_ORF3B,,-4.3,3.2,5,30242,300,500,16,3.2,0.79,41|2821|3151|4700|5682|5693|7037|7355|9497|10652|51490|54407|54822|57511|64745|64963,ASIC1|GPI|HMGN2|NDUFA6|PSMA1|PSMB5|TFRC|SLC35A2|SLC4A7|YKT6|SPOUT1|SLC38A2|TRPM7|COG6|METTL17|MRPS11,-2.1,0
1,-4.3,COVID370,M1,1,0,COVID,200,Interactome_Laurent_HEK293_24h_NSP14,,-4.3,7.2,6.2,30242,59,500,7,1.4,0.53,4848|5710|54822|55142|83732|84342|115106,CNOT2|PSMD4|TRPM7|HAUS2|RIOK1|COG8|HAUS1,-2,0
1,-4.2,COVID056,M1,1,0,COVID,200,Phosphoproteome_Bouhaddou_Vero_E6_0h_Up,,-4.2,3.9,5.2,30242,184,500,12,2.4,0.68,705|1736|3159|4609|5977|6234|9282|10199|10250|10992|23613|54552,BYSL|DKC1|HMGA1|MYC|DPF2|RPS28|MED14|MPHOSPH10|SRRM1|SF3B2|ZMYND8|GNL3L,-2,0
1,-4.2,COVID226,M1,1,0,COVID,200,Translatome_Bojkova_Caco-2_10h_Down,,-4.2,5.8,5.7,30242,83,500,8,1.6,0.56,2744|4171|5558|5688|9136|10539|51068|118460,GLS|MCM2|PRIM2|PSMA7|RRP9|GLRX3|NMD3|EXOSC6,-1.9,0
1,-4.1,COVID372,M1,1,0,COVID,200,Interactome_Laurent_HEK293_24h_NSP16,,-4.1,3.2,4.8,30242,283,500,15,3,0.76,196|1663|4700|4928|9439|23354|51366|51433|55165|64682|79441|115106|138716|196441|221937,AHR|DDX11|NDUFA6|NUP98|MED23|HAUS5|UBR5|ANAPC5|CEP55|ANAPC1|HAUS3|HAUS1|RPP25L|ZFC3H1|FOXK1,-1.9,0
1,-4.1,COVID084,M1,1,0,COVID,200,Interactome_Gordon_HEK-293T_38h_NSP1,,-4.1,30,9.3,30242,6,500,3,0.6,0.35,5557|5558|23649,PRIM1|PRIM2|POLA2,-1.9,0
1,-3.8,COVID029,M1,1,0,COVID,200,RNA_Liao_BALF-mild_Down,,-3.8,3,4.6,30242,300,500,15,3,0.76,402|2395|4194|4507|4718|5682|6173|6218|7037|10093|10671|11243|55119|55319|221937,ARL2|FXN|MDM4|MTAP|NDUFC2|PSMA1|RPL36A|RPS17|TFRC|ARPC4|DCTN6|PMF1|PRPF38B|TMA16|FOXK1,-1.7,0
1,-3.8,COVID131,M1,1,0,COVID,200,Phosphoproteome_Stukalov_A549-ACE2_24h_Up,,-3.8,3,4.6,30242,300,500,15,3,0.76,1503|3159|4839|4848|4928|5883|6601|7916|9774|10250|10514|23091|23195|51143|51755,CTPS1|HMGA1|NOP2|CNOT2|NUP98|RAD9A|SMARCC2|PRRC2A|BCLAF1|SRRM1|MYBBP1A|ZC3H13|MDN1|DYNC1LI1|CDK12,-1.7,0
1,-3.8,COVID384,M1,1,0,COVID,200,Interactome_Laurent_HEK293_24h_ORF6,,-3.8,3,4.6,30242,300,500,15,3,0.76,537|2733|2821|3832|3838|4928|7355|8480|10652|23636|51068|54822|55165|84928|115106,ATP6AP1|GLE1|GPI|KIF11|KPNA2|NUP98|SLC35A2|RAE1|YKT6|NUP62|NMD3|TRPM7|CEP55|TMEM209|HAUS1,-1.7,0
1,-3.5,COVID200,M1,1,0,COVID,200,Ubiquitinome_Stukalov_A549-ACE2_6h_Down,,-3.5,3.1,4.4,30242,250,500,13,2.6,0.71,1175|3009|4171|4869|4928|5710|6574|7324|7919|10539|10594|23028|51077,AP2S1|H1-5|MCM2|NPM1|NUP98|PSMD4|SLC20A1|UBE2E1|DDX39B|GLRX3|PRPF8|KDM1A|FCF1,-1.5,0
1,-3.3,COVID061,M1,1,0,COVID,200,Phosphoproteome_Bouhaddou_Vero_E6_2h_Down,,-3.3,2.8,4.1,30242,300,500,14,2.8,0.74,1503|4848|4869|6117|6574|8289|11143|23028|51143|51755|57187|64682|79080|196441,CTPS1|CNOT2|NPM1|RPA1|SLC20A1|ARID1A|KAT7|KDM1A|DYNC1LI1|CDK12|THOC2|ANAPC1|CCDC86|ZFC3H1,-1.3,0
1,-3.1,COVID229,M1,1,0,COVID,200,Translatome_Bojkova_Caco-2_24h_Up,,-3.1,6.9,5.1,30242,44,500,5,1,0.44,6202|6605|10153|23360|84817,RPS8|SMARCE1|CEBPZ|FNBP4|TXNDC17,-1.2,0
1,-3,COVID133,M1,1,0,COVID,200,Phosphoproteome_Stukalov_A549-ACE2_6h_Up,,-3,5.3,4.6,30242,69,500,6,1.2,0.49,4172|22794|23613|51068|51143|196441,MCM3|CASC3|ZMYND8|NMD3|DYNC1LI1|ZFC3H1,-1.1,0
1,-3,COVID139,M1,1,0,COVID,200,Proteome_Stukalov_A549_72h_E_Up,,-3,3.3,4,30242,186,500,10,2,0.63,865|4174|4869|6135|51647|54407|56946|79813|81556|112950,CBFB|MCM5|NPM1|RPL11|CIAO2B|SLC38A2|EMSY|EHMT1|INTS14|MED8,-1.1,0
1,-2.9,COVID368,M1,1,0,COVID,200,Interactome_Laurent_HEK293_24h_NSP12,,-2.9,2.8,3.8,30242,255,500,12,2.4,0.68,1663|2733|23019|23038|23354|25847|51433|55142|64682|79441|92105|115106,DDX11|GLE1|CNOT1|WDTC1|HAUS5|ANAPC13|ANAPC5|HAUS2|ANAPC1|HAUS3|INTS4|HAUS1,-1.1,0
1,-2.8,COVID179,M1,1,0,COVID,200,Proteome_Stukalov_A549_72h_ORF7B_Up,,-2.8,3.7,4,30242,130,500,8,1.6,0.56,1503|2071|9188|55622|64769|64963|84342|401466,CTPS1|ERCC3|DDX21|TTC27|MEAF6|MRPS11|COG8|RBIS,-0.99,0
1,-2.8,COVID141,M1,1,0,COVID,200,Proteome_Stukalov_A549_72h_M_Up,,-2.8,4.1,4.1,30242,103,500,7,1.4,0.53,4174|4725|4869|6135|8289|8914|51490,MCM5|NDUFS5|NPM1|RPL11|ARID1A|TIMELESS|SPOUT1,-0.95,0
1,-2.7,COVID181,M1,1,0,COVID,200,Proteome_Stukalov_A549_72h_ORF8_Up,,-2.7,4.6,4.1,30242,79,500,6,1.2,0.49,4682|4849|10652|23534|54952|157680,NUBP1|CNOT3|YKT6|TNPO3|TRNAU1AP|VPS13B,-0.88,0
1,-2.4,COVID175,M1,1,0,COVID,200,Proteome_Stukalov_A549_72h_ORF6_Up,,-2.4,4,3.7,30242,90,500,6,1.2,0.49,405|9913|27292|54552|114791|401466,ARNT|SUPT7L|DIMT1|GNL3L|TUBGCP5|RBIS,-0.67,0
1,-2.3,COVID010,M1,1,0,COVID,200,RNA_Blanco-Melo_A549-ACE2_Up,,-2.3,2.4,3.2,30242,300,500,12,2.4,0.68,3151|4193|4194|5514|7862|10208|10285|51366|54931|55015|114803|196441,HMGN2|MDM2|MDM4|PPP1R10|BRPF1|USPL1|SMNDC1|UBR5|TRMT10C|PRPF39|MYSM1|ZFC3H1,-0.61,0
1,-2.3,COVID160,M1,1,0,COVID,200,Proteome_Stukalov_A549_72h_NSP4_Down,,-2.3,5.9,4.1,30242,41,500,4,0.8,0.4,1503|3838|7037|7862,CTPS1|KPNA2|TFRC|BRPF1,-0.61,0
1,-2.3,COVID238,M1,1,0,COVID,200,RNA_Lieberman_Nasopharynx_Infected_vs_Neg_Down,,-2.3,5.8,4,30242,42,500,4,0.8,0.4,1982|6202|6218|56252,EIF4G2|RPS8|RPS17|YLPM1,-0.59,0
1,-2.3,COVID155,M1,1,0,COVID,200,Proteome_Stukalov_A549_72h_NSP1_Up,,-2.3,3.3,3.4,30242,128,500,7,1.4,0.53,4522|4849|9862|23648|51010|170463|494115,MTHFD1|CNOT3|MED24|SSBP3|EXOSC3|SSBP4|RBMXL1,-0.56,0
1,-2.2,COVID063,M1,1,0,COVID,200,Phosphoproteome_Bouhaddou_Vero_E6_4h_Down,,-2.2,2.8,3.2,30242,197,500,9,1.8,0.59,4848|4869|4928|6574|8208|9774|10250|64682|79080,CNOT2|NPM1|NUP98|SLC20A1|CHAF1B|BCLAF1|SRRM1|ANAPC1|CCDC86,-0.55,0
1,-2.1,COVID170,M1,1,0,COVID,200,Proteome_Stukalov_A549_72h_N_Down,,-2.1,3.1,3.2,30242,137,500,7,1.4,0.53,2733|8624|23186|23404|55759|60488|117143,GLE1|PSMG1|RCOR1|EXOSC2|WDR12|MRPS35|TADA1,-0.45,0
1,-2.1,COVID158,M1,1,0,COVID,200,Proteome_Stukalov_A549_72h_NSP3_MACROD_Down,,-2.1,5,3.6,30242,48,500,4,0.8,0.4,9497|10073|10199|56946,SLC4A7|SNUPN|MPHOSPH10|EMSY,-0.44,0
1,-2.1,COVID109,M1,1,0,COVID,200,Interactome_Stukalov_A549_72h_M,,-2.1,3.1,3.2,30242,138,500,7,1.4,0.53,4728|9862|10714|55015|55622|79944|92105,NDUFS8|MED24|POLD3|PRPF39|TTC27|L2HGDH|INTS4,-0.44,0
