Gene,TotalEvidenceCounts,EvidenceHit:MyList,EvidenceGO:MyList,EvidencePPI:MyList
122961,3.0,1,1,1
79872,3.0,1,1,1
63967,3.0,1,1,1
10539,3.0,1,1,1
64682,3.0,1,1,1
4728,3.0,1,1,1
57187,3.0,1,1,1
23636,3.0,1,1,1
11143,3.0,1,1,1
10799,3.0,1,1,1
10768,3.0,1,1,1
55578,3.0,1,1,1
51373,3.0,1,1,1
892,3.0,1,1,1
144715,3.0,1,1,1
5682,3.0,1,1,1
29074,3.0,1,1,1
118460,3.0,1,1,1
23512,3.0,1,1,1
10221,3.0,1,1,1
11103,3.0,1,1,1
23019,3.0,1,1,1
4609,3.0,1,1,1
55781,3.0,1,1,1
84946,3.0,1,1,1
29128,3.0,1,1,1
51433,3.0,1,1,1
494115,3.0,1,1,1
56945,3.0,1,1,1
6634,3.0,1,1,1
3840,3.0,1,1,1
23649,3.0,1,1,1
2960,3.0,1,1,1
5888,3.0,1,1,1
9774,3.0,1,1,1
10025,3.0,1,1,1
56915,3.0,1,1,1
2961,3.0,1,1,1
22984,3.0,1,1,1
51755,3.0,1,1,1
8289,3.0,1,1,1
9817,3.0,1,1,1
54433,3.0,1,1,1
23212,3.0,1,1,1
10171,3.0,1,1,1
3692,3.0,1,1,1
51496,3.0,1,1,1
26574,3.0,1,1,1
7027,3.0,1,1,1
79647,3.0,1,1,1
4839,3.0,1,1,1
9837,3.0,1,1,1
4174,3.0,1,1,1
6158,3.0,1,1,1
100527963,3.0,1,1,1
220134,3.0,1,1,1
6599,3.0,1,1,1
64960,3.0,1,1,1
54407,3.0,1,1,1
1432,3.0,1,1,1
10594,3.0,1,1,1
23404,3.0,1,1,1
64425,3.0,1,1,1
8914,3.0,1,1,1
7023,3.0,1,1,1
5693,3.0,1,1,1
4682,3.0,1,1,1
2926,3.0,1,1,1
79648,3.0,1,1,1
11258,3.0,1,1,1
3028,3.0,1,1,1
5226,3.0,1,1,1
10200,3.0,1,1,1
7919,3.0,1,1,1
4931,3.0,1,1,1
5725,3.0,1,1,1
5119,3.0,1,1,1
2071,3.0,1,1,1
55505,3.0,1,1,1
27292,3.0,1,1,1
4208,3.0,1,1,1
159,3.0,1,1,1
7862,3.0,1,1,1
51367,3.0,1,1,1
4173,3.0,1,1,1
6637,3.0,1,1,1
5983,3.0,1,1,1
221937,3.0,1,1,1
23354,3.0,1,1,1
1663,3.0,1,1,1
27000,3.0,1,1,1
112869,3.0,1,1,1
11235,3.0,1,1,1
632,3.0,1,1,1
64210,3.0,1,1,1
896,3.0,1,1,1
405,3.0,1,1,1
64318,3.0,1,1,1
4848,3.0,1,1,1
7019,3.0,1,1,1
54460,3.0,1,1,1
57038,3.0,1,1,1
11243,3.0,1,1,1
63875,3.0,1,1,1
10073,3.0,1,1,1
80135,3.0,1,1,1
790,3.0,1,1,1
3396,3.0,1,1,1
26284,3.0,1,1,1
