,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
FTL,7.40002365248892e-174,1.85285667548578,0.966,0.955,1.75202959996328e-169
FTH1,3.51569033237662e-133,1.66644776694563,0.976,0.967,8.32374843093489e-129
B2M,1.3396587916957e-99,1.4010101675232,0.909,0.547,3.17177615521874e-95
MT-CO1,6.10364480159081e-67,-0.904446557123529,0.649,0.928,1.44509894322464e-62
TXN,3.24504834754025e-52,1.155413797775,0.716,0.362,7.68297646763628e-48
GDF15,5.29105078604728e-50,1.54690819864236,0.561,0.216,1.25270918410455e-45
HMOX1,9.11226781885631e-48,1.51722501287095,0.329,0.045,2.15742052879242e-43
NT5C2,4.07869274880948e-45,1.19057820125655,0.283,0.029,9.65671295208132e-41
HLA-A,6.22637619098747e-45,0.918843724797761,0.828,0.538,1.47415682697819e-40
TUBA4A,4.28005125054951e-44,0.846693589650674,0.489,0.154,1.0133449340801e-39
AHSP,5.7604926233962e-44,-0.603645133609692,0.966,0.975,1.36385423351528e-39
APOL3,1.07974728362539e-42,0.804202650192598,0.319,0.051,2.55640966871148e-38
LMNA,3.6525639161274e-42,0.846915454164473,0.434,0.127,8.64781032782322e-38
RPS27L,6.34271230827089e-42,1.26951668366924,0.671,0.376,1.50170056610622e-37
HLA-B,9.77972616198194e-40,0.692438269539566,0.259,0.028,2.31544796611084e-35
HEMGN,3.01280841586976e-37,-0.798756160521712,0.661,0.838,7.13312520541324e-33
UBC,5.33515647116841e-37,0.812586033869299,0.885,0.693,1.26315164611383e-32
CLEC2B,9.41742749578516e-37,1.24961584905915,0.238,0.027,2.2296701339021e-32
HLA-C,2.78988783122515e-35,0.800661604444347,0.451,0.154,6.60533842920866e-31
IFI27,1.26504071697848e-34,0.88876525200618,0.253,0.038,2.99511040151824e-30
RSAD2,1.91637707406974e-34,0.873042108295999,0.421,0.144,4.53721436056753e-30
MT-ATP6,1.91796719291677e-34,-0.508675879701084,0.469,0.735,4.54097912594974e-30
HBM,2.97666004833924e-33,-0.857895606740729,0.852,0.931,7.04754033044798e-29
STK17A,4.19314046673314e-33,1.27936163109943,0.613,0.335,9.92767936903739e-29
MDM2,6.0817380247589e-33,0.865084577810115,0.416,0.144,1.43991229474192e-28
METTL9,3.5607710810118e-32,0.779259882916015,0.316,0.082,8.43048161140355e-28
MT-CO2,4.61086344659949e-32,-0.575716689418026,0.506,0.756,1.09166802961689e-27
CIAO2B,3.30724836260225e-31,0.800806520838373,0.381,0.126,7.83024122329709e-27
RTN3,2.67952545461252e-30,1.02211050541483,0.254,0.05,6.3440444663406e-26
BAG1,4.07238308316897e-30,0.792463192432099,0.735,0.507,9.64177418771086e-26
SNCA,5.29143068455603e-30,-0.469844884476408,0.886,0.968,1.25279912887549e-25
HAGH,8.51123823730168e-30,-0.698626998917006,0.599,0.738,2.01512076506355e-25
TFRC,1.91829194226305e-29,-0.665334027299856,0.56,0.75,4.54174800250199e-25
CREG1,2.06148024372671e-28,0.711008337389673,0.598,0.316,4.88076062504737e-24
ABLIM1,6.67502302569981e-28,0.585964869343604,0.169,0.013,1.58037845156469e-23
SVIP,9.95011643171845e-28,0.744017027182698,0.397,0.154,2.35578956637366e-23
DDIT3,1.90353816612184e-27,0.862557643823114,0.314,0.097,4.50681696211007e-23
SLC25A37,2.0643582699645e-27,-0.401140348696057,0.994,0.996,4.88757463996795e-23
PRDX2,2.32473025993764e-27,-0.618786775649494,0.879,0.918,5.50403136342836e-23
CSTB,2.85418749194371e-27,0.743023534069892,0.566,0.29,6.75757430592593e-23
S100A6,4.86610365305643e-27,0.987877938423479,0.421,0.175,1.15209870089764e-22
BAX,2.21320673762495e-26,0.635625637005884,0.3,0.09,5.23998827200082e-22
SAMD9,3.11613546141866e-26,0.505511229264561,0.239,0.051,7.37776231845482e-22
RHAG,6.84795399563355e-26,-0.701332638456155,0.523,0.708,1.6213215880062e-21
IFIT3,7.40136582264143e-26,0.750099659085815,0.226,0.047,1.75234737216858e-21
