"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"S100A4",9.39197081645245e-97,-1.896127027299,0.056,0.292,2.22364301050328e-92
"CKAP2",1.00883121134713e-96,0.395948298094762,0.704,0.429,2.38850877598546e-92
"GSTP1",9.94637245968447e-96,0.544639983093328,0.61,0.38,2.3549031435549e-91
"HMGB1",2.74850417027705e-95,0.4234935489444,0.986,0.635,6.50735847354793e-91
"HIST1H3F",5.96217319618683e-95,0.506144664288279,0.397,0.196,1.41160412592919e-90
"RRM2",6.28800198476468e-95,0.397969659595785,0.751,0.438,1.48874734991289e-90
"MZT2B",1.60154467126138e-94,0.477716349134525,0.85,0.536,3.79181716367844e-90
"CENPN",2.52600557138348e-94,0.523862377088186,0.588,0.371,5.98057079080752e-90
"SKA2",4.13000930033392e-94,0.502149191293527,0.61,0.385,9.7782100194706e-90
"CPEB4",7.55513073718562e-93,-1.19052984096159,0.509,0.695,1.78875275333607e-88
"H2AFZ",9.75751317111611e-92,0.458692782216183,0.904,0.525,2.31018881839345e-87
"H1FX",1.00849623080908e-91,0.5215890980782,0.69,0.435,2.38771567606357e-87
"CMC2",3.96988866686045e-91,0.447806210305348,0.514,0.307,9.39910840765881e-87
"SMC2",7.41641026191525e-91,0.454105587147714,0.722,0.432,1.75590929361105e-86
"NIBAN1",1.36677817141641e-88,0.470762627650679,0.434,0.226,3.23598399864549e-84
"NME2",1.63087430610801e-88,-1.00725660400417,0.048,0.27,3.86125800714132e-84
"GYPB",1.69693206322962e-88,0.402434977240743,0.975,0.837,4.01765635290244e-84
"GYPA",9.10429070256054e-87,0.442707612190241,0.921,0.699,2.15553186673823e-82
"HTRA2",3.62343409501389e-86,0.49932107472633,0.638,0.422,8.57884256335488e-82
"FTH1",4.59424849706831e-86,0.41595445091833,0.998,0.986,1.08773427416589e-81
"UBE2C",5.13449180834566e-85,0.350058294999161,0.507,0.272,1.21564228054392e-80
"RAN",1.40807498068149e-84,0.373367971571862,0.9,0.558,3.3337583242615e-80
"CHPT1",4.38494540893531e-83,0.593963281184642,0.782,0.626,1.03817967501952e-78
"MAN1A1",1.71775611151373e-82,-1.3343315155057,0.416,0.622,4.06695936961992e-78
"ARL4A",2.99851575526257e-82,-1.26614210719956,0.399,0.613,7.09928590215967e-78
"MLLT3",3.89552157205056e-82,-0.573135585400316,0.131,0.375,9.22303687398692e-78
"HAGH",9.26734841950322e-82,0.396539668124781,0.919,0.757,2.19413741180158e-77
"CRNDE",1.33246739967031e-81,0.546489629703605,0.482,0.294,3.15474981545942e-77
"SVIP",2.71307725498446e-81,0.510400444758762,0.747,0.533,6.42348170890121e-77
"NUCKS1",7.51617950296636e-81,0.39874891730625,0.84,0.493,1.77953065912231e-76
"NCEH1",1.28313987075411e-80,-0.749105129821701,0.207,0.441,3.03796195799742e-76
"MXD3",2.60598313647399e-80,0.458517629893253,0.456,0.263,6.16992567391583e-76
"DBF4",1.16747889002709e-79,0.426851525301737,0.579,0.361,2.76412302002815e-75
"RGCC",1.77423674398993e-79,0.361241101193304,0.873,0.714,4.20068291507057e-75
"LINC01133",3.94766858027344e-79,-0.606274745206328,0.046,0.255,9.3465001306554e-75
"PRELID1",3.88468167258151e-78,-0.604169792761385,0.088,0.308,9.19737232800399e-74
"KIF22",4.43561441325705e-78,0.418011883055648,0.538,0.333,1.05017606848274e-73
"HECTD4",1.22119431593008e-77,-1.20991873109278,0.564,0.728,2.89129966239606e-73
"SYNGR1",1.27026771487065e-77,-0.884670480828183,0.028,0.223,3.00748584172774e-73
"GADD45GIP1",2.04362601652994e-77,-0.728343666147514,0.24,0.449,4.83848895673628e-73
"C21orf58",1.09175343308887e-76,0.364050756806641,0.623,0.407,2.58483542818121e-72
"STMN1",2.3661885424491e-76,0.384091263681254,0.748,0.431,5.60218799310249e-72
"TMEM14B",3.10393499431967e-75,-0.849649367059136,0.646,0.698,7.34887649255125e-71
"SMIM5",8.27384295097375e-75,0.429669073661914,0.767,0.592,1.95891505707254e-70
"CENPM",1.08858541921913e-74,0.46497088849546,0.553,0.349,2.57733483854322e-70
"DENND4A",5.04258899573758e-74,-0.937555707347461,0.469,0.654,1.19388337063083e-69
"ARL6IP1",1.12123818757009e-73,0.393674565384084,0.888,0.713,2.65464353289095e-69
"TPT1",3.70481925549851e-73,0.318966311912848,1,0.966,8.77153006931827e-69
"USP15",6.52166183900416e-73,-0.72291669439223,0.853,0.865,1.54406865700262e-68
"HIST1H1E",3.57469693297459e-72,0.406120034999435,0.588,0.359,8.46345245851063e-68
"SMC4",4.03391210724207e-72,0.375964371231553,0.769,0.469,9.55069030510633e-68
"GLRX",9.29225624787341e-72,-0.66889912413801,0.023,0.207,2.20003458924651e-67
"CKS2",2.07739826091888e-71,0.39372488907743,0.673,0.44,4.91844812255153e-67
"PEBP1",3.1365104575965e-71,-0.572135080743996,0.051,0.247,7.42600215940547e-67
"LDHB",1.47088813515708e-69,-0.914445514193814,0.102,0.298,3.48247474879791e-65
"CEBPG",3.95420450694609e-69,0.379619325640245,0.404,0.226,9.36197459064555e-65
"ZNF524",4.41419052429819e-69,0.434776565386842,0.343,0.186,1.04510374853284e-64
"TUBA1C",4.78022853292377e-69,0.332964885286451,0.63,0.393,1.13176690745503e-64
"ATP6V1A",8.45845788703346e-68,-0.452116802396773,0.111,0.327,2.00262448933404e-63
"CCDC167",9.18284565699875e-68,0.423710426719349,0.413,0.25,2.17413053775102e-63
"CPVL",1.3583752422994e-67,-0.471595517068575,0.016,0.188,3.21608922366806e-63
"FBXO5",1.66294705304984e-66,0.41095803994834,0.56,0.352,3.9371934428008e-62
"HYI",2.17806599872964e-66,0.403008606649889,0.372,0.21,5.15678905859229e-62
"YWHAH",2.8957964744355e-66,0.39207260080189,0.719,0.468,6.85608773287349e-62
"TRIM58",5.61333228536817e-65,-1.11819926414041,0.551,0.7,1.32901255188377e-60
"DDIT4",7.2096892217539e-65,0.429743819459435,0.676,0.456,1.70696602014245e-60
"C8orf88",7.50680081055606e-65,0.36910095960839,0.413,0.246,1.77731015990725e-60
"HBD",1.44648654767558e-64,0.293287487136091,0.999,0.983,3.42470155027671e-60
"MTRNR2L12",2.12625364174245e-64,-0.624560402853823,0.781,0.832,5.03411812218943e-60
"PPP1R14B",1.97414173471014e-63,-0.516696900145656,0.031,0.203,4.67397797109972e-59
"LRBA",2.70218753807178e-63,-0.713757950119759,0.178,0.379,6.39769921513874e-59
"BAX",3.21136815863908e-63,0.455548037573183,0.613,0.43,7.60323525239389e-59
"RIPOR3",3.46202494230733e-63,-0.749946688237451,0.256,0.461,8.19669025340683e-59
"LPIN2",8.60455081308863e-63,-0.85358998186385,0.354,0.561,2.03721345050686e-58
"CYTOR",1.20224784114909e-62,0.370670657011867,0.728,0.514,2.84644198870457e-58
"PFDN5",1.71322516675115e-62,-0.601022290177329,0.728,0.754,4.05623190480002e-58
"RGS10",1.96229127170614e-62,0.422592197901998,0.753,0.578,4.64592081489146e-58
"ALKBH7",3.63907253310564e-62,-0.301526436235711,0.025,0.193,8.61586812938092e-58
"FAM50A",5.59282891428539e-62,0.412748986280475,0.505,0.342,1.32415817374621e-57
"VPS29",1.15479467866472e-61,0.364384175027658,0.545,0.369,2.73409188120659e-57
"BLOC1S1",1.36155538415159e-61,0.365214290516609,0.838,0.65,3.2236185275173e-57
"XPO7",1.89665624734253e-61,-1.06123396615499,0.292,0.496,4.49052333120817e-57
"C1QBP",2.16365490606087e-61,-0.542332524257706,0.137,0.329,5.12266935558972e-57
"TMSB10",2.94489841779689e-61,-0.477752358354303,0.019,0.18,6.97234149397591e-57
"CD63",3.73584533969639e-61,-0.418432848267301,0.012,0.17,8.84498742626516e-57
"FBXL20",5.50718476865471e-61,-0.565325421726945,0.131,0.335,1.30388106582669e-56
"CDCA4",1.18846729537478e-60,0.387931424950561,0.452,0.291,2.81381516852933e-56
"DCAF12",7.69084948626956e-60,-0.716024825662525,0.206,0.408,1.82088552436918e-55
