,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
B2M,1.62193497170872e-198,1.03003338458583,0.97,0.928,3.84009323901756e-194
FTL,2.89186590586948e-198,0.956001518287805,0.989,0.989,6.84678171873658e-194
ALAS2,3.60041104538559e-182,0.858570734430582,0.982,0.973,8.52433319105493e-178
GDF15,8.39566533674349e-136,1.70010925026607,0.854,0.501,1.98775772512739e-131
HLA-A,9.12946029137818e-127,0.993834656362956,0.865,0.529,2.1614910185867e-122
CA1,7.66630941114308e-124,1.17798096065312,0.969,0.706,1.81507541618223e-119
AC092490.1,4.84838062545105e-111,1.11427044242156,0.647,0.234,1.14790259688179e-106
HIST1H1D,7.22217473079623e-110,-1.47572413003974,0.655,0.816,1.70992208926332e-105
HLA-B,2.10970735124046e-107,0.741979204272256,0.495,0.087,4.99494312479692e-103
FTH1,2.99192403286684e-105,0.476629776175091,0.994,0.993,7.08367934021554e-101
H1F0,1.30853766163201e-102,-1.05759257607641,0.825,0.917,3.09809376767996e-98
HLA-C,2.95220352814735e-93,0.833665936791775,0.771,0.42,6.98963707324166e-89
HIST1H1E,9.49025594200258e-93,-1.03115156585052,0.638,0.812,2.24691299682853e-88
CCNI,1.40281062953579e-91,0.659351877770402,0.938,0.818,3.32129444648894e-87
SELENOW,7.57243651793344e-87,0.590773434688516,0.564,0.192,1.79285006998592e-82
RPS27L,6.33646091983395e-85,0.771810865051445,0.952,0.876,1.50022048737989e-80
APOE,3.59231929162943e-82,1.4136094691907,0.464,0.136,8.50517515486184e-78
MT-CO3,6.41922241025053e-82,-0.992540344705189,0.973,0.968,1.51981509785092e-77
RPL27A,1.63916394003035e-77,-0.790588094322581,0.958,0.969,3.88088454441586e-73
ACSM3,5.99625226903055e-77,-0.815429700913581,0.101,0.397,1.41967268721567e-72
MT-ND1,1.05010888037485e-75,-0.933339768283263,0.848,0.911,2.48623778517549e-71
HNRNPA2B1,1.15005104459193e-75,-0.669238228295037,0.891,0.932,2.72286085317585e-71
MT-ATP6,3.36667375996487e-75,-1.00067866473314,0.959,0.963,7.97093679409283e-71
RBM3,4.56833389342469e-75,-0.737470746347979,0.596,0.77,1.08159873260723e-70
SRSF3,3.91036794289308e-73,-0.711863161574134,0.718,0.85,9.25818714159367e-69
MT-CO2,3.93320511512693e-73,-0.909811266941636,0.967,0.961,9.31225643057451e-69
TPT1,4.85022188026812e-73,0.315649872049639,0.99,0.989,1.14833853237228e-68
RPS13,7.33036024337413e-73,-0.745020560283603,0.955,0.97,1.73553609122126e-68
CPLANE1,1.45375060662028e-72,0.544437910927605,0.394,0.081,3.44189993623416e-68
MT-ND3,2.79955357516907e-72,-0.921269946520771,0.871,0.916,6.62822304457028e-68
CDKN1A,4.43354438055153e-70,0.754495566585858,0.316,0.039,1.04968596753938e-65
APOC1,6.5522109777313e-70,1.27926782003873,0.713,0.462,1.55130147108766e-65
MT-CYB,2.98941953662062e-69,-0.924740394668279,0.927,0.932,7.07774969490298e-65
HBM,2.59730702712896e-68,0.740108259346504,0.995,0.98,6.14938411743053e-64
