,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
FTL,5.1579200590892e-218,1.99121893236689,0.971,0.955,1.22118915318996e-213
B2M,1.44760823148497e-139,1.61394885833578,0.913,0.547,3.42735724886381e-135
FTH1,1.52709318131704e-76,1.0539100615002,0.973,0.967,3.61554581608623e-72
HLA-A,1.90304367085321e-75,1.20836247353192,0.829,0.538,4.50564619511205e-71
AC092490.1,4.95070321353696e-73,1.4577399190055,0.65,0.244,1.17212849283701e-68
IFI27,5.60847138559698e-65,1.80299022117877,0.363,0.038,1.32786168525394e-60
PRDX2,4.16726353532539e-53,-0.831059949793901,0.802,0.918,9.8664131462364e-49
GDF15,2.08800548596904e-51,1.59896224692141,0.549,0.216,4.94356178858029e-47
H1F0,4.15570058998844e-51,-1.31228306079557,0.098,0.356,9.83903671685662e-47
BAG1,2.97263076003963e-49,0.987592374692692,0.781,0.507,7.03800058746984e-45
HLA-B,2.70312436784381e-48,0.811999262535001,0.285,0.028,6.39991725330701e-44
NT5C2,7.25572842345896e-47,1.14236630539581,0.279,0.029,1.71786626153814e-42
SVIP,1.94798701199057e-46,0.947219386813781,0.467,0.154,4.61205404958888e-42
UBC,1.82502419738404e-45,0.881839844606795,0.867,0.693,4.32092728972646e-41
HLA-C,3.63997156364545e-45,0.87899412049782,0.469,0.154,8.61799667408696e-41
MT-CO1,1.1228519552058e-44,-0.627307797181618,0.798,0.928,2.65846428914525e-40
RSAD2,1.24111497323354e-44,1.11968573898686,0.444,0.144,2.93846381062774e-40
SESN3,1.73627031252438e-44,1.07638948642189,0.709,0.438,4.11079359193271e-40
RPS27L,3.91248480623527e-44,1.03375369243663,0.672,0.376,9.26319902724264e-40
HEMGN,1.2837409633618e-43,-0.732488990614025,0.616,0.838,3.0393851048554e-39
ESPN,3.44100912775151e-42,0.87655635720963,0.368,0.092,8.14693321086447e-38
SNCA,3.32075668370992e-41,-0.540655100998266,0.851,0.968,7.86222352435161e-37
CLEC2B,1.01658568989601e-40,1.19299842075094,0.246,0.027,2.40686827939779e-36
APOL3,2.132393167395e-39,0.763869082847049,0.29,0.051,5.0486540631244e-35
SERF2,6.63363918477581e-39,0.522002137294328,0.927,0.887,1.57058041338752e-34
TUBA4A,4.82220775544248e-38,0.753674182897764,0.438,0.154,1.14170590817856e-33
SAT1,8.87631139847621e-38,1.17863124306373,0.481,0.205,2.10155548670323e-33
KIF13B,2.49083069125823e-37,0.833705202800172,0.219,0.019,5.89729074462299e-33
ABLIM1,3.02748358381342e-37,0.775540482304612,0.207,0.013,7.16787013303666e-33
HBM,1.34689521580634e-36,-0.866910781321934,0.861,0.931,3.18890911294309e-32
LMNA,1.31909590992554e-35,0.770530417133698,0.386,0.127,3.12309147633972e-31
IL6ST,3.41746933618959e-35,0.801625167793054,0.404,0.141,8.09120040036248e-31
PBX1,1.55141778865624e-34,0.86788499771878,0.272,0.055,3.67313675642251e-30
HAGH,1.57483912917509e-34,-0.680548502736168,0.581,0.738,3.72858912223494e-30
DYNLT3,7.8595678235462e-33,0.579132171448803,0.163,0.002,1.8608312779028e-28
CD44,1.04215627638363e-32,0.832779868746687,0.546,0.274,2.46740919996587e-28
CAMK1D,2.52353345165516e-32,0.904570399738849,0.404,0.147,5.97471780013876e-28
CREG1,8.49831732222237e-32,0.797870629931682,0.591,0.316,2.01206160920937e-27
GYPA,1.69713843470099e-31,-0.787583723751896,0.499,0.685,4.01814495799807e-27
LAPTM5,1.73884041036238e-30,0.57566193030708,0.183,0.017,4.11687855557398e-26
AHSP,2.25402205089648e-30,-0.414294307122991,0.944,0.975,5.33662260770251e-26
CORO1C,2.63301646234509e-29,0.778909512771761,0.415,0.17,6.23392977624825e-25
S100A6,3.80647535017094e-29,0.918117733830048,0.415,0.175,9.01221103906472e-25
ATP6V1C1,6.95446580016864e-29,0.637425492049559,0.346,0.118,1.64653932284793e-24
SMIM1,1.06741328517784e-27,-0.803380371533153,0.433,0.606,2.52720769398705e-23
HBD,1.44306409067195e-27,-0.448897300025968,0.979,0.993,3.41659854107491e-23
SLC30A1,2.23595141084045e-27,0.708591822323802,0.371,0.147,5.29383856030584e-23
CIAO2B,2.37998027106507e-27,0.73132799464167,0.344,0.126,5.63484128977366e-23
SIAH2,3.9134759924941e-27,0.646090616765576,0.524,0.278,9.26554575982904e-23
SELENBP1,5.02110328305796e-27,-0.618864384004869,0.571,0.724,1.1887964132968e-22
MT-CO2,1.09322069974467e-26,-0.539319363955846,0.572,0.756,2.58830932871548e-22
ARRB2,1.30521363015674e-26,0.514745322581008,0.319,0.108,3.0902237907591e-22
SAMD9,1.3782197322976e-26,0.54173333023667,0.231,0.051,3.2630730381878e-22
ATP6V0E1,1.85358842775756e-26,0.601202565091988,0.555,0.298,4.3885559615588e-22
TXN,2.74754629806059e-26,0.75240356897033,0.61,0.362,6.50509061528824e-22
MDM2,5.44994864419292e-26,0.868905396465293,0.366,0.144,1.29032984099912e-21
MT-CO3,5.69681671475689e-26,-0.630220066542747,0.676,0.824,1.34877832538584e-21
SRGN,6.29663553447162e-26,0.521481169931425,0.166,0.019,1.4907914291415e-21
ISG15,7.68200208546967e-25,0.759508802064787,0.153,0.015,1.8187908137558e-20
DDX24,1.09712290465242e-24,0.699668935339904,0.427,0.206,2.59754818905507e-20
HNRNPC,2.13340106884688e-24,0.495175565685286,0.509,0.255,5.05104037060187e-20
FOXO1,2.98109444916882e-24,0.526136965485194,0.245,0.068,7.0580392178521e-20
MT-ATP6,1.45017044851759e-23,-0.565572887436436,0.558,0.735,3.43342355391025e-19
AAK1,1.56233715295836e-23,0.576588724468391,0.183,0.034,3.69898944334422e-19
ACTB,2.10780755639841e-23,0.629826785829608,0.764,0.604,4.99044517052888e-19
TMCO3,2.41245249670141e-23,0.503010363978426,0.151,0.017,5.71172253119026e-19
KLF3,2.92071257401535e-23,0.759504070980576,0.797,0.688,6.91507909023875e-19
SQSTM1,3.70907692859021e-23,0.932472938012841,0.57,0.338,8.78161053613017e-19
DRAM1,4.54376981428434e-23,0.44645983340591,0.165,0.024,1.07578294122996e-18
KLHDC8B,4.85216272380056e-23,0.588398297365054,0.408,0.184,1.14879804648702e-18
