"canonicalName","DEGREE","Gene","id","MCODE_CLUSTER_ID","MCODE_SCORE","MCODE_TYPE","name","selected","shared name","Symbol"
"COX8A","2.0","1351","1351","16.0","1.0","Clustered","1351","false","1351","COX8A"
"COX6C","2.0","1345","1345","16.0","1.0","Clustered","1345","false","1345","COX6C"
"COX6B1","2.0","1340","1340","16.0","1.0","Seed","1340","false","1340","COX6B1"
"RO60","2.0","6738","6738","15.0","1.0","Clustered","6738","false","6738","RO60"
"PPM1G","2.0","5496","5496","15.0","1.0","Seed","5496","false","5496","PPM1G"
"CARS1","2.0","833","833","15.0","1.0","Clustered","833","false","833","CARS1"
"EXOC4","2.0","60412","60412","14.0","1.0","Clustered","60412","false","60412","EXOC4"
"EXOC2","2.0","55770","55770","14.0","1.0","Clustered","55770","false","55770","EXOC2"
"EXOC6","2.0","54536","54536","14.0","1.0","Clustered","54536","false","54536","EXOC6"
"EIF2B5","2.0","8893","8893","13.0","1.0","Clustered","8893","false","8893","EIF2B5"
"EIF2B3","2.0","8891","8891","13.0","1.0","Clustered","8891","false","8891","EIF2B3"
"EIF2B4","2.0","8890","8890","13.0","1.0","Seed","8890","false","8890","EIF2B4"
"GTF3C6","2.0","112495","112495","12.0","1.0","Seed","112495","false","112495","GTF3C6"
"POLR3F","2.0","10621","10621","12.0","1.0","Clustered","10621","false","10621","POLR3F"
"GTF3C3","2.0","9330","9330","12.0","1.0","Clustered","9330","false","9330","GTF3C3"
"PYCARD","2.0","29108","29108","11.0","1.0","Clustered","29108","false","29108","PYCARD"
"ARHGAP45","2.0","23526","23526","11.0","1.0","Seed","23526","false","23526","ARHGAP45"
"RNASE3","2.0","6037","6037","11.0","1.0","Clustered","6037","false","6037","RNASE3"
"ACTR8","2.0","93973","93973","10.0","1.0","Seed","93973","false","93973","ACTR8"
"ING3","2.0","54556","54556","10.0","1.0","Clustered","54556","false","54556","ING3"
"ACTL6A","2.0","86","86","10.0","1.0","Clustered","86","false","86","ACTL6A"
"NSD1","4.0","64324","64324","8.0","1.2","Seed","64324","false","64324","NSD1"
"WSB2","2.0","55884","55884","8.0","1.2","Clustered","55884","false","55884","WSB2"
"AMBRA1","2.0","55626","55626","8.0","1.2","Clustered","55626","false","55626","AMBRA1"
"WDR5","2.0","11091","11091","8.0","1.2","Clustered","11091","false","11091","WDR5"
"ILF3","2.0","3609","3609","8.0","1.2","Clustered","3609","false","3609","ILF3"
"TMED2","3.0","10959","10959","9.0","1.25","Clustered","10959","false","10959","TMED2"
"PREB","2.0","10113","10113","9.0","1.25","Clustered","10113","false","10113","PREB"
"RPN2","3.0","6185","6185","9.0","1.25","Clustered","6185","false","6185","RPN2"
"ATP1A1","2.0","476","476","9.0","1.25","Seed","476","false","476","ATP1A1"
"MSL1","2.0","339287","339287","6.0","1.8888888888888888","Clustered","339287","false","339287","MSL1"
"INO80E","5.0","283899","283899","6.0","1.8888888888888888","Clustered","283899","false","283899","INO80E"
"EPC1","5.0","80314","80314","6.0","1.8888888888888888","Seed","80314","false","80314","EPC1"
"DMAP1","4.0","55929","55929","6.0","1.8888888888888888","Clustered","55929","false","55929","DMAP1"
"INO80D","4.0","54891","54891","6.0","1.8888888888888888","Clustered","54891","false","54891","INO80D"
"INO80","4.0","54617","54617","6.0","1.8888888888888888","Clustered","54617","false","54617","INO80"
"UCHL5","4.0","51377","51377","6.0","1.8888888888888888","Clustered","51377","false","51377","UCHL5"
"CCT4","5.0","10575","10575","6.0","1.8888888888888888","Clustered","10575","false","10575","CCT4"
"HYOU1","2.0","10525","10525","6.0","1.8888888888888888","Clustered","10525","false","10525","HYOU1"
"SMYD5","2.0","10322","10322","6.0","1.8888888888888888","Clustered","10322","false","10322","SMYD5"
"NUTF2","2.0","10204","10204","6.0","1.8888888888888888","Clustered","10204","false","10204","NUTF2"
"PAN2","4.0","9924","9924","6.0","1.8888888888888888","Clustered","9924","false","9924","PAN2"
"EIF4E2","5.0","9470","9470","6.0","1.8888888888888888","Clustered","9470","false","9470","EIF4E2"
"VPS72","4.0","6944","6944","6.0","1.8888888888888888","Clustered","6944","false","6944","VPS72"
"NFRKB","4.0","4798","4798","6.0","1.8888888888888888","Clustered","4798","false","4798","NFRKB"
"H2AZ1","4.0","3015","3015","6.0","1.8888888888888888","Clustered","3015","false","3015","H2AZ1"
"CFL1","3.0","1072","1072","6.0","1.8888888888888888","Clustered","1072","false","1072","CFL1"
"CCT6A","5.0","908","908","6.0","1.8888888888888888","Clustered","908","false","908","CCT6A"
"ADGRG3","4.0","222487","222487","7.0","2.0","Clustered","222487","false","222487","ADGRG3"
"SLC15A4","4.0","121260","121260","7.0","2.0","Seed","121260","false","121260","SLC15A4"
"SNAP23","4.0","8773","8773","7.0","2.0","Clustered","8773","false","8773","SNAP23"
"ITGB2","4.0","3689","3689","7.0","2.0","Clustered","3689","false","3689","ITGB2"
"ITGAM","4.0","3684","3684","7.0","2.0","Clustered","3684","false","3684","ITGAM"
"DOLPP1","3.0","57171","57171","5.0","2.1052631578947367","Clustered","57171","false","57171","DOLPP1"
"TRIM68","4.0","55128","55128","5.0","2.1052631578947367","Clustered","55128","false","55128","TRIM68"
"MAU2","4.0","23383","23383","5.0","2.1052631578947367","Clustered","23383","false","23383","MAU2"
"NUDC","2.0","10726","10726","5.0","2.1052631578947367","Clustered","10726","false","10726","NUDC"
"CCT2","6.0","10576","10576","5.0","2.1052631578947367","Clustered","10576","false","10576","CCT2"
"THRAP3","3.0","9967","9967","5.0","2.1052631578947367","Clustered","9967","false","9967","THRAP3"
"HSP90B1","4.0","7184","7184","5.0","2.1052631578947367","Clustered","7184","false","7184","HSP90B1"
"TCP1","7.0","6950","6950","5.0","2.1052631578947367","Clustered","6950","false","6950","TCP1"
"SRP19","2.0","6728","6728","5.0","2.1052631578947367","Clustered","6728","false","6728","SRP19"
"SFPQ","4.0","6421","6421","5.0","2.1052631578947367","Clustered","6421","false","6421","SFPQ"
"SEC13","3.0","6396","6396","5.0","2.1052631578947367","Clustered","6396","false","6396","SEC13"
"RPN1","10.0","6184","6184","5.0","2.1052631578947367","Clustered","6184","false","6184","RPN1"
"PRKDC","5.0","5591","5591","5.0","2.1052631578947367","Clustered","5591","false","5591","PRKDC"
"PDCL","3.0","5082","5082","5.0","2.1052631578947367","Clustered","5082","false","5082","PDCL"
"IGBP1","5.0","3476","3476","5.0","2.1052631578947367","Clustered","3476","false","3476","IGBP1"
"HSPE1","3.0","3336","3336","5.0","2.1052631578947367","Clustered","3336","false","3336","HSPE1"
"DDX6","2.0","1656","1656","5.0","2.1052631578947367","Clustered","1656","false","1656","DDX6"
"DDOST","7.0","1650","1650","5.0","2.1052631578947367","Clustered","1650","false","1650","DDOST"
"DAD1","3.0","1603","1603","5.0","2.1052631578947367","Seed","1603","false","1603","DAD1"
"GATAD2B","4.0","57459","57459","3.0","2.6500000000000004","Clustered","57459","false","57459","GATAD2B"
"FZR1","4.0","51343","51343","3.0","2.6500000000000004","Clustered","51343","false","51343","FZR1"
"GMPPB","4.0","29925","29925","3.0","2.6500000000000004","Clustered","29925","false","29925","GMPPB"
"SIN3A","7.0","25942","25942","3.0","2.6500000000000004","Clustered","25942","false","25942","SIN3A"
"BRD1","3.0","23774","23774","3.0","2.6500000000000004","Clustered","23774","false","23774","BRD1"
"SIRT1","5.0","23411","23411","3.0","2.6500000000000004","Clustered","23411","false","23411","SIRT1"
"CCT8","8.0","10694","10694","3.0","2.6500000000000004","Clustered","10694","false","10694","CCT8"
"IPO8","3.0","10526","10526","3.0","2.6500000000000004","Clustered","10526","false","10526","IPO8"
"RNF40","3.0","9810","9810","3.0","2.6500000000000004","Clustered","9810","false","9810","RNF40"
"SOD1","6.0","6647","6647","3.0","2.6500000000000004","Clustered","6647","false","6647","SOD1"
"SUMO2","10.0","6613","6613","3.0","2.6500000000000004","Clustered","6613","false","6613","SUMO2"
"RBBP5","4.0","5929","5929","3.0","2.6500000000000004","Clustered","5929","false","5929","RBBP5"
"RANGAP1","3.0","5905","5905","3.0","2.6500000000000004","Clustered","5905","false","5905","RANGAP1"
"PPIA","7.0","5478","5478","3.0","2.6500000000000004","Clustered","5478","false","5478","PPIA"
"PMM2","7.0","5373","5373","3.0","2.6500000000000004","Seed","5373","false","5373","PMM2"
"PHF1","4.0","5252","5252","3.0","2.6500000000000004","Clustered","5252","false","5252","PHF1"
"HDAC1","10.0","3065","3065","3.0","2.6500000000000004","Clustered","3065","false","3065","HDAC1"
"FARSA","4.0","2193","2193","3.0","2.6500000000000004","Clustered","2193","false","2193","FARSA"
"CEBPB","5.0","1051","1051","3.0","2.6500000000000004","Clustered","1051","false","1051","CEBPB"
"ATP6V1C1","5.0","528","528","3.0","2.6500000000000004","Clustered","528","false","528","ATP6V1C1"
"NUP43","5.0","348995","348995","2.0","3.75","Clustered","348995","false","348995","NUP43"
"NUP35","5.0","129401","129401","2.0","3.75","Clustered","129401","false","129401","NUP35"
"DPY30","12.0","84661","84661","2.0","3.75","Clustered","84661","false","84661","DPY30"
