,display.name,cd11b.y
93,COX8A,-0.453476187
94,CPSF1,-0.78986121
95,CPSF4,-0.434613986
96,CPT2,-0.383407597
97,CREB1,-0.765497467
98,CRLF3,-0.440003796
99,CSDE1,-0.450113175
100,CSTF1,-0.404537219
101,CSTF3,-0.470901564
102,CTAGE5,-0.811219413
103,CTR9,-1.679753638
104,CUL1,-2.25583454
105,CXXC1,-0.733852076
106,CYP2C18,-0.398751495
107,DAD1,-0.653683948
108,DBR1,-2.165573791
109,DCD,-0.457884445
110,DCP2,-0.783927089
111,DDOST,-0.430018375
112,DDX6,-0.630346656
113,DEK,-0.502972968
114,DENND3,-0.463137098
115,DHDDS,-0.578443445
116,DHODH,-0.473807907
117,DHRS7B,-0.403531875
118,DHX15,-0.852255202
119,DHX35,-0.511268851
120,DLAT,-0.413472366
121,DMAP1,-1.056538526
122,DNAJC24,-0.418135227
123,DNASE2,-0.383541203
124,DNMT3A,-0.423124635
125,DNTTIP1,-0.523416605
126,DOLPP1,-0.927977765
127,DPAGT1,-1.749013675
128,DPH2,-0.424472895
129,DPH5,-0.512699704
130,DPPA3,-0.49574195
131,DPY30,-1.152809706
132,DRAP1,-0.404318578
133,DUSP10,-0.390380484
134,DYDC2,-0.530384475
135,E2F8,-0.662131492
136,E4F1,-0.421177632
137,EEF1G,-0.476494066
138,EIF2B3,-0.490849732
139,EIF2B4,-0.461883382
140,EIF2B5,-0.439054388
141,EIF4E2,-0.661145754
142,EIF5A,-0.481160464
143,ELAVL1,-0.384159101
144,ELOF1,-3.005418295
145,EPC1,-0.51780673
146,ERVMER34-1,-0.413630824
147,ETS1,-0.471199534
148,ETV4,-0.428680526
149,EXOC2,-0.993300817
150,EXOC4,-0.71174236
151,EXOC6,-0.512160587
152,FAM103A1,-0.702091564
153,FAM122A,-0.739917761
154,FAM150B,-0.456552899
155,FAM175A,-0.417908986
156,FAM217A,-0.449963035
157,FAM84A,-0.416115485
158,FAM98A,-0.404656332
159,FARSA,-0.705211678
160,FBXO11,-0.778985092
161,FBXO42,-0.735765285
162,FCGR1A,-0.646640519
163,FCGR1B,-0.608523002
164,FIBP,-0.564270136
165,FIP1L1,-1.098868753
166,FLI1,-0.441854548
167,FNIP1,-0.492660176
168,FZR1,-0.613478175
169,GABPB1,-1.148883391
170,GAL3ST4,-0.486067564
171,GATAD2B,-0.903012974
172,GFPT1,-0.566111269
173,GIGYF2,-0.829621884
174,GLMN,-0.46448444
175,GMPPB,-0.683016752
176,GNPNAT1,-0.571862716
177,GOLM1,-0.482414612
178,GPN3,-0.502811181
179,GPR174,-0.401831183
180,GPR27,-0.478086866
181,GPR62,-0.426868064
182,GPS2,-0.787781311
183,GTF3C1,-0.699308011
184,GTF3C3,-0.764871048
185,GTF3C6,-0.428798729
186,H2AFZ,-0.401076493
187,HARS,-1.385247057
188,HCFC1,-0.408360859
189,HDAC1,-0.940740977
190,HDAC2,-0.417965611
191,HDAC7,-0.774453997
192,HHLA3,-0.44103935
193,HMHA1,-0.791293821
194,HNRNPA2B1,-0.603918019
195,HNRNPDL,-0.72853957
196,HNRNPUL2,-0.518676443
197,HPGDS,-0.481999346
198,HSD11B1L,-0.625250261
199,HSP90B1,-0.499296154
200,HSPE1,-0.414455283
201,HSPE1-MOB4,-0.676024356
202,HUWE1,-0.435915338
203,HYOU1,-0.952573236
204,ID1,-0.39638818
205,IFT81,-0.436657036
206,IGBP1,-0.48248465
207,IGSF3,-0.418071911
208,IL16,-0.407117861
209,IL1RL1,-0.420171148
210,IL6ST,-0.535026465
211,ILF3,-0.553656506
212,ING1,-0.784775466
213,ING2,-0.539951884
214,ING3,-0.446381806
215,INO80,-0.493781351
216,INO80D,-0.535486474
217,INO80E,-0.559236525
218,INPP5D,-0.387855034
219,INTS3,-0.888001202
220,INTS5,-0.505829462
221,INTS6,-0.392659163
222,IPO8,-0.740252753
223,IPPK,-0.447444823
224,IRX3,-0.435455514
225,ITGAM,-3.806033778
226,ITGB2,-2.374042197
227,IWS1,-1.443159419
228,JUNB,-0.478719243
