,Symbol,canonicalName,DEGREE,Gene,id,MCODE_CLUSTER_ID,MCODE_SCORE,MCODE_TYPE,name,selected,shared.name,cd11b
30,CUL1,CUL1,13,8454,8454,1,5.73913043478261,Clustered,8454,false,8454,-2.25583454
31,CXXC1,CXXC1,10,30827,30827,2,3.75,Clustered,30827,false,30827,-0.733852076
32,DAD1,DAD1,3,1603,1603,5,2.10526315789474,Seed,1603,false,1603,-0.653683948
33,DDOST,DDOST,7,1650,1650,5,2.10526315789474,Clustered,1650,false,1650,-0.430018375
34,DDX6,DDX6,2,1656,1656,5,2.10526315789474,Clustered,1656,false,1656,-0.630346656
35,DHX15,DHX15,18,1665,1665,4,9,Clustered,1665,false,1665,-0.852255202
36,DMAP1,DMAP1,4,55929,55929,6,1.88888888888889,Clustered,55929,false,55929,-1.056538526
37,DNTTIP1,DNTTIP1,7,116092,116092,1,5.73913043478261,Clustered,116092,false,116092,-0.523416605
38,DOLPP1,DOLPP1,3,57171,57171,5,2.10526315789474,Clustered,57171,false,57171,-0.927977765
39,DPY30,DPY30,12,84661,84661,2,3.75,Clustered,84661,false,84661,-1.152809706
40,EEF1G,EEF1G,4,1937,1937,2,3.75,Seed,1937,false,1937,-0.476494066
41,EIF2B3,EIF2B3,2,8891,8891,13,1,Clustered,8891,false,8891,-0.490849732
42,EIF2B4,EIF2B4,2,8890,8890,13,1,Seed,8890,false,8890,-0.461883382
43,EIF2B5,EIF2B5,2,8893,8893,13,1,Clustered,8893,false,8893,-0.439054388
44,EIF4E2,EIF4E2,5,9470,9470,6,1.88888888888889,Clustered,9470,false,9470,-0.661145754
45,ELAVL1,ELAVL1,18,1994,1994,4,9,Clustered,1994,false,1994,-0.384159101
46,EPC1,EPC1,5,80314,80314,6,1.88888888888889,Seed,80314,false,80314,-0.51780673
47,EXOC2,EXOC2,2,55770,55770,14,1,Clustered,55770,false,55770,-0.993300817
48,EXOC4,EXOC4,2,60412,60412,14,1,Clustered,60412,false,60412,-0.71174236
49,EXOC6,EXOC6,2,54536,54536,14,1,Clustered,54536,false,54536,-0.512160587
50,FARSA,FARSA,4,2193,2193,3,2.65,Clustered,2193,false,2193,-0.705211678
