Gene,Non-leukemia,Leukemia,Leukemia/Non-leukemia
NEDD8,-1.521957864,-1.645121613,-0.123163749
NEDD9,0.002676616,0.020176398,0.017499781
NEFH,-0.000767629,0.047252334,0.048019962
NEFM,-0.065726904,-0.036226958,0.029499946
NEGR1,-0.034568342,-0.003900054,0.030668288
NEIL1,-0.049245889,-0.025433594,0.023812295
NEIL2,0.092827656,0.056356521,-0.036471135
NEIL3,0.163488174,0.205510744,0.042022569
NEK1,-0.119285082,-0.157540228,-0.038255146
NEK10,-0.083459686,-0.0347154,0.048744285
NEK11,0.076463617,0.087493913,0.011030297
NEK2,-0.299267028,-0.304947704,-0.005680676
NEK4,-0.173864014,-0.156514299,0.017349715
NEK5,-0.105155425,-0.10837834,-0.003222915
NEK6,-0.317465046,-0.284819818,0.032645228
NEK7,-0.069207197,-0.067257284,0.001949913
NEK8,-0.016035521,-0.035202992,-0.01916747
NEK9,-0.015011103,-0.024891773,-0.009880669
NELFA,-0.961468412,-0.921020001,0.040448411
NELFB,-1.481955919,-1.548623786,-0.066667868
NELFCD,-0.572732792,-0.562493653,0.010239139
NELFE,-0.597327686,-0.585454596,0.01187309
NELL1,0.378956961,0.376072041,-0.00288492
NELL2,-0.156411861,-0.132696388,0.023715473
NEMF,-0.452445903,-0.37921178,0.073234124
NENF,-0.175376188,-0.08826735,0.087108838
NEO1,-0.074063946,-0.104346768,-0.030282822
NES,-0.247448436,-0.237497592,0.009950844
NET1,-0.076304004,-0.010275497,0.066028507
NETO1,0.062563068,0.058767162,-0.003795906
NETO2,-0.006237512,-0.064374878,-0.058137366
NEU1,-0.137875911,-0.215864338,-0.077988427
NEU2,-0.21303131,-0.192366094,0.020665216
NEU3,-0.116178782,-0.087968331,0.028210452
NEU4,0.119947253,0.047941317,-0.072005937
NEURL1,0.001503474,0.025238848,0.023735374
NEURL1B,-0.076020519,-0.025457871,0.050562648
NEURL2,0.154854014,0.143410624,-0.01144339
NEURL4,-0.011163682,0.034516586,0.045680268
NEUROD1,0.042134448,0.027517689,-0.014616759
NEUROD2,-0.048483475,-0.049644774,-0.001161299
NEUROD4,0.110789238,0.110041429,-0.000747809
NEUROD6,0.115806753,0.155962484,0.040155732
NEUROG1,0.028778307,0.019394733,-0.009383574
NEUROG2,0.158511774,0.130681523,-0.02783025
NEUROG3,-0.344780284,-0.382731949,-0.037951666
NEXN,-0.062096578,-0.061996113,0.000100465
NF1,-0.048904653,-0.030292294,0.01861236
NF2,0.176638466,0.168988603,-0.007649863
NFAM1,0.109019831,0.123636029,0.014616198
NFASC,-0.03391041,-0.010310655,0.023599755
NFAT5,0.023651059,0.004217099,-0.01943396
NFATC1,0.125566779,0.042549414,-0.083017365
NFATC2,0.046790351,0.057471064,0.010680713
NFATC2IP,-0.471581851,-0.439408365,0.032173486
NFATC3,-0.074016323,-0.142532256,-0.068515933
NFATC4,0.019462204,0.00303358,-0.016428623
NFE2,-0.269813285,-0.295201832,-0.025388547
NFE2L1,-0.084836863,-0.079809949,0.005026914
NFE2L2,-0.333237527,-0.211008526,0.122229001
NFE2L3,-0.249296133,-0.275771132,-0.026474999
NFIA,-0.091590315,-0.081745939,0.009844376
NFIB,-0.176563337,-0.102310951,0.074252386
NFIC,-0.061656827,-0.024825524,0.036831303
