0_1,0_2,4_1,4_2,8_1,8_2,12_1,12_2,24_1,24_2,36_1,36_2,48_1,48_2,72_1,72_2
Ebf1,0.0605268230436681,0.0608324152247022,0.0572026644068835,0.0555556935503826,0.0445417253025657,0.0478742723469476,0.0184621523221516,0.0256213166183696,-0.0277630044779003,-0.0299850722972273,-0.0505280748811538,-0.0496618512334754,-0.0505189635798975,-0.0520954049475314,-0.0502678714912782,-0.0478025027724465
Runx1,0.0430710119629404,0.0462252910465622,0.0397191404451331,0.040086590678779,0.0282077552874037,0.0311995654993336,0.0134969640058004,0.0201140785710438,-0.0107632202529582,-0.0139685173440262,-0.0320111916897582,-0.0311218806730873,-0.0396993949066059,-0.0408019189348515,-0.0437755549771159,-0.0438960827659497
Runx3,0.0430710119629404,0.0462252910465622,0.0397191404451331,0.040086590678779,0.0282077552874037,0.0311995654993336,0.0134969640058004,0.0201140785710438,-0.0107632202529582,-0.0139685173440262,-0.0320111916897582,-0.0311218806730873,-0.0396993949066059,-0.0408019189348515,-0.0437755549771159,-0.0438960827659497
Runx2,0.0343452349530456,0.037821077757407,0.0339739015371643,0.033557877384517,0.0234076181752834,0.0256683747313081,0.010441245493527,0.0165539918861753,-0.00962651319480254,-0.0116261384246845,-0.0268246366107338,-0.0267089722868209,-0.0317042962467854,-0.0337876949739854,-0.0350229407804042,-0.0355045172220579
Gata1,0.0254425507105901,0.0286056522223535,0.0250232234264309,0.0223511110248761,0.0456387661851404,0.0423875617068299,0.0415113378250414,0.0504867400219825,0.00332678058789351,-0.00048554201294302,-0.0319645020470981,-0.0299931792510871,-0.0451885346485977,-0.0459707395133308,-0.0621672163550952,-0.0619695872778364
Atf5,-0.0641847397202686,-0.0612859582181871,-0.0589239490063085,-0.0595163210367475,-0.0409072843476497,-0.0456954687055881,-0.0166140930235383,-0.0120214835339248,0.0404043031779163,0.0373973584528573,0.042405668439374,0.0437657712957777,0.0442260047597585,0.0429100960631997,0.0495539207913047,0.0441682323241657
Gata2,0.0331528010178928,0.0351627969026808,0.0311728090091202,0.0285950180789883,0.0500816775549581,0.0467494200611164,0.0447883373622421,0.0546535984868593,0.00312267973248385,-0.00172143155847076,-0.0361467721035343,-0.0331269830023202,-0.051670419229134,-0.0510670562197273,-0.0732399529725479,-0.0721097522190986
Gata4,0.0284738220867709,0.029835078512313,0.0262203781918896,0.0228644068378726,0.0486097929483481,0.0478421857585258,0.049277402412575,0.0581101023505207,0.0049839133493206,-0.000199167010775787,-0.0353339794723307,-0.03305620745078,-0.0515210013393309,-0.0507332995305938,-0.0688213993686668,-0.0685728218001541
Myog,0.0251985648568393,0.0284458437513749,0.0262896078018608,0.0241818660980927,0.0160455088994189,0.0176215957316708,0.00454870315624838,0.0111466905652112,-0.00896585815665643,-0.0120117796180907,-0.0178889907206434,-0.0192083037380833,-0.0199217734077931,-0.0199764067574006,-0.0268060351405307,-0.0252581818697308
Gata5,0.0209794414586298,0.0240824121827251,0.0209716400473234,0.0178933596213149,0.046802404112742,0.0418886968140632,0.0493910528321588,0.0584387582821878,0.0107017224133907,0.00515715781846729,-0.0292097611200247,-0.0280936427119106,-0.0474113849831103,-0.0460011942428301,-0.0685590886562985,-0.0707280474426368
Nfix,0.0387885280264829,0.0409316009428531,0.0347572493354417,0.0362374060652988,0.0292814078327611,0.0298842679988612,0.0152566585350842,0.0215934075342045,-0.0171153001519052,-0.0149990927238909,-0.0307891063439851,-0.0305040760059436,-0.0345061955171784,-0.0379510094993065,-0.0381042189025727,-0.0361526564835271
