Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0022613,ribonucleoprotein complex biogenesis,19_GO:0009987 cellular process,-88,14,36,30242,463,500,105,21,1.8,705|1207|1662|1736|3692|4839|4869|4931|5394|6135|6202|6218|6232|6234|6632|6634|6637|6838|7514|7919|8562|8602|8667|9092|9129|9136|9188|9277|9790|10171|10199|10200|10514|10556|10594|10607|10772|10799|10813|10885|10907|11103|11157|22984|23195|23212|23223|23404|23481|24148|25926|26121|26284|26574|27042|27292|27340|29093|29889|51010|51018|51068|51077|51118|51367|51441|54433|54475|54512|54552|54606|54680|54853|55015|55035|55153|55272|55505|55651|55661|55759|55781|55813|56915|57050|57647|57819|64745|64963|65083|80135|83732|84128|84154|84549|84916|84946|91746|92856|114049|118460|121053|153443|401466|494115,BYSL|CLNS1A|DDX10|DKC1|EIF6|NOP2|NPM1|NVL|EXOSC10|RPL11|RPS8|RPS17|RPS27|RPS28|SNRPD1|SNRPD3|SNRPG|SURF6|XPO1|DDX39B|DENR|NOP14|EIF3H|SART1|PRPF3|RRP9|DDX21|WDR46|BMS1|RCL1|MPHOSPH10|MPHOSPH6|MYBBP1A|RPP30|PRPF8|TBL3|SRSF10|RPP40|UTP14A|WDR3|TXNL4A|KRR1|LSM6|PDCD11|MDN1|RRS1|RRP12|EXOSC2|PES1|PRPF6|NOL11|PRPF31|ERAL1|AATF|UTP25|DIMT1|UTP20|MRPL22|GNL2|EXOSC3|RRP15|NMD3|FCF1|UTP11|POP5|YTHDF2|GAR1|NLE1|EXOSC4|GNL3L|DDX56|ZNHIT6|WDR55|PRPF39|NOL8|SDAD1|IMP3|NOP10|NHP2|DDX27|WDR12|RIOK2|UTP6|EXOSC5|UTP3|DHX37|LSM2|METTL17|MRPS11|NOL6|RPF1|RIOK1|WDR75|RPF2|MAK16|UTP4|LTV1|YTHDC1|IMP4|BUD23|EXOSC6|NOPCHAP1|SRFBP1|RBIS|RBMXL1,-83,MyList
GO Biological Processes,19,GO:0042254,ribosome biogenesis,19_GO:0009987 cellular process,-83,18,37,30242,299,500,87,17,1.7,705|1662|1736|3692|4839|4869|4931|5394|6135|6202|6218|6232|6234|6838|7514|8602|9092|9136|9188|9277|9790|10171|10199|10200|10514|10556|10607|10799|10813|10885|11103|11157|22984|23195|23212|23223|23404|23481|25926|26284|26574|27042|27292|27340|29093|29889|51010|51018|51068|51077|51118|51367|51441|54433|54475|54512|54552|54606|54680|54853|55035|55153|55272|55505|55651|55661|55759|55781|55813|56915|57050|57647|64745|64963|65083|80135|83732|84128|84154|84549|84916|84946|92856|114049|118460|153443|401466,BYSL|DDX10|DKC1|EIF6|NOP2|NPM1|NVL|EXOSC10|RPL11|RPS8|RPS17|RPS27|RPS28|SURF6|XPO1|NOP14|SART1|RRP9|DDX21|WDR46|BMS1|RCL1|MPHOSPH10|MPHOSPH6|MYBBP1A|RPP30|TBL3|RPP40|UTP14A|WDR3|KRR1|LSM6|PDCD11|MDN1|RRS1|RRP12|EXOSC2|PES1|NOL11|ERAL1|AATF|UTP25|DIMT1|UTP20|MRPL22|GNL2|EXOSC3|RRP15|NMD3|FCF1|UTP11|POP5|YTHDF2|GAR1|NLE1|EXOSC4|GNL3L|DDX56|ZNHIT6|WDR55|NOL8|SDAD1|IMP3|NOP10|NHP2|DDX27|WDR12|RIOK2|UTP6|EXOSC5|UTP3|DHX37|METTL17|MRPS11|NOL6|RPF1|RIOK1|WDR75|RPF2|MAK16|UTP4|LTV1|IMP4|BUD23|EXOSC6|SRFBP1|RBIS,-79,MyList
Reactome Gene Sets,6,R-HSA-8953854,Metabolism of RNA,,-76,9.9,30,30242,673,500,110,22,1.9,705|902|1022|1207|1432|1736|1981|2071|2733|2968|3028|4839|4848|4849|4928|5356|5394|5682|5685|5688|5693|5695|5709|5710|5725|6135|6158|6173|6202|6218|6232|6234|6632|6634|6637|7514|7919|8480|8602|9092|9128|9129|9136|9188|9277|9343|9790|10073|10171|10199|10200|10250|10285|10556|10594|10607|10772|10799|10813|10885|10907|10992|11103|11157|22794|22984|23019|23404|23450|23481|23636|24148|25926|26121|27042|27292|27316|27340|51010|51077|51118|51367|51690|54433|54512|54881|54931|55272|55505|55651|55759|55781|55813|56339|56915|57050|57187|57647|57721|57819|65083|79084|83443|83732|84128|84916|84946|92856|114049|118460,BYSL|CCNH|CDK7|CLNS1A|MAPK14|DKC1|EIF4G1|ERCC3|GLE1|GTF2H4|HSD17B10|NOP2|CNOT2|CNOT3|NUP98|PLRG1|EXOSC10|PSMA1|PSMA4|PSMA7|PSMB5|PSMB7|PSMD3|PSMD4|PTBP1|RPL11|RPL28|RPL36A|RPS8|RPS17|RPS27|RPS28|SNRPD1|SNRPD3|SNRPG|XPO1|DDX39B|RAE1|NOP14|SART1|PRPF4|PRPF3|RRP9|DDX21|WDR46|EFTUD2|BMS1|SNUPN|RCL1|MPHOSPH10|MPHOSPH6|SRRM1|SMNDC1|RPP30|PRPF8|TBL3|SRSF10|RPP40|UTP14A|WDR3|TXNL4A|SF3B2|KRR1|LSM6|CASC3|PDCD11|CNOT1|EXOSC2|SF3B3|PES1|NUP62|PRPF6|NOL11|PRPF31|UTP25|DIMT1|RBMX|UTP20|EXOSC3|FCF1|UTP11|POP5|LSM7|GAR1|EXOSC4|TEX10|TRMT10C|IMP3|NOP10|NHP2|WDR12|RIOK2|UTP6|METTL3|EXOSC5|UTP3|THOC2|DHX37|METTL14|LSM2|NOL6|WDR77|SF3B5|RIOK1|WDR75|UTP4|LTV1|IMP4|BUD23|EXOSC6,-72,MyList
GO Biological Processes,19,GO:0006364,rRNA processing,19_GO:0008152 metabolic process,-72,19,36,30242,225,500,72,14,1.6,705|1662|1736|3692|4839|4931|5394|6135|6202|6218|6232|6234|8602|9092|9136|9188|9277|9790|10171|10199|10200|10556|10607|10799|10813|10885|11103|11157|22984|23195|23212|23223|23404|23481|25926|27042|27292|27340|51010|51018|51077|51118|51367|51441|54433|54512|54606|54680|54853|55035|55272|55505|55651|55661|55759|55781|55813|56915|57050|57647|64963|65083|80135|83732|84128|84154|84549|84916|92856|114049|118460|153443,BYSL|DDX10|DKC1|EIF6|NOP2|NVL|EXOSC10|RPL11|RPS8|RPS17|RPS27|RPS28|NOP14|SART1|RRP9|DDX21|WDR46|BMS1|RCL1|MPHOSPH10|MPHOSPH6|RPP30|TBL3|RPP40|UTP14A|WDR3|KRR1|LSM6|PDCD11|MDN1|RRS1|RRP12|EXOSC2|PES1|NOL11|UTP25|DIMT1|UTP20|EXOSC3|RRP15|FCF1|UTP11|POP5|YTHDF2|GAR1|EXOSC4|DDX56|ZNHIT6|WDR55|NOL8|IMP3|NOP10|NHP2|DDX27|WDR12|RIOK2|UTP6|EXOSC5|UTP3|DHX37|MRPS11|NOL6|RPF1|RIOK1|WDR75|RPF2|MAK16|UTP4|IMP4|BUD23|EXOSC6|SRFBP1,-68,MyList
GO Biological Processes,19,GO:0016072,rRNA metabolic process,19_GO:0008152 metabolic process,-70,18,35,30242,236,500,72,14,1.6,705|1662|1736|3692|4839|4931|5394|6135|6202|6218|6232|6234|8602|9092|9136|9188|9277|9790|10171|10199|10200|10556|10607|10799|10813|10885|11103|11157|22984|23195|23212|23223|23404|23481|25926|27042|27292|27340|51010|51018|51077|51118|51367|51441|54433|54512|54606|54680|54853|55035|55272|55505|55651|55661|55759|55781|55813|56915|57050|57647|64963|65083|80135|83732|84128|84154|84549|84916|92856|114049|118460|153443,BYSL|DDX10|DKC1|EIF6|NOP2|NVL|EXOSC10|RPL11|RPS8|RPS17|RPS27|RPS28|NOP14|SART1|RRP9|DDX21|WDR46|BMS1|RCL1|MPHOSPH10|MPHOSPH6|RPP30|TBL3|RPP40|UTP14A|WDR3|KRR1|LSM6|PDCD11|MDN1|RRS1|RRP12|EXOSC2|PES1|NOL11|UTP25|DIMT1|UTP20|EXOSC3|RRP15|FCF1|UTP11|POP5|YTHDF2|GAR1|EXOSC4|DDX56|ZNHIT6|WDR55|NOL8|IMP3|NOP10|NHP2|DDX27|WDR12|RIOK2|UTP6|EXOSC5|UTP3|DHX37|MRPS11|NOL6|RPF1|RIOK1|WDR75|RPF2|MAK16|UTP4|IMP4|BUD23|EXOSC6|SRFBP1,-66,MyList
GO Biological Processes,19,GO:0034470,ncRNA processing,19_GO:0008152 metabolic process,-62,12,29,30242,395,500,80,16,1.6,705|1662|1736|2926|3028|3692|4839|4931|5394|6135|6202|6218|6232|6234|8602|9092|9136|9188|9277|9790|10171|10199|10200|10556|10607|10799|10813|10885|11103|11157|22984|23195|23212|23223|23404|23481|25926|27042|27292|27340|51010|51018|51077|51118|51367|51441|54433|54512|54606|54680|54853|54931|55035|55272|55505|55651|55661|55756|55759|55781|55813|56339|56915|57050|57647|64963|65083|80135|81556|83732|84128|84154|84549|84916|92105|92856|114049|118460|138716|153443,BYSL|DDX10|DKC1|GRSF1|HSD17B10|EIF6|NOP2|NVL|EXOSC10|RPL11|RPS8|RPS17|RPS27|RPS28|NOP14|SART1|RRP9|DDX21|WDR46|BMS1|RCL1|MPHOSPH10|MPHOSPH6|RPP30|TBL3|RPP40|UTP14A|WDR3|KRR1|LSM6|PDCD11|MDN1|RRS1|RRP12|EXOSC2|PES1|NOL11|UTP25|DIMT1|UTP20|EXOSC3|RRP15|FCF1|UTP11|POP5|YTHDF2|GAR1|EXOSC4|DDX56|ZNHIT6|WDR55|TRMT10C|NOL8|IMP3|NOP10|NHP2|DDX27|INTS9|WDR12|RIOK2|UTP6|METTL3|EXOSC5|UTP3|DHX37|MRPS11|NOL6|RPF1|INTS14|RIOK1|WDR75|RPF2|MAK16|UTP4|INTS4|IMP4|BUD23|EXOSC6|RPP25L|SRFBP1,-59,MyList
GO Biological Processes,19,GO:0034660,ncRNA metabolic process,19_GO:0008152 metabolic process,-59,10,27,30242,487,500,84,17,1.7,705|1662|1736|2926|3028|3692|4839|4931|5394|6135|6202|6218|6232|6234|8602|9092|9136|9188|9277|9790|10171|10199|10200|10556|10607|10799|10813|10885|11103|11157|22984|23195|23212|23223|23404|23481|25926|27042|27292|27340|51010|51018|51067|51077|51118|51367|51441|54433|54512|54606|54680|54853|54931|55035|55272|55505|55651|55661|55756|55759|55781|55813|56339|56915|57038|57050|57176|57510|57647|64963|65083|80135|81556|83732|84128|84154|84549|84916|92105|92856|114049|118460|138716|153443,BYSL|DDX10|DKC1|GRSF1|HSD17B10|EIF6|NOP2|NVL|EXOSC10|RPL11|RPS8|RPS17|RPS27|RPS28|NOP14|SART1|RRP9|DDX21|WDR46|BMS1|RCL1|MPHOSPH10|MPHOSPH6|RPP30|TBL3|RPP40|UTP14A|WDR3|KRR1|LSM6|PDCD11|MDN1|RRS1|RRP12|EXOSC2|PES1|NOL11|UTP25|DIMT1|UTP20|EXOSC3|RRP15|YARS2|FCF1|UTP11|POP5|YTHDF2|GAR1|EXOSC4|DDX56|ZNHIT6|WDR55|TRMT10C|NOL8|IMP3|NOP10|NHP2|DDX27|INTS9|WDR12|RIOK2|UTP6|METTL3|EXOSC5|RARS2|UTP3|VARS2|XPO5|DHX37|MRPS11|NOL6|RPF1|INTS14|RIOK1|WDR75|RPF2|MAK16|UTP4|INTS4|IMP4|BUD23|EXOSC6|RPP25L|SRFBP1,-56,MyList
Reactome Gene Sets,6,R-HSA-72312,rRNA processing,,-53,17,30,30242,204,500,57,11,1.4,705|1736|3028|4839|5394|6135|6158|6173|6202|6218|6232|6234|8602|9136|9188|9277|9790|10171|10199|10200|10556|10607|10799|10813|10885|11103|22984|23404|23481|25926|27042|27292|27340|51010|51077|51118|54433|54512|54881|54931|55272|55505|55651|55759|55781|55813|56915|57050|57647|65083|83732|84128|84916|84946|92856|114049|118460,BYSL|DKC1|HSD17B10|NOP2|EXOSC10|RPL11|RPL28|RPL36A|RPS8|RPS17|RPS27|RPS28|NOP14|RRP9|DDX21|WDR46|BMS1|RCL1|MPHOSPH10|MPHOSPH6|RPP30|TBL3|RPP40|UTP14A|WDR3|KRR1|PDCD11|EXOSC2|PES1|NOL11|UTP25|DIMT1|UTP20|EXOSC3|FCF1|UTP11|GAR1|EXOSC4|TEX10|TRMT10C|IMP3|NOP10|NHP2|WDR12|RIOK2|UTP6|EXOSC5|UTP3|DHX37|NOL6|RIOK1|WDR75|UTP4|LTV1|IMP4|BUD23|EXOSC6,-49,MyList
Reactome Gene Sets,6,R-HSA-8868773,rRNA processing in the nucleus and cytosol,,-51,17,29,30242,194,500,55,11,1.4,705|1736|4839|5394|6135|6158|6173|6202|6218|6232|6234|8602|9136|9188|9277|9790|10171|10199|10200|10556|10607|10799|10813|10885|11103|22984|23404|23481|25926|27042|27292|27340|51010|51077|51118|54433|54512|54881|55272|55505|55651|55759|55781|55813|56915|57050|57647|65083|83732|84128|84916|84946|92856|114049|118460,BYSL|DKC1|NOP2|EXOSC10|RPL11|RPL28|RPL36A|RPS8|RPS17|RPS27|RPS28|NOP14|RRP9|DDX21|WDR46|BMS1|RCL1|MPHOSPH10|MPHOSPH6|RPP30|TBL3|RPP40|UTP14A|WDR3|KRR1|PDCD11|EXOSC2|PES1|NOL11|UTP25|DIMT1|UTP20|EXOSC3|FCF1|UTP11|GAR1|EXOSC4|TEX10|IMP3|NOP10|NHP2|WDR12|RIOK2|UTP6|EXOSC5|UTP3|DHX37|NOL6|RIOK1|WDR75|UTP4|LTV1|IMP4|BUD23|EXOSC6,-48,MyList
Reactome Gene Sets,6,R-HSA-6791226,Major pathway of rRNA processing in the nucleolus and cytosol,,-44,16,27,30242,184,500,49,9.8,1.3,705|5394|6135|6158|6173|6202|6218|6232|6234|8602|9136|9188|9277|9790|10171|10199|10200|10556|10607|10799|10813|10885|11103|22984|23404|23481|25926|27042|27340|51010|51077|51118|54512|54881|55272|55759|55781|55813|56915|57050|57647|65083|83732|84128|84916|84946|92856|114049|118460,BYSL|EXOSC10|RPL11|RPL28|RPL36A|RPS8|RPS17|RPS27|RPS28|NOP14|RRP9|DDX21|WDR46|BMS1|RCL1|MPHOSPH10|MPHOSPH6|RPP30|TBL3|RPP40|UTP14A|WDR3|KRR1|PDCD11|EXOSC2|PES1|NOL11|UTP25|UTP20|EXOSC3|FCF1|UTP11|EXOSC4|TEX10|IMP3|WDR12|RIOK2|UTP6|EXOSC5|UTP3|DHX37|NOL6|RIOK1|WDR75|UTP4|LTV1|IMP4|BUD23|EXOSC6,-41,MyList
