_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-3.3,PGB:00036,M1,1,0,PaGenBase,36,Cell-specific: MOLT4,,-3.3,4,4.5,30242,137,500,9,1.8,0.59,1656|3622|4113|4820|5172|8314|10225|10803|54556,DDX6|ING2|MAGEB2|NKTR|SLC26A4|BAP1|CD96|CCR9|ING3,-1.2,0
1,-2,PGB:00051,M1,1,0,PaGenBase,36,Tissue-specific: Cerebellum,,-2,3,3.1,30242,141,500,7,1.4,0.53,869|10694|10766|23248|23774|30827|54784,CBLN1|CCT8|TOB2|RPRD2|BRD1|CXXC1|ALKBH4,-0.37,0
