,Ung,Pcna,Rrm2,Aurka,Mcm2,Clspn,Cdca2,Cenpe,Spi1,Gsn,Fcgr3,Tyrobp,bc
0,1.4997529983520508,0,13.497776985168457,0,1.4997529983520508,4.499258995056152,0,0,13.497776985168457,0,5.999011993408203,37.49382400512695,E2 w/d 48h
1,0,0,0,0,1.6277978420257568,0,0,0,8.138989448547363,6.511191368103027,4.883393287658691,53.71732711791992,E2 w/d 12h
2,0,1.3515468835830688,2.7030937671661377,0,0,0,0,4.054640769958496,8.109281539916992,0,4.054640769958496,14.867015838623047,E2 w/d 12h
3,0.5902220606803894,0.5902220606803894,11.214219093322754,0,2.3608882427215576,0.5902220606803894,0,0,1.1804441213607788,0,1.1804441213607788,4.13155460357666,E2 w/d 0h
4,2.8849692344665527,0.7212423086166382,2.163726806640625,0,0.7212423086166382,1.4424846172332764,0.7212423086166382,0,1.4424846172332764,0,0,3.6062116622924805,E2 w/d 0h
5,1.6715986728668213,4.178996562957764,6.686394691467285,1.6715986728668213,0,4.178996562957764,0,0.8357993364334106,2.5073981285095215,0.8357993364334106,3.3431973457336426,6.686394691467285,E2 w/d 12h
6,0,0,1.5437904596328735,0,0,0,0,0,6.175161838531494,7.718952178955078,7.718952178955078,46.31371307373047,E2 w/d 48h
7,0,0,3.1325764656066895,2.0883843898773193,2.0883843898773193,0,1.0441921949386597,2.0883843898773193,9.397729873657227,4.176768779754639,2.0883843898773193,25.060611724853516,E2 w/d 0h
8,0,0.7492750883102417,1.4985501766204834,2.2478251457214355,0,0,2.2478251457214355,5.244925498962402,2.997100353240967,0,0,3.746375560760498,E2 w/d 0h
9,0,0.5819358229637146,0.5819358229637146,2.3277432918548584,1.1638716459274292,0.5819358229637146,0.5819358229637146,4.073550701141357,3.491614818572998,0.5819358229637146,2.9096791744232178,9.892909049987793,E2 w/d 0h
10,0,10.436089515686035,2.609022378921509,0,5.218044757843018,10.436089515686035,0,0,10.436089515686035,0,0,2.609022378921509,E2 w/d 0h
11,0,0,0,0,0,0,0,0,2.4750356674194336,0,37.12553405761719,49.50071334838867,E2 w/d 24h
12,0.9612188935279846,0.9612188935279846,0,0,0,0,0,0,1.9224377870559692,0,1.9224377870559692,19.22437858581543,E2 w/d 24h
13,0,1.4536205530166626,4.360861778259277,2.1804308891296387,1.4536205530166626,1.4536205530166626,0.7268102765083313,2.1804308891296387,2.907241106033325,0,0,5.087671756744385,E2 w/d 12h
14,0,0,0.7572640180587769,0,0,0,0.7572640180587769,0,3.786320209503174,0,1.5145280361175537,10.601696014404297,E2 w/d 12h
15,1.221462368965149,1.221462368965149,1.221462368965149,0,1.221462368965149,0,0,0,4.885849475860596,0,2.442924737930298,24.42924690246582,E2 w/d 24h
16,2.2869787216186523,1.1434893608093262,4.573957443237305,0,2.2869787216186523,1.1434893608093262,0,0,9.14791488647461,0,0,13.721872329711914,E2 w/d 0h
17,0,0,13.90184497833252,1.737730622291565,1.737730622291565,3.47546124458313,0,2.606595993041992,6.082056999206543,1.737730622291565,3.47546124458313,17.37730598449707,E2 w/d 48h
18,0,1.5295969247817993,3.8239922523498535,1.5295969247817993,1.5295969247817993,0.7647984623908997,0.7647984623908997,1.5295969247817993,9.177581787109375,0,2.2943954467773438,11.471977233886719,E2 w/d 24h
19,0.871108889579773,0,1.742217779159546,0.871108889579773,2.6133265495300293,0.871108889579773,0,0,2.6133265495300293,0.871108889579773,0,3.484435558319092,E2 w/d 0h
20,0,0,0,2.602536916732788,0.5205073952674866,0,0.5205073952674866,1.5615222454071045,1.5615222454071045,0,2.602536916732788,1.5615222454071045,E2 w/d 0h
21,0,3.9698188304901123,0,2.646545886993408,0,0,0,2.646545886993408,15.87927532196045,3.9698188304901123,3.9698188304901123,43.668006896972656,E2 w/d 48h
22,0,1.5432674884796143,3.0865349769592285,2.057689905166626,1.028844952583313,0,2.057689905166626,5.144224643707275,0.5144224762916565,1.028844952583313,0.5144224762916565,4.629802227020264,E2 w/d 0h
23,0,0.6581228971481323,2.6324915885925293,1.3162457942962646,0.6581228971481323,0,0.6581228971481323,1.974368691444397,1.974368691444397,0,0.6581228971481323,5.264983177185059,E2 w/d 0h
24,2.912644624710083,0.7281611561775208,7.281611442565918,0,2.912644624710083,2.912644624710083,0,0.7281611561775208,2.184483528137207,0,2.184483528137207,7.281611442565918,E2 w/d 0h
25,0,0.5441551804542542,3.2649312019348145,0.5441551804542542,1.0883103609085083,1.0883103609085083,1.0883103609085083,2.1766207218170166,1.0883103609085083,0,2.1766207218170166,4.353241443634033,E2 w/d 0h
