,0,1,bc,gran_score
0,-0.30957082,-5.512159,BRQ 48h,11.516465189421968
1,-2.9999793,0.100299664,BRQ 0h,-5.30245773209163
2,-0.3794675,1.7258306,BRQ 0h,-6.6244182398157445
3,-0.7312659,-6.099588,BRQ 0h,7.848355839671603
4,-2.5833917,-4.607137,BRQ 24h,5.432767445382822
5,-1.0703857,2.8659642,BRQ 12h,-2.9462534166133807
6,-0.7967894,-7.618127,BRQ 0h,-6.875832487839216
7,-0.46748975,-6.9119754,BRQ 0h,-0.6178061832575792
8,-3.2848995,0.18923219,BRQ 0h,-1.0053463107650087
9,3.927875,1.8240627,BRQ 48h,9.15767161933504
10,-3.65496,0.6929384,BRQ 12h,-1.967694586945754
11,-4.4761534,0.56263006,BRQ 12h,-0.3415341205523036
12,0.50629526,2.3224847,BRQ 0h,0.004316119064894486
13,-1.068687,-3.6315477,BRQ 24h,8.067362329033145
14,-1.6006916,-1.5710665,BRQ 12h,-0.9223410580291351
15,1.2595546,-1.598276,BRQ 48h,6.458285323826762
16,0.6953239,0.644548,BRQ 0h,-3.91898443919019
17,0.89625514,-5.727769,BRQ 0h,-4.072057564490565
18,-4.5961676,-3.2364714,BRQ 24h,0.8602126801046606
19,-2.0543213,-6.829612,BRQ 0h,-6.36921623380938
20,-0.7593399,-6.4172525,BRQ 0h,-5.917975915934718
21,-1.2548623,2.233904,BRQ 0h,-4.786614314796916
22,-1.1040233,-5.4499116,BRQ 0h,-6.055095608438581
23,-0.22618218,2.9672794,BRQ 12h,-3.6604856874067795
24,1.5840605,-0.9134683,BRQ 0h,-4.578831111014997
25,1.2635567,1.2232254,BRQ 0h,1.3862493285951394
26,-4.2829003,0.27898365,BRQ 12h,-4.43499779163652
27,-4.8588996,-3.0689313,BRQ 24h,4.622678439517762
28,-3.4120936,-0.7396156,BRQ 12h,2.1864413075830744
29,-1.7368402,-6.9563,BRQ 48h,6.131159377632184
30,3.4303863,2.3718793,BRQ 48h,8.821374755244442
31,-3.3002572,0.8209632,BRQ 0h,-2.4697433943668323
32,0.9838629,0.422222,BRQ 0h,-6.558860605554235
33,1.1486121,-2.1691954,BRQ 0h,-5.4062633999185135
34,-2.4378376,-4.412785,BRQ 24h,3.2426783935363
35,-2.4362667,-1.8984872,BRQ 12h,-5.215344369757238
36,-4.4133234,-4.2224383,BRQ 0h,-3.0959873256412993
37,-3.619417,-1.548362,BRQ 12h,-4.904619804419202
38,-2.1429129,-2.2911158,BRQ 12h,-0.2829650432053531
39,0.8910689,0.6880332,BRQ 12h,-0.3749874631097846
40,0.69485474,-0.98331916,BRQ 0h,-0.7832976799156814
41,-2.6123118,1.0901198,BRQ 0h,-4.132044085841066
42,-2.7304006,-5.1015387,BRQ 0h,5.346532266411733
43,-2.6513627,-5.7150335,BRQ 48h,5.245189967891559
44,-0.737524,-2.6111047,BRQ 12h,-1.483080669030235
45,-1.2685987,-1.677666,BRQ 12h,-0.018675990268402387
