,Ung,Rrm2,Aurka,Spi1,lambda,bc
0,0.019486938,2.3760214,2.361216,9.367491,14.1117637848046,BRQ 48h
1,0.7610326,8.599477,0.47675976,2.2939014,7.268030830103849,BRQ 0h
2,2.8499177,4.2630463,0.13072537,3.1488888,3.6294183243848503,BRQ 0h
3,0.0510902,3.119935,2.0116024,3.5814018,14.453945167441,BRQ 0h
4,0.11307037,2.6502984,1.7669998,7.3099127,12.0141996945574,BRQ 24h
5,2.7118368,6.8381257,0.06073121,2.7243145,4.4591042304753,BRQ 12h
6,0.017372956,1.7304206,2.2682557,2.8036795,15.2426181069083,BRQ 0h
7,0.05470929,1.6707247,2.5316544,3.0212107,15.107700344083,BRQ 0h
8,1.1414047,7.099191,0.07972771,2.7853897,6.8771899662415805,BRQ 0h
9,0.8875043,8.963181,0.4126232,1.6588935,6.79964115989458,BRQ 12h
10,1.0736446,10.128054,0.51692504,1.7302487,7.31369861783946,BRQ 12h
11,2.4143505,3.3806279,0.32974976,2.870601,3.5348416318125997,BRQ 0h
12,0.09603203,2.8836448,1.5908927,6.1316347,12.2416898387781,BRQ 24h
13,0.10434822,2.1459725,0.4499063,3.468512,9.805316402695508,BRQ 12h
14,0.43756396,0.8990426,1.2352619,6.071979,0.23236715197161897,BRQ 48h
15,2.2835965,2.7658591,0.32307908,2.831433,2.2218647723508997,BRQ 0h
16,0.0,1.296373,1.8217926,5.186098,15.360521944112199,BRQ 0h
17,0.14296672,5.845066,1.4207858,3.7204466,10.3264994952169,BRQ 24h
18,0.025188332,3.187468,2.2063608,2.3869464,13.697971963896899,BRQ 0h
19,0.024702676,2.851832,1.9609985,3.4666896,14.8315733770071,BRQ 0h
20,2.4361806,7.822623,0.112700544,2.029801,4.5647896888629695,BRQ 0h
21,0.0778283,3.6354716,1.7789645,4.4314766,13.4311391093547,BRQ 0h
22,3.1616476,4.6892543,0.106640615,2.5579598,3.993027058168,BRQ 12h
23,1.005956,1.831922,0.7425258,2.9342916,0.775318590332311,BRQ 0h
24,2.658403,2.0183177,0.0,2.7147992,2.45087105418485,BRQ 0h
25,1.0086654,9.84582,0.42931098,2.1703644,7.653842466688269,BRQ 12h
26,0.1261639,7.3340273,1.4548097,4.3298798,9.96245260494758,BRQ 24h
27,0.24087074,6.5203648,0.4458163,1.8572775,8.01245648048114,BRQ 12h
28,0.055022854,1.8655602,3.1075833,7.777974,14.275896464623198,BRQ 48h
29,1.2674533,7.959354,0.68117577,2.402737,6.60274916059015,BRQ 0h
30,1.5434513,2.3576856,0.49353087,2.740626,1.95187157624519,BRQ 0h
31,0.37152472,2.3295782,0.82781476,3.2150939,0.0,BRQ 0h
32,0.035003953,3.5240898,1.5588913,6.9055347,12.0527383111179,BRQ 24h
33,0.10173116,1.9135691,1.6287526,3.1844764,9.59222727123123,BRQ 12h
34,0.090089776,6.975186,1.6122979,3.9557843,10.9240291937484,BRQ 0h
35,0.24312139,4.4264355,0.57044965,2.5602415,8.848826263275381,BRQ 12h
36,0.058538903,2.0598605,1.1427858,3.1549277,10.3203135090306,BRQ 12h
37,1.5694342,1.9481906,0.4364564,4.391755,2.14991354753682,BRQ 12h
38,1.0669651,2.1770992,1.0576017,3.301864,0.768440538810138,BRQ 0h
39,1.3210564,9.965129,0.2829662,2.151692,5.99941061771322,BRQ 0h
40,0.19126157,5.157646,1.528778,3.1189036,12.0508507575325,BRQ 0h
41,0.18105456,2.0143666,2.7091682,7.1339917,12.9917415611566,BRQ 48h
42,0.21038885,2.723389,1.3608365,4.359128,11.374285448583802,BRQ 12h
43,0.13892785,2.0389223,0.47232983,3.4973626,9.94789915017059,BRQ 12h
44,0.73732966,7.9615183,0.40594175,2.3889198,6.86116679596609,BRQ 0h
45,0.11207043,4.327069,1.9827224,6.6681824,11.2305433080091,BRQ 24h
46,0.072879225,4.4594927,1.8212041,3.498712,13.066865909061699,BRQ 0h
47,0.2240799,2.2196636,0.9424051,3.0611868,0.0,BRQ 0h
48,0.05427705,2.9746506,2.0176628,2.6034124,14.008409140133601,BRQ 12h
49,2.3481297,4.800216,0.21316525,2.3310592,2.6988555423972005,BRQ 0h
50,3.1499488,5.5690885,0.28156766,2.4037302,3.8227461567880696,BRQ 0h
51,0.7334911,8.853643,0.6903789,2.468872,7.725369797066821,BRQ 0h
52,0.80102175,9.842679,0.49254823,2.8184628,7.18286095794396,BRQ 12h
53,0.49967408,7.898711,0.79379594,1.8089653,7.791913475521259,BRQ 12h
54,0.069854856,1.5239551,2.8669777,8.066099,14.2860410886438,BRQ 48h
55,0.64253414,7.5940638,0.54143864,2.433512,6.544752572414531,BRQ 12h
56,0.099870354,4.4235983,1.285551,4.8339148,11.911685855063,BRQ 0h
57,0.93039334,2.3982596,1.1758494,3.0571742,0.7046856088117529,BRQ 0h
58,1.1796113,9.506532,0.7096282,1.9712119,5.32517505255004,BRQ 0h
59,1.8525465,5.7883215,0.37366006,3.272439,5.1001577252793,BRQ 24h
60,0.31438863,9.137331,1.2488122,2.9343045,8.54040038782218,BRQ 24h
61,0.038900506,1.8750466,1.6443559,8.33698,12.154339203636502,BRQ 24h
62,0.027977245,1.7614174,2.0378225,2.7505422,14.9936155436708,BRQ 0h
63,0.096259475,1.6891967,1.4922476,5.3780427,12.3632546846921,BRQ 48h
64,0.5612684,5.905588,0.35860232,2.5473542,8.07509985632807,BRQ 12h
65,0.19034581,4.6494746,0.8743039,2.2110293,9.07880157105264,BRQ 12h
66,0.013912515,0.7131515,2.298613,7.225892,15.3811614256181,BRQ 24h
