,Ung,Rrm2,Aurka,Spi1,lambda,bc
3829,0.0,0.15237135,0.5251694,1.2999699,12.0256932957092,BRQ 24h
3830,0.0,0.17435461,0.18584499,0.8320091,13.7292845947035,BRQ 24h
3831,0.0,0.10097182,0.21375787,1.7540374,12.504358688504801,BRQ 24h
3832,0.020198492,0.28741732,0.070994556,0.50135523,7.75954106069178,BRQ 0h
3833,0.0,0.2324287,0.08838716,0.5048656,13.698915727154699,BRQ 0h
3834,0.0,0.65873504,0.06974252,0.5754321,7.84761998447042,BRQ 24h
3835,0.0,0.26543054,0.30149615,1.455357,12.116238513063701,BRQ 24h
3836,0.0,0.053186044,0.32754862,0.9624552,14.5924130977367,BRQ 24h
3837,0.0,0.6554883,0.14202888,0.6280456,9.161215726883801,BRQ 12h
3838,0.011496801,0.3464291,0.26000965,0.91562396,12.882245388662698,BRQ 24h
3839,0.016478749,0.3625829,0.14548437,0.53690207,9.98083820746577,BRQ 12h
3840,0.0,0.027997773,0.34729984,1.3236825,12.439341845668599,BRQ 24h
3841,0.13401222,0.28156668,0.0,0.2391893,2.29310751294598,BRQ 0h
3842,0.0,0.1688215,0.14662313,0.52105314,15.357345436911599,BRQ 0h
3843,0.0,0.59389275,0.071450576,0.644871,8.22885951878389,BRQ 12h
3844,0.0,0.90640414,0.14216714,0.6544111,10.0816065177143,BRQ 48h
3845,0.0,0.10049453,0.22966275,0.84849757,11.71627932263,BRQ 24h
3846,0.010747468,0.6301056,0.20921052,0.53585166,10.3088516137318,BRQ 0h
3847,0.0,0.4822443,0.21933879,1.1012286,11.484215759913399,BRQ 12h
3848,0.0,0.17436427,0.33590424,1.5414672,14.5252162856105,BRQ 48h
3849,0.011406854,0.20758747,0.19409043,0.7582377,15.055693579967402,BRQ 0h
3850,0.01732225,0.60624367,0.0,0.27740675,3.4357334041413905,BRQ 0h
3851,0.02221021,0.4776265,0.08303113,0.42832983,9.25369767734802,BRQ 12h
3852,0.0,0.2436521,0.16431725,0.77834815,10.492840532591599,BRQ 12h
3853,0.070070446,0.5843753,0.03029165,0.33691058,6.39621582023103,BRQ 12h
3854,0.0,0.7824988,0.03304502,0.6530111,7.92107057571817,BRQ 12h
3855,0.24097644,0.5666162,0.057912648,0.4451291,1.4541248807578,BRQ 0h
3856,0.0,0.28765705,0.4800828,1.4896553,12.316914417783599,BRQ 24h
3857,0.024399629,0.56227493,0.06341794,0.23412919,4.15593492183429,BRQ 0h
3858,0.0,0.013378522,0.37928328,1.3828614,15.488523824110802,BRQ 48h
3859,0.03009706,0.6660078,0.062177517,0.34987393,6.47205945101107,BRQ 0h
3860,0.13427591,0.24901941,0.060351893,0.38596207,0.37510469240576605,BRQ 0h
3861,0.0,0.4517453,0.14938337,0.38375777,8.771160057502719,BRQ 12h
3862,0.0,0.12891954,0.1761882,1.3616656,13.047601343748902,BRQ 24h
3863,0.0,0.53805614,0.1509299,0.4973965,9.662645588891259,BRQ 0h
3864,0.0,0.31840414,0.3073254,0.9491078,11.8769144717909,BRQ 24h
3865,0.0,0.43303344,0.19858778,0.84904546,11.961297905153902,BRQ 48h
3866,0.06845006,0.09153843,0.13445902,0.9166859,0.495172999439793,BRQ 24h
3867,0.0,0.07682372,0.21033089,0.9492386,13.4768753249402,BRQ 24h
3868,0.0,0.2521942,0.3465277,0.9265261,11.7651905636729,BRQ 12h
3869,0.009693381,0.3269018,0.13530113,0.48822138,8.87741479945235,BRQ 0h
3870,0.050908826,0.5229164,0.026204115,0.4969075,3.90435372809534,BRQ 0h
3871,0.025532696,0.2983518,0.13840345,0.26826245,9.22659809477897,BRQ 0h
3872,0.012101779,0.3525293,0.13485289,0.7787115,13.9087054899137,BRQ 48h
3873,0.0,0.73791105,0.086546496,0.3390762,7.80122927634689,BRQ 12h
3874,0.059715927,0.44670966,0.12748118,0.3452478,2.68182792447014,BRQ 0h
3875,0.02752916,0.584037,0.023292547,0.38939208,4.98703259903844,BRQ 12h
3876,0.0,0.3639856,0.20378318,0.52733636,12.0408012454335,BRQ 0h
3877,0.124250144,0.43726674,0.056967527,0.25586846,1.94208135438469,BRQ 0h
3878,0.11524065,0.13845864,0.019813301,0.37745777,0.260767328277781,BRQ 0h
3879,0.0,0.57175726,0.08520982,0.3461425,7.04042287681908,BRQ 12h
3880,0.2735341,0.2636963,0.0,0.46433258,1.6438499229583898,BRQ 0h
3881,0.0,0.7432533,0.09604053,0.38569042,5.89336087023484,BRQ 12h
3882,0.0,0.27138293,0.17991662,0.40190512,9.6727228578929,BRQ 12h
3883,0.0,0.17979872,0.16200154,1.2908008,12.454035494695802,BRQ 24h
3884,0.0,0.789355,0.040446736,0.27268082,5.09103408200201,BRQ 0h
3885,0.0,0.21415348,0.27340135,1.0233846,14.192350545510099,BRQ 0h
3886,0.03083035,0.42772657,0.038018845,0.14593746,5.406727705338111,BRQ 0h
3887,0.0,0.22344692,0.19301575,0.8485724,14.5338071350539,BRQ 24h
3888,0.0,0.19542596,0.09136452,0.7372693,14.3906587935906,BRQ 24h
3889,0.008921572,0.52310026,0.1309815,0.3591122,7.5096670482655705,BRQ 0h
3890,0.0,0.40301496,0.08966854,0.46738163,8.538314235232718,BRQ 12h
3891,0.012359061,0.27774185,0.20832968,0.79324496,10.8501827641368,BRQ 12h
3892,0.0,0.38691798,0.17239049,0.37403125,14.839165023672301,BRQ 0h
3893,0.046550132,0.38684195,0.16240668,0.29851216,7.329212845291701,BRQ 0h
3894,0.020142132,0.5805146,0.104399316,0.4484588,7.875665204981481,BRQ 0h
3895,0.038097743,0.15448509,0.0,1.1938246,0.0,BRQ 48h
3896,0.0,0.40847364,0.18317938,1.2242903,12.700108118003499,BRQ 24h
3897,0.0,0.09870017,0.25314146,1.7318554,12.902536944059,BRQ 24h
3898,0.0,0.54396445,0.2792228,0.46705493,8.269362314262509,BRQ 12h
3899,0.0,0.43086854,0.23076996,1.0034114,13.8205413479206,BRQ 0h
3900,0.0,0.49466923,0.042352952,0.5589672,8.243979713717211,BRQ 12h
3901,0.0,0.5383826,0.0538718,0.22137123,5.14521477008681,BRQ 12h
3902,0.1457969,0.3342684,0.03653706,0.23745908,1.32314154931277,BRQ 0h
3903,0.043472536,0.4659493,0.041898675,0.37914023,6.011104848340841,BRQ 0h
3904,0.20713013,0.15696242,0.043940008,0.3124138,2.6230528709730803,BRQ 0h
3905,0.0,0.29859737,0.23956272,1.004476,11.3337666455774,BRQ 24h
