,Ung,Pcna,Rrm2,Aurka,Mcm2,Clspn,Cdca2,Cenpe,Spi1,Gsn,Fcgr3,Tyrobp,bc
0,0,1.1733165979385376,2.346633195877075,1.1733165979385376,1.1733165979385376,0,0,2.346633195877075,19.946382522583008,4.69326639175415,3.5199499130249023,39.892765045166016,BRQ 48h
1,0.5902220606803894,0.5902220606803894,11.214219093322754,0,2.3608882427215576,0.5902220606803894,0,0,1.1804441213607788,0,1.1804441213607788,4.13155460357666,BRQ 0h
2,2.8849692344665527,0.7212423086166382,2.163726806640625,0,0.7212423086166382,1.4424846172332764,0.7212423086166382,0,1.4424846172332764,0,0,3.6062116622924805,BRQ 0h
3,0,0,3.1325764656066895,2.0883843898773193,2.0883843898773193,0,1.0441921949386597,2.0883843898773193,9.397729873657227,4.176768779754639,2.0883843898773193,25.060611724853516,BRQ 0h
4,0,0,2.166428804397583,2.166428804397583,0,2.166428804397583,0,5.416071891784668,10.832143783569336,6.499286651611328,21.664287567138672,17.331430435180664,BRQ 24h
5,5.147276878356934,0,9.007734298706055,0,2.573638439178467,1.2868192195892334,0,0,0,0,0,15.4418306350708,BRQ 12h
6,0,0.7492750883102417,1.4985501766204834,2.2478251457214355,0,0,2.2478251457214355,5.244925498962402,2.997100353240967,0,0,3.746375560760498,BRQ 0h
7,0,0.5819358229637146,0.5819358229637146,2.3277432918548584,1.1638716459274292,0.5819358229637146,0.5819358229637146,4.073550701141357,3.491614818572998,0.5819358229637146,2.9096791744232178,9.892909049987793,BRQ 0h
8,0,10.436089515686035,2.609022378921509,0,5.218044757843018,10.436089515686035,0,0,10.436089515686035,0,0,2.609022378921509,BRQ 0h
9,0,0,0,0,0,0,0,0,19.119037628173828,1.4706951379776,8.82417106628418,27.943206787109375,BRQ 48h
10,4.10304069519043,3.0772805213928223,9.231842041015625,0,4.10304069519043,2.051520347595215,2.051520347595215,1.0257601737976074,2.051520347595215,0,0,10.257601737976074,BRQ 12h
11,0.9128833413124084,0.9128833413124084,10.95460033416748,0.9128833413124084,1.825766682624817,1.825766682624817,0.9128833413124084,0.9128833413124084,1.825766682624817,0,2.73865008354187,10.95460033416748,BRQ 12h
12,2.2869787216186523,1.1434893608093262,4.573957443237305,0,2.2869787216186523,1.1434893608093262,0,0,9.14791488647461,0,0,13.721872329711914,BRQ 0h
13,0,1.686454176902771,2.5296812057495117,0.8432270884513855,0,0,0,0.8432270884513855,8.432271003723145,2.5296812057495117,5.902589797973633,23.61035919189453,BRQ 24h
14,0,0,0.914326548576355,0,0,0.914326548576355,0,0.914326548576355,2.7429795265197754,0.914326548576355,3.65730619430542,8.228939056396484,BRQ 12h
15,2.108873128890991,0,0,3.1633095741271973,3.1633095741271973,0,0,1.0544365644454956,13.707674980163574,0,6.3266191482543945,15.816548347473145,BRQ 48h
16,0.871108889579773,0,1.742217779159546,0.871108889579773,2.6133265495300293,0.871108889579773,0,0,2.6133265495300293,0.871108889579773,0,3.484435558319092,BRQ 0h
17,0,0,0,2.602536916732788,0.5205073952674866,0,0.5205073952674866,1.5615222454071045,1.5615222454071045,0,2.602536916732788,1.5615222454071045,BRQ 0h
