,0,1,bc
130,5.082916,-2.9187179,E2 w/d 0h
131,-1.508529,1.1903696,E2 w/d 24h
132,4.5246325,-2.3885784,E2 w/d 0h
133,-3.049088,5.35134,E2 w/d 24h
134,-2.842294,1.9237982,E2 w/d 24h
135,4.621406,-1.4881011,E2 w/d 0h
136,-6.321929,1.0093489,E2 w/d 48h
137,3.9364486,7.7253127,E2 w/d 24h
138,0.80258745,-3.804044,E2 w/d 0h
139,3.694535,3.326107,E2 w/d 12h
140,-0.2677963,4.8700137,E2 w/d 24h
141,-0.55976194,1.8345062,E2 w/d 24h
142,-0.8536667,3.3118823,E2 w/d 24h
143,2.5213196,5.293878,E2 w/d 12h
144,3.1746342,-1.8388498,E2 w/d 0h
145,1.5376061,-4.297495,E2 w/d 0h
146,4.2008495,-2.8090904,E2 w/d 0h
147,1.077958,-6.37138,E2 w/d 0h
148,3.7692285,4.313243,E2 w/d 12h
149,-1.5301914,3.4150455,E2 w/d 12h
150,3.5758765,2.4998047,E2 w/d 12h
151,1.2999717,5.5424657,E2 w/d 12h
152,3.3437667,-2.1321034,E2 w/d 0h
153,-2.0408843,3.4533367,E2 w/d 24h
154,-6.467519,5.1101956,E2 w/d 48h
155,2.2540467,5.387167,E2 w/d 12h
156,-3.058967,1.8417584,E2 w/d 48h
157,4.723804,-2.4121659,E2 w/d 0h
158,-2.7892158,1.259608,E2 w/d 24h
159,2.550329,6.0811925,E2 w/d 12h
160,2.4621344,3.0436344,E2 w/d 12h
161,-5.8213468,0.7788362,E2 w/d 24h
162,-4.262022,2.5804307,E2 w/d 48h
163,-3.7865307,5.7895455,E2 w/d 48h
164,3.4760568,-4.602231,E2 w/d 0h
165,6.7335076,-2.6507046,E2 w/d 0h
166,3.7034788,6.699181,E2 w/d 12h
167,0.97727436,-4.395165,E2 w/d 0h
168,1.4798388,3.646141,E2 w/d 24h
169,-1.2183396,5.747839,E2 w/d 24h
170,2.008454,3.5729988,E2 w/d 12h
171,2.5679402,-4.8643513,E2 w/d 0h
172,3.4151344,7.823653,E2 w/d 12h
173,2.2647278,7.878173,E2 w/d 12h
174,4.437711,-3.7779527,E2 w/d 0h
175,4.200121,-2.9540265,E2 w/d 0h
176,-2.2992136,-0.3164848,E2 w/d 12h
177,2.5701027,-5.7340503,E2 w/d 0h
178,1.7877115,4.8274775,E2 w/d 12h
179,-2.3545523,0.15219358,E2 w/d 24h
180,-3.4389293,5.3360944,E2 w/d 24h
181,-1.0758364,1.5706185,E2 w/d 24h
182,3.4508436,-5.2393475,E2 w/d 0h
183,2.2104094,-1.6690387,E2 w/d 0h
184,-0.10471587,-4.2253647,E2 w/d 0h
185,-1.7487726,1.8907647,E2 w/d 24h
186,3.1251535,-3.6446743,E2 w/d 0h
187,5.04418,-1.3101927,E2 w/d 0h
188,-0.94892704,-5.509582,E2 w/d 0h
189,0.9898053,-1.9301231,E2 w/d 0h
190,-2.1040618,3.0638661,E2 w/d 12h
