,0,1,bc
0,4.0390854,0.6811475,BRQ 48h
1,-5.1322255,1.3466085,BRQ 0h
2,-6.866946,0.26236206,BRQ 0h
3,3.102759,-0.924462,BRQ 0h
4,5.425229,-3.579538,BRQ 24h
5,-4.3696394,-0.17927602,BRQ 12h
6,-5.6453424,4.7267914,BRQ 0h
7,-5.5327706,4.895267,BRQ 0h
8,-5.620957,1.7663565,BRQ 0h
9,1.0836082,-0.14047343,BRQ 48h
10,-4.344558,0.3127246,BRQ 12h
11,-4.879111,-4.682091,BRQ 12h
12,-2.5860121,-0.11658744,BRQ 0h
13,3.4402726,-1.7900678,BRQ 24h
14,-2.981774,-3.8336024,BRQ 12h
15,2.580102,0.40349406,BRQ 48h
16,-7.171866,-0.28428864,BRQ 0h
17,-2.552539,2.4770346,BRQ 0h
18,0.74865055,-2.326541,BRQ 24h
19,-4.0977964,4.1836944,BRQ 0h
20,-5.485898,5.0494294,BRQ 0h
21,-7.779784,0.77124935,BRQ 0h
22,-4.689757,3.821046,BRQ 0h
23,-5.840023,-3.753028,BRQ 12h
24,-7.0329814,-1.3230453,BRQ 0h
25,-5.0554376,-0.7177458,BRQ 0h
26,-5.330221,-4.570608,BRQ 12h
27,0.4103558,-4.3763914,BRQ 24h
28,-4.710689,-5.3419385,BRQ 12h
29,3.8203619,0.6314057,BRQ 48h
30,0.82717615,0.40267146,BRQ 48h
31,-5.4062014,1.0921,BRQ 0h
32,-7.081106,-0.70474637,BRQ 0h
33,-8.608429,-0.5704963,BRQ 0h
34,4.617332,-2.482536,BRQ 24h
35,-4.2283945,-2.9248013,BRQ 12h
36,-6.143062,3.6904957,BRQ 0h
37,-3.675231,-5.1301265,BRQ 12h
38,-1.8637317,-4.768671,BRQ 12h
39,-0.6158363,0.031810023,BRQ 12h
40,-7.949086,-0.58862823,BRQ 0h
41,-5.817954,0.8992728,BRQ 0h
42,2.265246,-0.7865423,BRQ 0h
43,3.8337212,0.7900479,BRQ 48h
44,-2.3874898,-3.63247,BRQ 12h
45,-3.6592176,-3.037753,BRQ 12h
46,-6.1117268,1.637195,BRQ 0h
47,1.742401,-3.4540079,BRQ 24h
48,-5.636135,4.8956995,BRQ 0h
49,-2.7818,3.1894746,BRQ 0h
50,4.417231,-5.7579293,BRQ 48h
51,-2.154426,-3.4039204,BRQ 12h
52,-7.370784,0.20987625,BRQ 0h
53,-6.1215215,0.076319486,BRQ 0h
54,-6.100604,1.5337163,BRQ 0h
55,-3.3250132,-5.836509,BRQ 12h
56,-3.4963324,-4.848457,BRQ 12h
57,3.0623145,-0.22523096,BRQ 48h
58,-4.8747635,-3.5724244,BRQ 12h
59,-5.274608,4.0598288,BRQ 0h
60,-8.085394,-0.8772313,BRQ 0h
61,-4.9833755,0.44211328,BRQ 0h
62,1.0569627,-2.690363,BRQ 24h
63,0.47230044,-2.7816885,BRQ 24h
64,5.19738,-2.5881097,BRQ 24h
65,-3.5688674,3.1610267,BRQ 0h
66,4.432988,-5.868979,BRQ 48h
67,-4.421063,-2.875507,BRQ 12h
68,-4.0407643,-3.9459128,BRQ 12h
69,4.655712,-1.7679163,BRQ 24h
70,-3.2102778,0.41533145,BRQ 0h
71,-2.343377,-4.684025,BRQ 12h
72,-6.8904877,1.2238804,BRQ 0h
73,-7.2423344,2.0203707,BRQ 0h
74,-7.9214926,1.8204364,BRQ 0h
75,4.652671,-5.1422544,BRQ 24h
76,-4.855994,-3.6058822,BRQ 12h
77,4.0861626,0.21112674,BRQ 24h
78,2.9270446,0.50901365,BRQ 0h
79,-4.022211,-5.055501,BRQ 12h
80,-5.6272645,4.907371,BRQ 0h
81,-5.335546,-1.4864278,BRQ 0h
82,-6.3901863,0.038759027,BRQ 0h
83,2.885118,-0.2548184,BRQ 48h
84,-5.482048,-4.144473,BRQ 12h
85,4.357572,-3.6724343,BRQ 24h
86,-5.051834,-4.639706,BRQ 12h
87,-5.539424,1.3280964,BRQ 0h
88,-5.7286444,-0.7176133,BRQ 0h
89,2.4524114,0.5783433,BRQ 48h
90,-7.864565,0.15661785,BRQ 0h
91,-7.2747107,1.3767593,BRQ 0h
92,2.2131653,-4.0773363,BRQ 24h
93,1.8136632,-1.6444619,BRQ 48h
94,4.329296,-1.7257707,BRQ 24h
95,-3.3289182,-5.5704017,BRQ 12h
96,0.55487543,-1.2132208,BRQ 24h
97,-7.570941,1.7399445,BRQ 0h
98,-7.7823815,1.6388187,BRQ 0h
99,0.5722194,-4.3472977,BRQ 24h
100,4.0388784,-3.5216172,BRQ 24h
101,-7.1150513,1.6246085,BRQ 0h
102,-3.4401588,-4.31993,BRQ 12h
103,3.1691413,-3.735649,BRQ 24h
104,-4.9402633,-1.998066,BRQ 12h
105,-7.7925572,-1.0389987,BRQ 0h
106,-4.5279355,-2.688919,BRQ 12h
107,1.334729,-3.6415985,BRQ 24h
108,0.6421357,-4.8224173,BRQ 24h
109,-2.9773614,-3.7004828,BRQ 12h
110,-7.156927,-1.3606673,BRQ 0h
111,-3.0512278,2.6028907,BRQ 0h
