,Ung,Rrm2,Aurka,Spi1,Gsn,Fcgr3,lambda,bc
0,0.0,0.0,0.0,2.343256711959839,1.1716283559799194,0.0,14.1117637848046,BRQ 48h
1,0.674826979637146,0.674826979637146,0.0,0.674826979637146,0.0,0.0,7.268030830103849,BRQ 0h
2,0.0,0.0,0.6778377294540405,1.355675458908081,0.6778377294540405,0.0,3.6294183243848503,BRQ 0h
3,0.0,0.9708723425865173,0.0,2.9126169681549072,0.0,0.0,14.453945167441,BRQ 0h
4,0.0,0.0,0.8190822601318359,2.457246780395508,0.0,0.0,12.0141996945574,BRQ 24h
5,0.0,0.0,0.0,0.0,0.0,0.0,4.4591042304753,BRQ 12h
6,0.0,0.0,0.0,0.0,0.0,0.0,15.2426181069083,BRQ 0h
7,0.0,0.6461279988288879,0.0,0.6461279988288879,0.0,0.0,15.107700344083,BRQ 0h
8,0.0,0.0,0.0,0.0,0.0,0.0,6.8771899662415805,BRQ 0h
9,0.0,0.0,0.0,0.0,0.0,0.0,6.79964115989458,BRQ 12h
10,0.0,0.8419899940490723,0.0,0.0,0.0,0.0,7.31369861783946,BRQ 12h
11,0.0,0.0,0.0,4.078027248382568,0.0,0.0,3.5348416318125997,BRQ 0h
12,0.0,0.8319113254547119,0.8319113254547119,0.8319113254547119,0.0,0.0,12.2416898387781,BRQ 24h
13,0.0,0.0,0.0,0.0,0.0,0.0,9.805316402695508,BRQ 12h
14,0.0,0.0,0.0,1.030929446220398,0.0,0.0,0.23236715197161897,BRQ 48h
15,0.0,0.0,0.0,0.0,0.0,0.0,2.2218647723508997,BRQ 0h
16,0.0,0.0,0.0,0.5885055661201477,0.0,0.0,15.360521944112199,BRQ 0h
17,0.0,0.0,0.0,0.8946863412857056,0.0,0.0,10.3264994952169,BRQ 24h
18,0.0,0.0,0.5949366688728333,0.0,0.0,0.0,13.697971963896899,BRQ 0h
19,0.0,0.0,0.0,0.7214002013206482,0.0,0.0,14.8315733770071,BRQ 0h
20,0.0,0.7989482879638672,0.0,0.0,0.0,0.0,4.5647896888629695,BRQ 0h
21,0.0,1.820284128189087,0.0,0.0,0.0,0.0,13.4311391093547,BRQ 0h
22,0.0,0.0,0.0,0.0,0.0,0.0,3.993027058168,BRQ 12h
23,0.0,0.0,0.0,0.0,0.0,0.0,0.775318590332311,BRQ 0h
24,1.072742223739624,0.0,0.0,0.0,0.0,0.0,2.45087105418485,BRQ 0h
25,0.8778554201126099,1.7557108402252197,0.0,0.0,0.0,0.0,7.653842466688269,BRQ 12h
26,0.0,0.0,0.0,4.271609783172607,0.0,0.0,9.96245260494758,BRQ 24h
27,0.0,0.0,0.0,0.0,0.0,0.0,8.01245648048114,BRQ 12h
28,0.0,0.0,0.0,2.1955974102020264,0.0,0.0,14.275896464623198,BRQ 48h
29,0.0,0.8095414638519287,0.0,0.0,0.0,0.0,6.60274916059015,BRQ 0h
30,0.0,0.0,0.0,0.0,0.0,0.0,1.95187157624519,BRQ 0h
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BRQ 0h
32,0.0,0.0,0.0,0.0,0.0,0.0,12.0527383111179,BRQ 24h
33,0.0,0.0,0.0,1.4034372568130493,0.0,0.0,9.59222727123123,BRQ 12h
34,0.0,0.0,0.0,0.0,0.0,0.0,10.9240291937484,BRQ 0h
35,0.0,0.0,0.0,0.0,0.0,0.0,8.848826263275381,BRQ 12h
36,0.0,0.0,0.0,0.0,0.0,0.0,10.3203135090306,BRQ 12h
37,1.5178903341293335,0.0,0.0,1.5178903341293335,0.0,0.0,2.14991354753682,BRQ 12h
38,0.0,0.0,0.0,0.0,0.0,0.0,0.768440538810138,BRQ 0h
39,0.0,0.6332266926765442,0.0,0.0,0.0,0.0,5.99941061771322,BRQ 0h
40,0.0,0.0,0.0,0.5704182386398315,0.0,0.0,12.0508507575325,BRQ 0h
41,0.0,0.0,1.2657172679901123,1.2657172679901123,0.0,0.0,12.9917415611566,BRQ 48h
42,0.0,0.6995396018028259,0.0,1.3990792036056519,0.0,0.0,11.374285448583802,BRQ 12h
43,0.0,0.0,0.0,0.8301143646240234,0.0,0.0,9.94789915017059,BRQ 12h
44,0.0,0.6725344657897949,0.0,0.0,0.0,0.0,6.86116679596609,BRQ 0h
45,0.0,0.3589954972267151,0.0,0.0,0.0,0.3589954972267151,11.2305433080091,BRQ 24h
46,0.0,0.6133696436882019,0.0,0.0,0.0,0.0,13.066865909061699,BRQ 0h
47,0.0,0.0,1.7762370109558105,0.0,0.0,0.0,0.0,BRQ 0h
48,0.0,1.9517028331756592,0.0,0.6505675911903381,0.0,0.0,14.008409140133601,BRQ 12h
49,0.0,0.0,0.0,0.0,0.0,0.0,2.6988555423972005,BRQ 0h
50,0.0,0.0,0.0,0.0,0.0,0.0,3.8227461567880696,BRQ 0h
51,0.0,0.0,0.0,0.75395268201828,0.0,0.0,7.725369797066821,BRQ 0h
52,0.0,0.0,0.0,0.0,0.0,0.0,7.18286095794396,BRQ 12h
53,0.0,0.9312901496887207,0.0,0.0,0.0,0.0,7.791913475521259,BRQ 12h
54,0.0,0.0,0.9971000552177429,1.9942001104354858,0.0,0.0,14.2860410886438,BRQ 48h
55,0.0,1.009581208229065,0.0,0.0,0.0,0.0,6.544752572414531,BRQ 12h
56,0.0,0.0,0.6901542544364929,0.0,0.0,0.0,11.911685855063,BRQ 0h
57,0.0,0.0,0.0,0.0,0.0,0.0,0.7046856088117529,BRQ 0h
58,0.0,2.2078404426574707,0.0,0.0,0.0,0.0,5.32517505255004,BRQ 0h
59,0.0,0.7776455283164978,0.0,0.0,0.7776455283164978,0.0,5.1001577252793,BRQ 24h
60,0.0,0.0,0.0,0.9152423739433289,0.9152423739433289,0.9152423739433289,8.54040038782218,BRQ 24h
61,0.0,0.0,0.9371682405471802,0.0,0.0,0.0,12.154339203636502,BRQ 24h
62,0.0,0.6545436382293701,0.0,0.0,0.0,0.0,14.9936155436708,BRQ 0h
63,0.0,0.0,0.0,0.9873054027557373,0.9873054027557373,0.0,12.3632546846921,BRQ 48h
64,0.0,2.0657708644866943,0.0,0.0,0.0,0.0,8.07509985632807,BRQ 12h
65,0.0,0.0,0.0,0.9784334301948547,0.0,0.0,9.07880157105264,BRQ 12h
66,0.0,0.0,0.0,0.7695841193199158,0.0,1.5391682386398315,15.3811614256181,BRQ 24h
67,0.0,0.9925554394721985,0.0,0.9925554394721985,0.0,0.0,5.93147606658612,BRQ 0h
68,0.0,0.0,0.0,0.0,0.0,0.0,11.559937466886302,BRQ 12h
69,0.0,0.0,0.0,0.0,0.0,0.0,5.587015724302651,BRQ 0h
70,0.0,0.0,0.6606330275535583,0.6606330275535583,0.0,0.0,7.15616768771405,BRQ 0h
71,0.0,0.0,0.0,0.0,0.0,0.0,5.19829468310483,BRQ 0h
72,0.0,0.0,0.0,0.683654248714447,0.0,0.0,12.0492916412527,BRQ 24h
73,0.0,0.0,0.0,0.0,0.0,0.0,7.187699161932451,BRQ 12h
74,0.0,0.0,1.068007230758667,4.272028923034668,0.0,0.0,12.607655197109,BRQ 24h
75,0.0,0.0,0.0,1.9993879795074463,0.0,0.0,0.0,BRQ 0h
76,0.0,1.119239330291748,1.119239330291748,0.0,0.0,0.0,7.5762284998057305,BRQ 12h
77,0.0,0.6119332909584045,0.0,0.6119332909584045,0.0,0.0,15.322179369412801,BRQ 0h
78,0.0,0.0,0.0,0.0,0.0,0.0,0.8326464869276899,BRQ 0h
79,0.0,2.6208879947662354,0.0,0.8736293315887451,0.0,0.0,2.85629668682346,BRQ 0h
80,0.0,0.0,0.0,2.7070441246032715,0.0,0.0,15.9067779012237,BRQ 48h
81,0.0,1.8046960830688477,0.0,0.0,0.0,0.0,7.8043862295204995,BRQ 12h
82,0.0,0.5695728063583374,0.0,0.5695728063583374,1.1391456127166748,0.5695728063583374,12.0322079808811,BRQ 24h
83,0.0,0.0,0.0,0.0,0.0,0.0,5.5460978370445995,BRQ 12h
84,0.0,0.0,0.0,0.0,0.0,0.0,6.061981502684269,BRQ 0h
85,0.0,1.637343406677246,0.0,0.0,0.0,0.0,3.9692733402293903,BRQ 0h
86,0.0,0.0,0.0,0.0,0.0,0.0,13.5316015572511,BRQ 48h
87,0.0,1.0381375551223755,0.0,1.0381375551223755,0.0,0.0,2.75452274446761,BRQ 0h
88,0.0,0.0,0.0,0.0,0.0,0.0,4.2645506886382405,BRQ 0h
89,0.0,0.0,0.0,0.6273888349533081,0.6273888349533081,0.0,13.506139273978,BRQ 24h
90,0.0,0.0,0.0,0.0,0.8187742829322815,0.0,10.342876656884401,BRQ 48h
91,0.0,1.3417539596557617,0.0,0.0,2.6835079193115234,0.0,13.7512671129672,BRQ 24h
92,0.0,0.0,0.0,0.0,0.0,0.0,7.95149877202489,BRQ 12h
93,0.0,0.0,0.0,1.6103031635284424,1.6103031635284424,0.0,12.702629033512302,BRQ 24h
94,0.0,0.6700512766838074,0.0,0.0,0.0,0.0,5.907510861251639,BRQ 0h
95,0.8356357216835022,0.0,0.0,0.0,0.0,0.0,5.01803849788359,BRQ 0h
96,0.0,0.0,0.0,0.0,0.0,0.0,11.5237033655022,BRQ 24h
97,0.0,0.0,0.0,1.0994614362716675,0.0,0.0,12.3377376769454,BRQ 24h
98,0.0,0.922609806060791,0.0,0.0,0.0,0.0,5.50545139879646,BRQ 0h
99,0.0,0.0,0.5882935523986816,0.0,0.0,0.0,9.60080165628057,BRQ 12h
