"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Nwd1",3.22648410103377,3.87135530751121,27.3534381486427,5.82204478734553e-23,7.71174026182877e-20,42.2981258683783
"Itsn1",2.7581265539491,4.39107177968014,27.187749557746,6.95339124684684e-23,7.71174026182877e-20,42.2560563363941
"Tsc22d1",2.31023302938959,5.00154706406205,26.8452326371639,1.00695335980703e-22,1.00563657464421e-19,41.8499930292669
"Acot1",1.92696066025363,4.81609953870016,24.6239141689703,1.2419245925793e-21,6.60925540851572e-19,39.4242823642836
"Tdrd5",2.8675555584148,4.30049763322867,24.4988726931314,1.43929624471356e-21,7.18707044042928e-19,39.1378992188554
"Tbc1d9b",2.04766675773512,7.55779744034713,23.3476404447399,5.78356792443306e-21,2.08577951008096e-18,37.8848843009821
"Itm2c",2.0984523545808,5.72054207271302,22.7706841425747,1.18868430756565e-20,3.42423236721336e-18,37.1828211820927
"Lamb2",3.70969795725798,3.17936833244532,22.4575059846081,1.76959788927012e-20,4.78639362424874e-18,36.5229199740076
"Fam117a",1.83029394658091,6.22302466270408,22.3305936776368,2.08216450680535e-20,5.28696952907984e-18,36.6193821274716
"Tmem229b",1.93195484881324,7.19554540984285,21.8365302506371,3.95324245237948e-20,8.41392569823652e-18,35.9609035447814
"Gm2a",1.2928983022094,8.95434774897968,21.5753991595542,5.57670820731018e-20,1.11388311777705e-17,35.5871292641513
"Fbp1",4.07550482698086,1.88805775817239,21.3955725744768,7.08285348963689e-20,1.27717620633272e-17,34.2356844741859
"Siae",1.36429326172758,6.37707548738714,21.2871422798556,8.18816611689435e-20,1.38060987916415e-17,35.2322034960657
"Papss2",1.50831812831518,8.60950553517381,20.8396193974116,1.50013654660463e-19,2.31860390292475e-17,34.5909481790132
"Tmem176a",1.8296872525686,4.75779606389687,20.7681122740261,1.65425339719103e-19,2.52672610067425e-17,34.559819130347
"Dusp5",3.51112072132811,4.90271336289928,20.6884966758015,1.84518392294917e-19,2.78558405484292e-17,34.4397779978609
"Scml4",2.12271719541378,3.17994470608919,20.666000317534,1.90314809945459e-19,2.80779224718396e-17,34.4085714906095
"Gfra1",2.33440794532404,3.45132827231323,20.534009663497,2.28319933861368e-19,3.26933116288991e-17,34.2356552269813
