"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Mlx",2.10252278297756,5.35283629305687,28.7778383162799,1.31636142678846e-23,1.13935469359964e-20,43.9458299310134
"Anxa3",1.40035936251017,7.81783988494775,20.162576273044,3.83223215014215e-19,7.89743968338024e-17,33.6119774585357
"Plac8",1.65934516559502,10.6991772865497,19.5329853705976,9.39702957783944e-19,1.69446715290402e-16,32.6765757428665
"1700123O20Rik",1.46418942499518,5.4384065095171,19.138501099753,1.66952289363231e-18,2.81498905558809e-16,32.2066204667148
"Nucb2",2.21161070597836,5.15408089611167,19.047906428571,1.90780301476583e-18,3.17551365906471e-16,32.1028462228377
"Bnip3l",1.42781916046927,7.43600387014383,17.6765294472423,1.5392954453934e-17,2.03925232321863e-15,29.8812152437187
"Chn2",1.46796557943674,4.56162038241679,17.5424895486316,1.90140309413239e-17,2.46859163711209e-15,29.802407742854
"Aoah",1.49497236963957,6.7619470959488,17.5162298238595,1.98206195106639e-17,2.5478327040292e-15,29.6603288179754
"Xbp1",1.22754475111472,6.41977952645364,17.3082171625449,2.75953722100306e-17,3.3603779399711e-15,29.3256709872436
"Mcu",1.25542396003261,5.32932280633185,16.6461795973303,8.08845711425353e-17,9.05279644089255e-15,28.2897160424809
"Rgcc",1.95170482680012,5.18882745129919,15.5673023906188,5.03574181318184e-16,4.47801616168081e-14,26.4428751930827
"Tnfaip8",1.19791662272734,7.02282120020352,15.3922237204201,6.83952636710135e-16,5.91983805493846e-14,26.0172195704141
"Glrx",1.52375379696925,6.2613920198314,14.8425637045799,1.82073795403047e-15,1.4154874764777e-13,25.1008335437148
"Acsl1",1.14224593094361,6.406835581917,14.754434008962,2.13574197088743e-15,1.64073005964683e-13,24.9086333653151
"Sgpp1",1.3642790378902,6.54558085147816,14.7284570266548,2.23890819971397e-15,1.69986813782962e-13,24.8345062843429
"Tmem216",1.29605154286635,4.91668854705016,14.3784921233632,4.25362508369504e-15,2.98512510603312e-13,24.3091045979278
