"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Gart",-1.93126116281875,7.76111048881416,-29.8740814628754,4.38919469087964e-24,1.42462286679226e-20,45.0469840054726
"Asns",-3.30970526553709,5.87401181183992,-27.3216812864184,6.02314798821694e-23,7.71174026182877e-20,42.1686860535004
"Pabpc4",-1.81534397698707,7.95336378640422,-26.2301333040131,1.979724201991e-22,1.60642245715307e-19,41.2636169689044
"Lars",-1.87040055826582,7.33354925753902,-25.7221132903952,3.49861718062411e-22,2.67191452094369e-19,40.6968215706721
"Ncl",-2.00072463393081,10.3077951336445,-24.6031385268066,1.27267492269039e-21,6.60925540851572e-19,39.3900872192291
"Ybx3",-2.28596144544401,8.39064293648707,-23.9599071736548,2.73955261593191e-21,1.16995786652616e-18,38.628892138932
"Fubp1",-2.10231635115952,7.60909577640079,-23.9437309125086,2.7935526351622e-21,1.16995786652616e-18,38.6218109493217
"Fbl",-2.01689231738019,7.2300122630393,-23.4966416203672,4.81418429168852e-21,1.83831043114683e-18,38.0749134747932
"Odc1",-2.15464629787065,7.91005978495363,-23.3668849098207,5.64780765824475e-21,2.08577951008096e-18,37.9075354271789
"Mybbp1a",-1.79259422781037,8.80314705743777,-23.1408527108382,7.47356715289971e-21,2.55340321963413e-18,37.616563222313
"Hspa8",-1.537982969491,11.1719280238504,-23.0619437502384,8.24606627809041e-21,2.74509432021661e-18,37.5056292595036
"Eif4a1",-1.73026729734695,10.0825252556563,-22.8854759149207,1.02862376627126e-20,3.26033264662542e-18,37.287861085428
"Rrp12",-2.66086615322756,6.27738870900091,-22.8847173078164,1.02960516453549e-20,3.26033264662542e-18,37.3244110640567
"Slc7a5",-2.13591275697726,7.39336563099749,-22.8588150553406,1.06370032081258e-20,3.28810030121661e-18,37.2790962747985
"Lyar",-2.22563157973357,7.18584725933486,-22.8400395512117,1.08914069788162e-20,3.28844504199932e-18,37.2567608512078
"Nsun2",-1.83323401118903,7.94702211794381,-22.7886537319138,1.16202524472083e-20,3.42423236721336e-18,37.1819302567394
"Nars",-1.47671809411384,7.81788367682905,-22.6633532227227,1.36160292617346e-20,3.76121080649149e-18,37.024945975018
"Ddx39",-1.71486150951071,7.43204297443841,-22.4215805805298,1.85282696740816e-20,4.90923520772657e-18,36.7213026409063
"Pa2g4",-2.01014483489232,8.69805277407854,-22.2962387917351,2.17619919180064e-20,5.28696952907984e-18,36.5431561736099
"Ddx39b",-1.60425820822177,8.14156089304316,-22.096153948246,2.81805524289639e-20,6.30807089974549e-18,36.288716519155
"Ppid",-3.18765644115472,6.38525050642339,-21.9091998017294,3.59460602186907e-20,7.8789667536056e-18,36.0761570063013
"Nolc1",-1.90919402903651,8.37604857132859,-21.8993445779298,3.64120777336776e-20,7.8789667536056e-18,36.0252433831808
"Eif3b",-1.3953338637816,9.35008831286783,-21.6987779248066,4.73783907895379e-20,9.92118786484791e-18,35.7502465360462
"Ebna1bp2",-1.73995319506687,6.69057732714857,-21.6532801435367,5.03091020382152e-20,1.03676678057484e-17,35.7317808677997
"Mettl16",-2.17638640321365,5.51338439267807,-21.637370693526,5.13774679992694e-20,1.04224010474143e-17,35.718978964276
"Hoxa9",-2.30799640161531,7.40788820948771,-21.5472574310235,5.78863664735788e-20,1.13869499382799e-17,35.5946300885623
"Hsp90ab1",-1.24836839775908,11.6001893329197,-21.5048883050069,6.12349174411109e-20,1.18658646737006e-17,35.4755771507626
"Gfm1",-1.63458071915823,6.73404974731425,-21.4100268144164,6.9475897962743e-20,1.27650271987782e-17,35.4095833346915
"Sf3b3",-1.31083603984806,8.24730287522805,-21.3820840716801,7.21152870112985e-20,1.27760322292034e-17,35.3388011332395
"Slc7a1",-2.03012999016924,7.25987764343181,-21.3747981783705,7.28203331249365e-20,1.27760322292034e-17,35.3519064433496
"Mthfd1l",-1.78266511016638,7.18576885102734,-21.3157078917168,7.8807560775782e-20,1.36421141540264e-17,35.2691148500941
"Cyb5r1",-2.80879923686838,5.49542473339262,-21.2988104285175,8.06113216859222e-20,1.37707472295833e-17,35.2151534193339
"Eif5a",-1.52039363887838,10.4383986410948,-21.2651957485019,8.43272428317456e-20,1.38584885276526e-17,35.160256279056
"Atf4",-2.12487205231567,7.52541511890571,-21.142364513346,9.9475710172445e-20,1.59443598168994e-17,35.0360116888018
"Sfpq",-1.5410277534838,9.10726859444988,-20.8934019042686,1.3940256735886e-19,2.18055847231335e-17,34.6664708069441
"Hsph1",-2.08634902385974,6.22591711610439,-20.6714521550114,1.88893076227421e-19,2.80779224718396e-17,34.4228047887786
"Serbp1",-1.5038278610296,9.38692691722551,-20.5313773623286,2.29152842812125e-19,3.26933116288991e-17,34.1567813225725
"Imp4",-1.49532924963298,6.30922030984761,-20.4203801606089,2.67282501384446e-19,3.73132119943469e-17,34.0626201290066
"Anp32b",-1.34128333273086,8.90338096897761,-20.4077109915996,2.72032178747798e-19,3.75722742200283e-17,33.9886331564938
"mt-Cytb",-2.52014419688488,10.313349602667,-20.1818227179418,3.73000942436213e-19,4.94150126086668e-17,33.6616733836943
"Srsf1",-1.76736254173429,8.92308593497355,-19.8242321699219,6.18681495366191e-19,7.50686154611146e-17,33.1613121708435
"Gm15459",-1.50957428642244,8.6519977078637,-19.8080944991736,6.33089248400182e-19,7.54073184585281e-17,33.1501766950169
"Fkbp4",-1.64599146001363,7.89022038073443,-19.7794975000771,6.59475923714314e-19,7.78361447052994e-17,33.1026090060496
"Aars",-1.49408354088317,8.02932264079465,-19.714987796605,7.23244007765417e-19,8.38381870787358e-17,33.0128455088392
"Mettl1",-3.1377279025998,4.36103002882544,-19.6173865398073,8.32048201429436e-19,9.4758612273319e-17,32.782870837764
"Srsf2",-1.53175189374836,8.56042669168481,-19.5715877563649,8.88787733840005e-19,9.94752685210757e-17,32.7947233053239
"Psme3",-1.24652951796126,7.94020393648095,-19.5187365788201,9.59247837164961e-19,1.05541649745023e-16,32.7283803724208
"Tars",-1.47782199703052,6.65723021352025,-19.381097604868,1.1710617897179e-18,1.25652026577748e-16,32.5682645457052
"U2af2",-1.23849878843164,8.14236152895301,-19.319150466145,1.28159207280051e-18,1.34346722385325e-16,32.430644755874
"Heatr1",-1.55730493760428,7.26209508794691,-19.1095589798232,1.74211695931565e-18,1.76702378771836e-16,32.1519518448359
"Slc25a3",-1.3349624066238,8.88623940394682,-19.0900342625696,1.79292013389379e-18,1.79057554602639e-16,32.0793482785603
"Nat10",-1.96313825778801,6.13237769335235,-19.0615430872934,1.86980807548721e-18,1.85310826290461e-16,32.1189138035452
"Iars",-1.39191743145107,7.40295076767478,-19.0142899307362,2.00490182208266e-18,1.95711581624806e-16,31.9970938141256
"Rrp9",-2.45512603451245,5.12535750965626,-18.9612529614014,2.16857163347565e-18,2.05507777499375e-16,31.9989800666705
"Slc1a5",-1.98218194556301,6.55766177346686,-18.9344887821588,2.25633060753843e-18,2.11938140551152e-16,31.9230755370927
"Rabggtb",-2.25398845659897,5.38560164703266,-18.8699654637668,2.48326807078524e-18,2.28654392645424e-16,31.8648595615273
"Set",-1.68787308491322,9.23906980817354,-18.8636373696139,2.50675592012941e-18,2.2919163458479e-16,31.7347245685961
"Polr1b",-2.03284056480142,5.97225713301931,-18.7331882086865,3.04545651106079e-18,2.76497635546169e-16,31.634231006531
"Gm15964",-2.25245328334514,4.73329206580426,-18.6359151766431,3.52384704036252e-18,3.17709070312685e-16,31.5047468351188
"Farsb",-1.87038857256495,6.18852338706003,-18.5809777947756,3.82760720503314e-18,3.37925585809301e-16,31.4059231485422
"Wdr36",-1.6647602881904,6.63585705429015,-18.5792176642189,3.83777376014319e-18,3.37925585809301e-16,31.3773175597144
"Ero1l",-1.77519269926443,8.34678124854488,-18.5673039337525,3.90732313590451e-18,3.40461585727841e-16,31.3066305622931
"Srm",-2.40516567709759,7.0764240372107,-18.4960525735294,4.35127079345339e-18,3.7412283914838e-16,31.2281291185148
"Nt5c2",-1.57633177953316,6.31919492060498,-18.4500005214739,4.66556623116595e-18,3.9590226391652e-16,31.2020083928282
"Wdr46",-1.78392984973957,5.77250172348292,-18.3769075026553,5.21324578384419e-18,4.33069367647884e-16,31.0988326280257
"Ddx21",-1.65798228379479,8.42110443977323,-18.3739196718296,5.2369938165846e-18,4.33069367647884e-16,31.000369504746
"Rpn1",-1.1906259492576,9.01394669357312,-18.3508260043778,5.42434884006446e-18,4.45723550573145e-16,30.9559717272925
"Phb2",-1.38562609304061,7.59964341489781,-18.3446748250829,5.47540731551401e-18,4.47089391052317e-16,30.9653816050014
"Aatf",-1.84581347714473,5.28570898129204,-18.3363305744433,5.5454620210741e-18,4.49979583872532e-16,31.0603898592913
"Tardbp",-1.48989454052399,8.44396598472866,-18.323002822626,5.65927694433976e-18,4.54285894895694e-16,30.9295615272606
"Atf5",-2.08735884146875,5.66977760421122,-18.3187118544859,5.69643035684701e-18,4.54285894895694e-16,31.0263678603503
"Rbm3",-1.27156885688322,8.85911641875985,-18.3122952875051,5.75245768433122e-18,4.55391208022392e-16,30.900824569258
"Aldh18a1",-1.36206434789896,7.03020965448413,-18.2670239630251,6.1642307694828e-18,4.85031564122395e-16,30.8610378578649
"Sf1",-1.17260499712176,8.51873460919537,-18.2620129097519,6.21163921386248e-18,4.85817541648052e-16,30.825121616854
