"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Siglecf",3.75608515109258,5.87865819977232,30.4687481147107,2.45722858729789e-24,1.06340662496295e-20,45.4184297858652
"Cd33",2.53715257652281,8.5448356125357,28.1409368372106,2.53710173048604e-23,6.58783835338005e-20,43.3135302150177
"Mpeg1",3.65093831646899,7.47341302828405,27.5242414463188,4.85315855755646e-23,7.71174026182877e-20,42.6271876717107
"Milr1",3.20508561844008,5.50998177133711,27.51588802386,4.8964354989681e-23,7.71174026182877e-20,42.4963614874111
"Itm2b",1.8412731410655,9.65374559459749,26.5772594696005,1.34942177814417e-22,1.23657584829245e-19,41.643900988185
"Sepp1",3.11956805729188,5.57706718113841,25.621727330927,3.92004070542203e-22,2.82743824880523e-19,40.4489497172558
"Ptplad2",4.12959621501484,4.79003565749834,25.2730830971972,5.83744879314967e-22,3.98882093060327e-19,39.7538682089485
"Gsn",3.01198858428025,7.807551772653,23.9750295992102,2.6900439146892e-21,1.16995786652616e-18,38.6534726032664
"Tmem71",3.22579014782653,5.68015529778779,22.7544975401657,1.21323799500743e-20,3.42423236721336e-18,37.1464054486821
"Pld4",4.44379120119371,4.31249488970791,22.314839414368,2.12475513067816e-20,5.28696952907984e-18,36.2160549758701
"Plxnc1",3.36235209345644,4.4544949313163,22.3095488608455,2.13925842000421e-20,5.28696952907984e-18,36.3917091582519
"Ptafr",2.82633592674521,5.67635384181764,22.2881387247694,2.19900142163068e-20,5.28696952907984e-18,36.5558393434405
"Arl11",2.21524250086381,5.55568274730993,22.2168961303149,2.41048129030554e-20,5.6900506530976e-18,36.474685961471
"Sla",1.83633680203098,7.40358654126505,22.193802972995,2.48344529973863e-20,5.75760184401905e-18,36.4264387435782
"Tpp1",1.60757385721394,6.58612045732016,22.0988579883211,2.80819001298152e-20,6.30807089974549e-18,36.3230529896496
"Pld3",2.52533978783063,5.61129621877017,21.4161775311892,6.89084130436948e-20,1.27650271987782e-17,35.4203549092492
"St6gal1",2.72731503294171,4.57768876059675,21.4064515592068,6.98079743597974e-20,1.27650271987782e-17,35.386016385496
"Pqlc3",1.90674752417734,5.58165394336673,21.1586226704953,9.73193586518423e-20,1.57937154172109e-17,35.0871439171049
"Unc93b1",2.14871976696336,7.65873406566086,21.1201689206733,1.02499348220052e-19,1.62286468041577e-17,35.0013408163916
"Man2b1",1.63052860035781,8.21131230502183,20.6298668730667,2.00020781464187e-19,2.91783124241521e-17,34.313628561701
"Uba7",2.89513572217204,4.46882490298875,20.1016840765319,4.17508137302281e-19,5.47526075413689e-17,33.5605038421319
"Mpp1",1.80488205084646,6.15554634799556,20.0352318870352,4.58550701390798e-19,5.836631133487e-17,33.5430684539563
"P2rx1",2.0181817477282,5.70594908861696,19.8669589139491,5.82143870946188e-19,7.26728257355227e-17,33.2982806781188
"Thbd",2.0436359988735,4.68683901533484,19.8120785520943,6.29500437039124e-19,7.54073184585281e-17,33.2303658636274
"Mmp19",3.18554266232758,4.47409068083681,19.7150582039374,7.2317104979905e-19,8.38381870787358e-17,32.9753200413876
"Stx2",1.98922852355228,5.0869733968438,19.7068190428864,7.31760388667521e-19,8.40747356289418e-17,33.0805009993972
"Cd93",1.61361107089053,7.91250029480926,19.5518801779202,9.14416157438825e-19,1.01468931384857e-16,32.7756099203226
"Stat3",1.36311523313203,7.16139343354504,19.4936370788297,9.94701620815848e-19,1.08522782714724e-16,32.7119115029897
"Calcoco1",2.28439499140218,4.65450387049304,19.4431012603041,1.0702399315594e-18,1.1579104192863e-16,32.6962777343117
"Aplp2",1.31024564409303,7.28110344760045,19.09546999243,1.77862493957434e-18,1.79006880546463e-16,32.1188167424773
"Micall2",2.39511138815568,5.72689475309506,18.983837544666,2.09725583265338e-18,2.01962106081784e-16,32.0182436870242
"Plin3",1.71298864726848,5.467910038969,18.9829394842602,2.1000450066272e-18,2.01962106081784e-16,32.0206570453019
"Neurl3",2.17567094551588,5.40177422958001,18.9694107935845,2.14252757775505e-18,2.04532614279366e-16,32.0088979799833
"Cyth4",1.83943334165453,6.33957388588465,18.5805420651553,3.83012140275667e-18,3.37925585809301e-16,31.38856965133
"Trp53inp1",3.89772123344908,4.31019838692095,18.5767299528687,3.85219030268632e-18,3.37925585809301e-16,31.2719662092399
"Mxd4",1.69734907968977,7.0122910536748,18.4432694833944,4.71342568827324e-18,3.97366270849685e-16,31.1373996373872
"Psap",1.4798299418546,9.46033445277026,18.24930701717,6.33353762566114e-18,4.87973004989215e-16,30.7973846538859
"Grn",2.00107942715776,7.46397311785952,18.2252788924723,6.57084119669812e-18,4.95214673091096e-16,30.8115803247013
"Arhgap9",1.58227311094356,5.97004909263786,18.0586826992102,8.48919746705599e-18,6.15727657624513e-16,30.5887520477833
"Prr13",1.9800785065067,5.67522047838891,17.9861003302113,9.49734898144769e-18,6.85022676811863e-16,30.5093621911046
"Arhgap17",1.70509985904224,5.80728303291816,17.963003873359,9.84339766354119e-18,6.90996185476217e-16,30.4693644770706
"St3gal2",2.23205154284697,5.35352960823884,17.9218871683111,1.04919342697705e-17,7.2072371758958e-16,30.4149025791778
"Ccng2",1.90701802647981,5.67008985366642,17.9015283145132,1.08291902378626e-17,7.36101449519216e-16,30.3614101427438
"Lipa",2.29755074924143,6.38071155555305,17.7946067779111,1.27930100296315e-17,8.4740637354442e-16,30.207890129201
"Gnpda1",2.20437089206248,5.23194463989544,17.7714344285484,1.3264964333006e-17,8.69793090582916e-16,30.1991055162756
"Sort1",2.22346142924562,6.46800360333604,17.6560994497091,1.58953218288944e-17,1.02162853121058e-15,29.9855373120532
"Ube2h",1.98609774566219,5.47054588391155,17.3063023417233,2.76799833471981e-17,1.59719655020743e-15,29.4355912411875
"Nipal3",1.90264454796104,4.96641031222389,17.3013163527072,2.79015574292835e-17,1.60285805355924e-15,29.4457725802381
"Rnasel",1.72751699762163,5.37447366376812,17.2718990381439,2.92465473519099e-17,1.63484445129935e-15,29.3935208378908
"Dhrs3",2.16757030527849,5.37119181254588,17.2575251404964,2.99278429933361e-17,1.65341781098929e-15,29.3759588869978
"Padi2",3.75758508358637,3.03170329015924,17.2531571651457,3.01380981949984e-17,1.65359932302272e-15,29.1414638093521
"Jup",2.62947474379479,4.81414555102042,17.2314703061735,3.12047587301034e-17,1.68804742747055e-15,29.3463821931121
"Itgax",4.00003635445966,2.75612539879511,17.2133819078856,3.21241325104782e-17,1.72341988588239e-15,28.9690090674291
"Nfe2",1.55721493460617,7.66229021692143,16.748608480499,6.83329912628603e-17,3.3352151337057e-15,28.4103317463779
"mt-Rnr1",2.2761743349201,7.84866584898361,16.6130353691241,8.54361119841901e-17,4.12348342710312e-15,28.1669078582316
"Tyrobp",2.03277692307487,7.08991203627886,16.5977450489507,8.76239472866412e-17,4.19786607978768e-15,28.2136396956069
"Gng2",1.79233728030781,5.35320577475035,16.5822152582554,8.99051367812236e-17,4.27559850121108e-15,28.267454702331
"Prkcd",1.28007977681306,7.9497598186825,16.5083362178881,1.01624701849214e-16,4.76315344443447e-15,28.0046005634544
"Rnf130",1.1082290648611,7.60380849650528,16.1915867815465,1.72721936171653e-16,7.5503329875979e-15,27.4737813296987
"Hif3a",2.67862031403871,3.48624096465354,16.1776288647331,1.76840142481451e-16,7.65305189945561e-15,27.5750422726813
"H2-T22",1.65589491719049,5.6710412884369,16.08813204621,2.05761544983882e-16,8.6885080752301e-15,27.3898686315998
"Wipf1",1.35565271886568,6.73765596789903,16.0634326205343,2.14570764043958e-16,8.92875714609841e-15,27.2972095177913
"Plin2",1.47731328450289,6.24768031461653,15.972317818975,2.50568233593765e-16,1.00405165949008e-14,27.1900068995316
"Olfm1",4.43649946732539,1.24461190546435,15.813699447125,3.28786411979215e-16,1.25548058433122e-14,25.7631781230463
"Rab11fip5",2.57870606722554,3.95907957214172,15.6708315573431,4.20716552280218e-16,1.56958706846381e-14,26.7610751454815
"9030617O03Rik",2.74538681855136,3.38769258032867,15.5591126688096,5.10807087554566e-16,1.84216900492248e-14,26.4409005252461
"Rab31",1.13066516138046,6.59211810139478,15.5210997963416,5.4580509961843e-16,1.93611683288144e-14,26.3620561109987
"Napsa",1.72719939261831,6.97579912205297,15.4169002139494,6.5495915676681e-16,2.24955945299034e-14,26.1660890346185
"Tnfsf12",2.56551952153728,2.87214276543568,15.4008761966068,6.73639034227916e-16,2.29550015259345e-14,26.2256231357348
"Hck",2.85518655845536,5.01421156488813,15.294408392072,8.12505814125434e-16,2.69101096550778e-14,26.1040200915606
"Plxnd1",1.85869903271834,7.11894688946773,15.2523872500617,8.75134678074993e-16,2.85474209182101e-14,25.8537997474217
"Irf8",1.75512235102196,5.35291431638754,15.2087152195003,9.45504242510089e-16,3.05360238321107e-14,25.9232084134438
"Pcyox1",1.23003461129169,6.65016672089917,15.2069788921977,9.48419456364011e-16,3.05541682431116e-14,25.8052100938966
"Anxa5",1.30023974034294,6.94057174679489,15.1561570117418,1.03797252652428e-15,3.27883146274081e-14,25.684649242544
"Ncoa4",1.25866429565695,8.59056075823492,15.0514455167282,1.25096076247911e-15,3.83953276105587e-14,25.4364572770547
"Ms4a6b",5.80710522058331,3.00562667179337,15.0181570123076,1.32771158770106e-15,4.0369272934714e-14,24.53703467835
"Flot1",1.36808794141054,6.18137239552596,14.8729427279447,1.723581041791e-15,5.08573924217557e-14,25.1993070106365
"Rassf4",1.83184099278557,7.07320446225184,14.8449222825444,1.81299703399319e-15,5.32537115211167e-14,25.1465890885399
"Il6ra",2.47231887556176,5.52515670749922,14.840945417578,1.82606887581807e-15,5.35165964215484e-14,25.2818288694704
"Fes",1.67943205991699,6.53153341857301,14.825605327774,1.87740628117287e-15,5.48972201542057e-14,25.1293340329872
"Smim14",1.29648823013182,6.43021316176964,14.7673848774308,2.08614737997805e-15,6.00542160404767e-14,25.0048703252968
"Aatk",3.30863452597241,4.7606882407878,14.6980019395047,2.36641389247488e-15,6.70811169563348e-14,25.0423670245879
"Dennd5a",1.29968484628049,7.25192522897537,14.6493389732899,2.58586126919491e-15,7.20434267338144e-14,24.7364468162907
"Cd300a",1.86611814197518,5.3302512608152,14.5918956781161,2.87206572968689e-15,7.9000062221451e-14,24.8130174147729
"Cd84",2.16687960646469,5.08528982372372,14.5569265032532,3.06206195615658e-15,8.31689338426377e-14,24.7590657083498
"Ahnak",4.3893113534683,4.0366835641841,14.5490419087678,3.1066586177902e-15,8.40286434057712e-14,24.7477667458668
"Zfp658",2.61445129557085,2.59725063681574,14.5208119689248,3.27188456468578e-15,8.75853140274546e-14,24.6677442015091
"Camk1",1.43534557844153,5.2713874400431,14.4695705384664,3.59526997143327e-15,9.56503894244224e-14,24.5355500358813
"Zfyve1",1.4797279101891,4.84603378295167,14.4201481749913,3.938363228142e-15,1.0371555738533e-13,24.4759411972006
"Cdkn2c",1.06660338719204,5.34385436539265,14.3824708725994,4.22242293321276e-15,1.09859152188179e-13,24.3183032523234
"Mtmr6",1.10711825934837,6.83547438765348,14.2927660451062,4.98671009986308e-15,1.26697567957969e-13,24.1053220581003
"Abcc3",3.88454028633113,1.39206965662206,14.2003052333463,5.92438310240506e-15,1.48486999649662e-13,23.650081509816
"Pik3ap1",1.62765237354021,6.69334563969394,14.1882404511285,6.0594622411337e-15,1.51579958143813e-13,23.931311083163
"Mcf2l",1.32552929330293,5.55260299293569,14.172881033193,6.23602335749287e-15,1.54803616157419e-13,23.9607155563104
"F13a1",1.07847955058787,9.39010558931132,14.1565874368307,6.42911328949055e-15,1.58988910166582e-13,23.7584760922925
"Hexb",1.28866690471737,5.94828528623662,14.1353496798541,6.69006114904015e-15,1.64814162994285e-13,23.8856876274569
"Abcc5",2.53986650963717,4.0673490866905,14.1239660432148,6.83439009985788e-15,1.67733245116172e-13,24.0027240883922
"Dlg4",2.44155496381747,2.87932501006096,14.1005314561841,7.14167432314142e-15,1.72985742047286e-13,23.9393836267912
"Gcnt2",2.78600475806838,3.91578846244139,14.0978181441399,7.17815848406015e-15,1.73545682678869e-13,23.9429589880292
"Fam168a",1.40768558058751,5.59036926525345,14.0385249173645,8.025135590898e-15,1.90824790067086e-13,23.71442461816
"Hip1",1.65420727613865,5.22962326823662,13.9908435868508,8.78042855449807e-15,2.06515043338856e-13,23.6323458900574
"mt-Rnr2",2.11842560778828,8.13160725978758,13.9896617687821,8.80005081958994e-15,2.06602278102597e-13,23.4395702202647
"Atp13a2",1.84891161524239,6.72026712867197,13.9400293023041,9.66616995822309e-15,2.2490301893837e-13,23.4219455852374
"Cd200r1",2.12051427626923,4.89311410463912,13.8597771367392,1.12564861671143e-14,2.58097270951177e-13,23.4657628865983
"Fyb",1.58122584206674,6.12459942495577,13.8590646053877,1.12717517237401e-14,2.58097270951177e-13,23.283211735533
