"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Aoah",3.55199615876682,6.7619470959488,42.2931683156963,1.45084134207206e-28,5.23229809558932e-26,55.3612441718724
"Lcn2",8.02049353538192,5.8938888385965,41.0850731961231,3.44872115810587e-28,1.04127318129508e-25,54.4365683669529
"G6pdx",2.86896987509249,7.30366660810788,40.1232833136271,6.99432453871634e-28,1.8532105201256e-25,53.7925841721871
"Adpgk",3.59507601989444,6.19696562579803,39.6816739890132,9.73042468566913e-28,2.33944636470449e-25,53.4642197099699
"S100a11",4.56013926976492,6.78403628091505,38.6386155085042,2.15277210786593e-27,4.23476367824596e-25,52.6713403067332
"Glrx",3.84177705041037,6.2613920198314,38.2779391325734,2.84665577423485e-27,5.36047752834914e-25,52.392341052806
"Atp6v1b2",2.88349913558607,7.91137968164025,37.6620199536017,4.61424754790686e-27,8.32038554367704e-25,51.8959379268791
"Degs1",2.54596156759335,6.37339135567073,36.053033146646,1.69043113013679e-26,2.43854081806289e-24,50.6025264427024
"Acsl1",2.68934439922857,6.406835581917,35.250675346927,3.29802157112586e-26,4.077925148374e-24,49.9345140946579
"Agl",4.00487424616705,5.61846583922049,34.5456074535169,6.00570890320692e-26,6.7217343698565e-24,49.346496479708
"Ostf1",2.36223846933827,7.46910937140787,34.1681670871265,8.31766737624431e-26,8.57049805918888e-24,48.9878059583218
"Lyn",2.67934240319497,6.92701016939379,33.8634947680861,1.08457239517182e-25,1.09155065166788e-23,48.7207910987085
"Cap1",2.24239285893391,8.38363592428557,32.585786361775,3.38519526438005e-25,2.96959392685447e-23,47.5566483239955
"Xbp1",2.28524972165633,6.41977952645364,32.5050636277658,3.64273510191754e-25,3.11142301501285e-23,47.5170691155314
"Npc2",2.35366817731708,8.12589930905454,32.3749065065668,4.10138391759739e-25,3.44332114937162e-23,47.3685445602802
"Atp6v1e1",2.24167190453083,6.9715904812975,31.8428168906789,6.69163674797042e-25,5.08055671923392e-23,46.8894956969223
"Numb",2.87327158491857,5.16166121016187,31.7952519205325,6.99359446366037e-25,5.27894400707573e-23,46.8869376230323
"Ctsa",2.16928748468573,7.6327803621997,30.9321648314885,1.57503897381855e-24,1.01734980085006e-22,46.0105850206067
"Adipor1",2.11399042169834,7.65759520726195,30.3493524141092,2.75839932036055e-24,1.65797677667783e-22,45.4410389529637
"Ints12",2.55831864145507,5.50374240870983,30.2229799297963,3.11892596403642e-24,1.83226315796764e-22,45.3669254861883
"Ifngr2",2.52510736588902,5.65648741988675,29.9231465504209,4.18235238954602e-24,2.32809853893187e-22,45.0736016112795
"Sh3bp5",3.21669373711193,4.41767449918452,29.8014406572252,4.71499915514745e-24,2.58290438950546e-22,44.9818025781638
"Actn1",3.03216440090554,5.96408127593864,29.5906418158429,5.80932463715311e-24,3.0910844985311e-22,44.7235997060836
"Lcp1",2.26242430399897,9.84636420180432,29.4996063034682,6.36001289171643e-24,3.34971478255519e-22,44.5690399556165
"Add3",2.56066640835479,7.09364152484054,29.1017663163977,9.47738058152358e-24,4.59734732913941e-22,44.1947117378514
"Ctss",7.03686008325413,3.10157860485002,29.1004456380939,9.49001836408658e-24,4.59734732913941e-22,44.0846307252035
"Dnajc5",2.070901831642,7.05399494176079,28.8391499592167,1.23666922297422e-23,5.70277574895235e-22,43.9279492937902
"Ppp2r5a",1.83835668374355,7.76340212631457,28.7635475952795,1.33568630740243e-23,6.07365200576347e-22,43.8376969074423
"Ncf4",2.81526879058954,6.70753310065227,28.7173984037945,1.40011548778004e-23,6.33025393567247e-22,43.8162837150691
"Plp2",2.69241280410889,6.4056937731821,28.6649632239115,1.47722690869956e-23,6.59066562049704e-22,43.7574663271635
"Ptpn6",2.64259380447093,8.02915642567025,28.6090707568227,1.56426178128479e-23,6.90775874368043e-22,43.6746289334845
"Arhgap30",2.22100283323756,6.90418932970262,28.5836992451916,1.60549949976735e-23,7.06583051033205e-22,43.6632799787959
"Ifngr1",2.16344061000264,7.16624171615017,28.4793326409517,1.78728800817264e-23,7.76065558866401e-22,43.5538881175702
"Map2k1",2.31993067473258,5.98043358917944,28.4609567672867,1.82143261613012e-23,7.88255321840577e-22,43.5699797390604
"S100a9",12.6281728367617,-1.29199175211456,28.3925514601975,1.95456745542589e-23,8.40269843503123e-22,42.6318025878985
"Gpr141",3.09812024181897,6.36616976320552,27.8890552483559,3.30134715839252e-23,1.32288241226574e-21,42.9505150322625
"Cln3",3.41088000674346,4.52026496637929,27.7780269616972,3.71024067804736e-23,1.4641354019176e-21,42.9210400542939
"Stat6",2.29199912297274,6.7195939570725,27.7381431321062,3.86958534757294e-23,1.51253284586406e-21,42.7782413965669
"Ugdh",2.3015924254222,5.87364591333526,27.731966217,3.8948877314071e-23,1.5139918388281e-21,42.8048283879726
"Ctsc",3.31001516727593,7.13855271478677,27.7084872821322,3.99263196455405e-23,1.5473534565912e-21,42.7310563393532
"Rbms1",2.74266294435825,6.2199152684663,27.6762566377218,4.13094830040155e-23,1.59619350547956e-21,42.7336474018416
"Dock5",2.67420538759742,5.9201643421701,27.5879121592683,4.53599456462495e-23,1.74233187670194e-21,42.6407970194737
"Fam160a2",3.47991496337285,4.72819971359619,27.467239365468,5.15650655785821e-23,1.94729966428785e-21,42.5828262059988
"Cd82",3.58038703210989,4.94793185659829,27.2775565704003,6.314537118895e-23,2.28998981605066e-21,42.3795524168209
