ImageNumber,ObjectNumber,AreaShape_Area,Intensity_IntegratedIntensity_OrigBlue,Intensity_IntegratedIntensity_OrigRed,Intensity_MeanIntensity_OrigBlue,Intensity_MeanIntensity_OrigRed
1,1,9521,1363.0470972340554,1129.901990343351,0.14316217805210119,0.11867471802787007
1,2,5898,1180.5686612948775,155.93725984869525,0.20016423555355672,0.026439006417208418
1,3,7435,1283.2706265114248,549.0509959370829,0.1725986047762508,0.07384680510249939
1,4,11801,1992.8157419655472,974.596106396988,0.16886837911749406,0.08258589156825591
1,5,10968,1449.6118019409478,509.53334849886596,0.1321673780033687,0.04645635927232549
1,6,7543,1318.9921954292804,1045.6353204371408,0.17486307774483367,0.13862326931421726
1,7,9657,1575.9059263896197,1363.341211586725,0.1631879389447675,0.14117647422457544
1,8,14459,2487.9137994963676,1100.1176786427386,0.17206679573251038,0.07608532254255057
1,9,11784,1907.5961304139346,1165.0941488696262,0.16188018757755723,0.09887085445261594
1,10,8623,1106.9686546958983,766.8078634538688,0.1283739597235183,0.08892588002480213
1,11,11063,1762.3765293825418,964.5804190244526,0.15930367254655534,0.08718976941376232
1,12,8999,1476.145145026967,1099.7059140549973,0.16403435326447016,0.12220312413101425
1,13,11587,1932.6235770191997,1218.160816859454,0.16679240329845516,0.10513168351251005
1,14,9041,999.8117942251265,459.36471946910024,0.11058641679295725,0.05080906088586442
1,15,10384,2121.917712735012,1097.368657444138,0.2043449261108448,0.10567879983090699
1,16,12103,1813.9451493863016,1481.1372963138856,0.14987566300803948,0.12237769943930311
1,17,9301,2316.9216211289167,613.4470764836296,0.24910457167282193,0.06595495930369097
1,18,14743,2617.1059466097504,462.3019751771353,0.17751515611542767,0.0313573882640667
1,19,8564,1020.5921828653663,779.8862969703041,0.11917237072225202,0.0910656582169902
1,20,6514,1611.1451398916543,304.37255825148895,0.24733575988511733,0.04672590700821139
1,21,12792,2135.9333891682327,719.2823739740998,0.1669741548755654,0.05622907864087709
1,22,13153,2124.0510428398848,776.4510027216747,0.16148795277426325,0.0590322361987132
1,23,11614,2294.8392807301134,1217.5372893507592,0.19759249877132026,0.10483358785524016
1,24,5902,946.8862987495959,1070.2902259728871,0.16043481849366248,0.18134365062231228
1,25,10040,1315.7255253493786,372.54118791548535,0.13104835909854368,0.03710569600751846
1,26,10138,1911.913772592321,867.7412009816617,0.1885888511138608,0.08559293755984038
1,27,9538,1242.5412081740797,1544.9725927542895,0.13027272050472632,0.16198077089057344
1,28,8146,1172.8470866419375,184.59216288197786,0.143978282180449,0.022660466840409753
1,29,8767,1355.4980782307684,484.8392295311205,0.15461367380298488,0.05530275231334784
1,30,8345,1321.321607477963,1170.2627801587805,0.15833692120766482,0.14023520433298747
