filename	num_maxima	area	dapi	yh2ax
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_121_R3D_D3D.dv	3	126.416	684.165	872.956
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_121_R3D_D3D.dv	0	74.330	593.817	228.919
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_121_R3D_D3D.dv	13	113.659	472.168	1111.991
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_121_R3D_D3D.dv	10	162.061	683.910	1325.206
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_121_R3D_D3D.dv	24	176.982	617.640	2968.716
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_122_R3D_D3D.dv	2	178.456	472.962	425.740
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_122_R3D_D3D.dv	2	178.963	573.420	458.464
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_122_R3D_D3D.dv	5	166.436	665.180	1088.292
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_123_R3D_D3D.dv	13	128.212	753.147	1582.152
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_123_R3D_D3D.dv	3	159.943	718.390	663.001
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_123_R3D_D3D.dv	2	150.041	741.089	980.484
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_123_R3D_D3D.dv	5	131.113	621.568	1087.998
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_123_R3D_D3D.dv	3	170.627	720.190	1112.207
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_123_R3D_D3D.dv	4	175.278	684.168	535.648
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_123_R3D_D3D.dv	7	139.034	618.032	858.988
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_124_R3D_D3D.dv	3	110.942	527.818	693.392
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_124_R3D_D3D.dv	4	121.672	604.986	737.718
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_124_R3D_D3D.dv	2	118.265	530.295	630.271
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_124_R3D_D3D.dv	4	202.680	625.677	1000.261
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_124_R3D_D3D.dv	3	153.771	513.268	748.003
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_124_R3D_D3D.dv	5	165.607	638.240	818.458
