filename	num_maxima	area	dapi	yh2ax
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_031_R3D_D3D.dv	0	149.489	527.917	192.550
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_031_R3D_D3D.dv	3	97.448	413.958	761.891
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_031_R3D_D3D.dv	6	81.100	446.683	233.621
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_031_R3D_D3D.dv	24	168.002	719.322	588.102
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_031_R3D_D3D.dv	12	89.896	480.663	510.320
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_032_R3D_D3D.dv	6	111.909	389.237	413.676
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_032_R3D_D3D.dv	0	45.224	468.716	225.888
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_032_R3D_D3D.dv	1	174.311	509.639	220.933
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_032_R3D_D3D.dv	16	283.319	388.311	276.895
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_032_R3D_D3D.dv	1	141.798	284.249	184.215
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_033_R3D_D3D.dv	1	68.251	728.677	294.549
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_033_R3D_D3D.dv	1	147.692	562.743	199.054
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_033_R3D_D3D.dv	8	80.040	467.199	224.961
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_033_R3D_D3D.dv	4	87.087	456.977	966.535
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_033_R3D_D3D.dv	1	189.693	1053.866	260.753
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_033_R3D_D3D.dv	29	213.226	484.507	314.525
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_033_R3D_D3D.dv	6	62.172	516.597	528.776
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_034_R3D_D3D.dv	15	190.246	602.618	303.162
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_034_R3D_D3D.dv	1	111.863	730.566	212.877
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_034_R3D_D3D.dv	21	126.646	860.365	1308.342
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_035_R3D_D3D.dv	18	187.943	714.362	934.764
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_035_R3D_D3D.dv	1	45.178	760.485	388.252
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_035_R3D_D3D.dv	10	167.265	772.149	667.407
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_035_R3D_D3D.dv	5	93.027	478.773	715.192
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_036_R3D_D3D.dv	12	122.547	377.685	219.006
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_036_R3D_D3D.dv	1	33.066	611.618	429.909
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_036_R3D_D3D.dv	11	109.514	506.034	280.677
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_036_R3D_D3D.dv	1	23.994	515.631	908.969
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_036_R3D_D3D.dv	7	128.074	378.684	291.579
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_036_R3D_D3D.dv	3	97.126	588.230	213.433
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_037_R3D_D3D.dv	9	108.133	488.858	225.787
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_037_R3D_D3D.dv	17	127.567	332.095	834.752
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_037_R3D_D3D.dv	5	96.297	405.464	223.640
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_037_R3D_D3D.dv	19	192.686	687.527	498.119
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_037_R3D_D3D.dv	0	24.915	503.723	266.872
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_038_R3D_D3D.dv	0	47.343	665.585	238.624
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_038_R3D_D3D.dv	7	115.455	388.270	415.051
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_038_R3D_D3D.dv	6	101.455	420.089	186.201
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_038_R3D_D3D.dv	11	184.765	836.136	724.001
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_039_R3D_D3D.dv	11	107.949	420.727	256.683
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_039_R3D_D3D.dv	16	188.496	651.918	499.397
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_039_R3D_D3D.dv	3	86.119	385.786	224.011
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_040_R3D_D3D.dv	18	120.153	991.432	511.023
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_040_R3D_D3D.dv	12	137.745	765.000	352.387
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_040_R3D_D3D.dv	16	121.442	832.103	1332.483
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_041_R3D_D3D.dv	1	59.132	467.562	375.920
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_041_R3D_D3D.dv	4	125.541	350.577	183.923
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_041_R3D_D3D.dv	1	102.929	528.741	208.801
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_042_R3D_D3D.dv	5	100.304	390.535	196.548
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_042_R3D_D3D.dv	0	102.146	595.048	236.576
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_043_R3D_D3D.dv	10	110.896	477.901	205.760
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_043_R3D_D3D.dv	0	52.455	408.420	232.780
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_043_R3D_D3D.dv	14	140.877	324.540	559.478
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_043_R3D_D3D.dv	6	97.402	553.605	237.098
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_044_R3D_D3D.dv	9	150.179	844.814	3174.404
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_044_R3D_D3D.dv	22	139.495	784.147	844.816
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_044_R3D_D3D.dv	12	86.902	571.170	1241.061
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_044_R3D_D3D.dv	1	25.191	339.581	1899.479
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_045_R3D_D3D.dv	10	200.009	638.374	861.603
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_045_R3D_D3D.dv	14	121.166	763.727	429.173
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_045_R3D_D3D.dv	9	86.073	670.132	2035.242
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_046_R3D_D3D.dv	20	202.910	649.356	365.337
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_046_R3D_D3D.dv	0	194.160	391.997	174.216
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_046_R3D_D3D.dv	7	118.541	396.735	604.599
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_047_R3D_D3D.dv	4	67.882	515.444	1686.979
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_047_R3D_D3D.dv	8	61.988	481.547	407.524
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_047_R3D_D3D.dv	0	102.146	662.894	246.018
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_047_R3D_D3D.dv	24	163.765	764.175	1447.897
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_047_R3D_D3D.dv	29	151.561	797.801	532.996
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_047_R3D_D3D.dv	10	156.811	781.434	360.512
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_048_R3D_D3D.dv	4	47.066	503.585	410.688
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_048_R3D_D3D.dv	6	71.428	680.478	777.949
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_048_R3D_D3D.dv	12	132.909	863.659	524.298
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_048_R3D_D3D.dv	12	70.968	561.605	550.251
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_048_R3D_D3D.dv	7	71.705	707.227	331.620
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_048_R3D_D3D.dv	6	143.824	851.669	1091.584
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_048_R3D_D3D.dv	15	143.317	695.650	1095.590
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_048_R3D_D3D.dv	23	125.909	700.920	937.025
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_048_R3D_D3D.dv	9	73.040	637.818	587.718
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_049_R3D_D3D.dv	33	172.699	644.088	744.956
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_049_R3D_D3D.dv	26	126.830	608.533	908.204
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_049_R3D_D3D.dv	0	36.152	402.600	308.310
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_049_R3D_D3D.dv	0	38.869	673.077	330.748
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_049_R3D_D3D.dv	18	153.864	731.069	1091.967
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_049_R3D_D3D.dv	21	134.659	767.587	455.404
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_049_R3D_D3D.dv	24	162.291	714.273	849.112
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_049_R3D_D3D.dv	32	175.370	593.784	502.436
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_050_R3D_D3D.dv	7	76.725	623.517	280.911
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_050_R3D_D3D.dv	23	147.646	802.031	955.163
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_050_R3D_D3D.dv	7	140.600	834.084	1221.207
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_050_R3D_D3D.dv	28	134.337	783.206	888.658
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_051_R3D_D3D.dv	0	156.350	991.632	337.181
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_051_R3D_D3D.dv	8	92.935	550.394	482.625
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_051_R3D_D3D.dv	10	91.646	585.659	305.951
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_051_R3D_D3D.dv	9	85.521	602.281	458.018
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_051_R3D_D3D.dv	10	70.553	758.615	306.391
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_051_R3D_D3D.dv	15	144.745	852.647	534.790
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_052_R3D_D3D.dv	4	90.448	517.058	470.788
211210_BD294_yh2ax_CIS2_NCS2_BRQ2_DMSO2_REP3_052_R3D_D3D.dv	19	115.271	620.097	671.765
