filename	num_maxima	area	dapi	yh2ax
211210_BD294_yh2ax_dmso100_REPS1-2-3_03_R3D_D3D.dv	1	124.251	119.190	168.527
211210_BD294_yh2ax_dmso100_REPS1-2-3_03_R3D_D3D.dv	0	91.784	160.542	172.162
211210_BD294_yh2ax_dmso100_REPS1-2-3_03_R3D_D3D.dv	0	122.179	150.381	174.632
211210_BD294_yh2ax_dmso100_REPS1-2-3_03_R3D_D3D.dv	0	68.619	121.632	239.015
211210_BD294_yh2ax_dmso100_REPS1-2-3_03_R3D_D3D.dv	0	117.482	148.823	193.953
211210_BD294_yh2ax_dmso100_REPS1-2-3_03_R3D_D3D.dv	0	94.823	161.932	173.564
211210_BD294_yh2ax_dmso100_REPS1-2-3_03_R3D_D3D.dv	2	156.489	116.582	214.414
211210_BD294_yh2ax_dmso100_REPS1-2-3_03_R3D_D3D.dv	1	108.685	152.009	211.682
211210_BD294_yh2ax_dmso100_REPS1-2-3_03_R3D_D3D.dv	0	103.481	138.864	194.971
211210_BD294_yh2ax_dmso100_REPS1-2-3_03_R3D_D3D.dv	1	141.706	142.077	195.575
211210_BD294_yh2ax_dmso100_REPS1-2-3_03_R3D_D3D.dv	2	174.403	170.161	198.022
211210_BD294_yh2ax_dmso100_REPS1-2-3_03_R3D_D3D.dv	1	139.495	96.967	199.115
211210_BD294_yh2ax_dmso100_REPS1-2-3_03_R3D_D3D.dv	1	129.179	135.375	202.049
211210_BD294_yh2ax_dmso100_REPS1-2-3_03_R3D_D3D.dv	1	172.239	149.716	240.281
211210_BD294_yh2ax_dmso100_REPS1-2-3_03_R3D_D3D.dv	1	142.212	186.493	231.567
211210_BD294_yh2ax_dmso100_REPS1-2-3_04_R3D_D3D.dv	0	110.113	111.659	191.859
211210_BD294_yh2ax_dmso100_REPS1-2-3_04_R3D_D3D.dv	2	182.417	206.696	190.874
211210_BD294_yh2ax_dmso100_REPS1-2-3_04_R3D_D3D.dv	1	116.929	123.480	171.462
211210_BD294_yh2ax_dmso100_REPS1-2-3_04_R3D_D3D.dv	1	102.791	151.939	203.102
211210_BD294_yh2ax_dmso100_REPS1-2-3_04_R3D_D3D.dv	3	153.587	186.261	208.845
211210_BD294_yh2ax_dmso100_REPS1-2-3_04_R3D_D3D.dv	1	124.390	148.184	196.523
211210_BD294_yh2ax_dmso100_REPS1-2-3_04_R3D_D3D.dv	0	105.324	151.003	220.387
211210_BD294_yh2ax_dmso100_REPS1-2-3_04_R3D_D3D.dv	2	188.634	207.011	237.398
211210_BD294_yh2ax_dmso100_REPS1-2-3_04_R3D_D3D.dv	1	128.534	148.321	251.947
211210_BD294_yh2ax_dmso100_REPS1-2-3_04_R3D_D3D.dv	3	174.956	150.262	240.548
211210_BD294_yh2ax_dmso100_REPS1-2-3_04_R3D_D3D.dv	1	108.133	82.448	210.769
211210_BD294_yh2ax_dmso100_REPS1-2-3_04_R3D_D3D.dv	0	118.357	132.517	269.872
211210_BD294_yh2ax_dmso100_REPS1-2-3_04_R3D_D3D.dv	1	128.442	137.847	306.115
211210_BD294_yh2ax_dmso100_REPS1-2-3_04_R3D_D3D.dv	0	142.304	154.411	390.366
211210_BD294_yh2ax_dmso100_REPS1-2-3_04_R3D_D3D.dv	1	166.160	150.029	258.267
211210_BD294_yh2ax_dmso100_REPS1-2-3_04_R3D_D3D.dv	0	95.929	136.470	404.596
211210_BD294_yh2ax_dmso100_REPS1-2-3_04_R3D_D3D.dv	3	141.706	115.056	238.519
211210_BD294_yh2ax_dmso100_REPS1-2-3_05_R3D_D3D.dv	2	209.772	95.801	259.073
