filename	num_maxima	area	dapi	yh2ax
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_041_R3D_D3D.dv	2	80.961	449.499	330.126
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_041_R3D_D3D.dv	20	139.173	577.878	478.727
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_041_R3D_D3D.dv	1	87.271	532.406	280.748
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_041_R3D_D3D.dv	14	161.647	591.193	858.977
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_041_R3D_D3D.dv	12	129.455	545.236	857.264
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_041_R3D_D3D.dv	13	129.824	698.217	649.192
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_041_R3D_D3D.dv	10	133.923	615.731	450.467
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_041_R3D_D3D.dv	1	66.040	509.791	275.821
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_041_R3D_D3D.dv	12	168.094	515.331	404.800
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_041_R3D_D3D.dv	1	78.567	546.000	399.625
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_041_R3D_D3D.dv	9	103.574	554.454	592.302
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_042_R3D_D3D.dv	1	129.455	271.095	298.024
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_042_R3D_D3D.dv	15	166.114	404.812	385.326
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_042_R3D_D3D.dv	7	140.370	641.421	355.498
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_042_R3D_D3D.dv	7	127.199	651.286	388.885
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_042_R3D_D3D.dv	2	90.034	499.838	386.559
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_042_R3D_D3D.dv	13	107.028	310.478	675.057
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_042_R3D_D3D.dv	21	147.646	645.476	804.953
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_042_R3D_D3D.dv	25	205.673	411.148	490.329
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_042_R3D_D3D.dv	14	176.061	468.855	486.409
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_042_R3D_D3D.dv	10	104.863	520.852	1063.291
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_042_R3D_D3D.dv	2	81.698	612.839	384.020
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_042_R3D_D3D.dv	14	125.449	434.333	456.562
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_042_R3D_D3D.dv	0	78.198	396.743	243.527
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_043_R3D_D3D.dv	12	180.805	605.997	453.882
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_043_R3D_D3D.dv	0	82.389	500.120	232.586
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_043_R3D_D3D.dv	20	207.976	401.066	393.167
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_043_R3D_D3D.dv	18	170.074	649.894	785.056
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_043_R3D_D3D.dv	21	194.436	543.551	540.046
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_043_R3D_D3D.dv	19	117.942	540.593	690.836
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_043_R3D_D3D.dv	1	160.587	489.459	258.122
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_043_R3D_D3D.dv	0	52.685	373.420	202.725
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_043_R3D_D3D.dv	2	86.396	378.916	308.965
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_044_R3D_D3D.dv	5	101.685	421.136	450.033
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_044_R3D_D3D.dv	6	141.936	684.065	522.869
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_044_R3D_D3D.dv	9	169.245	788.098	1041.944
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_044_R3D_D3D.dv	5	142.166	696.261	437.440
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_044_R3D_D3D.dv	0	125.817	573.766	259.865
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_044_R3D_D3D.dv	13	111.357	687.790	621.794
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_044_R3D_D3D.dv	10	133.324	501.550	486.284
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_045_R3D_D3D.dv	5	119.508	507.206	642.655
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_045_R3D_D3D.dv	16	141.982	494.440	458.490
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_045_R3D_D3D.dv	11	128.350	568.260	404.112
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_045_R3D_D3D.dv	1	95.606	389.770	229.275
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_045_R3D_D3D.dv	1	81.652	527.523	247.358
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_045_R3D_D3D.dv	1	146.910	434.455	333.201
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_045_R3D_D3D.dv	15	127.475	462.780	843.903
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_045_R3D_D3D.dv	5	109.376	453.179	478.657
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_045_R3D_D3D.dv	10	170.857	557.457	504.832
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_045_R3D_D3D.dv	11	171.087	639.193	442.271
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_045_R3D_D3D.dv	15	192.042	352.174	443.988
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_045_R3D_D3D.dv	7	115.916	501.770	973.173
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_045_R3D_D3D.dv	1	82.159	504.302	407.178
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_046_R3D_D3D.dv	1	70.139	489.437	447.492
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_046_R3D_D3D.dv	12	149.212	572.061	563.737
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_046_R3D_D3D.dv	7	121.028	672.646	427.250
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_046_R3D_D3D.dv	13	135.166	616.344	470.652
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_046_R3D_D3D.dv	11	116.514	618.172	408.300
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_046_R3D_D3D.dv	3	74.284	498.856	426.729
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_046_R3D_D3D.dv	3	121.903	524.408	425.417
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_046_R3D_D3D.dv	5	97.725	551.264	686.237
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_046_R3D_D3D.dv	19	103.297	429.057	569.166
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_046_R3D_D3D.dv	7	126.969	606.472	355.657
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_046_R3D_D3D.dv	1	97.034	403.615	326.780
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_046_R3D_D3D.dv	9	137.561	695.407	588.412
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_046_R3D_D3D.dv	1	77.369	473.081	235.564
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_047_R3D_D3D.dv	4	96.481	469.495	414.034
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_047_R3D_D3D.dv	18	130.469	642.535	760.294
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_047_R3D_D3D.dv	1	85.797	485.597	273.258
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_047_R3D_D3D.dv	0	86.902	554.346	240.691
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_047_R3D_D3D.dv	14	130.192	634.895	1014.677
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_047_R3D_D3D.dv	12	164.594	578.922	515.587
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_047_R3D_D3D.dv	13	121.534	663.787	550.244
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_047_R3D_D3D.dv	3	80.777	542.839	368.299
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_047_R3D_D3D.dv	3	116.514	584.675	338.427
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_047_R3D_D3D.dv	2	115.732	624.331	406.955
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_047_R3D_D3D.dv	3	88.975	519.216	294.833
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_047_R3D_D3D.dv	4	138.620	445.376	357.922
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_047_R3D_D3D.dv	14	142.212	656.392	507.874
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_048_R3D_D3D.dv	4	88.698	415.625	495.570
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_048_R3D_D3D.dv	3	73.271	427.564	303.921
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_048_R3D_D3D.dv	20	162.153	656.134	905.580
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_048_R3D_D3D.dv	6	115.087	537.437	554.108
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_048_R3D_D3D.dv	3	99.199	366.092	375.994
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_048_R3D_D3D.dv	11	171.087	468.067	398.466
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_049_R3D_D3D.dv	1	137.100	617.669	307.332
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_049_R3D_D3D.dv	12	120.521	566.344	424.723
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_049_R3D_D3D.dv	0	92.751	437.806	210.603
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_049_R3D_D3D.dv	25	153.541	623.236	632.675
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_049_R3D_D3D.dv	13	152.943	464.208	418.721
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_049_R3D_D3D.dv	1	94.823	364.665	345.249
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_050_R3D_D3D.dv	7	117.850	565.927	501.572
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_050_R3D_D3D.dv	10	114.488	565.681	659.617
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_050_R3D_D3D.dv	11	163.995	627.459	1332.943
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_050_R3D_D3D.dv	19	147.831	625.712	845.138
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_050_R3D_D3D.dv	0	80.869	422.942	282.919
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_050_R3D_D3D.dv	1	74.330	427.613	258.194
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_050_R3D_D3D.dv	8	99.521	543.580	874.941
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_050_R3D_D3D.dv	2	122.501	601.809	254.713
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_050_R3D_D3D.dv	1	133.877	494.648	344.998
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_050_R3D_D3D.dv	0	122.594	444.087	235.215
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_050_R3D_D3D.dv	4	77.231	402.608	490.892
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_050_R3D_D3D.dv	0	83.909	381.456	232.576
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_050_R3D_D3D.dv	7	130.100	668.696	482.379
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_050_R3D_D3D.dv	4	85.613	541.506	493.820
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_051_R3D_D3D.dv	14	133.094	549.112	506.508
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_051_R3D_D3D.dv	16	136.133	559.621	495.382
