filename	num_maxima	area	dapi	yh2ax
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_081_R3D_D3D.dv	4	191.443	477.336	343.357
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_081_R3D_D3D.dv	5	143.640	641.127	332.542
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_082_R3D_D3D.dv	7	172.147	615.713	336.804
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_082_R3D_D3D.dv	20	166.482	664.593	394.619
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_082_R3D_D3D.dv	13	154.554	513.254	380.794
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_083_R3D_D3D.dv	15	180.344	584.175	394.205
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_083_R3D_D3D.dv	6	142.028	405.217	191.754
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_083_R3D_D3D.dv	8	164.870	557.611	315.765
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_083_R3D_D3D.dv	13	163.120	573.566	504.619
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_084_R3D_D3D.dv	17	210.417	420.617	398.149
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_084_R3D_D3D.dv	4	223.174	372.050	229.303
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_084_R3D_D3D.dv	8	178.318	429.533	283.763
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_084_R3D_D3D.dv	1	189.140	332.152	248.211
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_085_R3D_D3D.dv	20	169.614	503.025	622.701
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_085_R3D_D3D.dv	10	197.384	464.841	350.138
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_085_R3D_D3D.dv	25	186.746	482.732	632.445
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_085_R3D_D3D.dv	4	159.528	470.281	258.388
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_086_R3D_D3D.dv	1	168.509	585.929	351.995
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_086_R3D_D3D.dv	1	169.153	549.839	233.273
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_086_R3D_D3D.dv	14	165.930	644.113	377.806
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_086_R3D_D3D.dv	0	71.567	715.850	161.239
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_087_R3D_D3D.dv	8	168.278	503.079	255.844
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_087_R3D_D3D.dv	11	128.442	856.199	2438.990
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_087_R3D_D3D.dv	13	169.015	637.330	465.809
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_088_R3D_D3D.dv	1	64.014	699.150	305.981
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_088_R3D_D3D.dv	4	173.759	672.481	327.227
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_089_R3D_D3D.dv	14	155.107	727.024	964.490
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_089_R3D_D3D.dv	4	186.423	417.625	270.318
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_089_R3D_D3D.dv	4	181.403	524.836	268.444
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_089_R3D_D3D.dv	7	73.409	456.001	637.752
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_089_R3D_D3D.dv	19	197.338	553.274	588.179
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_090_R3D_D3D.dv	12	192.594	510.522	453.771
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_090_R3D_D3D.dv	8	158.745	703.076	452.588
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_090_R3D_D3D.dv	8	195.127	510.012	294.707
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_090_R3D_D3D.dv	7	201.805	548.294	675.097
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_091_R3D_D3D.dv	1	77.415	701.240	231.609
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_091_R3D_D3D.dv	40	175.555	513.485	707.446
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_091_R3D_D3D.dv	13	181.495	603.222	437.852
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_091_R3D_D3D.dv	4	156.120	576.028	696.322
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_091_R3D_D3D.dv	1	163.351	607.489	373.249
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_092_R3D_D3D.dv	7	166.390	579.116	333.762
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_092_R3D_D3D.dv	8	174.680	563.611	331.183
