filename	num_maxima	area	dapi	yh2ax
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_153_R3D_D3D.dv	3	250.161	387.885	286.977
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_153_R3D_D3D.dv	6	224.049	397.300	370.605
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_153_R3D_D3D.dv	9	257.944	329.922	358.220
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_154_R3D_D3D.dv	8	212.535	273.101	377.796
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_154_R3D_D3D.dv	1	262.042	327.131	288.879
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_155_R3D_D3D.dv	8	257.667	301.148	286.871
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_155_R3D_D3D.dv	1	286.819	300.740	329.081
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_155_R3D_D3D.dv	3	228.838	369.749	457.832
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_155_R3D_D3D.dv	1	252.233	319.480	364.980
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_155_R3D_D3D.dv	6	265.819	258.418	301.160
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_156_R3D_D3D.dv	5	257.760	292.140	277.385
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_156_R3D_D3D.dv	2	236.115	355.766	436.529
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_156_R3D_D3D.dv	2	256.792	302.582	294.079
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_157_R3D_D3D.dv	0	203.923	397.323	204.902
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_157_R3D_D3D.dv	10	314.267	231.594	350.335
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_157_R3D_D3D.dv	5	293.727	251.322	418.541
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_157_R3D_D3D.dv	0	202.496	362.280	202.032
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_158_R3D_D3D.dv	12	321.405	233.710	310.726
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_158_R3D_D3D.dv	8	303.628	236.593	380.303
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_158_R3D_D3D.dv	0	270.931	265.821	236.186
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_159_R3D_D3D.dv	3	214.700	191.446	256.791
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_159_R3D_D3D.dv	1	199.180	332.076	275.811
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_159_R3D_D3D.dv	1	271.898	267.680	233.056
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_159_R3D_D3D.dv	12	303.628	201.423	467.673
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_160_R3D_D3D.dv	4	232.016	392.764	410.954
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_160_R3D_D3D.dv	5	241.134	297.274	410.617
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_160_R3D_D3D.dv	3	252.509	390.805	291.148
211210_BD294_yh2ax_CIS100_NCS100_BRQ100_REPS1-2-3_160_R3D_D3D.dv	2	252.049	310.119	323.822
