BD.01_ER.Hoxa9__VEH__R1	BD.02_ER.Hoxa9__VEH__R2	BD.03_ER.Hoxa9__VEH__R3	BD.04_ER.Hoxa9__BRQ__R1	BD.05_ER.Hoxa9__BRQ__R2	BD.06_ER.Hoxa9__BRQ__R3	BD.07_ER.Hoxa9__HU__R1	BD.08_ER.Hoxa9__HU__R2	BD.09_ER.Hoxa9__HU__R3	BD.10_ER.Hoxa9__E2wd__R1	BD.11_ER.Hoxa9__E2wd__R2	BD.12_ER.Hoxa9__E2wd__R3	BD.16_ER.Hoxa9__LTX__R1	BD.17_ER.Hoxa9__LTX__R2	BD.18_ER.Hoxa9__LTX__R3	BD.13_ER.Hoxa9__E2wd_Rot__R1	BD.14_ER.Hoxa9__E2wd_Rot__R2	BD.15_ER.Hoxa9__E2wd_Rot__R3	BD.22_ER.Hoxa9__HU_LTX__R1	BD.23_ER.Hoxa9__HU_LTX__R2	BD.24_ER.Hoxa9__HU_LTX__R3	BD.19_ER.Hoxa9__BRQ_LTX__R1	BD.20_ER.Hoxa9__BRQ_LTX__R2	BD.21_ER.Hoxa9__BRQ_LTX__R3	BD.25_ER.Hoxa9__ROT__R1	BD.26_ER.Hoxa9__ROT__R2	BD.27_ER.Hoxa9__ROT__R3	BD.28_ER.Hoxa9__HU_ROT__R1	BD.29_ER.Hoxa9__HU_ROT__R2	BD.30_ER.Hoxa9__HU_ROT__R3	BD.31_ER.Hoxa9__LTX_HX__R1.Hypoxanthine	BD.32_ER.Hoxa9__LTX_HX__R2.Hypoxanthine	BD.33_ER.Hoxa9__LTX_HX__R3.Hypoxanthine	BD.34_ER.Hoxa9__BRQ_LTX_HX__R1.Hypoxanthine	BD.35_ER.Hoxa9__BRQ_LTX_HX__R2.Hypoxanthine	BD.36_ER.Hoxa9__BRQ_LTX_HX__R3.Hypoxanthine
adenosine	0.0926750505274595	0	-0.0776237131346727	0.445783304140942	0.517562554071312	0.00876484767070222	0.352019320998275	0.590226304524537	0.501126491109531	0.538161199462068	0.438270633897657	0.441709791775745	0.217375734548575	0.371687527487502	0.371534754928253	-0.0576079276032455	-0.0761891561392268	-0.00396899900816543	0.989480955404638	-0.193182581147018	0.366474540636897	1.03477041358512	-0.414689288458087	0.612102982829162	0.736538536380013	-0.114784073520139	-0.38015077889616	0.928570447615	-0.502112506326871	0.00792412112650793	1.62233317254259	-0.125329920368829	0.470465102320512	3.40462091970978	0.56383709626641	1.0149362892426
ADP	0.15945307668511	0	-0.20788917585136	-0.686678164186464	-0.498923271971329	-0.976007554047027	-0.176123436971026	0.135388842599342	-0.0713899125839371	-0.164239213499154	-0.214640552374707	-0.108835282922491	-2.08054495526107	-2.30547468751814	-2.42397051520633	-0.430018287320907	-0.524802305748205	-0.361401090609013	-2.81351949540353	-2.89260001780633	-2.60137561144599	-2.85388798415796	-2.83130954387607	-2.84785002429514	0.251197681127337	0.3118441204056	0.0657483537925602	-0.682218454168819	-0.464431162784611	-0.387165191991987	-0.00958631712698852	-0.00897214525328755	-0.0633001229031462	-0.778911026856067	-0.722754683312762	-0.637398022665114
ADP-ribose	-0.368406010206053	0.154279154909807	0	-0.175756376017188	-0.15238065368016	-0.228884437674128	-0.0515733693520957	1.051734191491	-1.17740636526438	-0.928596177074924	-1.08836811701357	-1.00000700667228	-1.26185319124783	-1.822017050599	-1.78307119331273	-0.452597336167641	-0.672080004870153	0.150391077591133	-2.62086642440058	-2.46766673393085	-1.58019072096241	-2.45694907313188	-2.1628097778011	-1.77712042181064	-0.244056241048521	-0.302607722319704	-0.670342748177747	-0.929085453253168	-0.590853731392576	-0.701495291106869	-1.08089943242473	-1.22633910069316	-0.86866324508474	-0.771769045017556	-1.10116966440432	-1.13460266329332
AICAR	0.320978181635577	0	-0.1128953911405	-9.62654625374361	NA	-8.75509723648156	NA	-4.71901239232855	NA	-2.22287330858739	-2.23434778182344	-2.04196287107752	-9.49748773842389	NA	NA	1.1208454257733	1.10343503951136	1.23742827412743	NA	NA	NA	NA	NA	NA	-0.573965616750639	-0.190890283317923	-0.444418156518111	1.09740700224494	1.19917247939882	1.24365934035888	NA	-10.0096360936048	NA	NA	NA	NA
alanine	0.203333074969912	0	-0.0237910214182844	0.900566124549273	1.18853045204367	0.966753670882193	0.235685007070946	0.589389478151166	0.393763162550044	0.244655898314674	0.176394537105752	0.331814123073476	0.526842008288856	0.414611516792617	0.702865173626732	-0.532972426845413	-0.504941513893756	-0.266716960782849	0.212978848701529	0.372728209298279	0.79418494696773	0.0721796476046323	0.236726331530797	0.430605651697029	-0.0547923185019318	0.155006124369538	0.00312138655956503	-0.727792308825163	-0.268937596505699	-0.114330452473909	0.317418866569013	0.484779060185767	0.466813229484398	0.884465382913712	1.08268972920925	1.32203750385495
alpha-ketoglutarate	-0.534042641084184	0.307739613707404	0	-2.48187286810854	-2.71130211233148	-2.54602490336693	-0.67275136050453	-0.380357572771621	-1.96275648929235	-0.932448473847578	-1.56491318745896	-1.18156993466988	-2.09956335353706	-2.68852365144272	-2.1506089376318	-0.119649226543679	-1.66507786870953	-0.761986324557855	-2.26600014642675	-2.44973435654314	-2.53253279900395	-2.4032484850923	-3.30750186829335	-3.05151510473688	0.0394514201369625	0.0718953395905261	-0.281195909643664	0.381045959509257	0.942372312232147	0.721085550642253	-2.68227257738393	-3.16349240918275	-2.55675116323141	-2.45733556086292	-2.38885007176153	-2.48607418574518
AMP	0.363694905300799	0	-0.157064737470185	-0.631051875247536	-1.09027599392255	-1.11858128591561	-0.0242590762834321	0.244310976865768	-0.606806977394964	0.0501638193347611	-0.606806977394964	-0.2113428506587	-1.94341631205668	-3.0393013099982	-2.70463248942227	-0.457536387888221	-0.463425736004668	-0.340480557240035	-2.67374238119466	-2.82783525363164	-2.45829220292895	-2.65890464612001	-2.7446070393712	-2.83321863450168	0.381204998656695	0.415071442677145	-0.0176117708905129	-0.815209415770323	-0.222028231802649	-0.449585216751073	-0.202756619592983	-0.192430316285155	-0.287130673645236	-1.32016509404635	-1.75500832093842	-1.41599303497847
arginine	0.56616358664192	-0.0107264601680752	0	0.643131737931573	0.52099009583233	0.382572654378809	0.381617272542309	0.587135588319309	0.227045937046916	0.0845406161158799	0.0403745976749771	-0.0983390347437949	-0.00915705538157825	0.280215830253248	0.464059882272233	0.29857883921224	0.30720182659779	0.314514955392018	0.6500895694947	0.593534723800735	0.641581200196955	0.588601714863278	0.119826454060752	0.844466682322594	0.293117193345066	0.498719502549298	0.436788298088511	0.57314537819531	0.372817822281356	0.695828420383075	0.499808143322188	0.289464696100887	0.313770026744251	0.449434862522009	0.621292319153651	0.38035546190672
argininosuccinate	-0.193487221128777	0.100496694236021	0	-1.20355094454374	-1.12046675150462	-1.33092451784515	-0.596528368656585	-0.140533353448148	-0.274351422195176	-0.471925826020523	-0.293896235736292	-0.15940517150862	-1.87147025998374	-1.88518002247548	-1.63106573857291	0.461109778939609	0.454738829510741	0.715401585433283	-2.58886600915852	-3.05028448653078	-2.48317960946943	-2.37852785672202	-2.43623078467139	-2.69454749629657	1.52022302968879	1.68439765000341	1.44435128628193	0.775511922105136	1.07421576841877	1.17786369309666	0.195452955854831	0.38297062961293	0.299406094462328	-1.15351217573671	-1.01399433132647	-0.943321430506954
asparagine	0.0967877284766507	0	-0.0456911614312937	0.45140701270307	0.641414729866968	0.529216172702823	-0.0774093062895496	0.234190632703549	0.0189379757071783	-0.525706725700024	-0.522120266195278	-0.334133938222065	-0.631477806210475	-0.637203812808485	-0.413743312020285	-0.673330595943317	-0.565371189330695	-0.462629352102467	-0.849509762913903	-0.721951022878984	-0.403022215820605	-0.672161263434475	-0.602240480417657	-0.265213169740465	-0.364991722735546	-0.143099758790885	-0.317498578340963	-0.977836963233516	-0.683172684708979	-0.570224868457446	-0.0415671093178339	-0.049168559907911	-0.0345704081959086	0.401172528576694	0.590543915694805	0.768605204446509
aspartate	0	0.102594893533581	-0.00079988677007484	0.88023018637431	1.13185025872716	0.966362810926672	-0.0387031393031856	0.457517106766855	0.0916426737610042	-0.239045574533819	-0.155120501312981	-0.0668182680345743	0.625383155719108	0.623616059081046	0.792357212911925	-0.939873994636479	-0.784424936473599	-0.804293894964043	0.987537518032288	1.07233638093818	1.37744326498367	0.898476334597249	1.02259481116219	1.17211235655866	-0.817359555876945	-0.687137687632283	-0.947228311897393	-0.967524267908598	-0.748606456778689	-0.622999755642299	-0.29012682304062	-0.239191751440193	-0.358999972582783	1.01670689912387	1.2376732548702	1.47606215094171
ATP	0.0782121466112747	0	-0.413673008734612	0.0288168905411402	0.245698961538813	-0.234355469461724	-0.160687618553778	0.140559498010313	-0.370557344844024	-0.26162678681871	-0.328843255624156	-0.523124591431507	-2.09545021591063	-2.0582239698616	-2.37649806948739	-0.992227759997432	-1.08743640594153	-1.17753802411609	-2.9213815455593	-3.29672463309839	-2.9816285781978	-2.91139555170114	-3.33381678971061	-3.46452061767679	-0.679563177736129	-0.872922057902467	-1.17149179280568	-1.14959324044871	-1.34468052870421	-1.35491501054891	-0.248839916413754	-0.570965765382242	-0.761229694403712	-0.24183219192498	-0.353955217794432	-0.486755314302433
beta-alanine	0.20290537564039	0	-0.0232180019191015	0.902024234429395	1.18792512636531	0.967238124860714	0.234698339369949	0.589825968036714	0.392434998511564	0.244075382534908	0.176053441280573	0.332197686658697	0.527309522069378	0.423293005994304	0.704452138155494	-0.534300497103397	-0.503422758754476	-0.26764341696888	0.221228800295976	0.382614423156695	0.799846199734806	0.0727045199998284	0.246778771042848	0.430897589126733	-0.0561203887599152	0.155157501975461	0.00179331630158157	-0.727053399759289	-0.266215934691176	-0.111295054626714	0.316090796311029	0.485125453684479	0.466002918407414	0.888340597712624	1.08319882993653	1.32650573198878
betaine	NA	0.0407523758345768	-0.041937069847451	1.09058336900762	1.13382573626362	0.927857598436055	0.945383346147059	1.06043155602491	0.960001624563216	0.664911124050221	0.368545208614394	0.445116900899265	1.41057022457296	1.28303553106439	1.50282574085381	0.566288797328263	0.598257139233595	NA	1.4068150246013	1.58384866714988	2.00872537711819	0.883383486873646	1.15993928120865	1.14693820801272	0.63988831731008	-8.19429975939748	0.699767971669185	0.804827381938573	1.04154926903715	1.16711880324037	-0.107131234617544	-0.22571967644084	-0.0424620160948352	NA	0.362069707019053	0.591872059045497
butyryl_carnitine	0.18848460733588	0	-0.018260863383788	-0.714337773950865	-0.673127796450106	NA	0.2420106997166	0.412415994800958	0.221329802699203	0.895101692469687	0.647390169223924	1.03642452602982	-1.62370932533084	-1.54712091926561	-1.4149850360222	NA	NA	-1.99740089554196	NA	NA	NA	NA	NA	NA	-1.90142122500939	-1.71736573684515	-1.99617464985992	NA	-1.18634969192208	NA	0.491579140290902	0.242314286370775	0.40243939701774	NA	-0.585528596710366	-0.333565490079338
C5_carnitines	0.279042551692002	0	-0.115303650691741	-1.26160009602956	-0.431679869781137	-1.71250817232204	-1.20882811127404	-0.543364036920184	-0.921577987761964	0.132786721556852	-0.063853472503409	0.234877954231488	0.268569805593742	0.137230860271266	0.294046701756109	-1.14663263544	-1.60722921158859	NA	1.42393959984055	1.15675501921341	1.22023379146202	0.0447530348104743	0.383320642878027	0.785369753068315	-0.133219506291336	-1.93011706616983	NA	-0.144510965423889	NA	NA	0.868580253666904	0.127483973969407	0.206708454082561	2.08011050089994	NA	NA
carbamoyl_aspartate	-0.330166657807742	0.173519108674222	0	8.18653807499157	8.50770149487034	8.23630831557153	-1.15859061461818	-0.693623344293047	-0.932838047351464	-0.78776187182533	-0.21852512531798	-0.0230509228692437	-4.80937175448839	-4.76730352525929	-4.43174299896248	-3.84944478588237	-3.64107056579412	-3.69279399864117	-4.71837097139041	-5.34384143925527	-4.88894570737015	6.05033097201198	6.16288766346248	6.37109970486657	-1.5549490404259	-1.63493424733874	-1.99087751714262	-2.45877128247974	-2.36881895960338	-2.47425965162394	1.61670010740098	1.53033475143448	1.04734153190997	7.73758449023315	8.00449808463963	8.10473665969095
carnitine	0.0652633693341253	0	-0.183276092375721	1.14023541750582	0.960154157796317	0.940267110866835	0.539577518176469	0.738451257856253	0.668734368161513	0.722832428794521	0.485936674642957	0.747747829161077	0.385656885571061	0.244116467600873	0.516222898953234	-0.263596184916414	-0.156622681442747	0.144071055606237	-0.069142130978783	-0.254433290149062	0.373044193971641	-0.317071281086431	-0.781436837252554	-0.369879359584993	-0.110459787106127	-0.0412029638506203	-0.186419212232909	0.522049650020709	0.618214260164747	0.802085250858783	0.539797779091351	-0.0734707944069915	0.0910456934438564	1.92300149827519	0.710899092405206	0.971472317799992
CDP	0.491783194029685	0	-0.302448841080635	-1.99435483355659	-3.03908485965205	-3.52939535263557	-0.139743191024251	-0.219204445515895	-0.557917296293908	0.0872068934484733	-0.411969519114996	-0.303794752386435	-0.826623557722118	-2.50472067538224	-2.60375143904553	-0.889971772129526	-1.01002947230847	-0.955009840858038	-3.37334238007433	-3.35710184656381	-3.16707382172434	-3.25282687037938	-3.18058433786516	-3.00792037283756	-0.632582012590612	-0.616192855878519	-0.876543186834363	-1.19985666863389	-0.975680920694463	-1.05621586636857	-0.636308514763694	-0.693347777864323	-0.804083705748864	-3.14372980155667	-3.07172977506476	-2.80523749773485
cis-aconitate	0	0.00892186407822475	-0.445561585712172	-3.49576840240861	-2.65525811595606	-3.06627181438254	-1.48876731426963	-0.452710578112312	-0.773859197732142	-1.54752359392642	-0.876627900908963	-1.09372813266668	-2.13165054331722	-1.9790529553036	-2.05604199838993	-1.73721298367499	-2.03340206083385	-2.1378908019959	-1.83260935242998	-2.18820451709168	-1.74998549013793	-2.71873850430556	-3.11672581531385	-3.22690406604387	-1.47342604393587	-1.47648799487257	-1.65144762517684	-1.61796326256423	-1.73844914351736	-1.67550132743887	-0.741869246264474	-0.885840117220218	-0.986686851935512	-3.1050502477911	-3.177437743201	-3.45733851426544
citrate	0	0.354325519327383	-0.129392088509605	-3.27954480073304	-1.95379108793551	-2.40679287948375	-0.733352080444692	0.0464254236329	-0.625362393793543	-0.598555162966146	-0.38378042128315	-0.827858150834	-2.59707909103356	-1.5814041859482	-1.62991332570532	-1.64296690361257	-1.63690271341504	-1.64245952549437	-1.69814097553293	-2.26849236463518	-1.5999700164535	-2.456971409935	-3.29606562378225	-3.21366835187912	-0.891508511617448	-1.27240624063638	-1.43375988422602	-1.17095172793533	-1.61914038743907	-1.36908565039187	-0.35232532108667	-0.783612487334265	-0.892105234173555	-2.73495682139057	-2.79312180703513	-3.03312647475864
citrulline	0	NA	NA	-0.323559045345909	-0.290908682647204	0.893477395401608	-2.56518716668394	0.245269352518248	-3.6424492368628	-4.38258262070693	-5.44702944504223	-3.2939828472003	1.23015360987972	-0.169296149655525	1.1610709584417	-1.0350731076028	0.960873333146136	-0.676465476377028	2.60253423680807	2.31494049388098	1.15179407835558	0.414991567653282	0.00822890415707253	2.24488959585874	-0.58119610247588	-0.139099986384231	-0.0785702776131577	1.0523443219195	1.24214438259733	1.62645208313192	-1.78620550180963	-4.57166845330281	-3.79493427001784	0.573294705239604	-0.424271347271813	-1.72963560550216
CMP	0.0844926770274834	0	-0.201870460719173	-2.35597138041385	-2.65113661379395	-2.1128417511057	-0.335700219819205	0.348610813310246	-0.440245726985185	-0.402733795660114	-0.466603623107617	-0.236193650519758	-1.16783546451066	-1.92658863061719	-1.87405470136662	-0.567386005363563	-0.592389660112603	-0.447910212665759	-2.67561399634235	-2.47304210315496	-2.50673603783839	-2.60974398599828	-2.44838544735694	-2.18197829664411	-0.425872048683616	-0.330261868328459	-0.582715347936702	-1.18351940249399	-0.510705804467823	-0.54413929550887	-0.671842027430384	-0.460071725905513	-0.508473524542981	-2.23363426040911	-2.6133951051817	-2.27212177530071
creatine	0.226868286188672	0	-0.218544262540284	0.456034967744281	0.503449027864822	0.424580889353345	-0.46386356106585	-0.179350717922746	-0.255517919497282	-0.452712561616377	-0.620917799840707	-0.431016417943774	0.315553136056279	0.369852663614355	0.445789441785218	-0.67055911235668	-0.829892457819371	-0.651510039020707	0.616169034693852	0.132743655709173	0.898191127267265	0.959877256778474	0.314274569377029	0.470053185245632	0.207715625035992	-0.563188509929756	-0.476604643230184	0.514901605606073	-0.718161471618805	-0.65216830491765	1.06578230048731	-0.455219192834237	-0.499086367495286	2.91603493496493	0.441623335177398	0.691747113900377
creatinine	0.421312766617822	0	-0.242502814293266	0.354449517201193	0.456583568224343	0.587576973702214	0.00616498000952839	0.0570343787185626	0.0751785101402912	0.0104358571968649	-0.215158887089101	-0.232953948054762	0.820930571775773	0.459677428066163	0.708093849111593	0.459677428066163	0.342667158742741	0.41666864570075	1.23650933055429	0.8690397426375	1.1764249915056	1.34596774123848	-0.0317745755160059	0.93662692026458	0.923136920907626	0.227345269631803	0.561146023030167	1.44372870597872	0.0323560195325868	0.074014429794873	1.78132828573039	-0.43096086731028	-0.284678393115104	3.69231964129815	0.39772388289412	0.459677428066163
CTP	0	0.136428366217868	-0.320976128663526	-2.27795913360431	-2.19142460984595	-2.71437920305552	-0.558358767430681	-0.0761361591549794	-0.586713352783018	-0.343537470918304	-0.317926172085683	-0.533469769885218	-1.27594323296387	-1.13982589760297	-1.49482514277498	-1.22031584182819	-1.41424843653239	-1.54263721578631	-2.02454054660922	-2.41062618417459	-2.05988166846598	-1.93715779025531	-2.31868030592476	-2.48916244177991	-1.39932305116196	-1.65749085381468	-1.97031776822272	-1.40143895260897	-1.71422890631988	-1.81133178693798	-0.742650681299289	-1.15691286648587	-1.36182226908224	-2.59063120257302	-2.83566319879034	-3.06161898667941
cystathionine	-0.826753749167986	NA	0.522260252576876	-0.941440950185554	NA	NA	NA	NA	NA	-0.821179090717971	NA	-0.601838489815535	NA	-0.402527175586845	0.989094885212952	-0.515279110982971	0.931479010631465	NA	NA	0.365190110070524	1.47310098544555	0.248081147223635	0.185233051431434	0.439241250005526	-0.446492336929708	-0.54877342681666	NA	0.2500367560886	-0.0200794078005981	0.55739367272753	NA	0.283670535052838	1.01538358755162	-0.207233062185015	NA	-0.194602190345467
cystine	-3.24448475274396	0.477140671143298	0	-3.71518688711829	-0.383200450163288	-1.23798706128211	-2.4026016303066	1.50710573690125	-0.791238144520785	-3.4316643162577	-2.0688676656041	-2.30403107255533	-3.25981719322508	-0.68726063187894	-1.17908887685285	-0.46830744340314	-2.39087690964248	-1.45950568524195	-0.939936564710481	-0.981583489716087	-0.631336843799168	-0.523134688287213	-1.36586512297265	-1.05347831741361	-2.49132716004803	-1.28870658021702	-1.64071556456877	-1.94391531590955	-2.3197579384969	-2.31715564346292	0.58784809744638	0.00212990971769368	-0.724144650101337	-1.41896408217546	-2.13634028568503	-2.62548194714704
cytidine	0.164740451681752	0	-0.0983796270154482	0.285403960640914	0.283898429589176	0.032765332845611	1.30885135188362	1.73316332617646	1.17311191031306	1.49396960910503	1.5515220090988	2.50318432486917	-1.97837293313016	0.39748867375314	0.589804949639493	-0.999654976243954	-0.955114249165519	-0.874446714398832	0.120616378032725	0.266956189836828	0.433007916668643	0.153300967460013	0.0117063058074507	0.105585087495242	-1.43180864901661	-1.29461016533951	-1.29580041167875	-1.847491897912	-1.31215326508747	-1.19320050401129	-0.140027022166625	-0.159254909020903	-0.162870254274282	-0.59198011518374	-0.885872394050927	-0.781373459194183
