BD.01_ER.Hoxa9__VEH__R1	BD.02_ER.Hoxa9__VEH__R2	BD.03_ER.Hoxa9__VEH__R3	BD.04_ER.Hoxa9__BRQ__R1	BD.05_ER.Hoxa9__BRQ__R2	BD.06_ER.Hoxa9__BRQ__R3	BD.07_ER.Hoxa9__HU__R1	BD.08_ER.Hoxa9__HU__R2	BD.09_ER.Hoxa9__HU__R3	BD.10_ER.Hoxa9__E2wd__R1	BD.11_ER.Hoxa9__E2wd__R2	BD.12_ER.Hoxa9__E2wd__R3	BD.16_ER.Hoxa9__LTX__R1	BD.17_ER.Hoxa9__LTX__R2	BD.18_ER.Hoxa9__LTX__R3	BD.13_ER.Hoxa9__E2wd_Rot__R1	BD.14_ER.Hoxa9__E2wd_Rot__R2	BD.15_ER.Hoxa9__E2wd_Rot__R3	BD.22_ER.Hoxa9__HU_LTX__R1	BD.23_ER.Hoxa9__HU_LTX__R2	BD.24_ER.Hoxa9__HU_LTX__R3	BD.19_ER.Hoxa9__BRQ_LTX__R1	BD.20_ER.Hoxa9__BRQ_LTX__R2	BD.21_ER.Hoxa9__BRQ_LTX__R3	BD.25_ER.Hoxa9__ROT__R1	BD.26_ER.Hoxa9__ROT__R2	BD.27_ER.Hoxa9__ROT__R3	BD.28_ER.Hoxa9__HU_ROT__R1	BD.29_ER.Hoxa9__HU_ROT__R2	BD.30_ER.Hoxa9__HU_ROT__R3	BD.31_ER.Hoxa9__LTX_HX__R1.Hypoxanthine	BD.32_ER.Hoxa9__LTX_HX__R2.Hypoxanthine	BD.33_ER.Hoxa9__LTX_HX__R3.Hypoxanthine	BD.34_ER.Hoxa9__BRQ_LTX_HX__R1.Hypoxanthine	BD.35_ER.Hoxa9__BRQ_LTX_HX__R2.Hypoxanthine	BD.36_ER.Hoxa9__BRQ_LTX_HX__R3.Hypoxanthine
1-methylnicotinamide	0	1.10279306914983	-0.380017320041566	-0.933307321093176	1.97994566813141	NA	-0.835612656878074	0.749162440538925	0.971225448047144	-1.96007864792366	1.56806694711169	1.01994648169122	0.47748104995354	1.13019828835568	1.27019423467569	-2.12353654319332	0.109025961715368	-0.964905284846419	0.428175103499185	1.65505815433365	0.343334519519865	0.0668397699312782	NA	0.0496717987984413	0.0386488377198292	-0.109484905693124	-2.52465381427242	-1.63076984166548	NA	-5.20304045616833	0.873622841681823	0.5347485984065	-2.92995296783299	1.94536515766676	1.29745031211342	1.05734250275703
2-aminoadipate	0	0.0126646106168129	-0.166803253733258	2.41274619229094	2.88093737985346	2.92778235361331	-0.708765999170297	0.428638803056312	2.07867835537175	2.06850441725361	2.03792495430031	0.347333741461603	3.46082459449398	4.58831621104222	4.24319148614376	3.01001146636151	3.03828863703343	2.94850969496795	1.82645705107517	2.67970562629996	2.07652585129344	2.89862467943158	1.43352396498593	3.5638906668167	0.743598047161411	0.797265699902997	0.844892773125324	1.87061505553458	0.302019655192204	0.616909094437987	-0.256983195375963	0.17804090223103	-0.410672759776005	0.846031100068411	2.90246011641726	0.363718832436451
2-hydroxyglutarate	0.0076565233825314	0	-0.156676789993454	-1.16181840093454	-1.16834637079996	-1.39906235371529	-0.913263166348318	-0.479668731386851	-0.806569909746929	0.03331540464399	-0.0128004726082404	-0.0775052059652875	-0.688856879565794	-0.834887025393454	-0.829988437766742	-0.293493748039386	-0.415464121151824	-0.293406656275823	-0.445790187474302	-0.785642670121413	-0.428036062688191	-0.903153266812411	-0.954488289515809	-1.03869708503225	-0.133363296723595	-0.155067897446578	-0.368492822301285	-0.00230348475904045	0.131564842761148	0.084917734957801	0.147460725605234	0.105352884634368	-0.00715993452584176	-1.138774938319	-1.16398927052042	-1.06298397804286
2,3-BPG	-2.54572854930141	0.371067240456676	0	-3.22695313005181	-1.84188588294408	-1.77793331403921	-2.77461373773998	-1.10941037026715	-1.08219734919773	-3.38611492129551	-0.881967849262682	-2.41949030881454	-1.4003388223776	-0.627312633666235	-0.9003393265733	-1.17336676118057	-1.73790852137808	-0.408690200374126	-1.46619469136212	-1.8548003909995	-0.908951336746533	-2.83974593784705	-1.25214612770666	-1.79313471532873	-1.37476354326847	-1.4552851696082	-1.38320039458989	-1.09086554824715	-3.31896602331753	-1.32790006272859	-1.46714584881121	-1.23646581904506	-1.41248474274144	-4.05166934966807	-4.13288787030746	-3.81024518360183
3-phosphoglycerate	0.0675340617091226	0	-0.160587511700526	0.827939601744895	0.465580754598344	0.262324896117273	-0.437668057712517	-0.479970186861464	-0.59841733719116	-0.15266222023766	-0.445238475638611	-0.808768389353153	-0.176123251552097	-0.285585076869181	-0.162386887233556	0.298989024989832	0.0672413956874895	0.412245952659698	0.506491161577939	0.052600892532858	0.825522721390189	0.7780008962289	0.176417134658344	-0.148659605843037	0.0353044312084606	0.057444610288961	-0.211640087985688	0.352879935045534	-0.432529014786376	-0.162386887233556	-0.201756976703122	-0.529948919639552	-0.494254800705261	-0.162386887233556	-0.137085451058444	-0.23234690506361
3-ureidopropionate	0.14658648836806	-0.00780383307169422	0	0.499599874500079	0.693830645534636	0.576103574050957	-0.0281368539759132	0.277964874580252	0.0687368633113334	-0.482635104535082	-0.469466601619658	-0.282049294626743	-0.582490033044626	-0.58582883351132	-0.365266498096932	-0.62536321728816	-0.527610151442471	-0.410546723397656	-0.795207421731875	-0.677820742652545	-0.355751327972275	-0.631900133387669	-0.557591691220979	-0.217422286262531	-0.313942282910151	-0.0846973455862466	-0.265079235122521	-0.924445287196276	-0.64068221434059	-0.525174926370796	0.0168241553807625	0.00672554112052859	0.0145224940246544	0.455841735110811	0.634878309407598	0.810570722510122
6-phosphogluconate	-0.530299051711086	0.203641534337278	0	-0.562516371266753	0.0988768501543382	-0.00481593466048171	-1.08194435776627	0.0923778359424484	-0.0385898693959966	-0.540336225521809	-0.418356868300796	-0.289389647382081	-3.00996219911426	-1.95474169631014	-1.50444647372706	-1.72321916962186	-1.37513265473278	-0.892720117624542	-3.0105891918094	-3.32913243625466	-2.62897630615434	-2.04652384773209	-2.44917317454044	-2.06024456305991	-0.843264293147136	0.0210083624194232	-0.627833750144398	-1.24610618957437	-1.46714580986688	-1.17582803114883	-0.316662846732172	-0.27573750984486	-0.242635680237718	-0.760768830752087	-0.899434861399993	-0.867067281731063
acetyl-CoA	-0.0792354021086257	0.241932878016541	0	-1.27340699423556	-0.426066970179932	-0.0874688458075791	-0.149791534231439	0.169305338290736	-1.97111293279163	-1.32329947344716	-3.3427538407474	-1.70570032897326	-3.57038013856425	-4.32003833391625	-4.45117728612208	-3.70600607827143	NA	-3.57877192051026	-6.96462082863382	-4.06955707512553	NA	-4.21502775050306	NA	NA	-8.27926976682224	NA	-7.79400159084241	NA	NA	-8.10242900033741	-5.55886693869922	-7.89890952956688	NA	NA	-1.03648240546392	-1.06623545946392
acetylcarnitine	0.268107183235859	0	-0.0269381716001676	0.708814186753427	0.822862022551818	0.670759589523011	0.749172093350143	0.914643423384058	0.839486117525813	0.64820836661351	0.402693909787434	0.561396064295558	-0.660582646984677	-0.833080865087707	-0.657528313184052	-0.258778930610918	-0.417972459643555	-0.165279202994578	-0.574526208684703	-0.691296947062991	-0.28976146011093	-0.164469344571413	0.0161885761248356	-0.10963222401516	0.348915153022407	0.585114448727984	0.340161400194142	0.305901676386726	0.553475021755092	0.597686005395554	0.0639814012633519	-0.0704087171871365	0.0163115483402677	0.719296539301629	0.437858400279517	0.629516521640003
adenine	0.226082254692673	-0.112143269995524	0	-0.942546346372723	-0.771555544739547	-0.518037642333341	-0.645204043983902	-0.261334588669521	0.766364812263733	-0.10399431823281	0.536336928650919	0.397804296025648	-1.40917274618129	-0.777468292624925	-0.831374157782703	-0.579199748826862	0.0177852923201668	-0.448803752675486	4.55786813180402	-0.690973171755611	-0.333624496888882	-0.578697712267955	-0.876177723378672	-0.41840826870353	0.31355051795603	-0.0364232199178546	0.229150106282405	-0.0871001862261524	-1.00309561356569	0.780031399521906	1.06206223928531	0.997728877940025	1.7463623823114	1.95570485386713	0.0845282650064297	-0.113732985763719
