,1_DMSO_rep1,2_DMSO_rep2,3_DMSO_rep3,4_HU_rep1,5_HU_rep2,6_HU_rep3,7_dA_rep1,8_dA_rep2,9_dA_rep3,10_dC_rep1,11_dC_rep2,12_dC_rep3,13_dG_rep1,14_dG_rep2,15_dG_rep3,16_T_rep1,17_T_rep2,18_T_rep3,19_rG_rep1,20_rG_rep2,21_rG_rep3
adenosine,0,0,0,0.697037561095487,0.535285387952555,0.0219313702759694,0.483296125533766,0.378736144085178,0.414603695617877,-0.15317087203913,0.193065094206459,0.123503621553703,0.337663314732199,0.378189375343643,0.135741290941973,0.8546599291831,0.422182927797276,0.265235178865916,0.337701640597125,0.299260139751329,0.597088559339266
ADP,0,0,0,0.304052819499466,-0.100521699683178,0.138303496198491,-0.256720556081462,-0.438131341730846,-0.331754129216989,0.0790393413668312,-0.000477616280031221,-0.0267685610963885,-0.182315407167035,-0.232862352232088,-0.29821806070748,-0.120260695746621,-0.435668735704162,-0.305671528026877,-0.41305029921854,-0.395616654539181,-0.758260978994007
ADP-ribose,0,0,0,-0.050132826263435,0.143913187689068,0.436099302118844,0.121371401813352,-0.269701151658691,0.439955443222358,-0.0728458987855877,-0.0153342718677131,0.223709535699167,-0.0865009416667646,0.0447241890378373,0.270895260576522,0.681377215322617,-0.178654629581488,0.780283173996198,-0.395713586115159,-0.0386249790846166,0.0337477044426248
alanine,0,0,0,0.393592061863108,0.3324244365228,0.207931302275882,-0.849917650405948,-1.07022305827112,-1.13184294174263,0.258729824097404,0.259913596767164,0.192334862519783,-0.765796992385407,-0.525904865420391,-0.875383476155269,-0.0569473917668913,-0.311671651648771,-0.203106564771147,-0.723748403500541,-0.725091584080211,-0.542561783389366
alanine_13C3-15N,0,0,0,0.250733493311812,0.255142571621408,0.220230799361068,0.307884508142592,0.488275533636814,0.722759414624761,-0.0468951013556997,-0.224662327638182,-0.13960693622046,0.242627580326497,0.184368985955504,0.551238852893495,0.611884031352615,0.421433315075238,0.680363306560788,0.266369343153001,0.0717028661135486,0.513102085749966
allantoin,0,0,0,-0.385253772505307,0.446032915656752,-0.00357751239489696,NA,-0.26940183852741,-0.0744560549770348,-0.979631922306293,0.0519267144149909,-0.710177014068915,-0.250552899151903,1.0461920838428,-0.528326044590151,-0.265571084985895,0.686101960859617,0.775174364541544,-0.256787660170018,0.422183918757392,0.064162969266917
alpha-ketoglutarate,0,0,0,-0.827227832412553,-1.66755243113422,-1.22347578611219,-1.8352424252274,-3.45425771438639,-2.58677190372594,-0.225912161044838,-0.460468200582939,-0.409859835029224,-0.882272306281351,-1.38853115797265,-1.64832235066439,-2.70907524812812,-2.90981759904101,-2.79727525114196,-2.46846930945339,-3.09994668188582,-2.72914810271621
AMP,0,0,0,0.32268873354368,0.121936497223574,0.0667802050963583,-0.158083667551109,-0.0210711820780465,0.0742636208558187,0.0988209892874668,-0.19574259576879,0.0690554392159254,-0.0677980194231494,0.123716894689453,-0.137190848610154,-0.0587508681669084,-0.254454593745354,-0.137059531824378,-0.615073790351237,-0.584402730004087,-0.43436704325396
arginine,0,0,0,0.114624333287212,0.124043948736945,-0.0798221002847703,-0.174390160914275,-0.321543967532593,-0.478628795915258,0.0569378534453273,0.277957587043539,-0.208361371697553,-0.329688088798561,-0.0586427973235147,-0.629649149681188,-0.14836326011223,0.0314906785412965,0.135122743261954,-0.440609189044032,-0.394538593904967,-0.460020257432027
arginine_13C6-15N4,0,0,0,0.375939384195625,0.192403281997791,0.165902799797477,0.260690718831412,0.587141621877554,0.585258774018728,-0.109542411404862,-0.256237270865367,-0.292050526933014,0.11815073357559,0.113030080177264,0.389996834692308,0.436616577756586,0.421729930699986,0.550584008683588,0.126922913928689,0.0694179325976488,0.232704951269603
argininosuccinate,0,0,0,-0.271033258220032,-0.495382982697712,-0.298072813142061,-1.42771035494036,-1.5581230349071,-1.47768922645642,0.0960303326278689,0.0905610992417816,0.0742058480076638,-0.779881877271788,-0.61703507226153,-0.917756982035305,-1.02153159166466,-1.20371694881262,-1.13745372161895,-1.50504425017205,-1.58357034439838,-1.61297614761739
asparagine,0,0,0,0.230825302331624,0.15324754567387,0.037726808272042,-0.575245590603212,-0.478708147186555,-0.569173018897187,-0.0286997910863282,-0.0449994840539696,-0.156458820724739,-0.311347043631326,0.00164018645206427,-0.273559385795447,-0.216270915964293,-0.207672823149682,-0.146830742241646,-0.771408982639822,-0.65961711448039,-0.571528619533277
aspartate,0,0,0,0.432031320770133,0.344466508560288,0.258999671479287,0.4007125277409,0.488237769660562,0.466092537702217,-0.0105233988807153,-0.0892072116062109,-0.273489360142317,0.069525133155571,0.319503139402715,0.225990618823968,0.329302225311196,0.414086654789433,0.509381279051105,0.418979536769304,0.603450228747519,0.571196741336875
aspartate_13C4-15N,0,0,0,0.481662227418039,0.343667723585338,0.131087165827651,0.393137799809027,0.660891917703831,0.725406608354391,-0.0348698440360105,-0.337174628575594,-0.290871623530345,0.368524504345357,0.458922893205738,0.661183535143919,0.640182923989704,0.617617561577556,0.811732631673082,0.328625926509502,0.199512983462259,0.297699962421599
ATP,0,0,0,-0.21063203760769,-0.278266708361547,-0.0108253316147117,-0.841510085379005,-0.669732247195556,-0.421896578140885,-0.0841141659444708,0.15376808604484,0.119807908731089,-0.664915601412239,-0.268507476196096,-0.252709368073077,-0.843749031741386,-0.715929587880505,-0.36760494667874,-1.14916958995912,-0.759365286708815,-0.767041708740797
beta-alanine,0,0,0,0.434330113919104,0.352406244758074,0.214275395149806,-0.889736126201267,-1.06294324592282,-1.12131180932579,0.244629578406528,0.280403425538464,0.221176416113236,-0.774945401180581,-0.527531458099594,-0.869152850409605,-0.0128719508894131,-0.30998102381147,-0.150399455269864,-0.717236011364511,-0.735766346793783,-0.530855068172433
carbamoyl_aspartate,0,0,0,-1.51881581078403,-1.50389137388616,-1.66406803964766,-2.75745165055758,-2.91893193267765,-2.85775919682459,-0.765142465825434,-0.506036173359585,-0.636428989948544,-0.160729725854012,0.0414904663312867,-0.386446782212872,-4.16087109769312,-5.74718066076343,-5.09228954564786,-3.14360153922496,-3.15895319619816,-2.55291677789549
carnitine,0,0,0,0.933646534730945,0.78206807783139,0.809414252877421,0.638963117286832,0.765090459343921,0.703777126285495,0.517493393019015,0.467024849863659,0.371469480163213,-0.129578087356834,-0.0418052809244704,0.0733216119391311,0.803302588082831,0.51544464149162,0.846429350025448,0.332336227598041,0.172935109185206,0.47442209498247
CDP,0,0,0,0.0562860481324124,-0.182978284843189,-0.0194554846255042,-0.73692627438957,-0.654435359436137,-0.489254495131163,0.212329096642079,0.048727455123838,0.111287856907451,-0.43650667841501,-0.141299896824152,-0.323112616079652,0.16483818551665,0.0259081636525973,0.2201625229276,-1.12927021208607,-1.05624786310529,-0.960670882512273
choline,0,0,0,1.26686533081124,1.49223073254825,1.26625259281202,1.7926138251378,1.91399773911201,2.14620215870495,-0.360213174764684,-0.0419730149346264,-0.460378955457382,0.339441440153278,0.859337804098523,0.3860075710156,2.24904311948818,2.19410153142436,2.41130535048909,1.85674162544547,1.70747659555845,1.73624470523565
cis-aconitate,0,0,0,-0.718360170280249,-0.769043058945325,-0.980325453931951,-1.43983648863998,-1.36377081011113,-1.27888106826958,-0.272112660274817,-0.226942334274373,-0.103835368467583,-0.6516919410529,-0.600638339573133,-0.318038084998961,-0.90851383270706,-1.13818409880699,-0.781091302026414,-0.708484907791105,-1.00088517251321,-0.581133382284069
citrulline,0,0,0,3.54880908138374,1.13964592952464,-1.03098602059749,3.27514475592425,1.79303907855411,0.815100492519297,-0.79938031970795,1.57769727847708,-1.8752289652828,6.60933856017369,0.956933665932546,-2.11863586977882,3.82260994380551,2.39566997472962,0.811984606971548,3.12764271781459,2.78593557685946,0.113880976024107
CMP,0,0,0,0.24413348707853,0.0693162325584547,0.0693287649294889,-0.493879865161828,-0.466891253409293,-0.272765020367614,0.0653310611595924,0.0564203716218455,0.0599799450360067,-0.376255909529085,-0.0623518678641468,-0.180218947924537,0.446517252412405,0.317132049390221,0.679400723704251,-0.926012001875512,-0.842566548754974,-0.687772567375684
creatine,0,0,0,-0.504841233067038,-0.802153475882016,-0.573893877631239,-0.759705882172491,-0.758519424474319,-0.595606972852816,-0.49765310435617,-0.526795941810282,-0.669037013963847,-0.427787987150691,-0.255198530331027,-0.245228537538914,-0.227466510885494,-0.835465165727023,-0.585989624249609,0.15356128150853,-0.0440801367569593,0.46163814982354
creatinine,0,0,0,0.336228245925244,0.137930462629768,-0.0487256771894859,-0.669333170189875,-0.0392775353592133,-0.322589596614591,-0.617790806203222,0.486275704461693,-0.0203556872872676,0.325859614580912,0.649638208751535,0.0979407188706897,0.648141630157267,0.0787664636306114,0.0507003589260942,-0.159752715542171,0.199358960930574,0.22355519749877
CTP,0,0,0,-0.374967740634357,-0.354996188353012,-0.114478187742965,-1.18992361709549,-1.0316575498253,-0.747216778760679,0.0534477565807578,0.29514747381755,0.235377323838425,-0.874164106922268,-0.436166145908001,-0.443959394561648,-0.282079390709214,-0.0599801852268791,0.200868272941841,-1.47510813347191,-0.996424721629711,-1.07038182835444
cystathionine,0,0,0,0.243160731275164,-0.474580183761458,-0.14249239583501,NA,-0.519703762345576,-1.25132070526632,-0.388326694509832,1.19077577656907,-0.70108306161096,-2.25622601213374,-0.426175250939957,-1.74352938073732,-0.843969701184897,NA,-1.97080754343031,-2.02358678574147,0.362613313656606,-1.90892657471368
cystine,NA,0,0,NA,0.164797996462338,0.897294523879382,NA,NA,0.125368538467047,NA,2.61078715595723,NA,NA,3.11315252235093,0.157980188094595,NA,0.467136678154849,3.69669701259198,NA,0.459866900069473,-0.0629507841737272
cytidine,0,0,0,2.02554046263564,1.67304929699183,1.53835738034515,1.05382026523528,1.06354055943187,0.89724204683939,0.281911323458856,0.25358425119872,0.38356001614484,-0.369695679582542,-0.233587894106546,-0.538685628074685,2.84288090421145,2.71693651981996,2.92687031463657,1.3293202212746,1.19625873770617,1.35136160251546
cytosine,0,0,0,-0.813161994372637,-1.01882356115804,-1.76774779619382,-1.03434253306978,-0.232094581738452,-1.07826823696468,10.6422315643809,10.8693520601044,9.97887104907005,0.228787160118688,0.842855891379206,-0.174888556297509,-1.19957263732887,-0.868722704408383,-2.04433080912895,-1.37505751218808,-0.653654769356388,-1.17121737849148
dADP,0,0,0,-1.27267248858443,-1.88546618063668,-1.67036542827966,1.51466687063017,1.10002141272202,1.41189293697546,0.706211263940579,0.255766783404629,0.540829114420923,-0.297342672218249,0.04431454429133,-0.0208391239101454,1.97847580136549,1.02204040261401,1.3530066969348,-0.347695297988296,-0.392599462576375,-0.338204740995459
dAMP,0,0,0,-1.80550489530087,-1.16130655961354,-0.995712039805543,1.14413659070033,1.49036630106439,1.47762010350218,0.413753287888311,0.838082214012785,0.239642434987463,0.0599737626331812,0.612299894505831,-0.908935927730079,1.50723356458349,1.5542046559634,1.31707433372566,-0.616075677233219,0.439084785492377,0.567594226544917
dATP,0,0,0,-1.77619394516333,-2.4232196426868,-1.55225006282051,0.57714291982271,0.698333394489691,0.943470005598978,0.345637642514865,0.570656884398701,0.374333311336323,-0.788408844490712,-0.420300941192276,-0.398267126220036,0.766890426596345,0.907387247815743,1.09537634155207,-0.677464532913286,-0.108719016883296,-0.265072333512983
dCDP,0,0,0,-1.65227865853002,-1.72861673255756,-1.85145650825023,-2.58425730628725,-2.41363809887268,-2.11217452925245,0.0911940030235743,-0.0612555821333077,-0.0543452063353045,-0.688287871142936,-0.450528048705462,-0.257998062420702,NA,-7.12920983653375,NA,-2.90146086329169,-2.86955446439829,-2.87889399678931
dCTP,0,0,0,-2.11857061350679,-2.14802653841597,-1.680873920894,-2.97073316327844,-2.61410202582464,-2.31374848844919,-0.369548755688476,-0.151586651978307,0.0512724217133384,-1.25521404677819,-0.935941764585477,-0.511056818470446,-6.50120365228558,-5.4118264608023,-5.15709174729927,-3.54751572094708,-3.01283718236768,-2.93602896089054
dGTP,0,0,0,-0.216744142302384,-0.263868484649667,0.0106102520005608,-0.818515690793769,-0.637127014851475,-0.473766944026809,-0.062237401603139,0.189937119939222,0.124860092120509,-0.64486121119335,-0.236517881785915,-0.277931627280345,-0.841953754583582,-0.629213951193596,-0.419236120519968,-1.11277411629408,-0.709877837888407,-0.771623743330771
dihydroorotate,0,0,0,-0.762160976665489,-4.9496537380312,5.25328446945078,-1.52399775186126,-2.44057158525627,4.35904177702797,-0.471507600037795,-1.25678322408114,5.4697920072413,-0.0929023345001754,-0.55926446481398,5.7738742547438,-1.31596730582758,-2.34538978545729,3.61713161889514,-4.30587755265273,-6.25227585710668,NA
dihydroxyacetone_phosphate,0,0,0,-0.923097203364861,-1.60334873769905,-0.989134116225322,-1.52319576966176,-2.8277262756295,-2.17401943610667,-0.612251058691784,-0.797222607060349,-0.174509757110795,-1.02570019942204,-1.45726175320941,-1.38791787172469,-2.00372894850841,-2.70410265464924,-1.88675654090448,-1.68829521171457,-2.48348186076027,-1.92176810763117
dTDP,0,0,0,-0.337825185872155,-2.37900871633025,-0.7846755412464,0.193029760815783,-0.150221642580964,-0.292737582273005,2.15392236880392,1.54190601650684,1.61926798391541,0.00188202870879188,0.34329214361622,-0.476427932191733,5.04342017448508,4.51114326826159,4.7833161249299,-4.62044405831248,-1.53461458458553,-3.08337742760057
dTMP,0,0,0,-0.987370037818837,-1.16551518241167,-1.2983462822038,-0.342346889184877,-0.426033495209188,-0.400087120959606,1.59664835755471,1.33084377063755,1.21613128757483,-0.16232826700486,-0.0855511625802758,-0.209048811695612,6.16036774605824,5.82647298529721,5.94386550316268,-2.54823745575073,-1.62041732007891,-1.90828985896589
dTTP,0,0,0,-0.970563852133577,-1.26064742667866,-0.837697034704154,-0.934479048243672,-0.778083393907729,-0.493207844650249,1.22630359061882,1.39957013821398,1.53205936731136,-0.734158786920826,-0.390558319088631,-0.357669602245471,3.91889006813846,4.10194729750048,4.42186497612187,-2.0766411641139,-1.56891691789734,-1.65768721685567
F6P_G1P,0,0,0,-0.482839105344075,-0.139596846427578,-0.496927982826347,-1.35218148177706,-1.12080657188062,-1.1080591888512,-0.55895922084507,-0.138397109341408,-0.191339856496425,-1.19017036968036,-0.214190965248216,-0.959813846428265,-1.38027237618848,-0.999113469278552,-0.871594687047753,-1.72728599158138,-1.52060676779852,-1.07272663107274
folate,0,0,0,-0.34102514927267,0.639351648967405,0.0736232168362355,0.680979031191093,0.27728283194665,0.660251029500445,-0.633821333606322,0.984708668083526,-0.903167786910382,0.0736041969204644,0.975116349513304,-0.983726798228598,0.524680286249523,1.45165591940882,1.64851069914865,0.136350750285831,0.388677985952844,0.566548960620014
fumarate,0,0,0,0.841164501049888,0.379837507125402,0.511039950852881,0.99728561318965,0.702664793078442,0.97536684144016,0.535285019429105,-0.0150801893423701,-0.345177503285371,0.474146425131512,0.569817158635296,0.572906102893516,0.773067210824762,0.496334336171922,0.856253921055122,0.668199391172553,0.724837617087412,0.820111417507739
GDP,0,0,0,-0.0299110752073311,-0.219709326630946,-0.140561270976211,-0.683588861686488,-0.656302701104897,-0.530027462194673,-0.127875456451191,-0.117828750397907,-0.195330748059826,-0.230649017307376,-0.117127242506586,-0.16419899881393,-0.493195300945119,-0.609699055344814,-0.44168095517648,0.253954620862981,0.257015979449617,0.353270262271012
glucose,0,0,0,0.320687027823998,0.090986582248459,0.140148543810217,1.77380067032408,0.0942569204797688,0.978456882952369,-0.30135912306248,0.631193677504813,-1.05003927814737,0.636649939147468,0.729819885707436,-0.914085915100983,0.315917675301385,0.938669021991241,0.818701520519802,0.249169537529691,0.271163029874167,0.537945863873026
glucose_6-phosphate,0,0,0,-0.0846404738944477,-0.142216898482824,-0.0397863167385721,-0.588075632400341,-0.437584264891499,-0.0847419845106787,-0.411699222289131,-0.0169274744754908,-0.174232668341593,-0.845768006623792,-0.537583485831196,-0.789249172273911,-0.693032881127161,-0.601264036201829,-0.415434208359144,-1.01222949194767,-0.674974699893728,-0.242885393145896
glutamate,0,0,0,0.0390076401162101,-0.0165972889108407,-0.292341920581462,-0.612167598992605,-0.546684774857343,-0.597914589667178,-0.137761250250335,-0.192914255215586,-0.347276981463448,-0.21681900478021,0.0177168908751536,-0.190689941957026,-0.186424343628274,-0.304075916440867,-0.178860936139982,-0.438804232182104,-0.258123085915957,-0.330514581135948
glutamate_13C5-15N,0,0,0,0.617900002698724,0.453933363648157,0.147746471383493,0.654245410544967,0.951614375410037,0.976571227355231,0.0725202040313793,-0.233239501310865,-0.194368350272673,0.496795870493585,0.460891178078114,0.706806570578784,1.01268935847342,0.824201310659341,1.03122712883372,0.425595265618843,0.419071284808672,0.392826880281417
glutamine,0,0,0,0.0952047031831509,0.03977485992746,-0.0936849392533352,-0.466743946837225,-0.545666026629103,-0.627757709343797,-0.181742003521504,-0.155388704067085,-0.367090854544625,-0.184088014912418,0.0962047502395323,-0.219682839231079,-0.282056780162002,-0.292339915749266,-0.238293951170427,-0.40852530736504,-0.405887349063777,-0.289357891882745
glyceraldehyde_3-phosphate,0,0,0,-0.0793019913164724,-0.588856047057308,-1.16448556832187,-1.10975525247869,-2.19190671793192,-1.65428723570485,0.423129176303152,-0.39159028622692,0.113022203535426,NA,-1.34213852833727,-1.42423998337927,-1.90717585138808,-2.93360368812508,-1.21400418122188,-2.28319241872383,NA,-1.67718246874765
glycerol_3-phosphate,0,0,0,-0.610330061499768,-0.802841563163292,-1.0165518510416,-2.0084556830629,-1.82268132108292,-2.00745157999023,-0.0785115529661979,-0.14460972585758,0.0129206835114466,-1.19400878732436,-0.60636557263169,-0.903966444853509,-1.58378222671252,-1.53951825182354,-1.64370441171929,-1.85696806036311,-2.00837295665852,-2.17472855990734
glycerophosphocholine,0,0,0,0.503614777920734,0.375469429370132,0.0885347958989039,0.671688847224518,0.538150338485324,0.501235310601389,0.0740139550296663,-0.0160303435045149,0.0340383350233447,-0.440007822069092,-0.0721353009620794,-0.667134156518285,1.11630077423335,0.802457253649045,0.976855032034944,-0.476480268192192,-0.792068260541002,-0.337722402602463
glycine,0,0,0,0.784854164711049,0.516544035426584,0.424488815201921,0.501068959377215,0.288781062317458,0.401262996841031,-0.0341681616184703,-0.38013925579988,0.0468695103125774,0.0987702082751712,0.177711168590611,0.1335915591089,1.0749217611812,0.684029126371432,0.889873196746332,0.267659911496815,0.148452617498934,0.346677463983664
glycine_13C2-15N,0,0,0,1.37695429369305,0.209518503892663,0.812456580175164,1.12870210616799,0.441382221750617,1.54033755262353,0.736414980233494,-0.418989508181572,-1.95162582688185,1.1835422543705,-1.30683084675753,1.10311961347536,1.80365800243442,0.396494125350649,1.13010346363959,1.3991090953653,-2.74349871450743,0.830418246548378
GMP,0,0,0,0.32151930381553,-0.211228997817145,-0.366804970970461,-0.191393498663094,-0.454505881395488,-0.351927005751367,-0.056522613402271,-0.25153166247022,-0.392321964924254,-0.178717183835711,0.030191827547009,-0.181858956673268,-0.233380954102963,-0.501220530007445,-0.287428774445571,0.613177786622413,0.410480157417807,0.54392569425373
GSH,0,0,0,0.354657123902271,0.144914862182677,0.0295759048906077,-0.598833856252849,-0.089262462764428,-0.154209807681364,0.0879105665223275,-0.0147306782680778,-0.121853825060213,-0.484250830169905,-0.123549167618441,-0.0874011770806245,-1.41714491069551,-0.0627813997835808,-0.114567004900038,-0.138437513410316,-0.035027855082237,0.0033208707261907
GSSG,0,0,0,0.0440785711552406,-0.0917900363484873,0.446161200638332,0.759149324002161,-0.0835105857002029,0.33033186437187,-0.409593250880509,-0.439933011230209,-0.0588411343710283,0.247617032629259,-0.0832435800320884,-0.131738234929229,1.5065950143486,-0.347974029620513,0.618759513443889,-0.103167322138527,-0.517158671437368,-0.120517979820148
GTP,0,0,0,-0.27143428478059,-0.36280208848894,-0.177604713909574,-0.911010888298749,-0.787924505379465,-0.547360171484131,-0.125085032509962,0.010696875851252,-0.0711493747585759,-0.399403481809581,-0.0521247731204499,-0.107753663203156,-0.830564690180706,-0.647771106483834,-0.45525036249855,0.481837263518215,0.716821625433311,0.720142319992938
guanine,0,0,0,1.77092113390815,-2.18249679884361,-2.8980843534622,2.6069349712394,0.194116119108052,0.899236326751218,-0.585371952677852,-3.51634949568029,-2.24088010252667,4.80326461992366,0.385819089119079,0.266248443493024,2.72320318264086,-1.11732274828288,-1.13089388214556,12.7005168533824,8.71508781225565,8.80807243511492
guanosine,0,0,0,2.2615939747829,-1.65411494921128,-1.80924397925333,2.63183926465453,-0.275386998715257,0.278783950356075,0.357406301826927,-3.32999079884968,-2.72766118047571,-0.101011901816768,-3.30902660634344,-2.18860795194461,3.15414789161852,-0.58556048090178,-0.48481382702076,10.4584187811807,6.68506110798156,7.02099641738462
histidine,0,0,0,-0.0446259337649495,-0.0553817426059184,-0.211067099101905,-0.539293469759806,-0.612652832114769,-0.655055976455208,-0.120020754534009,0.10707463159687,-0.213059559265875,-0.281440511342847,-0.0775481673659503,-0.404342241883062,-0.272095139642511,-0.160071506200271,-0.0539439316589631,-0.350169572865642,-0.285834060440286,-0.302435604677886
histidine_13C6-15N3,0,0,0,0.318209770180094,0.215023987208808,0.151782035682392,0.187610374186263,0.398339194958023,0.478415574408217,0.00344148194930155,-0.15482164926389,-0.171873317715625,0.071060309094489,0.12436665641726,0.461954565240408,0.365726136795111,0.338689108775651,0.536381224969669,0.14254726197308,-0.00567069946168645,0.239507597325457
homocysteine,0,0,0,-2.15101431725547,NA,NA,-2.68077009873875,-1.2206381883798,NA,0.653162078608335,0.602313613070789,-0.0146861842281218,-2.36376550718479,-2.29387137404368,-0.961725004590984,NA,-1.23807804947417,-2.18561228273855,-1.48986204593376,-2.32621178115366,-2.93643956229404
hydroxyproline,0,0,0,-0.0229777706128723,-0.0601287142995525,-0.119193152008017,-1.1475149120007,-1.13353165374986,-1.22320202884687,-0.0169610771454419,0.0251744563055909,-0.176054777010305,-0.617515557552217,-0.368315001825998,-0.586037327347446,-0.782842196034442,-0.860265877209806,-0.679273651033696,-1.08572417146404,-1.05275046189028,-0.893920843956834
hypoxanthine,0,0,0,0.0283769474010756,0.753404195326183,-0.57109581343259,11.0407582160537,11.5895458431148,11.394185644342,NA,NA,-0.349470966711902,3.23507421170276,3.89868259792022,2.99607130626291,1.56591393782057,2.49207233741138,2.09181777542113,4.96699539598838,5.65349124420417,5.52200621559426
IMP,0,0,0,-2.46158150616782,-1.98140498697422,-1.82457288524875,-1.15975034275421,-0.876634274438418,-0.845502705752505,-0.14867768709113,-0.158383651224501,-0.238946729973744,-1.33695140676011,-0.913607335344085,-0.967046968950508,-3.1892408312853,-3.12898892526157,-2.76015364901546,-2.99186204128235,-2.70228401261645,-2.76433153615991
inosine,0,0,0,1.39869936336872,0.993112815688529,1.09700517870702,6.16153296697798,5.79903642404865,5.90068866779922,0.114991352232049,0.313706251505133,0.12038414514631,-0.702134652662597,-0.186109299505601,-0.831062809816909,1.72200452880094,1.54507826136466,1.75261978479948,2.78890974423716,2.56833740670847,2.79500664189742
isoleucine,0,0,0,-0.0131691305721,-0.0762068926558753,-0.234269988956066,-0.496279227044131,-0.633399030627821,-0.649730510140201,-0.0392201310076915,0.14983343569512,-0.250486482878198,-0.426397443563511,-0.186821303279026,-0.556387271519403,-0.261400105630776,-0.306589457388475,-0.113792411684793,-0.472322127522524,-0.472105157112855,-0.509676679129578
isoleucine_13C6-15N,0,0,0,0.379234924270136,0.14013401191115,0.0902883027509577,0.16649862566176,0.436218249631437,0.507808072484343,-0.0730189724992756,-0.186676957324545,-0.288526633544884,0.119721248745164,0.152806251160158,0.363613218378853,0.501404451441883,0.322925373621572,0.489816673768248,0.161833244637527,0.0179340343656936,0.153711590368653
itaconic_acid,0,0,0,-0.266885039589483,0.0329974462680641,-0.762416504435508,-1.52693485065127,-0.752846416683983,-0.689872726195737,-0.381665224513696,0.15831415814734,-0.246341621795344,-1.08150859961965,-0.476561659472176,-0.725721119705303,-0.41714788353559,-0.618050866820852,-0.133396075002019,-2.00523264361563,-1.61146867447821,-1.38756003004101
