,1_DMSO_rep1,2_DMSO_rep2,3_DMSO_rep3,4_HU_rep1,5_HU_rep2,6_HU_rep3,7_dA_rep1,8_dA_rep2,9_dA_rep3,10_dC_rep1,11_dC_rep2,12_dC_rep3,13_dG_rep1,14_dG_rep2,15_dG_rep3,16_T_rep1,17_T_rep2,18_T_rep3,19_rG_rep1,20_rG_rep2,21_rG_rep3
1-methylnicotinamide,0,0,0,0.419112882121419,-0.736998606529224,0.196272581327372,-0.76696487326157,-0.730187540814007,1.25342161034715,0.145759429729039,0.500757958688229,0.797904222209795,0.92181911887355,-0.0746834699636756,-0.21162561851417,-0.678800008069433,1.39716717554763,-0.670084070792667,0.0375911882379899,-0.227978870877197,-0.111472856799011
2-deoxycytidine,0,0,0,-2.33881640111014,-2.6370857390789,-2.69548839281725,-1.80897350124351,-2.55749804814492,-2.06379252471208,10.581949900617,10.6610596632862,10.0946926204469,0.102110146472792,0.0251399941606542,-1.33870374448488,-1.88920193991733,-3.26618358006395,-3.40222788323417,-2.05917196588912,-2.10228154470529,-2.29520093432919
2-hydroxyglutarate,0,0,0,-0.494336356051329,-0.456375875059746,-0.772729369602658,-1.80846169568542,-1.69374870896961,-1.88386500503724,-0.113454301582353,-0.0776093735671159,-0.360718811547364,-0.64867067972672,-0.288763359975019,-0.888353373349432,-1.33655903922484,-1.50464965474682,-1.32824323355139,-1.72347895092585,-1.55020792528407,-1.68516026035875
2,3-BPG,0,0,0,-3.09613093956335,-3.20853579459292,-3.15716630947606,-4.30702760585254,-4.66179806056267,-5.6875478781915,-0.418181361084298,-0.0655591381969194,-0.171102232255298,-2.54261938517942,-1.96123175438427,-2.28218473416831,-4.12073478179639,-4.90639083830899,-3.31755123616318,-2.67398770004291,-2.0345655581056,-3.38455177180558
3-phosphoglycerate,0,0,0,-0.432061179735798,-0.5996096825805,-0.742981112282978,-2.45501587729158,-1.95631268637599,-2.29419329918315,-0.231844122382753,-0.0552817178937157,-0.213882389165503,-1.36800938674515,-1.10016665293085,-0.787436119326735,-2.1837723406195,-1.6999974024818,-1.20283594574669,-1.45722986247058,-1.42319075520592,-1.80812568902371
3-ureidopropionate,0,0,0,0.231224946090632,0.154904858891344,0.0387204309931528,-0.573385667583355,-0.474021826199703,-0.569265240478805,-0.031225399993536,-0.0430374083559364,-0.155906216208872,-0.314020433001178,0.00227099106150449,-0.274637415459681,-0.21561458390129,-0.205853640124073,-0.143408144466814,-0.771113677808696,-0.656825953015239,-0.570517961158353
acetyl-CoA,0,0,0,0.185945058903258,-1.26849612024541,-0.103777095114856,0.193906818733291,-3.87103406886712,-0.873597365111082,0.19482527225717,-0.106408908678651,-0.72026715568453,0.0725896079389022,-1.21018092020514,-3.3931993032503,-2.96135636858899,-2.56810061104732,-4.12553133396005,-2.06469287591476,-3.24018676766023,-1.92894743962284
acetylcarnitine,0,0,0,0.979542199604263,0.794428099013493,0.612668045841764,0.387863707338853,0.281329070793636,0.290414685137375,0.580014140347367,0.559862250509234,0.269262444018509,0.025449754466287,0.102836304774757,-0.374113854430004,0.616864230755923,0.451948792743502,0.383322269716455,-0.141364596829345,-0.170978925931937,-0.249633505566175
acetylserine,0,0,0,1.06426820253464,1.03812913029068,0.917628263706605,-1.31448413329355,-1.31365798115342,-1.32950381492392,-0.0110460894701963,0.0555743967328035,-0.113370389477594,-0.779263026482423,-0.461208525081589,-0.902316102534926,-0.877397625631107,-1.25151556427981,-0.952479460579684,-1.45278161540271,-1.18998633355915,-1.34256294152523
adenine,0,0,0,0.222547813883231,0.0387089482263309,-0.364720036132411,-0.0815816115504566,-0.15577603710866,-0.763549774924887,-0.0757390679245731,-0.560923880163615,0.0493734194995829,-0.0612695463345249,0.185847645905313,0.28378470774598,0.385587888713151,-0.107677878159118,0.53355113095656,0.0552135795104857,-0.143949065896374,0.0844095697103173
