,Untreated...2,Untreated...3,Untreated...4,Uridine...5,Uridine...6,Uridine...7,Hypoxanthine...8,Hypoxanthine...9,Hypoxanthine...10,Guanine...11,Guanine...12,Guanine...13,Brequinar...14,Brequinar...15,Brequinar...16,Brequinar + Uridine...17,Brequinar + Uridine...18,Brequinar + Uridine...19,RX-3117...20,RX-3117...21,RX-3117...22,RX-3117 + Uridine...23,RX-3117 + Uridine...24,RX-3117 + Uridine...25,Pyrazofurin...26,Pyrazofurin...27,Pyrazofurin...28,Pyrazofurin + Uridine...29,Pyrazofurin + Uridine...30,Pyrazofurin + Uridine...31,Lometrexol...32,Lometrexol...33,Lometrexol...34,Lometrexol + Hypoxanthine...35,Lometrexol + Hypoxanthine...36,Lometrexol + Hypoxanthine...37,Mycophenolate Mofetil...38,Mycophenolate Mofetil...39,Mycophenolate Mofetil...40,Mycophenolate Mofetil + Guanine...41,Mycophenolate Mofetil + Guanine...42,Mycophenolate Mofetil + Guanine...43
dTTP,-0.141842007473258,0.128230438533889,0.00099008421989384,-0.0395932139480279,-0.0778935961129955,0.138147600179533,-0.404283031304862,-0.327236107911593,-0.272929523725041,-2.54566062737059,-2.36871119126247,-0.582088755036995,-4.56526042906607,-4.38783429432302,-4.88494468912648,-0.215385611241093,-0.179640534811716,-0.210433016128628,-0.452527831469602,-0.357310899035557,-0.288136883718877,-0.153303165157059,-0.541052408237974,0.0596302154818475,-5.65226159157262,-6.18290857636134,-6.14848150955026,-0.375545370862238,-0.125128147509649,-0.238377112477421,-6.00009129670142,-6.25995656366382,-6.34967712018473,-0.535636874773366,-0.909730441259658,-0.455727918545128,-0.866403388849124,-0.872874761669041,-0.984016996590763,-2.47199782907506,-3.23255092017295,-2.10045097854044
dCTP,-0.0570077261166803,0.122136837556285,-0.073395452740861,0.0572210356464164,0.133596121304861,0.289727839712996,-0.253989047775308,-0.299431587346327,-0.0977143161135234,-2.37565764693376,-2.03410460146624,-0.342357365936773,-4.51489268477561,-4.4608038113655,-4.97161037398784,-0.0847459902765167,0.153803510290893,-0.0576873731512145,NA,NA,NA,0.158766149554514,-0.231553644532158,0.515992091461695,-4.37057420065453,-4.70599728539728,-4.53425822028891,-0.205043253689092,0.265241816698774,0.0882298245767782,NA,NA,NA,-0.08663227387449,-0.462424336883576,0.0199564399345447,-1.13131104222465,-1.33676251159693,-0.947880091669851,-1.16015183304343,-1.93827812683205,-1.19873246289669
dATP,-0.0630407072893303,0.158293883582213,-0.109687290199281,-0.49698761057577,-0.445951292965909,-0.372976285766061,-0.0725445721843392,-0.142436283730642,-0.0603411523817954,-1.68147733042483,-1.23039605362425,0.151445705550018,-2.0293887160123,-2.21082356719941,-2.30292219742769,-0.560930962265393,-0.549796906558611,-0.508452745022304,-0.899589746594366,-0.798708365542054,-0.775015614691024,-0.518956648258911,-0.95604507849102,-0.453412195569892,-3.06595894580732,-2.83048196749117,-3.07104645926766,-0.846088429489568,-0.451255446699431,-0.549098012681766,NA,NA,NA,-0.108508576192862,-0.482476706369944,-0.151603654836953,-2.57863290905687,-2.43656974498081,-2.82983352928991,-1.26223469904094,-1.67171661912261,-1.02583721746462
UTP,-0.0756039299175886,0.0745866433523446,-0.00289416454891922,1.28381759852522,1.25033916483304,1.29793251244684,-0.788391700977193,-0.904398397680559,-0.829535680073209,-1.7636010191992,-1.55582097557079,-0.442460020091704,-5.18102211764058,-5.12430297504897,-5.22072069776851,1.10076634131179,1.08846779230208,1.13093103245224,-1.513962817661,-1.35483539771053,-1.3614185003644,0.723379907813271,1.18998861615945,1.10561507674309,-5.28965567874232,-5.90822953111246,-6.21299421461631,1.10230489005809,0.846039941781345,1.04345998922509,-2.82595062692935,-3.20816279819579,-2.94175520720853,-1.47947508467567,-1.80949199114383,-1.58346813989727,-1.82478536583796,-1.85384694709348,-1.99937698564502,-1.9418577401859,-2.52315466525547,-1.61740460438957
GTP,-0.148707628065065,0.100981034972522,0.0362421147353961,-0.27643492994768,-0.231396454518795,-0.256086359107367,-0.0114642634784048,-0.0260044893916056,-0.0196776643901249,0.705851840839483,0.823924374730732,1.27389479317689,-1.56680487686196,-1.65613202899849,-1.64675420955875,-0.475473804174806,-0.316557644503373,-0.465551219289187,-1.49298254732414,-1.43528054523538,-1.38386852937943,-0.578181724588041,-0.902831776046781,-0.404979732129582,-1.87283425409814,-1.8666373576854,-2.17421276222157,-0.673704880996747,-0.434825752397817,-0.522264116164196,-2.94530342874742,-3.61797651571717,-3.5684759623571,-0.621596101513292,-0.939507411380961,-0.65354094921336,-4.44877210791025,-4.92969923253342,-5.72930610772913,0.339503817987685,0.070684402918688,0.484712477408041
CTP,-0.0442899415200676,0.041158284879576,0.00186479607515663,0.873325387322137,0.822529345557799,0.850123067653599,-0.687445512128595,-0.776280742392034,-0.6860691420979,-1.62438054182314,-1.33707198636974,-0.348923833745266,-5.1375375606808,-5.561546736196,-5.71093863259268,0.521446179440778,0.604798735499002,0.630096230677157,-5.51471420727062,-6.40749972681235,-6.85501323070784,0.31461938256372,0.49385247931124,0.643112110299119,-5.34194741492769,-6.08776431200291,-6.4717474418125,0.454855991296442,0.402175443085975,0.47336205852954,-3.26144649856798,-3.80348415112783,-3.4547050493437,-1.45179009592737,-1.75348046356693,-1.39136425120201,-2.18812368976139,-2.26785324999728,-2.24918421695194,-1.7130902136109,-2.26753101639856,-1.52955455105559
ATP,-0.0436451392104722,0.0401607562087312,0.00226481737229983,-0.491240911764715,-0.452969793202775,-0.401677318056533,0.00822337685278579,0.00483047508636086,0.00892109778414441,-0.963374829712109,-0.75002566432638,0.091955110253129,-1.30657563211656,-1.2392715910488,-1.25755082871667,-0.684827423624972,-0.537214073718716,-0.613133731788035,-1.00765784054999,-0.835883170623701,-0.85281426770444,-0.781091330778242,-1.24804786109328,-0.576737670232315,-1.75234937699113,-1.69611793665324,-1.95480343730188,-1.1048261006518,-0.79245302732523,-0.895725419068652,-4.57014399118123,-4.98488916304545,-4.92105888759728,-0.440972226360815,-0.77106609010248,-0.495922662945299,-2.56375657678883,-2.28249091811802,-2.61385152519587,-1.16123759096122,-1.5217384696389,-0.97828440882964
