"","BD.37_THP1__VEH__R1","BD.38_THP1__VEH__R2","BD.39_THP1__VEH__R3","BD.40_THP1__BRQ__R1","BD.41_THP1__BRQ__R2","BD.42_THP1__BRQ__R3","BD.43_THP1__HU__R1","BD.44_THP1__HU__R2","BD.45_THP1__HU__R3","BD.46_THP1__APH__R1","BD.47_THP1__APH__R2","BD.48_THP1__APH__R3","BD.49_THP1__PMA__R1","BD.50_THP1__PMA__R2","BD.51_THP1__PMA__R3","BD.52_THP1__ROT__R1","BD.53_THP1__ROT__R2","BD.54_THP1__ROT__R3","BD.55_THP1__ROT_HX_U__R1.Hypoxanthine","BD.56_THP1__ROT_HX_U__R2.Hypoxanthine","BD.57_THP1__ROT_HX_U__R3.Hypoxanthine"
"1-methylnicotinamide",0,-1.12211982376885,0.14331013646988,0.463645000550827,0.785589188540392,0.191622604989626,-0.766680270866168,-0.825920226295244,-1.6873915952669,-1.20499621883733,-1.9380415662456,-0.217932485538499,0.618282155336003,0.729746037634433,-1.18884209480479,-0.0952703191027745,0.683189306070809,-0.386542990855263,-0.959678012835233,-0.971774851011544,-1.21895541432279
"2-aminoadipate",0.280890110056919,0,-0.165370201003465,0.57081747479791,0.596830588800607,1.03297363282628,-2.10117334614669,-1.98371284425303,-2.63509023480557,-2.37737872376621,-3.0221698633491,-1.43389606008263,0.565678486129988,0.832732645016931,1.19894152165233,-1.8315673553748,-1.68096217609733,-2.34612140100106,-4.34179488765221,-3.12033943900486,-1.96999027222249
"2-hydroxyglutarate",0.0505457433673125,0,-0.117661731196262,-2.81594461759332,-2.78482208387435,-2.91711239128145,-1.01577838642707,-1.14077220038179,-1.24186542017066,-0.756757127485052,-0.650439743390127,-0.696344589282182,-1.97505893267703,-2.18629686649998,-2.01530084013013,-0.117100694864365,-0.0475074487855712,-0.114416434925057,-0.961427124600209,-0.759497895997674,-0.800289556240618
"2-oxoadipate",0.202577492832258,0,-0.21788260838266,0.16379204542673,0.339038107192694,NA,-0.0624402050280624,0.0387093923130492,0.065951579902466,-0.144733550295919,0.0499819113439047,0.110240551765044,-3.75017698470557,NA,NA,-0.303566494908246,0.0301083126031476,NA,-1.16966529116809,-0.589743218928318,NA
"2,3-BPG",-0.00039146479266021,0,0.158254001299166,-0.439354090599978,0.0271604676455123,-0.200531573944388,-0.291192686877815,-0.305467007853203,-0.384235953144155,-0.503118583116232,-0.406972710980303,-0.439348814922794,-1.52874601643208,-1.42010815493363,-1.40557436265303,-3.50101351907331,-3.49403445948995,-3.51701457888874,-8.57946229164382,-6.32531464716824,-7.40811585069312
"3-phosphoglycerate",0.178782138914747,0,-0.0322748196830092,2.27870254146516,2.50126128699689,2.45254594360292,-0.0968679595725575,-0.389932733972267,-0.496759042948082,-0.386410194707672,-0.504880336996209,-0.465794741096354,0.65291305449271,0.789112946660027,0.851763832675995,-1.48741748481492,-1.48021966022467,-1.47643418352041,-2.34271866735198,-2.14557775506946,-2.41706504589799
"3-ureidopropionate",0.14151813064691,0,-2.53740977007064e-05,0.209183694631718,0.28486788112049,0.381845938711567,0.606718429545392,0.452362660711849,0.546262375374398,0.426029003790593,0.431997511965516,0.637758960101936,-0.132737065444355,-0.0861743348991617,-0.114765219590484,-0.00135613491130009,0.166651739350289,0.243947350366539,-0.269918125320177,-0.0260687874488341,-0.0621715198444099
"6-phosphogluconate",0.28630114916685,-0.0199350269367595,0,1.76816230558228,1.90248753463117,1.82072402231072,-0.00705709850629054,-0.189255653954639,-0.055720516076307,-0.142595028835271,-0.269699062110352,0.108234295436594,0.628325510559201,0.60283976865998,0.695634762282605,-1.76130361474546,-1.82244145245013,-1.74953642818468,-3.05709588026991,-2.66109132995556,-2.8418673666618
"acetyl-CoA",-0.0233550821669906,0.750346513544262,0,1.82198542285472,1.93583042017875,1.0787894830646,1.51938798447172,2.02153180866463,2.89427542772642,2.78276386037025,1.91585456855438,0.991336305094211,1.7558178261835,1.1746494413178,-0.521866377080436,0.404007517825574,0.463056207794392,1.43631059796358,2.48675170234313,-0.328518929422711,2.39386909146603
"acetylcarnitine",0.150307946661066,0,-0.0588682925500441,1.42552077774525,1.55764482200942,1.51243300799675,0.0095268603754353,-0.11841109590427,-0.124265693161598,-0.292943026252639,-0.347765004305702,-0.14662436345283,-0.677089325009117,-0.87375174158333,-0.545105805005704,0.642281082800245,0.761094449769805,0.840142634409543,-0.0754373230137506,0.177158511694354,0.0961876845345942
