UniProtKB:P28340	POLD1
UniProtKB:Q9NZC9	SMARCAL1
UniProtKB:Q9BWF2	TRAIP
UniProtKB:P51587	BRCA2
UniProtKB:P51530	DNA2
UniProtKB:Q8N2Z9	CENPS
UniProtKB:Q9NYP3	DONSON
UniProtKB:Q9BVW5	TIPIN
UniProtKB:P46100	ATRX
UniProtKB:P49959	MRE11
UniProtKB:Q96LW4	PRIMPOL
UniProtKB:Q17RS7	GEN1
UniProtKB:Q6ZRQ5	MMS22L
UniProtKB:Q96AY2	EME1
UniProtKB:Q9NVH0	EXD2
UniProtKB:Q96PZ2	FAM111A
UniProtKB:Q9NY74	ETAA1
UniProtKB:Q96NB3	ZNF830
UniProtKB:Q6PCD5	RFWD3
UniProtKB:Q8IYD8	FANCM
UniProtKB:Q86YA3	ZGRF1
UniProtKB:A8MT69	CENPX
UniProtKB:P12004	PCNA
UniProtKB:Q96FC9	DDX11
UniProtKB:P54132	BLM
UniProtKB:Q9H1E3	NUCKS1
UniProtKB:Q587J8	KHDC3L
UniProtKB:A4GXA9	EME2
UniProtKB:Q86V81	ALYREF
UniProtKB:Q53H47	SETMAR
UniProtKB:Q8NFZ0	FBH1
UniProtKB:Q9Y3Z3	SAMHD1
UniProtKB:P50750	CDK9
UniProtKB:Q96NY9	MUS81
UniProtKB:Q5FWF4	ZRANB3
UniProtKB:Q9NXL9	MCM9
UniProtKB:Q13535	ATR
UniProtKB:Q9UNS1	TIMELESS
UniProtKB:Q14191	WRN
UniProtKB:Q7Z7L1	SLFN11
UniProtKB:Q9NZ71	RTEL1
UniProtKB:Q07864	POLE
UniProtKB:A6NGQ2	OOEP
UniProtKB:Q8NFC6	BOD1L1
UniProtKB:Q96HA7	TONSL
UniProtKB:Q06609	RAD51
ComplexPortal:CPX-586	eme2-mus81_human
ComplexPortal:CPX-511	eme1-mus81_human
UniProtKB:Q96FV9	THOC1
UniProtKB:O00230	CORT
ComplexPortal:CPX-3073	kcne2-kcnh2_human
ComplexPortal:CPX-787	gins_human
UniProtKB:Q9BRX2	PELO
UniProtKB:O75534	CSDE1
UniProtKB:Q9ULM6	CNOT6
UniProtKB:P21917	DRD4
UniProtKB:P35462	DRD3
UniProtKB:P14416	DRD2
