Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
Reactome Gene Sets,6,R-HSA-3700989,Transcriptional Regulation by TP53,,-14,5.5,11,30242,365,500,33,6.6,1.1,1340|1345|1351|1353|3065|3066|3622|4850|5431|5432|5571|5933|6749|6829|6872|6873|6874|6877|6878|6879|6882|6884|7157|9125|9219|23774|25904|51241|53615|55571|57459|79733|83860,COX6B1|COX6C|COX8A|COX11|HDAC1|HDAC2|ING2|CNOT4|POLR2B|POLR2C|PRKAG1|RBL1|SSRP1|SUPT5H|TAF1|TAF2|TAF4|TAF5|TAF6|TAF7|TAF11|TAF13|TP53|CNOT9|MTA2|BRD1|CNOT10|COX16|MBD3|CNOT11|GATAD2B|E2F8|TAF3,-11,MyList
GO Biological Processes,19,GO:0043414,macromolecule methylation,19_GO:0008152 metabolic process,-14,5.7,11,30242,317,500,30,6,1.1,1788|4221|5252|5929|6688|9070|9219|9646|10322|11091|23067|23168|23411|25940|30827|53615|54623|55677|55783|55904|55929|63892|63976|64324|80204|80349|83640|84332|84661|359787,DNMT3A|MEN1|PHF1|RBBP5|SPI1|ASH2L|MTA2|CTR9|SMYD5|WDR5|SETD1B|RTF1|SIRT1|FAM98A|CXXC1|MBD3|PAF1|IWS1|CMTR2|KMT2E|DMAP1|THADA|PRDM16|NSD1|FBXO11|WDR61|RAMAC|DYDC2|DPY30|DPPA3,-10,MyList
GO Biological Processes,19,GO:0032259,methylation,19_GO:0008152 metabolic process,-13,5.1,10,30242,365,500,31,6.2,1.1,1788|4221|5252|5929|6688|9070|9219|9646|10322|11091|23067|23168|23411|25940|30827|51611|53615|54623|55677|55783|55904|55929|63892|63976|64324|80204|80349|83640|84332|84661|359787,DNMT3A|MEN1|PHF1|RBBP5|SPI1|ASH2L|MTA2|CTR9|SMYD5|WDR5|SETD1B|RTF1|SIRT1|FAM98A|CXXC1|DPH5|MBD3|PAF1|IWS1|CMTR2|KMT2E|DMAP1|THADA|PRDM16|NSD1|FBXO11|WDR61|RAMAC|DYDC2|DPY30|DPPA3,-9.6,MyList
Reactome Gene Sets,6,R-HSA-8953854,Metabolism of RNA,,-13,3.8,9.4,30242,673,500,42,8.4,1.2,1477|1479|1656|1665|1994|2058|3181|4850|5093|5431|5432|5901|6396|6626|6829|8086|9125|9724|9924|9972|10181|10450|10898|25904|25949|29894|51493|51593|54974|55339|55571|55696|55706|55749|63892|79897|80349|81608|129401|167227|200916|348995,CSTF1|CSTF3|DDX6|DHX15|ELAVL1|EPRS1|HNRNPA2B1|CNOT4|PCBP1|POLR2B|POLR2C|RAN|SEC13|SNRPA|SUPT5H|AAAS|CNOT9|UTP14C|PAN2|NUP153|RBM5|PPIE|CPSF4|CNOT10|SYF2|CPSF1|RTCB|SRRT|THG1L|WDR33|CNOT11|RBM22|NDC1|CCAR1|THADA|RPP21|WDR61|FIP1L1|NUP35|DCP2|RPL22L1|NUP43,-9.4,MyList
CORUM,33,CORUM:1257,ALL-1 supercomplex,,-12,24,16,30242,28,500,11,2.2,0.66,3065|3066|5901|5929|6872|6878|8467|9219|11091|25942|53615,HDAC1|HDAC2|RAN|RBBP5|TAF1|TAF6|SMARCA5|MTA2|WDR5|SIN3A|MBD3,-9.2,MyList
CORUM,33,CORUM:492,DA complex,,-12,36,18,30242,15,500,9,1.8,0.59,6872|6873|6874|6877|6878|6879|6882|6884|83860,TAF1|TAF2|TAF4|TAF5|TAF6|TAF7|TAF11|TAF13|TAF3,-9.2,MyList
Reactome Gene Sets,6,R-HSA-72203,Processing of Capped Intron-Containing Pre-mRNA,,-12,6.2,11,30242,244,500,25,5,0.97,1477|1479|1665|1994|3181|5093|5431|5432|6396|6626|8086|9972|10181|10450|10898|25949|29894|51593|55339|55696|55706|55749|81608|129401|348995,CSTF1|CSTF3|DHX15|ELAVL1|HNRNPA2B1|PCBP1|POLR2B|POLR2C|SEC13|SNRPA|AAAS|NUP153|RBM5|PPIE|CPSF4|SYF2|CPSF1|SRRT|WDR33|RBM22|NDC1|CCAR1|FIP1L1|NUP35|NUP43,-9.2,MyList
GO Biological Processes,19,GO:0034968,histone lysine methylation,19_GO:0008152 metabolic process,-12,9.4,12,30242,116,500,18,3.6,0.83,4221|5252|5929|9070|9646|10322|11091|23067|23168|23411|30827|55677|55904|63976|64324|80349|84332|84661,MEN1|PHF1|RBBP5|ASH2L|CTR9|SMYD5|WDR5|SETD1B|RTF1|SIRT1|CXXC1|IWS1|KMT2E|PRDM16|NSD1|WDR61|DYDC2|DPY30,-9,MyList
CORUM,33,CORUM:493,DAB complex,,-12,34,17,30242,16,500,9,1.8,0.59,6872|6873|6874|6877|6878|6879|6882|6884|83860,TAF1|TAF2|TAF4|TAF5|TAF6|TAF7|TAF11|TAF13|TAF3,-9,MyList
CORUM,33,CORUM:469,TFIID-beta complex,,-12,40,18,30242,12,500,8,1.6,0.56,6872|6873|6874|6877|6878|6879|6882|6884,TAF1|TAF2|TAF4|TAF5|TAF6|TAF7|TAF11|TAF13,-8.5,MyList
GO Biological Processes,19,GO:0016571,histone methylation,19_GO:0008152 metabolic process,-12,8.1,11,30242,142,500,19,3.8,0.86,4221|5252|5929|9070|9646|10322|11091|23067|23168|23411|30827|54623|55677|55904|63976|64324|80349|84332|84661,MEN1|PHF1|RBBP5|ASH2L|CTR9|SMYD5|WDR5|SETD1B|RTF1|SIRT1|CXXC1|PAF1|IWS1|KMT2E|PRDM16|NSD1|WDR61|DYDC2|DPY30,-8.5,MyList
