Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0031400,negative regulation of protein modification process,19_GO:0048519 negative regulation of biological process,-6.2,3,6.1,30242,517,500,26,5.2,0.99,1050|2874|3065|3066|4221|4249|5252|5478|5511|5591|6688|6872|6879|9320|10459|10959|11091|11146|11221|23411|23435|25942|29108|79643|93650|199731,CEBPA|GPS2|HDAC1|HDAC2|MEN1|MGAT5|PHF1|PPIA|PPP1R8|PRKDC|SPI1|TAF1|TAF7|TRIP12|MAD2L2|TMED2|WDR5|GLMN|DUSP10|SIRT1|TARDBP|SIN3A|PYCARD|CHMP6|ACP4|CADM4,-4.1,MyList
GO Biological Processes,19,GO:2001242,regulation of intrinsic apoptotic signaling pathway,19_GO:0023052 signaling,-6.2,5.2,6.9,30242,164,500,14,2.8,0.74,1984|3065|3622|5478|6421|6647|7009|7157|8725|10525|23411|29108|84447|138151,EIF5A|HDAC1|ING2|PPIA|SFPQ|SOD1|TMBIM6|TP53|URI1|HYOU1|SIRT1|PYCARD|SYVN1|NACC2,-4.1,MyList
Reactome Gene Sets,6,R-HSA-4615885,SUMOylation of DNA replication proteins,,-6.2,11,8.5,30242,45,500,8,1.6,0.56,5905|6396|6613|8086|9972|55706|129401|348995,RANGAP1|SEC13|SUMO2|AAAS|NUP153|NDC1|NUP35|NUP43,-4.1,MyList
Reactome Gene Sets,6,R-HSA-8852135,Protein ubiquitination,,-6.1,7.7,7.7,30242,79,500,10,2,0.63,5591|8078|9646|9810|23168|54623|55236|79577|80349|123169,PRKDC|USP5|CTR9|RNF40|RTF1|PAF1|UBA6|CDC73|WDR61|LEO1,-4,MyList
Reactome Gene Sets,6,R-HSA-3214847,HATs acetylate histones,,-6.1,5.5,7,30242,142,500,13,2.6,0.71,86|3054|6944|8089|11091|23774|54556|54934|55683|55929|79595|80314|339287,ACTL6A|HCFC1|VPS72|YEATS4|WDR5|BRD1|ING3|KANSL2|KANSL3|DMAP1|SAP130|EPC1|MSL1,-4,MyList
GO Biological Processes,19,GO:0051236,establishment of RNA localization,19_GO:0051179 localization,-6.1,5.1,6.9,30242,166,500,14,2.8,0.74,1984|3181|5901|6396|8086|9972|10204|10657|54890|55051|55677|55706|129401|348995,EIF5A|HNRNPA2B1|RAN|SEC13|AAAS|NUP153|NUTF2|KHDRBS1|ALKBH5|NRDE2|IWS1|NDC1|NUP35|NUP43,-4,MyList
GO Biological Processes,19,GO:0051052,regulation of DNA metabolic process,19_GO:0050789 regulation of biological process,-6.1,3.5,6.2,30242,361,500,21,4.2,0.9,908|3181|4221|5591|6688|6950|7157|7913|9320|10459|10575|10576|10694|23411|25849|51548|53615|84142|121260|167227|359787,CCT6A|HNRNPA2B1|MEN1|PRKDC|SPI1|TCP1|TP53|DEK|TRIP12|MAD2L2|CCT4|CCT2|CCT8|SIRT1|PARM1|SIRT6|MBD3|ABRAXAS1|SLC15A4|DCP2|DPPA3,-4,MyList
GO Biological Processes,19,GO:0010498,proteasomal protein catabolic process,19_GO:0008152 metabolic process,-6.1,3.1,6,30242,490,500,25,5,0.97,811|1050|6400|6613|6872|7184|8078|8454|9810|10075|10393|10952|11011|11146|23411|51343|51377|51548|56886|57092|57095|57154|84447|90025|116224,CALR|CEBPA|SEL1L|SUMO2|TAF1|HSP90B1|USP5|CUL1|RNF40|HUWE1|ANAPC10|SEC61B|TLK2|GLMN|SIRT1|FZR1|UCHL5|SIRT6|UGGT1|PCNP|PITHD1|SMURF1|SYVN1|UBE3D|PABIR1,-4,MyList
GO Biological Processes,19,GO:0033523,histone H2B ubiquitination,19_GO:0008152 metabolic process,-6.1,25,11,30242,12,500,5,1,0.44,9646|9810|54623|79577|123169,CTR9|RNF40|PAF1|CDC73|LEO1,-4,MyList
GO Biological Processes,19,GO:1903405,protein localization to nuclear body,19_GO:0051179 localization,-6.1,25,11,30242,12,500,5,1,0.44,908|6950|10575|10576|10694,CCT6A|TCP1|CCT4|CCT2|CCT8,-4,MyList
GO Biological Processes,19,GO:1904816,"positive regulation of protein localization to chromosome, telomeric region",19_GO:0048518 positive regulation of biological process,-6.1,25,11,30242,12,500,5,1,0.44,908|6950|10575|10576|10694,CCT6A|TCP1|CCT4|CCT2|CCT8,-4,MyList
GO Biological Processes,19,GO:1904867,protein localization to Cajal body,19_GO:0051179 localization,-6.1,25,11,30242,12,500,5,1,0.44,908|6950|10575|10576|10694,CCT6A|TCP1|CCT4|CCT2|CCT8,-4,MyList
GO Biological Processes,19,GO:0070202,regulation of establishment of protein localization to chromosome,19_GO:0051179 localization,-6.1,25,11,30242,12,500,5,1,0.44,908|6950|10575|10576|10694,CCT6A|TCP1|CCT4|CCT2|CCT8,-4,MyList
KEGG Pathway,24,hsa05016,Huntington's disease,,-6.1,4.7,6.7,30242,193,500,15,3,0.76,1340|1345|1351|1385|3065|3066|5431|5432|6392|6647|6667|6874|7157|25942|125965,COX6B1|COX6C|COX8A|CREB1|HDAC1|HDAC2|POLR2B|POLR2C|SDHD|SOD1|SP1|TAF4|TP53|SIN3A|COX6B2,-4,MyList
KEGG Pathway,24,ko05016,Huntington's disease,,-6.1,4.7,6.7,30242,193,500,15,3,0.76,1340|1345|1351|1385|3065|3066|5431|5432|6392|6647|6667|6874|7157|25942|125965,COX6B1|COX6C|COX8A|CREB1|HDAC1|HDAC2|POLR2B|POLR2C|SDHD|SOD1|SP1|TAF4|TP53|SIN3A|COX6B2,-4,MyList
GO Biological Processes,19,GO:1902806,regulation of cell cycle G1/S phase transition,19_GO:0050789 regulation of biological process,-6.1,5,6.8,30242,168,500,14,2.8,0.74,3373|4221|5591|5933|6872|7157|26058|54617|54623|55904|79577|91607|126520|138151,HYAL1|MEN1|PRKDC|RBL1|TAF1|TP53|GIGYF2|INO80|PAF1|KMT2E|CDC73|SLFN11|PLK5|NACC2,-4,MyList
GO Biological Processes,19,GO:0009896,positive regulation of catabolic process,19_GO:0048518 positive regulation of biological process,-6,3.1,6,30242,493,500,25,5,0.97,678|1050|6613|6829|6872|8078|8312|9686|9810|9924|10075|23411|23435|25976|26058|51343|51548|55128|55187|57154|79888|81603|116224|124245|167227,ZFP36L2|CEBPA|SUMO2|SUPT5H|TAF1|USP5|AXIN1|VGLL4|RNF40|PAN2|HUWE1|SIRT1|TARDBP|TIPARP|GIGYF2|FZR1|SIRT6|TRIM68|VPS13D|SMURF1|LPCAT1|TRIM8|PABIR1|ZC3H18|DCP2,-4,MyList
Canonical Pathways,11,M254,PID MYC REPRESS PATHWAY,,-6,8.6,7.9,30242,63,500,9,1.8,0.59,1050|1052|1385|1788|3065|5933|6667|6688|7812,CEBPA|CEBPD|CREB1|DNMT3A|HDAC1|RBL1|SP1|SPI1|CSDE1,-4,MyList
Reactome Gene Sets,6,R-HSA-180746,Nuclear import of Rev protein,,-6,13,8.8,30242,33,500,7,1.4,0.53,5901|6396|8086|9972|55706|129401|348995,RAN|SEC13|AAAS|NUP153|NDC1|NUP35|NUP43,-3.9,MyList
Reactome Gene Sets,6,R-HSA-168274,Export of Viral Ribonucleoproteins from Nucleus,,-6,13,8.8,30242,33,500,7,1.4,0.53,5901|6396|8086|9972|55706|129401|348995,RAN|SEC13|AAAS|NUP153|NDC1|NUP35|NUP43,-3.9,MyList
CORUM,33,CORUM:1199,Oligosaccharyltransferase complex (Stt3A variant),,-6,40,12,30242,6,500,4,0.8,0.4,1603|1650|6184|6185,DAD1|DDOST|RPN1|RPN2,-3.9,MyList
CORUM,33,CORUM:2731,Set1A complex,,-6,40,12,30242,6,500,4,0.8,0.4,5929|9070|11091|30827,RBBP5|ASH2L|WDR5|CXXC1,-3.9,MyList
KEGG Pathway,24,ko03013,RNA transport,,-6,5,6.7,30242,171,500,14,2.8,0.74,5901|5905|6396|6613|8086|8890|8891|8893|9470|9972|55706|79897|129401|348995,RAN|RANGAP1|SEC13|SUMO2|AAAS|EIF2B4|EIF2B3|EIF2B5|EIF4E2|NUP153|NDC1|RPP21|NUP35|NUP43,-3.9,MyList
GO Biological Processes,19,GO:0001701,in utero embryonic development,19_GO:0032502 developmental process,-6,3.4,6.1,30242,369,500,21,4.2,0.9,86|689|1050|1051|1376|1603|3726|6670|7157|7189|9646|10959|23168|25942|25949|53615|57498|60625|79733|123920|129685,ACTL6A|BTF3|CEBPA|CEBPB|CPT2|DAD1|JUNB|SP3|TP53|TRAF6|CTR9|TMED2|RTF1|SIN3A|SYF2|MBD3|KIDINS220|DHX35|E2F8|CMTM3|TAF8,-3.9,MyList
Reactome Gene Sets,6,R-HSA-4085377,SUMOylation of SUMOylation proteins,,-5.9,12,8.7,30242,34,500,7,1.4,0.53,6396|6613|8086|9972|55706|129401|348995,SEC13|SUMO2|AAAS|NUP153|NDC1|NUP35|NUP43,-3.9,MyList
GO Biological Processes,19,GO:0008380,RNA splicing,19_GO:0008152 metabolic process,-5.9,3.2,6,30242,434,500,23,4.6,0.94,1665|3181|5511|6421|6626|7009|9967|10181|10450|10657|11129|23435|25949|51163|51493|51747|55051|55677|55696|60625|83759|84811|284695,DHX15|HNRNPA2B1|PPP1R8|SFPQ|SNRPA|TMBIM6|THRAP3|RBM5|PPIE|KHDRBS1|CLASRP|TARDBP|SYF2|DBR1|RTCB|LUC7L3|NRDE2|IWS1|RBM22|DHX35|RBM4B|BUD13|ZNF326,-3.9,MyList
GO Biological Processes,19,GO:0006401,RNA catabolic process,19_GO:0008152 metabolic process,-5.9,3.9,6.3,30242,281,500,18,3.6,0.83,678|1994|5511|6037|7812|9125|9924|9967|23369|23435|25904|26058|54890|55051|55571|79002|124245|167227,ZFP36L2|ELAVL1|PPP1R8|RNASE3|CSDE1|CNOT9|PAN2|THRAP3|PUM2|TARDBP|CNOT10|GIGYF2|ALKBH5|NRDE2|CNOT11|TRIR|ZC3H18|DCP2,-3.8,MyList
Reactome Gene Sets,6,R-HSA-212165,Epigenetic regulation of gene expression,,-5.9,5.3,6.8,30242,149,500,13,2.6,0.71,1788|3015|3065|3066|5252|7913|8467|9219|23411|25942|53615|57459|79595,DNMT3A|H2AZ1|HDAC1|HDAC2|PHF1|DEK|SMARCA5|MTA2|SIRT1|SIN3A|MBD3|GATAD2B|SAP130,-3.8,MyList
Reactome Gene Sets,6,R-HSA-72202,Transport of Mature Transcript to Cytoplasm,,-5.9,7.2,7.4,30242,84,500,10,2,0.63,6396|8086|9972|10898|29894|55339|55706|81608|129401|348995,SEC13|AAAS|NUP153|CPSF4|CPSF1|WDR33|NDC1|FIP1L1|NUP35|NUP43,-3.8,MyList
Canonical Pathways,11,M195,PID CMYB PATHWAY,,-5.9,7.2,7.4,30242,84,500,10,2,0.63,1050|1051|1052|2113|3015|6667|6688|8089|9611|25942,CEBPA|CEBPB|CEBPD|ETS1|H2AZ1|SP1|SPI1|YEATS4|NCOR1|SIN3A,-3.8,MyList
Reactome Gene Sets,6,R-HSA-1280215,Cytokine Signaling in Immune system,,-5.9,2.6,5.7,30242,715,500,31,6.2,1.1,1052|1072|1385|2209|3181|3572|3603|3635|3684|3689|3726|5478|6285|6396|6647|6950|7157|7184|7189|8086|8454|9039|9173|9470|9972|9987|55128|55706|81603|129401|348995,CEBPD|CFL1|CREB1|FCGR1A|HNRNPA2B1|IL6ST|IL16|INPP5D|ITGAM|ITGB2|JUNB|PPIA|S100B|SEC13|SOD1|TCP1|TP53|HSP90B1|TRAF6|AAAS|CUL1|UBA3|IL1RL1|EIF4E2|NUP153|HNRNPDL|TRIM68|NDC1|TRIM8|NUP35|NUP43,-3.8,MyList
GO Biological Processes,19,GO:0040029,"regulation of gene expression, epigenetic",19_GO:0050789 regulation of biological process,-5.9,6.3,7.1,30242,105,500,11,2.2,0.66,1788|3065|6688|8467|10322|11146|23411|53615|55051|80314|84337,DNMT3A|HDAC1|SPI1|SMARCA5|SMYD5|GLMN|SIRT1|MBD3|NRDE2|EPC1|ELOF1,-3.8,MyList
GO Biological Processes,19,GO:0034976,response to endoplasmic reticulum stress,19_GO:0050896 response to stimulus,-5.8,4,6.3,30242,256,500,17,3.4,0.81,488|811|1051|6400|7009|7157|7184|7376|8893|10525|10952|10959|23411|23435|51360|56886|84447,ATP2A2|CALR|CEBPB|SEL1L|TMBIM6|TP53|HSP90B1|NR1H2|EIF2B5|HYOU1|SEC61B|TMED2|SIRT1|TARDBP|MBTPS2|UGGT1|SYVN1,-3.8,MyList
GO Biological Processes,19,GO:0046822,regulation of nucleocytoplasmic transport,19_GO:0051179 localization,-5.8,6.3,7.1,30242,106,500,11,2.2,0.66,5901|5905|8086|9972|10204|10657|23435|55051|55677|55696|55929,RAN|RANGAP1|AAAS|NUP153|NUTF2|KHDRBS1|TARDBP|NRDE2|IWS1|RBM22|DMAP1,-3.8,MyList
Reactome Gene Sets,6,R-HSA-5578749,Transcriptional regulation by small RNAs,,-5.8,6.3,7.1,30242,106,500,11,2.2,0.66,3015|5431|5432|5901|6396|8086|9972|10526|55706|129401|348995,H2AZ1|POLR2B|POLR2C|RAN|SEC13|AAAS|NUP153|IPO8|NDC1|NUP35|NUP43,-3.8,MyList
GO Biological Processes,19,GO:0018023,peptidyl-lysine trimethylation,19_GO:0008152 metabolic process,-5.8,9.7,8,30242,50,500,8,1.6,0.56,9646|10322|23067|23168|23411|55677|55904|80349,CTR9|SMYD5|SETD1B|RTF1|SIRT1|IWS1|KMT2E|WDR61,-3.8,MyList
GO Biological Processes,19,GO:0018279,protein N-linked glycosylation via asparagine,19_GO:0008152 metabolic process,-5.8,16,9.2,30242,23,500,6,1.2,0.49,1603|1650|4249|6184|6185|56886,DAD1|DDOST|MGAT5|RPN1|RPN2|UGGT1,-3.8,MyList
GO Biological Processes,19,GO:0007093,mitotic cell cycle checkpoint signaling,19_GO:0048519 negative regulation of biological process,-5.8,5.6,6.8,30242,129,500,12,2.4,0.68,5591|7157|8883|9184|10459|25949|26058|51343|65123|84142|116224|126520,PRKDC|TP53|NAE1|BUB3|MAD2L2|SYF2|GIGYF2|FZR1|INTS3|ABRAXAS1|PABIR1|PLK5,-3.7,MyList
GO Biological Processes,19,GO:1903311,regulation of mRNA metabolic process,19_GO:0050789 regulation of biological process,-5.8,3.8,6.1,30242,288,500,18,3.6,0.83,678|1994|6829|9646|9810|9924|9967|10181|10657|23369|23435|26058|54623|54890|55677|79577|123169|167227,ZFP36L2|ELAVL1|SUPT5H|CTR9|RNF40|PAN2|THRAP3|RBM5|KHDRBS1|PUM2|TARDBP|GIGYF2|PAF1|ALKBH5|IWS1|CDC73|LEO1|DCP2,-3.7,MyList
GO Biological Processes,19,GO:0097193,intrinsic apoptotic signaling pathway,19_GO:0023052 signaling,-5.8,3.8,6.1,30242,288,500,18,3.6,0.83,1051|1984|3065|3622|5478|5591|6421|6647|7009|7157|8454|8725|10525|23411|29108|57646|84447|138151,CEBPB|EIF5A|HDAC1|ING2|PPIA|PRKDC|SFPQ|SOD1|TMBIM6|TP53|CUL1|URI1|HYOU1|SIRT1|PYCARD|USP28|SYVN1|NACC2,-3.7,MyList
GO Biological Processes,19,GO:0070897,transcription preinitiation complex assembly,19_GO:0008152 metabolic process,-5.7,12,8.4,30242,36,500,7,1.4,0.53,1385|2972|6872|6878|6879|6882|7157,CREB1|BRF1|TAF1|TAF6|TAF7|TAF11|TP53,-3.7,MyList
GO Biological Processes,19,GO:0051168,nuclear export,19_GO:0051179 localization,-5.7,5.1,6.6,30242,154,500,13,2.6,0.71,811|3181|5901|5905|8498|9972|10204|10657|54890|55051|55677|55696|57154,CALR|HNRNPA2B1|RAN|RANGAP1|RANBP3|NUP153|NUTF2|KHDRBS1|ALKBH5|NRDE2|IWS1|RBM22|SMURF1,-3.7,MyList
GO Biological Processes,19,GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,19_GO:0008152 metabolic process,-5.7,3.2,5.9,30242,413,500,22,4.4,0.92,811|1050|6400|6613|6872|7184|8078|8454|10075|10393|10952|11011|11146|23411|51343|51377|51548|57092|57154|84447|90025|116224,CALR|CEBPA|SEL1L|SUMO2|TAF1|HSP90B1|USP5|CUL1|HUWE1|ANAPC10|SEC61B|TLK2|GLMN|SIRT1|FZR1|UCHL5|SIRT6|PCNP|SMURF1|SYVN1|UBE3D|PABIR1,-3.7,MyList
GO Biological Processes,19,GO:1904951,positive regulation of establishment of protein localization,19_GO:0048518 positive regulation of biological process,-5.7,3.6,6.1,30242,319,500,19,3.8,0.86,908|2850|3684|3689|4825|5478|5901|6950|7376|8314|10055|10075|10204|10575|10576|10694|23435|55696|55929,CCT6A|GPR27|ITGAM|ITGB2|NKX6-1|PPIA|RAN|TCP1|NR1H2|BAP1|SAE1|HUWE1|NUTF2|CCT4|CCT2|CCT8|TARDBP|RBM22|DMAP1,-3.7,MyList
GO Biological Processes,19,GO:0019827,stem cell population maintenance,19_GO:0032502 developmental process,-5.7,5.5,6.8,30242,131,500,12,2.4,0.68,678|1656|1994|6688|6944|9646|23168|51593|54623|79577|81603|123169,ZFP36L2|DDX6|ELAVL1|SPI1|VPS72|CTR9|RTF1|SRRT|PAF1|CDC73|TRIM8|LEO1,-3.7,MyList
KEGG Pathway,24,ko05202,Transcriptional misregulation in cancer,,-5.7,4.7,6.5,30242,180,500,14,2.8,0.74,1050|1051|2118|2209|2313|3065|3066|3684|4221|6667|6688|7157|9611|25942,CEBPA|CEBPB|ETV4|FCGR1A|FLI1|HDAC1|HDAC2|ITGAM|MEN1|SP1|SPI1|TP53|NCOR1|SIN3A,-3.7,MyList
KEGG Pathway,24,hsa03013,RNA transport,,-5.7,4.7,6.5,30242,180,500,14,2.8,0.74,5901|5905|6396|6613|8086|8890|8891|8893|9470|9972|55706|79897|129401|348995,RAN|RANGAP1|SEC13|SUMO2|AAAS|EIF2B4|EIF2B3|EIF2B5|EIF4E2|NUP153|NDC1|RPP21|NUP35|NUP43,-3.7,MyList
GO Biological Processes,19,GO:0018196,peptidyl-asparagine modification,19_GO:0008152 metabolic process,-5.7,15,9,30242,24,500,6,1.2,0.49,1603|1650|4249|6184|6185|56886,DAD1|DDOST|MGAT5|RPN1|RPN2|UGGT1,-3.7,MyList
GO Biological Processes,19,GO:1901984,negative regulation of protein acetylation,19_GO:0048519 negative regulation of biological process,-5.7,15,9,30242,24,500,6,1.2,0.49,3065|3066|6688|6879|23411|25942,HDAC1|HDAC2|SPI1|TAF7|SIRT1|SIN3A,-3.7,MyList
GO Biological Processes,19,GO:0051123,RNA polymerase II preinitiation complex assembly,19_GO:0008152 metabolic process,-5.7,15,9,30242,24,500,6,1.2,0.49,1385|6872|6878|6879|6882|7157,CREB1|TAF1|TAF6|TAF7|TAF11|TP53,-3.7,MyList
KEGG Pathway,24,hsa04110,Cell cycle,,-5.7,5.5,6.7,30242,132,500,12,2.4,0.68,3065|3066|5591|5933|7157|8454|9184|10393|10459|10735|51343|195828,HDAC1|HDAC2|PRKDC|RBL1|TP53|CUL1|BUB3|ANAPC10|MAD2L2|STAG2|FZR1|ZNF367,-3.7,MyList
GO Biological Processes,19,GO:1990173,protein localization to nucleoplasm,19_GO:0051179 localization,-5.7,22,10,30242,14,500,5,1,0.44,908|6950|10575|10576|10694,CCT6A|TCP1|CCT4|CCT2|CCT8,-3.7,MyList
GO Biological Processes,19,GO:1904814,"regulation of protein localization to chromosome, telomeric region",19_GO:0051179 localization,-5.7,22,10,30242,14,500,5,1,0.44,908|6950|10575|10576|10694,CCT6A|TCP1|CCT4|CCT2|CCT8,-3.7,MyList
GO Biological Processes,19,GO:0001711,endodermal cell fate commitment,19_GO:0032502 developmental process,-5.7,22,10,30242,14,500,5,1,0.44,9646|23168|54623|79577|123169,CTR9|RTF1|PAF1|CDC73|LEO1,-3.7,MyList
CORUM,33,CORUM:2857,NuA4/Tip60 HAT complex,,-5.7,22,10,30242,14,500,5,1,0.44,86|8089|54556|55929|80314,ACTL6A|YEATS4|ING3|DMAP1|EPC1,-3.7,MyList
WikiPathways,27,WP411,mRNA processing,,-5.6,5.5,6.7,30242,133,500,12,2.4,0.68,1477|1479|1665|3181|5496|6421|6626|6829|10181|10898|11129|29894,CSTF1|CSTF3|DHX15|HNRNPA2B1|PPM1G|SFPQ|SNRPA|SUPT5H|RBM5|CPSF4|CLASRP|CPSF1,-3.6,MyList
GO Biological Processes,19,GO:0040008,regulation of growth,19_GO:0040007 growth,-5.6,2.7,5.6,30242,661,500,29,5.8,1,86|1385|1877|3373|3621|3622|4593|4825|5591|6647|7157|8089|8314|8725|9686|10459|11221|22883|23411|25942|29948|51379|54556|54617|55929|57154|79577|80314|116224,ACTL6A|CREB1|E4F1|HYAL1|ING1|ING2|MUSK|NKX6-1|PRKDC|SOD1|TP53|YEATS4|BAP1|URI1|VGLL4|MAD2L2|DUSP10|CLSTN1|SIRT1|SIN3A|OSGIN1|CRLF3|ING3|INO80|DMAP1|SMURF1|CDC73|EPC1|PABIR1,-3.6,MyList
GO Biological Processes,19,GO:0080135,regulation of cellular response to stress,19_GO:0050896 response to stimulus,-5.6,2.6,5.6,30242,663,500,29,5.8,1,2874|3476|3622|4221|5478|5591|5933|6421|6647|6688|7009|7157|7189|7376|7913|8312|9320|9611|10459|10525|10959|11221|23411|29108|51360|51548|84142|84447|138151,GPS2|IGBP1|ING2|MEN1|PPIA|PRKDC|RBL1|SFPQ|SOD1|SPI1|TMBIM6|TP53|TRAF6|NR1H2|DEK|AXIN1|TRIP12|NCOR1|MAD2L2|HYOU1|TMED2|DUSP10|SIRT1|PYCARD|MBTPS2|SIRT6|ABRAXAS1|SYVN1|NACC2,-3.6,MyList
Reactome Gene Sets,6,R-HSA-9679506,SARS-CoV Infections,,-5.6,5,6.5,30242,158,500,13,2.6,0.71,476|1603|1650|3065|3066|4249|6184|6185|9219|25855|53615|57459|79643,ATP1A1|DAD1|DDOST|HDAC1|HDAC2|MGAT5|RPN1|RPN2|MTA2|BRMS1|MBD3|GATAD2B|CHMP6,-3.6,MyList
CORUM,33,CORUM:1200,Oligosaccharyltransferase complex (Stt3B variant),,-5.6,35,12,30242,7,500,4,0.8,0.4,1603|1650|6184|6185,DAD1|DDOST|RPN1|RPN2,-3.6,MyList
KEGG Pathway,24,hsa_M00072,N-glycosylation by oligosaccharyltransferase,,-5.6,35,12,30242,7,500,4,0.8,0.4,1603|1650|6184|6185,DAD1|DDOST|RPN1|RPN2,-3.6,MyList
CORUM,33,CORUM:61,Mi2/NuRD complex,,-5.6,35,12,30242,7,500,4,0.8,0.4,3065|3066|9219|53615,HDAC1|HDAC2|MTA2|MBD3,-3.6,MyList
CORUM,33,CORUM:1505,NCOR2 complex,,-5.6,35,12,30242,7,500,4,0.8,0.4,3065|3066|9611|25942,HDAC1|HDAC2|NCOR1|SIN3A,-3.6,MyList
KEGG Pathway,24,M00072,N-glycosylation by oligosaccharyltransferase,,-5.6,35,12,30242,7,500,4,0.8,0.4,1603|1650|6184|6185,DAD1|DDOST|RPN1|RPN2,-3.6,MyList
GO Biological Processes,19,GO:0098727,maintenance of cell number,19_GO:0032502 developmental process,-5.6,5.4,6.6,30242,134,500,12,2.4,0.68,678|1656|1994|6688|6944|9646|23168|51593|54623|79577|81603|123169,ZFP36L2|DDX6|ELAVL1|SPI1|VPS72|CTR9|RTF1|SRRT|PAF1|CDC73|TRIM8|LEO1,-3.6,MyList
GO Biological Processes,19,GO:0007623,circadian rhythm,19_GO:0048511 rhythmic process,-5.6,4.3,6.3,30242,210,500,15,3,0.76,1385|2673|3065|3066|3397|5591|6421|7157|9611|9967|10075|23411|23435|25942|83759,CREB1|GFPT1|HDAC1|HDAC2|ID1|PRKDC|SFPQ|TP53|NCOR1|THRAP3|HUWE1|SIRT1|TARDBP|SIN3A|RBM4B,-3.6,MyList
Reactome Gene Sets,6,R-HSA-4551638,SUMOylation of chromatin organization proteins,,-5.6,7.7,7.3,30242,71,500,9,1.8,0.59,3065|3066|6396|6613|8086|9972|55706|129401|348995,HDAC1|HDAC2|SEC13|SUMO2|AAAS|NUP153|NDC1|NUP35|NUP43,-3.6,MyList
GO Biological Processes,19,GO:0051170,import into nucleus,19_GO:0051179 localization,-5.6,4.9,6.5,30242,159,500,13,2.6,0.71,1994|3621|5571|5901|6396|7157|9972|10204|10526|23435|55696|55929|129401,ELAVL1|ING1|PRKAG1|RAN|SEC13|TP53|NUP153|NUTF2|IPO8|TARDBP|RBM22|DMAP1|NUP35,-3.6,MyList
WikiPathways,27,WP4521,Glycosylation and related congenital defects,,-5.6,15,8.8,30242,25,500,6,1.2,0.49,1798|5373|29925|79868|199857|440138,DPAGT1|PMM2|GMPPB|ALG13|ALG14|ALG11,-3.6,MyList
WikiPathways,27,WP3584,MECP2 and associated Rett syndrome,,-5.5,7.6,7.2,30242,72,500,9,1.8,0.59,1052|1385|3065|6667|6670|6872|9611|23435|25942,CEBPD|CREB1|HDAC1|SP1|SP3|TAF1|NCOR1|TARDBP|SIN3A,-3.6,MyList
GO Biological Processes,19,GO:1900180,regulation of protein localization to nucleus,19_GO:0051179 localization,-5.5,5.3,6.6,30242,136,500,12,2.4,0.68,908|5901|6950|10204|10575|10576|10694|23435|25942|55696|55929|81603,CCT6A|RAN|TCP1|NUTF2|CCT4|CCT2|CCT8|TARDBP|SIN3A|RBM22|DMAP1|TRIM8,-3.6,MyList
KEGG Pathway,24,ko04120,Ubiquitin mediated proteolysis,,-5.5,5.3,6.5,30242,137,500,12,2.4,0.68,7189|8454|9039|9320|10055|10075|10393|23759|51343|55236|57154|84447,TRAF6|CUL1|UBA3|TRIP12|SAE1|HUWE1|ANAPC10|PPIL2|FZR1|UBA6|SMURF1|SYVN1,-3.5,MyList
CORUM,33,CORUM:798,NuA4/Tip60-HAT complex A,,-5.5,20,9.6,30242,15,500,5,1,0.44,86|8089|54556|55929|80314,ACTL6A|YEATS4|ING3|DMAP1|EPC1,-3.5,MyList
GO Biological Processes,19,GO:1904874,positive regulation of telomerase RNA localization to Cajal body,19_GO:0048518 positive regulation of biological process,-5.5,20,9.6,30242,15,500,5,1,0.44,908|6950|10575|10576|10694,CCT6A|TCP1|CCT4|CCT2|CCT8,-3.5,MyList
CORUM,33,CORUM:528,NuA4/Tip60-HAT complex,,-5.5,20,9.6,30242,15,500,5,1,0.44,86|8089|54556|55929|80314,ACTL6A|YEATS4|ING3|DMAP1|EPC1,-3.5,MyList
Reactome Gene Sets,6,R-HSA-429914,Deadenylation-dependent mRNA decay,,-5.5,8.8,7.5,30242,55,500,8,1.6,0.56,1656|4850|9125|9924|25904|55571|80349|167227,DDX6|CNOT4|CNOT9|PAN2|CNOT10|CNOT11|WDR61|DCP2,-3.5,MyList
GO Biological Processes,19,GO:0031331,positive regulation of cellular catabolic process,19_GO:0048518 positive regulation of biological process,-5.5,3.1,5.7,30242,428,500,22,4.4,0.92,678|1050|6613|6829|6872|8078|8312|9686|9810|9924|23411|23435|26058|51343|51548|55128|55187|57154|81603|116224|124245|167227,ZFP36L2|CEBPA|SUMO2|SUPT5H|TAF1|USP5|AXIN1|VGLL4|RNF40|PAN2|SIRT1|TARDBP|GIGYF2|FZR1|SIRT6|TRIM68|VPS13D|SMURF1|TRIM8|PABIR1|ZC3H18|DCP2,-3.5,MyList
KEGG Pathway,24,hsa04120,Ubiquitin mediated proteolysis,,-5.5,5.3,6.5,30242,138,500,12,2.4,0.68,7189|8454|9039|9320|10055|10075|10393|23759|51343|55236|57154|84447,TRAF6|CUL1|UBA3|TRIP12|SAE1|HUWE1|ANAPC10|PPIL2|FZR1|UBA6|SMURF1|SYVN1,-3.5,MyList
