_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-5.9,R-HSA-4085377,SUMOylation of SUMOylation proteins,M1,1,0
1,-2.3,GO:0045137,development of primary sexual characteristics,M1,1,0
1,-2.1,R-HSA-9024446,NR1H2 and NR1H3-mediated signaling,M1,1,0
1,-3.3,GO:0065004,protein-DNA complex assembly,M1,1,0
1,-5.7,GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,M1,1,0
1,-7.6,R-HSA-6804758,Regulation of TP53 Activity through Acetylation,M1,1,0
1,-4.8,R-HSA-180910,Vpr-mediated nuclear import of PICs,M1,1,0
1,-6.8,CORUM:5195,PTIP-HMT complex,M1,1,0
1,-3.7,R-HSA-5619115,Disorders of transmembrane transporters,M1,1,0
1,-4.7,GO:0006368,transcription elongation from RNA polymerase II promoter,M1,1,0
1,-2.2,GO:0007548,sex differentiation,M1,1,0
1,-9,GO:0016575,histone deacetylation,M1,1,0
1,-4.6,R-HSA-76046,RNA Polymerase III Transcription Initiation,M1,1,0
1,-3.6,R-HSA-194441,Metabolism of non-coding RNA,M1,1,0
1,-3.5,GO:0050778,positive regulation of immune response,M1,1,0
1,-3.6,GO:0009226,nucleotide-sugar biosynthetic process,M1,1,0
1,-7.6,CORUM:1256,MLL-HCF complex,M1,1,0
1,-4.2,R-HSA-9006936,Signaling by TGFB family members,M1,1,0
1,-9.9,GO:0034504,protein localization to nucleus,M1,1,0
1,-2.1,hsa04914,Progesterone-mediated oocyte maturation,M1,1,0
1,-3.8,CORUM:695,SIN3-HDAC-SAP30-ARID4 complex,M1,1,0
1,-6,R-HSA-180746,Nuclear import of Rev protein,M1,1,0
1,-6.9,GO:0010948,negative regulation of cell cycle process,M1,1,0
1,-4.8,CORUM:743,SIN3-SAP25 complex,M1,1,0
1,-6.1,hsa05016,Huntington's disease,M1,1,0
1,-5.6,M00072,N-glycosylation by oligosaccharyltransferase,M1,1,0
1,-4.6,GO:1903362,regulation of cellular protein catabolic process,M1,1,0
1,-3.2,R-HSA-8878171,Transcriptional regulation by RUNX1,M1,1,0
1,-2.8,GO:0042113,B cell activation,M1,1,0
1,-5.3,CORUM:462,TFTC complex (TATA-binding protein-free TAF-II-containing complex),M1,1,0
1,-5.3,R-HSA-379724,tRNA Aminoacylation,M1,1,0
1,-2,GO:0042104,positive regulation of activated T cell proliferation,M1,1,0
1,-2.7,hsa04666,Fc gamma R-mediated phagocytosis,M1,1,0
1,-4.8,CORUM:2856,NuA4/Tip60 HAT complex,M1,1,0
1,-5.4,R-HSA-76066,RNA Polymerase III Transcription Initiation From Type 2 Promoter,M1,1,0
1,-2.2,R-HSA-167246,Tat-mediated elongation of the HIV-1 transcript,M1,1,0
1,-2.8,hsa03020,RNA polymerase,M1,1,0
1,-3.4,WP4320,Effect of progerin on genes involved in Hutchinson-Gilford progeria syndrome,M1,1,0
1,-9.6,R-HSA-167161,HIV Transcription Initiation,M1,1,0
1,-5.1,CORUM:7221,NSL complex,M1,1,0
1,-2.4,hsa05166,HTLV-I infection,M1,1,0
1,-3,GO:0031570,DNA integrity checkpoint signaling,M1,1,0
1,-2.1,GO:2000108,positive regulation of leukocyte apoptotic process,M1,1,0
1,-3.7,WP1982,Sterol regulatory element-binding proteins (SREBP) signaling,M1,1,0
1,-4.8,CORUM:749,MeCP2-SIN3A-HDAC complex,M1,1,0
1,-2.8,GO:0098787,mRNA cleavage involved in mRNA processing,M1,1,0
1,-5.9,GO:0006401,RNA catabolic process,M1,1,0
1,-5.7,GO:1901984,negative regulation of protein acetylation,M1,1,0
1,-2.4,GO:0009129,pyrimidine nucleoside monophosphate metabolic process,M1,1,0
1,-3.2,GO:0030518,intracellular steroid hormone receptor signaling pathway,M1,1,0
1,-4.5,R-HSA-6814122,Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding,M1,1,0
1,-3.1,GO:0032436,positive regulation of proteasomal ubiquitin-dependent protein catabolic process,M1,1,0
1,-5.1,GO:0043039,tRNA aminoacylation,M1,1,0
1,-2.4,GO:0009411,response to UV,M1,1,0
1,-5.7,GO:1904951,positive regulation of establishment of protein localization,M1,1,0
1,-2.5,GO:0046329,negative regulation of JNK cascade,M1,1,0
1,-2.3,WP2374,Oncostatin M signaling pathway,M1,1,0
1,-3.5,GO:1901137,carbohydrate derivative biosynthetic process,M1,1,0
1,-2.2,GO:0006984,ER-nucleus signaling pathway,M1,1,0
1,-8.2,GO:0043043,peptide biosynthetic process,M1,1,0
1,-4.2,GO:0048872,homeostasis of number of cells,M1,1,0
1,-11,GO:0006479,protein methylation,M1,1,0
1,-2.1,GO:1903322,positive regulation of protein modification by small protein conjugation or removal,M1,1,0
1,-2,R-HSA-68875,Mitotic Prophase,M1,1,0
1,-3.2,GO:0002327,immature B cell differentiation,M1,1,0
