_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-2,GO:0032870,cellular response to hormone stimulus,M1,1,0
1,-4.8,CORUM:7291,EIF2B2-EIF2B3-EIF2B4-EIF2B5 complex,M1,1,0
1,-9.6,CORUM:6470,Set1B complex,M1,1,0
1,-3.5,CORUM:7214,CCR4-NOT-CNOT7-CNOT6L complex,M1,1,0
1,-5.6,GO:0080135,regulation of cellular response to stress,M1,1,0
1,-3.7,hsa04919,thyroid hormone signaling pathway,M1,1,0
1,-3.6,GO:1900364,negative regulation of mRNA polyadenylation,M1,1,0
1,-5.8,GO:1903311,regulation of mRNA metabolic process,M1,1,0
1,-8.4,CORUM:6460,MLL2 complex,M1,1,0
1,-6.8,CORUM:6467,MLL4 complex,M1,1,0
1,-3.5,CORUM:7192,CCR4-NOT-CNOT7-CNOT6 complex,M1,1,0
1,-2.1,hsa05203,Viral carcinogenesis,M1,1,0
1,-2.1,WP1541,Energy metabolism,M1,1,0
1,-2.4,GO:0071559,response to transforming growth factor beta,M1,1,0
1,-2.6,M115,PID REG GR PATHWAY,M1,1,0
1,-3.7,GO:1903320,regulation of protein modification by small protein conjugation or removal,M1,1,0
1,-4.1,GO:0043981,histone H4-K5 acetylation,M1,1,0
1,-6.7,GO:0010564,regulation of cell cycle process,M1,1,0
1,-2.4,ko05166,HTLV-I infection,M1,1,0
1,-6.8,CORUM:6461,MLL3 complex,M1,1,0
1,-3,GO:0000423,mitophagy,M1,1,0
1,-5,GO:0042176,regulation of protein catabolic process,M1,1,0
1,-8.7,R-HSA-446203,Asparagine N-linked glycosylation,M1,1,0
1,-3.6,GO:0071897,DNA biosynthetic process,M1,1,0
1,-4.2,M00055,N-glycan precursor biosynthesis,M1,1,0
1,-2.8,R-HSA-159236,Transport of Mature mRNA derived from an Intron-Containing Transcript,M1,1,0
1,-3.6,GO:0006305,DNA alkylation,M1,1,0
1,-2.4,GO:0034644,cellular response to UV,M1,1,0
1,-4.1,R-HSA-9609646,HCMV Infection,M1,1,0
1,-5.7,GO:0051168,nuclear export,M1,1,0
1,-4,GO:2000756,regulation of peptidyl-lysine acetylation,M1,1,0
1,-2.1,R-HSA-611105,Respiratory electron transport,M1,1,0
1,-3.1,GO:0009410,response to xenobiotic stimulus,M1,1,0
1,-4.1,GO:0046465,dolichyl diphosphate metabolic process,M1,1,0
1,-9.4,R-HSA-2990846,SUMOylation,M1,1,0
1,-3.8,GO:0032388,positive regulation of intracellular transport,M1,1,0
1,-2.1,GO:0042110,T cell activation,M1,1,0
1,-5,GO:0000209,protein polyubiquitination,M1,1,0
1,-7.5,CORUM:302,INO80 chromatin remodeling complex,M1,1,0
1,-2.6,hsa00240,Pyrimidine metabolism,M1,1,0
1,-3.1,CORUM:806,BRM-SIN3A-HDAC complex,M1,1,0
1,-2.1,hsa04932,Non-alcoholic fatty liver disease (NAFLD),M1,1,0
1,-3.8,R-HSA-5688426,Deubiquitination,M1,1,0
1,-3.1,GO:0033182,regulation of histone ubiquitination,M1,1,0
1,-2.4,WP4844,Influence of laminopathies on Wnt signaling,M1,1,0
1,-3.5,CORUM:7215,CCR4-NOT-CNOT8-CNOT6 complex,M1,1,0
1,-3.8,GO:0051054,positive regulation of DNA metabolic process,M1,1,0
1,-8.4,CORUM:508,TFIID complex,M1,1,0
1,-2.5,R-HSA-167290,Pausing and recovery of HIV elongation,M1,1,0
1,-2.3,GO:0000413,protein peptidyl-prolyl isomerization,M1,1,0
1,-6.6,GO:0031060,regulation of histone methylation,M1,1,0
1,-2.2,R-HSA-167169,HIV Transcription Elongation,M1,1,0
1,-4.8,GO:0000082,G1/S transition of mitotic cell cycle,M1,1,0
1,-4.4,CORUM:1495,PID complex,M1,1,0
1,-2.8,GO:0009130,pyrimidine nucleoside monophosphate biosynthetic process,M1,1,0
1,-3.2,CORUM:803,BRG1-SIN3A-HDAC containing SWI/SNF remodeling complex I,M1,1,0
1,-2,WP615,Senescence and autophagy in cancer,M1,1,0
1,-8.5,R-HSA-72306,tRNA processing,M1,1,0
1,-16,GO:0006397,mRNA processing,M1,1,0
1,-3.2,GO:1990440,positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress,M1,1,0
1,-4.9,GO:0006490,oligosaccharide-lipid intermediate biosynthetic process,M1,1,0
1,-4.8,CORUM:6845,NIF1-ASH2L-RBBP5-WDR5 complex,M1,1,0
1,-5.7,GO:0051123,RNA polymerase II preinitiation complex assembly,M1,1,0
1,-3.7,R-HSA-983169,Class I MHC mediated antigen processing & presentation,M1,1,0
1,-11,GO:0008213,protein alkylation,M1,1,0
1,-8.1,CORUM:2721,HCF-1 complex,M1,1,0
1,-2.4,GO:0002283,neutrophil activation involved in immune response,M1,1,0
1,-5.4,R-HSA-73894,DNA Repair,M1,1,0
1,-6.9,GO:0045814,"negative regulation of gene expression, epigenetic",M1,1,0
1,-2.2,R-HSA-1445148,Translocation of SLC2A4 (GLUT4) to the plasma membrane,M1,1,0
1,-3.7,GO:0060147,regulation of posttranscriptional gene silencing,M1,1,0
1,-6.1,R-HSA-3214847,HATs acetylate histones,M1,1,0
1,-2,WP4321,Thermogenesis,M1,1,0
1,-5.3,CORUM:739,SIN3-ING1b complex II,M1,1,0
1,-2.6,GO:0001829,trophectodermal cell differentiation,M1,1,0
1,-2.2,GO:0030521,androgen receptor signaling pathway,M1,1,0
1,-4,R-HSA-449147,Signaling by Interleukins,M1,1,0
1,-2.9,GO:0019083,viral transcription,M1,1,0
1,-6.5,GO:1904851,positive regulation of establishment of protein localization to telomere,M1,1,0
1,-9.7,GO:0006403,RNA localization,M1,1,0
1,-6,ko03013,RNA transport,M1,1,0
1,-9.8,GO:0043543,protein acylation,M1,1,0
1,-2.8,GO:1902532,negative regulation of intracellular signal transduction,M1,1,0
1,-9.6,CORUM:485,"TFIID complex, B-cell specific",M1,1,0
1,-4.2,WP405,Eukaryotic transcription initiation,M1,1,0
1,-8.3,hsa03022,Basal transcription factors,M1,1,0
1,-5.6,CORUM:1200,Oligosaccharyltransferase complex (Stt3B variant),M1,1,0
1,-2.9,R-HSA-70171,Glycolysis,M1,1,0
1,-2.8,GO:0006278,RNA-dependent DNA biosynthetic process,M1,1,0
1,-2.1,R-HSA-427413,NoRC negatively regulates rRNA expression,M1,1,0
1,-4.9,R-HSA-389958,Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding,M1,1,0
1,-3,GO:0000375,"RNA splicing, via transesterification reactions",M1,1,0
1,-2.6,GO:0051973,positive regulation of telomerase activity,M1,1,0
1,-9.6,R-HSA-76042,RNA Polymerase II Transcription Initiation And Promoter Clearance,M1,1,0
1,-3.8,GO:0051569,regulation of histone H3-K4 methylation,M1,1,0
1,-4.1,GO:0046824,positive regulation of nucleocytoplasmic transport,M1,1,0
1,-3.6,R-HSA-9725371,Nuclear events stimulated by ALK signaling in cancer,M1,1,0
1,-3.3,R-HSA-8986944,Transcriptional Regulation by MECP2,M1,1,0
1,-2.1,GO:0007283,spermatogenesis,M1,1,0
1,-3,GO:0045088,regulation of innate immune response,M1,1,0
1,-2.4,ko04213,Longevity regulating pathway - multiple species,M1,1,0
1,-11,GO:0043967,histone H4 acetylation,M1,1,0
1,-2.8,GO:0032872,regulation of stress-activated MAPK cascade,M1,1,0
1,-4.3,R-HSA-749476,RNA Polymerase III Abortive And Retractive Initiation,M1,1,0
1,-3.8,R-HSA-2173796,SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription,M1,1,0
1,-3.6,GO:0071396,cellular response to lipid,M1,1,0
1,-3.3,GO:1902750,negative regulation of cell cycle G2/M phase transition,M1,1,0
1,-3.5,GO:0006346,DNA methylation-dependent heterochromatin assembly,M1,1,0
1,-3.6,CORUM:787,NuA4/Tip60-HAT complex B,M1,1,0
1,-5.5,ko04120,Ubiquitin mediated proteolysis,M1,1,0
1,-2.4,R-HSA-9018519,Estrogen-dependent gene expression,M1,1,0
1,-3.8,R-HSA-3781860,Diseases associated with N-glycosylation of proteins,M1,1,0
1,-2.1,ko00520,Amino sugar and nucleotide sugar metabolism,M1,1,0
1,-2.1,GO:0035036,sperm-egg recognition,M1,1,0
1,-4.4,GO:0045732,positive regulation of protein catabolic process,M1,1,0
1,-4.3,GO:0019439,aromatic compound catabolic process,M1,1,0
1,-2.7,M151,PID AR TF PATHWAY,M1,1,0
1,-2.5,GO:0006333,chromatin assembly or disassembly,M1,1,0
1,-3.7,WP4533,Transcription co-factors SKI and SKIL protein partners,M1,1,0
1,-3.1,M106,PID HNF3B PATHWAY,M1,1,0
1,-4.6,R-HSA-176033,Interactions of Vpr with host cellular proteins,M1,1,0
1,-2.8,GO:0043392,negative regulation of DNA binding,M1,1,0
1,-2.5,GO:0071318,cellular response to ATP,M1,1,0
1,-4.1,GO:0061136,regulation of proteasomal protein catabolic process,M1,1,0
1,-6.2,GO:0071824,protein-DNA complex subunit organization,M1,1,0
1,-6,CORUM:1199,Oligosaccharyltransferase complex (Stt3A variant),M1,1,0
1,-2.6,R-HSA-2894862,Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants,M1,1,0
1,-2.3,GO:0043486,histone exchange,M1,1,0
1,-3.8,CORUM:650,HDAC2-asscociated core complex,M1,1,0
1,-4.5,R-HSA-9700206,Signaling by ALK in cancer,M1,1,0
1,-2.1,GO:0048285,organelle fission,M1,1,0
1,-7.2,CORUM:126,CCT complex (chaperonin containing TCP1 complex),M1,1,0
1,-6.1,GO:0070202,regulation of establishment of protein localization to chromosome,M1,1,0
1,-17,GO:0016071,mRNA metabolic process,M1,1,0
1,-3.9,GO:0043618,regulation of transcription from RNA polymerase II promoter in response to stress,M1,1,0
1,-5.5,R-HSA-429914,Deadenylation-dependent mRNA decay,M1,1,0
1,-5.2,GO:0034655,nucleobase-containing compound catabolic process,M1,1,0
1,-3.2,M140,PID RANBP2 PATHWAY,M1,1,0
1,-2.2,GO:0035264,multicellular organism growth,M1,1,0
1,-3.2,R-HSA-9679191,Potential therapeutics for SARS,M1,1,0
1,-6.6,GO:0043632,modification-dependent macromolecule catabolic process,M1,1,0
1,-2.4,ko05168,Herpes simplex infection,M1,1,0
1,-5.2,WP179,Cell cycle,M1,1,0
1,-3.9,GO:0071407,cellular response to organic cyclic compound,M1,1,0
1,-5.6,GO:0098727,maintenance of cell number,M1,1,0
1,-4,GO:0000086,G2/M transition of mitotic cell cycle,M1,1,0
1,-9.5,GO:0051169,nuclear transport,M1,1,0
1,-6.3,GO:0045637,regulation of myeloid cell differentiation,M1,1,0
1,-2.4,GO:2001020,regulation of response to DNA damage stimulus,M1,1,0
1,-2,GO:0032786,"positive regulation of DNA-templated transcription, elongation",M1,1,0
1,-2.9,GO:1902253,regulation of intrinsic apoptotic signaling pathway by p53 class mediator,M1,1,0
1,-2.5,WP2446,Retinoblastoma gene in cancer,M1,1,0
1,-6,CORUM:2731,Set1A complex,M1,1,0
1,-3.9,WP138,Androgen receptor signaling pathway,M1,1,0
1,-3.5,CORUM:781,URI complex (Unconventional prefoldin RPB5 Interactor),M1,1,0
1,-5,R-HSA-170822,Regulation of Glucokinase by Glucokinase Regulatory Protein,M1,1,0
1,-4.4,GO:0043009,chordate embryonic development,M1,1,0
1,-3.1,GO:0006304,DNA modification,M1,1,0
1,-3,GO:0090344,negative regulation of cell aging,M1,1,0
1,-2.4,GO:1900363,regulation of mRNA polyadenylation,M1,1,0
1,-5,R-HSA-168271,Transport of Ribonucleoproteins into the Host Nucleus,M1,1,0
1,-2.9,R-HSA-381038,XBP1(S) activates chaperone genes,M1,1,0
1,-2.5,R-HSA-5609975,Diseases associated with glycosylation precursor biosynthesis,M1,1,0
1,-5.6,hsa_M00072,N-glycosylation by oligosaccharyltransferase,M1,1,0
1,-3.7,GO:0032873,negative regulation of stress-activated MAPK cascade,M1,1,0
1,-3.3,GO:0006997,nucleus organization,M1,1,0
1,-7.4,R-HSA-6804756,Regulation of TP53 Activity through Phosphorylation,M1,1,0
1,-2.3,GO:2000773,negative regulation of cellular senescence,M1,1,0
1,-4.1,GO:0006489,dolichyl diphosphate biosynthetic process,M1,1,0
1,-4.9,GO:0070828,heterochromatin organization,M1,1,0
1,-3.7,WP4149,White fat cell differentiation,M1,1,0
1,-2,R-HSA-201556,Signaling by ALK,M1,1,0
1,-5.5,CORUM:798,NuA4/Tip60-HAT complex A,M1,1,0
1,-5.3,CORUM:720,PU.1-SIN3A-HDAC complex,M1,1,0
1,-4.8,CORUM:3044,SKI-NCOR1-SIN3A-HDAC1 complex,M1,1,0
1,-3.3,R-HSA-9006931,Signaling by Nuclear Receptors,M1,1,0
1,-3.3,GO:0045598,regulation of fat cell differentiation,M1,1,0
1,-2.1,GO:0034063,stress granule assembly,M1,1,0
1,-5.9,M195,PID CMYB PATHWAY,M1,1,0
1,-7.1,R-HSA-379716,Cytosolic tRNA aminoacylation,M1,1,0
1,-4.4,R-HSA-390471,Association of TriC/CCT with target proteins during biosynthesis,M1,1,0
1,-3.2,WP4022,Pyrimidine metabolism,M1,1,0
1,-2.5,GO:0001825,blastocyst formation,M1,1,0
1,-2.8,hsa05169,Epstein-Barr virus infection,M1,1,0
1,-6.3,GO:0090671,telomerase RNA localization to Cajal body,M1,1,0
1,-3.2,GO:0043487,regulation of RNA stability,M1,1,0
1,-3.4,GO:0001824,blastocyst development,M1,1,0
1,-2.7,GO:0070302,regulation of stress-activated protein kinase signaling cascade,M1,1,0
1,-9.6,R-HSA-72163,mRNA Splicing - Major Pathway,M1,1,0
1,-3.4,GO:0044403,biological process involved in symbiotic interaction,M1,1,0
1,-2.9,GO:0010001,glial cell differentiation,M1,1,0
1,-3.6,R-HSA-5358493,Synthesis of diphthamide-EEF2,M1,1,0
1,-2.3,R-HSA-168898,Toll-like Receptor Cascades,M1,1,0
1,-3.3,GO:0006405,RNA export from nucleus,M1,1,0
1,-3.2,R-HSA-5628897,TP53 Regulates Metabolic Genes,M1,1,0
1,-3.6,GO:2001243,negative regulation of intrinsic apoptotic signaling pathway,M1,1,0
1,-5.8,R-HSA-5578749,Transcriptional regulation by small RNAs,M1,1,0
1,-6.1,GO:0033523,histone H2B ubiquitination,M1,1,0
1,-3.8,GO:0034502,protein localization to chromosome,M1,1,0
1,-2.6,R-HSA-2644603,Signaling by NOTCH1 in Cancer,M1,1,0
1,-2.9,GO:0032200,telomere organization,M1,1,0
1,-6.3,GO:1904869,regulation of protein localization to Cajal body,M1,1,0
1,-5.7,GO:0019827,stem cell population maintenance,M1,1,0
1,-3.7,GO:0044839,cell cycle G2/M phase transition,M1,1,0
1,-3.8,CORUM:49,DNMT3B complex,M1,1,0
1,-5.8,GO:0046822,regulation of nucleocytoplasmic transport,M1,1,0
1,-9.3,R-HSA-2262752,Cellular responses to stress,M1,1,0
1,-3,GO:0010389,regulation of G2/M transition of mitotic cell cycle,M1,1,0
1,-4.5,R-HSA-3232142,SUMOylation of ubiquitinylation proteins,M1,1,0
1,-4.2,CORUM:1155,Integrator-RNAPII complex,M1,1,0
1,-4.3,R-HSA-389960,Formation of tubulin folding intermediates by CCT/TriC,M1,1,0
1,-3.8,WP2853,Endoderm differentiation,M1,1,0
1,-5.4,GO:0043984,histone H4-K16 acetylation,M1,1,0
1,-2.5,GO:0002446,neutrophil mediated immunity,M1,1,0
1,-2.6,CORUM:642,CtBP complex,M1,1,0
1,-6.8,CORUM:659,MeCP1 complex,M1,1,0
1,-4.4,ko03018,RNA degradation,M1,1,0
1,-4.8,CORUM:6373,MiDAC complex,M1,1,0
1,-2.8,GO:0060148,positive regulation of posttranscriptional gene silencing,M1,1,0
1,-2,GO:0006469,negative regulation of protein kinase activity,M1,1,0
1,-4,GO:0035987,endodermal cell differentiation,M1,1,0
1,-5.3,GO:0015931,nucleobase-containing compound transport,M1,1,0
1,-3.1,GO:2000573,positive regulation of DNA biosynthetic process,M1,1,0
1,-16,R-HSA-162599,Late Phase of HIV Life Cycle,M1,1,0
1,-4.2,GO:1904356,regulation of telomere maintenance via telomere lengthening,M1,1,0
1,-2.9,R-HSA-69278,"Cell Cycle, Mitotic",M1,1,0
1,-2.8,GO:0034101,erythrocyte homeostasis,M1,1,0
1,-9,GO:0031123,RNA 3'-end processing,M1,1,0
1,-2.8,GO:0006999,nuclear pore organization,M1,1,0
1,-2,GO:0140014,mitotic nuclear division,M1,1,0
1,-9.2,GO:0006974,cellular response to DNA damage stimulus,M1,1,0
1,-3.7,R-HSA-5617472,Activation of anterior HOX genes in hindbrain development during early embryogenesis,M1,1,0
1,-5.1,GO:0006281,DNA repair,M1,1,0
1,-5.3,CORUM:62,MeCP1 complex,M1,1,0
1,-4.7,GO:0009303,rRNA transcription,M1,1,0
1,-5.3,CORUM:591,SAP complex (Sin3-associated protein complex),M1,1,0
1,-7.4,GO:0031647,regulation of protein stability,M1,1,0
1,-8.6,GO:0006412,translation,M1,1,0
1,-8.3,GO:0006352,"DNA-templated transcription, initiation",M1,1,0
1,-5.7,GO:1904814,"regulation of protein localization to chromosome, telomeric region",M1,1,0
1,-3.1,hsa04260,Cardiac muscle contraction,M1,1,0
1,-3,GO:1902914,regulation of protein polyubiquitination,M1,1,0
1,-3,R-HSA-73762,RNA Polymerase I Transcription Initiation,M1,1,0
1,-2.9,GO:0045596,negative regulation of cell differentiation,M1,1,0
1,-4.7,R-HSA-159227,Transport of the SLBP independent Mature mRNA,M1,1,0
1,-10,CORUM:484,TFIID complex,M1,1,0
1,-2.7,GO:0032496,response to lipopolysaccharide,M1,1,0
1,-2.9,GO:1990845,adaptive thermogenesis,M1,1,0
1,-2.2,GO:0060967,negative regulation of gene silencing by RNA,M1,1,0
1,-4.5,GO:0006486,protein glycosylation,M1,1,0
1,-3.7,R-HSA-391251,Protein folding,M1,1,0
1,-6.3,R-HSA-77595,Processing of Intronless Pre-mRNAs,M1,1,0
1,-4.9,R-HSA-6791312,TP53 Regulates Transcription of Cell Cycle Genes,M1,1,0
1,-2.1,GO:0000280,nuclear division,M1,1,0
1,-4.2,GO:0090239,regulation of histone H4 acetylation,M1,1,0
1,-3.5,CORUM:646,HDAC1-associated protein complex,M1,1,0
1,-2.8,R-HSA-381070,IRE1alpha activates chaperones,M1,1,0
1,-8.1,GO:1901991,negative regulation of mitotic cell cycle phase transition,M1,1,0
1,-15,R-HSA-162587,HIV Life Cycle,M1,1,0
1,-4.4,R-HSA-447115,Interleukin-12 family signaling,M1,1,0
1,-2.1,GO:0010875,positive regulation of cholesterol efflux,M1,1,0
1,-4.5,R-HSA-8936459,RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function,M1,1,0
1,-3.5,CORUM:7216,CCR4-NOT-CNOT8-CNOT6L complex,M1,1,0
1,-5.7,GO:1990173,protein localization to nucleoplasm,M1,1,0
1,-3.8,hsa00970,Aminoacyl-tRNA biosynthesis,M1,1,0
1,-2.1,GO:0090312,positive regulation of protein deacetylation,M1,1,0
1,-2.4,GO:2000678,negative regulation of transcription regulatory region DNA binding,M1,1,0
1,-5,R-HSA-5619107,Defective TPR may confer susceptibility towards thyroid papillary carcinoma (TPC),M1,1,0
1,-2.4,GO:0098780,response to mitochondrial depolarisation,M1,1,0
1,-2.6,hsa05133,Pertussis,M1,1,0
1,-2.3,GO:0045687,positive regulation of glial cell differentiation,M1,1,0
1,-3,R-HSA-1592230,Mitochondrial biogenesis,M1,1,0
1,-3,GO:0007369,gastrulation,M1,1,0
1,-2.8,GO:0033143,regulation of intracellular steroid hormone receptor signaling pathway,M1,1,0
1,-3,GO:0030218,erythrocyte differentiation,M1,1,0
1,-2.2,GO:0060149,negative regulation of posttranscriptional gene silencing,M1,1,0
1,-8.9,R-HSA-159234,Transport of Mature mRNAs Derived from Intronless Transcripts,M1,1,0
1,-3.2,GO:0009314,response to radiation,M1,1,0
1,-9.6,R-HSA-73779,RNA Polymerase II Transcription Pre-Initiation And Promoter Opening,M1,1,0
1,-3.4,R-HSA-72187,mRNA 3'-end processing,M1,1,0
1,-6.3,GO:0045930,negative regulation of mitotic cell cycle,M1,1,0
1,-3.5,GO:2001233,regulation of apoptotic signaling pathway,M1,1,0
1,-2.1,GO:0036503,ERAD pathway,M1,1,0
1,-3.9,R-HSA-1852241,Organelle biogenesis and maintenance,M1,1,0
1,-2.3,GO:0031061,negative regulation of histone methylation,M1,1,0
1,-8.3,R-HSA-75955,RNA Polymerase II Transcription Elongation,M1,1,0
1,-4.8,GO:0070085,glycosylation,M1,1,0
1,-6.5,WP366,TGF-beta signaling pathway,M1,1,0
1,-10,M101,PID HDAC CLASSI PATHWAY,M1,1,0
1,-3.8,GO:1903313,positive regulation of mRNA metabolic process,M1,1,0
1,-4,R-HSA-2173793,Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer,M1,1,0
1,-3.1,GO:0006413,translational initiation,M1,1,0
1,-2.5,GO:0034612,response to tumor necrosis factor,M1,1,0
1,-2.5,WP3527,Pre-implantation embryo,M1,1,0
1,-4.7,GO:0006354,"DNA-templated transcription, elongation",M1,1,0
1,-3.2,GO:0071383,cellular response to steroid hormone stimulus,M1,1,0
1,-4.8,R-HSA-9022692,Regulation of MECP2 expression and activity,M1,1,0
1,-3.8,GO:0042797,tRNA transcription by RNA polymerase III,M1,1,0
1,-3,GO:0000398,"mRNA splicing, via spliceosome",M1,1,0
1,-4.7,R-HSA-3301854,Nuclear Pore Complex (NPC) Disassembly,M1,1,0
1,-3.9,GO:0030183,B cell differentiation,M1,1,0
1,-8.8,CORUM:3009,TFIID complex,M1,1,0
1,-3.8,R-HSA-400206,Regulation of lipid metabolism by PPARalpha,M1,1,0
1,-3.4,GO:2001244,positive regulation of intrinsic apoptotic signaling pathway,M1,1,0
1,-5.6,GO:0040008,regulation of growth,M1,1,0
1,-3.4,GO:1903115,regulation of actin filament-based movement,M1,1,0
1,-4.1,GO:0007569,cell aging,M1,1,0
1,-2.7,WP107,Translation factors,M1,1,0
1,-4.1,GO:2000060,positive regulation of ubiquitin-dependent protein catabolic process,M1,1,0
1,-2.7,GO:0042326,negative regulation of phosphorylation,M1,1,0
1,-5.5,GO:0031331,positive regulation of cellular catabolic process,M1,1,0
1,-2.8,CORUM:6442,"Cytochrome c oxidase, mitochondrial",M1,1,0
1,-8.5,GO:0006378,mRNA polyadenylation,M1,1,0
1,-4.8,GO:2000278,regulation of DNA biosynthetic process,M1,1,0
1,-3.5,GO:0009100,glycoprotein metabolic process,M1,1,0
1,-2,R-HSA-77075,RNA Pol II CTD phosphorylation and interaction with CE,M1,1,0
1,-14,GO:0043414,macromolecule methylation,M1,1,0
1,-4.5,R-HSA-170834,Signaling by TGF-beta Receptor Complex,M1,1,0
1,-2.9,GO:0106074,aminoacyl-tRNA metabolism involved in translational fidelity,M1,1,0
1,-8.2,ko00510,N-Glycan biosynthesis,M1,1,0
1,-2.7,GO:0070918,production of small RNA involved in gene silencing by RNA,M1,1,0
1,-3.5,WP3414,Initiation of transcription and translation elongation at the HIV-1 LTR,M1,1,0
1,-2.7,GO:0031050,dsRNA processing,M1,1,0
1,-11,R-HSA-6807505,RNA polymerase II transcribes snRNA genes,M1,1,0
1,-2.2,R-HSA-203927,MicroRNA (miRNA) biogenesis,M1,1,0
1,-5.9,R-HSA-1280215,Cytokine Signaling in Immune system,M1,1,0
1,-2.8,CORUM:713,BRG1-SIN3A complex,M1,1,0
1,-3.4,WP3599,Transcription factor regulation in adipogenesis,M1,1,0
1,-3.1,GO:0045638,negative regulation of myeloid cell differentiation,M1,1,0
1,-2.2,M285,PID HNF3A PATHWAY,M1,1,0
1,-2.5,GO:0051101,regulation of DNA binding,M1,1,0
1,-7.2,GO:0006367,transcription initiation from RNA polymerase II promoter,M1,1,0
1,-4.5,GO:1904358,positive regulation of telomere maintenance via telomere lengthening,M1,1,0
1,-5.6,GO:0007623,circadian rhythm,M1,1,0
1,-4.2,R-HSA-9005891,Loss of function of MECP2 in Rett syndrome,M1,1,0
1,-2.4,GO:0045670,regulation of osteoclast differentiation,M1,1,0
1,-7.7,hsa00510,N-Glycan biosynthesis,M1,1,0
1,-16,GO:0006325,chromatin organization,M1,1,0
1,-3.6,GO:0032210,regulation of telomere maintenance via telomerase,M1,1,0
1,-6.1,GO:0051236,establishment of RNA localization,M1,1,0
1,-4.4,R-HSA-429947,Deadenylation of mRNA,M1,1,0
1,-4.4,GO:0006611,protein export from nucleus,M1,1,0
1,-2.1,R-HSA-6807070,PTEN Regulation,M1,1,0
1,-4.9,GO:0016574,histone ubiquitination,M1,1,0
1,-6.4,GO:0031058,positive regulation of histone modification,M1,1,0
1,-2.4,hsa05168,Herpes simplex infection,M1,1,0
1,-9.6,CORUM:509,TFIID complex,M1,1,0
1,-4,ko00970,Aminoacyl-tRNA biosynthesis,M1,1,0
1,-6,GO:0009896,positive regulation of catabolic process,M1,1,0
1,-3.7,R-HSA-5619507,Activation of HOX genes during differentiation,M1,1,0
1,-3.3,R-HSA-5696399,Global Genome Nucleotide Excision Repair (GG-NER),M1,1,0
1,-2.4,GO:2001234,negative regulation of apoptotic signaling pathway,M1,1,0
1,-3.3,R-HSA-9701898,STAT3 nuclear events downstream of ALK signaling,M1,1,0
1,-2.9,GO:0045646,regulation of erythrocyte differentiation,M1,1,0
1,-5.3,GO:0009304,tRNA transcription,M1,1,0
1,-5.1,M2,PID SMAD2 3NUCLEAR PATHWAY,M1,1,0
1,-2.8,GO:0033157,regulation of intracellular protein transport,M1,1,0
1,-5.6,CORUM:61,Mi2/NuRD complex,M1,1,0
1,-3.5,GO:0098781,ncRNA transcription,M1,1,0
1,-4.1,GO:0043982,histone H4-K8 acetylation,M1,1,0
1,-2.2,GO:0050851,antigen receptor-mediated signaling pathway,M1,1,0
1,-2.5,GO:0042306,regulation of protein import into nucleus,M1,1,0
1,-7.9,GO:0072594,establishment of protein localization to organelle,M1,1,0
1,-2.3,M105,PID TELOMERASE PATHWAY,M1,1,0
1,-4.1,GO:1903052,positive regulation of proteolysis involved in cellular protein catabolic process,M1,1,0
1,-3.4,R-HSA-5250913,Positive epigenetic regulation of rRNA expression,M1,1,0
1,-4.8,GO:0032386,regulation of intracellular transport,M1,1,0
1,-4.3,GO:0032204,regulation of telomere maintenance,M1,1,0
1,-3.6,R-HSA-2995410,Nuclear Envelope (NE) Reassembly,M1,1,0
1,-2.2,GO:0071354,cellular response to interleukin-6,M1,1,0
1,-3.4,GO:0033144,negative regulation of intracellular steroid hormone receptor signaling pathway,M1,1,0
1,-2.5,GO:0000077,DNA damage checkpoint signaling,M1,1,0
1,-3.4,GO:0030162,regulation of proteolysis,M1,1,0
1,-3.3,GO:0034660,ncRNA metabolic process,M1,1,0
1,-3.7,GO:0031396,regulation of protein ubiquitination,M1,1,0
1,-5.3,CORUM:455,TFTC complex (TATA-binding protein-free TAF-II-containing complex),M1,1,0
1,-5.3,R-HSA-3108214,SUMOylation of DNA damage response and repair proteins,M1,1,0
1,-6.1,R-HSA-8852135,Protein ubiquitination,M1,1,0
1,-6.2,GO:2000757,negative regulation of peptidyl-lysine acetylation,M1,1,0
1,-3.4,R-HSA-9609690,HCMV Early Events,M1,1,0
1,-3.2,GO:0031442,positive regulation of mRNA 3'-end processing,M1,1,0
1,-2.4,M200,PID ERA GENOMIC PATHWAY,M1,1,0
1,-3.5,GO:0031441,negative regulation of mRNA 3'-end processing,M1,1,0
1,-7.1,CORUM:6849,"WRAD  complex (WDR5, RBBP5, ASH2L, DPY30)",M1,1,0
1,-4.1,GO:0032434,regulation of proteasomal ubiquitin-dependent protein catabolic process,M1,1,0
1,-3.7,GO:0070303,negative regulation of stress-activated protein kinase signaling cascade,M1,1,0
1,-4.9,M279,PID RB 1PATHWAY,M1,1,0
1,-6.8,hsa04141,Protein processing in endoplasmic reticulum,M1,1,0
