_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-25.947911198829196,GO:0016570,M1,1,0,GO Biological Processes,19,histone modification,19_GO:0008152 metabolic process,-25.947911198829196,6.605319057815845,15.82817651073095,30242,467,500,51,10.2,1.3534843922262274,86|3054|3065|3066|3622|4221|5252|5929|6421|6688|6872|6879|7157|8089|8314|9070|9219|9320|9646|9810|10075|10322|11091|23067|23168|23411|23774|25855|25942|30827|51548|51564|53615|54556|54623|54934|55677|55683|55758|55809|55904|55929|63976|64324|79577|80314|80349|84332|84661|123169|339287,ACTL6A|HCFC1|HDAC1|HDAC2|ING2|MEN1|PHF1|RBBP5|SFPQ|SPI1|TAF1|TAF7|TP53|YEATS4|BAP1|ASH2L|MTA2|TRIP12|CTR9|RNF40|HUWE1|SMYD5|WDR5|SETD1B|RTF1|SIRT1|BRD1|BRMS1|SIN3A|CXXC1|SIRT6|HDAC7|MBD3|ING3|PAF1|KANSL2|IWS1|KANSL3|RCOR3|TRERF1|KMT2E|DMAP1|PRDM16|NSD1|CDC73|EPC1|WDR61|DYDC2|DPY30|LEO1|MSL1,-21.587014982754276,0,1,1,1,-25.947911198829196,26.881777777777778,
1,-18.075234071330087,GO:0018205,M1,1,0,GO Biological Processes,19,peptidyl-lysine modification,19_GO:0008152 metabolic process,-18.075234071330087,6.048399999999999,12.840564077558867,30242,380,500,38,7.6,1.1851075900524812,86|3054|3065|3066|4221|5252|5929|6613|6688|6872|6879|8089|9070|9646|10055|10322|11091|23067|23168|23411|23774|25942|30827|51564|53615|54556|54934|55677|55683|55904|55929|63976|64324|80314|80349|84332|84661|339287,ACTL6A|HCFC1|HDAC1|HDAC2|MEN1|PHF1|RBBP5|SUMO2|SPI1|TAF1|TAF7|YEATS4|ASH2L|CTR9|SAE1|SMYD5|WDR5|SETD1B|RTF1|SIRT1|BRD1|SIN3A|CXXC1|HDAC7|MBD3|ING3|KANSL2|IWS1|KANSL3|KMT2E|DMAP1|PRDM16|NSD1|EPC1|WDR61|DYDC2|DPY30|MSL1,-14.015367850919148,0,1,0,0,-25.947911198829196,26.881777777777778,
1,-15.445628968929674,R-HSA-3247509,M1,1,0,Reactome Gene Sets,6,Chromatin modifying enzymes,,-15.445628968929674,6.622335766423357,12.121634121581424,30242,274,500,30,6.0,1.06207344378814,86|1788|2874|3015|3054|3065|3066|5929|6944|8089|9070|9219|9611|11091|23067|23774|25855|53615|54556|54934|55683|55904|55929|57459|63976|64324|79595|80314|84661|339287,ACTL6A|DNMT3A|GPS2|H2AZ1|HCFC1|HDAC1|HDAC2|RBBP5|VPS72|YEATS4|ASH2L|MTA2|NCOR1|WDR5|SETD1B|BRD1|BRMS1|MBD3|ING3|KANSL2|KANSL3|KMT2E|DMAP1|GATAD2B|PRDM16|NSD1|SAP130|EPC1|DPY30|MSL1,-12.038975262294077,0,1,0,0,-25.947911198829196,26.881777777777778,
1,-15.445628968929674,R-HSA-4839726,M1,1,0,Reactome Gene Sets,6,Chromatin organization,,-15.445628968929674,6.622335766423357,12.121634121581424,30242,274,500,30,6.0,1.06207344378814,86|1788|2874|3015|3054|3065|3066|5929|6944|8089|9070|9219|9611|11091|23067|23774|25855|53615|54556|54934|55683|55904|55929|57459|63976|64324|79595|80314|84661|339287,ACTL6A|DNMT3A|GPS2|H2AZ1|HCFC1|HDAC1|HDAC2|RBBP5|VPS72|YEATS4|ASH2L|MTA2|NCOR1|WDR5|SETD1B|BRD1|BRMS1|MBD3|ING3|KANSL2|KANSL3|KMT2E|DMAP1|GATAD2B|PRDM16|NSD1|SAP130|EPC1|DPY30|MSL1,-12.038975262294077,0,1,0,0,-25.947911198829196,26.881777777777778,
1,-11.378468074608906,GO:0043967,M1,1,0,GO Biological Processes,19,histone H4 acetylation,19_GO:0008152 metabolic process,-11.378468074608906,12.63844776119403,12.365361436117736,30242,67,500,14,2.8,0.737780455149091,86|3054|6688|6879|8089|11091|23411|54556|54934|55677|55683|55929|80314|339287,ACTL6A|HCFC1|SPI1|TAF7|YEATS4|WDR5|SIRT1|ING3|KANSL2|IWS1|KANSL3|DMAP1|EPC1|MSL1,-8.39778310024559,0,1,0,0,-25.947911198829196,26.881777777777778,
1,-10.977525497341848,GO:0018394,M1,1,0,GO Biological Processes,19,peptidyl-lysine acetylation,19_GO:0008152 metabolic process,-10.977525497341848,7.033023255813954,10.287989218087109,30242,172,500,20,4.0,0.8763560920082658,86|3054|3065|3066|6688|6872|6879|8089|11091|23411|23774|25942|53615|54556|54934|55677|55683|55929|80314|339287,ACTL6A|HCFC1|HDAC1|HDAC2|SPI1|TAF1|TAF7|YEATS4|WDR5|SIRT1|BRD1|SIN3A|MBD3|ING3|KANSL2|IWS1|KANSL3|DMAP1|EPC1|MSL1,-8.047993045425914,0,1,0,0,-25.947911198829196,26.881777777777778,
1,-10.557995118873388,GO:0006473,M1,1,0,GO Biological Processes,19,protein acetylation,19_GO:0008152 metabolic process,-10.557995118873388,6.287940594059406,9.777105010161039,30242,202,500,21,4.2,0.8970618707759236,86|3054|3065|3066|6688|6872|6879|8089|11091|23411|23774|25942|53615|54556|54934|55677|55683|55929|80018|80314|339287,ACTL6A|HCFC1|HDAC1|HDAC2|SPI1|TAF1|TAF7|YEATS4|WDR5|SIRT1|BRD1|SIN3A|MBD3|ING3|KANSL2|IWS1|KANSL3|DMAP1|NAA25|EPC1|MSL1,-7.702248881118373,0,1,0,0,-25.947911198829196,26.881777777777778,
1,-9.93286178434068,GO:0016573,M1,1,0,GO Biological Processes,19,histone acetylation,19_GO:0008152 metabolic process,-9.93286178434068,7.023948387096776,9.748900544795635,30242,155,500,18,3.6,0.8331146379700696,86|3054|6688|6872|6879|8089|11091|23411|23774|25942|53615|54556|54934|55677|55683|55929|80314|339287,ACTL6A|HCFC1|SPI1|TAF1|TAF7|YEATS4|WDR5|SIRT1|BRD1|SIN3A|MBD3|ING3|KANSL2|IWS1|KANSL3|DMAP1|EPC1|MSL1,-7.140167292332754,0,1,0,0,-25.947911198829196,26.881777777777778,
1,-9.818113085349555,GO:0043543,M1,1,0,GO Biological Processes,19,protein acylation,19_GO:0008152 metabolic process,-9.818113085349555,5.4534754098360665,9.056195996579014,30242,244,500,22,4.4,0.9172131704244113,86|3054|3065|3066|6688|6872|6879|8089|11091|23411|23774|25942|53615|54503|54556|54934|55677|55683|55929|80018|80314|339287,ACTL6A|HCFC1|HDAC1|HDAC2|SPI1|TAF1|TAF7|YEATS4|WDR5|SIRT1|BRD1|SIN3A|MBD3|ZDHHC13|ING3|KANSL2|IWS1|KANSL3|DMAP1|NAA25|EPC1|MSL1,-7.048281476301134,0,1,0,0,-25.947911198829196,26.881777777777778,
1,-9.658281993459346,GO:0018393,M1,1,0,GO Biological Processes,19,internal peptidyl-lysine acetylation,19_GO:0008152 metabolic process,-9.658281993459346,6.762186335403728,9.504999383265446,30242,161,500,18,3.6,0.8331146379700696,86|3054|6688|6872|6879|8089|11091|23411|23774|25942|53615|54556|54934|55677|55683|55929|80314|339287,ACTL6A|HCFC1|SPI1|TAF1|TAF7|YEATS4|WDR5|SIRT1|BRD1|SIN3A|MBD3|ING3|KANSL2|IWS1|KANSL3|DMAP1|EPC1|MSL1,-6.985348112360224,0,1,0,0,-25.947911198829196,26.881777777777778,
