ImageNumber,ObjectNumber,AreaShape_Area,Intensity_IntegratedIntensity_OrigBlue,Intensity_IntegratedIntensity_OrigRed,Intensity_MeanIntensity_OrigBlue,Intensity_MeanIntensity_OrigRed
1,1,9481,3073.9059483781457,240.35294906189665,0.3242174821620236,0.025351012452473013
1,2,8616,2621.1412382796407,173.05490795709193,0.3042178781661607,0.020085295723896463
1,3,5587,1516.2588602900505,118.64706279989332,0.2713905244836317,0.021236273993179403
1,4,5502,1539.5608251839876,226.86667342064902,0.27981839788876545,0.041233492079361875
1,5,5666,1733.1647517755628,156.9294168879278,0.3058885901474696,0.02769668494315704
1,6,4995,1681.392207711935,315.91765603609383,0.336615056598986,0.06324677798520396
1,7,5647,1500.5020022764802,74.84706170437858,0.2657166641183779,0.013254305242496649
1,8,7275,2472.631440833211,219.53334024874493,0.33988061042380907,0.030176404157903083
1,9,4371,1635.4706310778856,45.65098231099546,0.37416395128755103,0.010444059096544374
1,10,7131,2306.0667318329215,177.09020189661533,0.3233861634879991,0.024833852460610758
1,11,4642,1513.7569033503532,167.75686759827659,0.326100151518818,0.036138920206436144
1,12,5693,1630.627489887178,148.4431419968605,0.28642675037540455,0.026074678025094063
1,13,5355,1789.772596552968,140.9254947891459,0.33422457451969523,0.026316619008243863
1,14,6463,1867.3255352079868,124.90588663239032,0.288925504441898,0.01932630150586265
1,15,5349,1789.3255405426025,104.93725844472647,0.3345158984001874,0.019618107766821175
1,16,7331,1788.8549478948116,72.54510113270953,0.24401240593299844,0.009895662410681972
1,17,5283,1541.7961136847734,114.73725870391354,0.29184102095112124,0.021718201533960542
1,18,7253,1802.47456009686,191.83137867040932,0.24851434718004412,0.02644855627608015
1,19,5696,1778.9490693211555,237.81569330580533,0.31231549672070846,0.041751350650597846
1,20,8266,2852.000091545284,59.427453726530075,0.34502783589950203,0.007189384675360522
1,21,5111,1916.6902462244034,76.98431662796065,0.37501276584316245,0.015062476350608619
1,22,4859,1982.9529984295368,62.88627696176991,0.40809899123884275,0.01294222617035808
1,23,6857,1934.8863199204206,97.22745460597798,0.2821768003384017,0.014179299198771764
1,24,4549,1507.6078902184963,179.38039772305638,0.33141523196713485,0.03943292981381762
1,25,5349,1869.6510250717402,128.11372971022502,0.3495328145581866,0.023950968351135728
1,26,8188,2502.6667310222983,296.30981292342767,0.3056505533735098,0.03618830152948555
1,27,3838,1619.5255371630192,358.77648100908846,0.4219712186459143,0.09348006279548944
1,28,5631,1729.603971913457,237.9176543005742,0.3071575158787883,0.04225140371169849
1,29,5173,2067.0471147969365,404.7176583362743,0.39958382269416903,0.07823654713633758
1,30,5568,1779.0823977738619,75.82353229820728,0.31951910879559303,0.013617732093787227
1,31,4126,1336.2039585262537,141.54510234249756,0.3238497233461594,0.03430564768359126
1,32,5515,1596.6980804428458,196.82353533431888,0.2895191442326103,0.03568876433985836
1,33,5850,2652.1530034840107,263.27451786212623,0.4533594877750446,0.045004191087542944
1,34,6009,2291.172610618174,88.60784646263346,0.3812901665199158,0.014745855626998412
1,35,7075,3033.466750100255,276.650988698937,0.42875855125091944,0.039102613243666005
1,36,4675,1444.8157267868519,64.83529656287283,0.3090514923608239,0.013868512633769588
1,37,4760,1555.7529865577817,81.52157154679298,0.32683886272222307,0.01712638057705735
1,38,7787,2621.0745749026537,237.86275254329666,0.33659619556987974,0.030546134909887848
1,39,6215,2648.533375956118,164.42745632538572,0.42615179017797555,0.026456549690327548
1,40,5913,2043.1882876306772,176.10196622414514,0.345541736450309,0.02978216915679776
1,41,6380,2133.702007882297,220.10588925983757,0.33443605139220955,0.03449935568336012
1,42,5086,1543.6549442708492,93.45098373433575,0.3035106064236825,0.018374161174662947
1,43,6535,2445.2510490641,277.219616364222,0.3741776662684162,0.042420752312811325
1,44,3509,1481.0588482096791,88.23529705731198,0.42207433690785956,0.025145425208695348
1,45,7840,3223.235365651548,235.76471298839897,0.4111269599045342,0.030072029717908032
1,46,5417,1878.988290116191,297.9647144298069,0.3468688000952909,0.05500548540332415
1,47,4449,1440.039256669581,201.21177070774138,0.3236770637603014,0.045226291460494804
1,48,8149,2366.223595224321,350.780402679462,0.2903698116608567,0.043045821902007855
1,49,5991,2153.91377222538,182.75686837732792,0.3595249160783475,0.030505235916763133
1,50,9908,3768.1647905260324,369.69805023493245,0.38031538055369724,0.03731308540925842
1,51,4943,1872.0392547398806,193.8313785167411,0.3787253195913171,0.039213307407797104
1,52,4178,1636.3608258366585,244.00392835680395,0.3916612795205023,0.058402089123217794
1,53,4225,1572.917684867978,146.3686320707202,0.37228820943620783,0.03464346321200478
1,54,6879,2315.54908272624,171.8274566247128,0.3366112927353162,0.024978551624467625
1,55,5275,1458.9059181883931,60.50980639923364,0.27656984231059584,0.011471053345826283
1,56,6144,2061.333383731544,214.12549683451653,0.335503480425056,0.034851155083742924
1,57,4614,1707.807881563902,103.94902296178043,0.3701360818300611,0.022529047022492508
1,58,4141,1759.7451257780194,238.85883062891662,0.42495656261241715,0.057681437002877714
1,59,5881,1692.1294521838427,164.68627968477085,0.2877281843536546,0.028003108261311145
1,60,7471,2819.168706037104,151.92549538519233,0.37734824066886685,0.02033536278747053
1,61,4493,1691.8196483030915,270.30589048191905,0.3765456595377457,0.06016156031202294
1,62,6912,3174.192212894559,410.4941294430755,0.4592291974673841,0.059388618264333844
1,63,4944,1627.2196495980024,133.60000415006652,0.32913018802548594,0.0270226545610976
1,64,7308,2376.219673104584,190.2392218974419,0.32515321197380737,0.02603163955903693
1,65,4235,1934.5608117058873,194.3333389600739,0.45680302519619537,0.045887447216074115
1,66,7444,2100.6000613570213,116.4196120412089,0.28218700448106143,0.015639389043687384
1,67,6611,3100.721620865166,445.466679206118,0.4690245985274794,0.06738264698322764
1,68,12360,4824.031439676881,848.6470825914294,0.3902938057991004,0.06866076719995383
1,69,5523,1680.5176915973425,225.6745166373439,0.30427624327310204,0.04086085762037731
1,70,3352,1279.317667029798,139.95294538000599,0.38165801522368675,0.041752072010741645
1,71,5049,1586.5843582302332,54.333335536532104,0.31423734565859246,0.010761207276001605
1,72,3897,1706.6902230083942,128.1764744813554,0.4379497621268653,0.03289106350560826
1,73,4348,1803.003947608173,163.79608336975798,0.4146743209770407,0.03767159231135188
1,74,5780,1290.7176820412278,109.76863127667457,0.2233075574465792,0.01899111267762536
1,75,5803,1762.560831926763,71.05882629752159,0.30373269548970583,0.012245188057473995
1,76,5042,1572.051023259759,235.6470657242462,0.31179115891704856,0.04673682382472158
1,77,5474,1441.474538616836,136.71765160933137,0.26333111775974355,0.02497582236195312
1,78,8165,2336.0079101249576,79.42745422711596,0.28610017270360777,0.009727795986174643
1,79,8494,3054.2941928058863,155.93333884095773,0.3595825515429581,0.01835805731586505
1,80,4976,1513.5882791727781,82.71372847445309,0.3041777088369731,0.01662253385740617
1,81,8730,2696.4431922137737,274.0666750576347,0.3088709269431585,0.03139366266410478
1,82,5280,1547.223569482565,143.26274952106178,0.2930347669474555,0.027133096500201095
