"","dmso_cd11b","dmso_gfp","hu_cd11b","hu_gfp","aph_cd11b","aph_gfp","e2_cd11b","e2_gfp","ha_cd11b","ha_gfp","ha_mean_cd11b","ha_mean_gfp","dmso_viab","is_hit"
"Cnot11",-0.41211,-0.012768,-1.3275,-0.8601,-1.0735,-0.054717,-1.1044,-1.4164,-1.2304,-0.29503,-1.2005,-0.4574085,-0.013299,"Not hit"
"Slc31a1",-1.1518,-0.32611,-1.8314,-1.5964,-1.7189,-0.46074,-3.174,-2.557,-1.7985,-1.0813,-1.77515,-1.02857,-0.40127,"Not hit"
"Zfp433",-0.33679,-0.042968,0.078327,-0.074922,0.093102,-0.30421,0.25106,0.0078961,0.07983,-0.1627,0.0857145,-0.189566,-0.19137,"Not hit"
"Olfr738",-0.52253,0.077181,-0.16295,-0.2581,-0.05715,-0.40997,-0.058103,-0.11687,-0.1086,-0.37372,-0.11005,-0.334035,-0.037017,"Not hit"
"Map3k2",-0.37403,-0.1834,-0.014418,0.16261,-0.18171,-0.038662,-0.20554,-0.48264,-0.078711,0.065588,-0.098064,0.061974,0.013519,"Not hit"
"Gm561",-0.75575,-0.57823,-1.0767,-0.94529,-1.3503,-0.3035,-1.9966,-2.4282,-1.271,-0.59403,-1.2135,-0.624395,-0.61647,"Not hit"
"Mrpl9",-0.86347,-0.81229,-2.023,-1.8826,-2.7446,-0.73939,-3.0143,-3.4165,-2.3407,-1.1382,-2.3838,-1.310995,-0.74574,"Not hit"
"Cdk4",-0.54217,-0.081458,-0.20175,-0.20055,0.038171,0.11606,-0.15508,-0.0038633,-0.11062,-0.11016,-0.0817895,-0.042245,-0.011341,"Not hit"
"Brms1",-0.79742,-0.88384,-1.2961,-1.5378,-1.3532,-1.1494,-2.5385,-2.1371,-1.3491,-1.2496,-1.32465,-1.3436,0.11884,"Not hit"
"Cmtr1",-0.3972,-0.56385,-1.1818,-0.17239,-1.0747,0.16717,-1.1151,-0.78077,-1.0746,-0.033097,-1.12825,-0.00260999999999999,0.005749,"Not hit"
"Itgb2",-0.62131,0.081494,-6.2807,-0.036195,-6.843,0.39329,-6.2029,0.38958,-6.8255,0.11476,-6.56185,0.1785475,-0.083158,"Not hit"
"Bpnt1",-0.39896,-0.075234,-0.35042,-0.12584,-0.027023,0.18449,-0.058926,-0.3364,-0.1596,-0.019691,-0.1887215,0.029325,-0.28412,"Not hit"
"Mrpl37",-0.82468,-0.12869,-1.7399,-1.3847,-1.8662,-0.33708,-2.0534,-2.2746,-1.7798,-0.92591,-1.80305,-0.86089,-0.25906,"Not hit"
"Synb",-0.21763,-0.021758,-0.041293,-0.055582,-0.12703,-0.021056,0.060665,0.064088,-0.087506,-0.021495,-0.0841615,-0.038319,0.1443,"Not hit"
"SYNB",-0.21763,-0.021758,-0.041293,-0.055582,-0.12703,-0.021056,0.060665,0.064088,-0.087506,-0.021495,-0.0841615,-0.038319,0.1443,"Not hit"
"Rpap3",-1.0071,-0.38658,-1.6431,-0.77432,-1.6778,-0.98015,-3.3126,-2.6875,-1.6458,-0.91515,-1.66045,-0.877235,-1.3857,"Not hit"
"Dnajc24",-0.635,-0.75054,-1.1076,-0.57858,-1.4983,-0.6823,-1.5367,-1.0528,-1.1487,-0.64843,-1.30295,-0.63044,-0.21295,"Not hit"
"Tsc1",-0.55567,-0.32194,-0.70015,-0.90198,-0.49962,-0.27252,-0.8243,-0.47176,-0.67822,-0.47289,-0.599885,-0.58725,-0.036832,"Not hit"
"Csnk2b",-0.52492,-0.69134,-0.48462,-0.827,-0.48538,-0.59108,-1.4681,-1.1396,-0.48213,-0.69878,-0.485,-0.70904,-0.31719,"Not hit"
"Chrna10",-0.20795,0.3367,-0.29746,-0.093897,-0.16572,-0.045746,-0.017043,-0.065187,-0.20893,-0.046181,-0.23159,-0.0698215,0.11594,"Not hit"
"Rrbp1",-0.43488,0.15652,-1.0443,0.090576,-0.82037,0.34149,-1.2228,0.27297,-1.0295,0.19835,-0.932335,0.216033,0.044108,"Not hit"
"Zan",-0.22174,0.16205,-0.3421,0.073636,-0.40089,0.25608,-0.13216,-0.066186,-0.37944,0.216,-0.371495,0.164858,4.1193e-05,"Not hit"
"Tfb1m",-0.601,-0.56898,-1.8931,-1.4378,-2.7317,-0.83079,-2.5701,-2.446,-2.1179,-0.98991,-2.3124,-1.134295,-0.82441,"Not hit"
"Tex24",-0.27977,0.054517,-0.18086,-0.026335,-0.12592,-0.17757,0.1716,0.10383,-0.1309,-0.091921,-0.15339,-0.1019525,0.06391,"Not hit"
"Pdap1",-0.61869,-0.60123,-2.1804,-1.1234,-1.5485,-0.66873,-2.7682,-2.4893,-1.8391,-0.95448,-1.86445,-0.896065,-0.2521,"Not hit"
"Mrgbp",-0.61031,0.23375,-2.2669,-0.70837,-2.0021,-0.051828,-2.5808,-0.77541,-2.0483,-0.30113,-2.1345,-0.380099,-0.51426,"Not hit"
"Gck",-0.042166,0.14179,0.13388,0.04526,0.01187,0.18303,-0.115,-0.094783,0.066627,0.050345,0.072875,0.114145,0.25123,"Not hit"
"Olfr462",0.043232,-0.055639,0.14956,0.19483,0.061952,-0.043288,0.099983,-0.030204,0.14421,-0.010345,0.105756,0.075771,0.079597,"Not hit"
"Sec63",-0.61244,-0.49921,-2.5591,-0.87485,-2.487,-0.33133,-2.9996,-1.0339,-2.4923,-0.49169,-2.52305,-0.60309,-0.15668,"Not hit"
"Mtmr11",-0.36051,-0.083955,0.050759,0.1396,0.029801,-0.00095085,0.091664,-0.080901,0.037547,0.079153,0.04028,0.069324575,-0.082297,"Not hit"
"Rhox12",-0.33415,0.11175,-0.030626,0.19135,-0.081071,0.020407,-0.15408,0.15963,-0.02914,0.18302,-0.0558485,0.1058785,-0.094236,"Not hit"
"Mrps7",-0.70238,-0.27633,-1.4005,-0.88372,-1.7383,-0.84663,-2.1013,-2.035,-1.4033,-0.8468,-1.5694,-0.865175,-0.031002,"Not hit"
"Higd1b",-0.42057,0.24626,0.21375,0.061576,0.12982,0.10411,0.48631,0.19059,0.20487,0.072601,0.171785,0.082843,0.25917,"Not hit"
"Cox5a",-0.47763,-0.7038,-1.2571,-1.0264,-1.831,-0.9224,-1.4795,-1.7968,-1.5545,-0.92228,-1.54405,-0.9744,-0.52943,"Not hit"
"Rnaseh1",-0.55017,-0.14608,-0.76294,-0.42236,-0.84354,-0.22108,-0.74793,-0.82973,-0.82509,-0.27738,-0.80324,-0.32172,-0.11028,"Not hit"
"Cox7c",-0.36698,-0.37336,-0.59149,-0.56297,-0.51085,-0.3343,-0.60737,-0.84239,-0.56705,-0.53473,-0.55117,-0.448635,0.1752,"Not hit"
"Cox20",-0.36674,0.084614,-0.28578,-0.24684,0.072963,-0.06309,-0.34197,-0.4268,-0.23503,-0.1707,-0.1064085,-0.154965,0.19161,"Not hit"
"H2afz",-0.48464,-0.20354,-0.044006,-0.13901,-0.5155,-0.38678,-0.55242,-0.58349,-0.32321,-0.27887,-0.279753,-0.262895,-0.064806,"Not hit"
"Ptrh1",-0.51484,-0.020977,0.29369,0.08102,0.30649,0.32289,0.18932,0.42232,0.30535,0.32208,0.30009,0.201955,-0.30428,"Not hit"
"Ninj1",-0.15321,-0.012026,-0.096297,-0.095336,0.057635,-0.097267,-0.15601,0.039442,0.0050933,-0.095999,-0.019331,-0.0963015,-0.13076,"Not hit"
"Tefm",-1.1534,-0.64304,-2.0794,-1.4891,-2.9092,-1.0756,-2.5885,-2.9808,-2.6042,-1.2408,-2.4943,-1.28235,-0.95329,"Not hit"
"Slc30a9",-0.44256,0.17045,-0.26962,-0.18609,-0.21184,-0.36779,-0.23304,-0.038397,-0.21265,-0.36658,-0.24073,-0.27694,-0.19625,"Not hit"
"Ndufv1",-0.71728,-0.24229,-1.0765,-0.54189,-0.52571,-0.30874,-1.3235,-1.4704,-0.95683,-0.40169,-0.801105,-0.425315,-0.16973,"Not hit"
"Mpo",-0.087539,0.5656,-0.36278,0.2717,-0.26861,-0.069352,0.18036,0.60694,-0.33757,0.12409,-0.315695,0.101174,-0.041053,"GFP hit only"
"Rbm25",-0.6949,0.058252,-1.6498,0.35149,-1.9253,-0.061432,-2.9883,-1.2595,-1.703,0.15401,-1.78755,0.145029,-0.56792,"Not hit"
"Agbl1",-0.0068585,0.17401,-0.14404,-0.13103,-0.021566,0.14002,-0.04771,0.20904,-0.044632,-0.064889,-0.082803,0.004495,-0.13164,"Not hit"
"Mrpl38",-0.69132,-0.25144,-1.7908,-1.1171,-2.8031,-0.385,-3.2732,-3.4562,-1.9597,-0.79452,-2.29695,-0.75105,-0.73825,"Not hit"
"Slc15a2",-0.76947,-0.17676,-0.15649,0.11921,-0.095822,0.40532,-0.25829,0.12113,-0.15508,0.25537,-0.126156,0.262265,-0.030619,"Not hit"
"Nsun3",-0.51251,-0.38018,-0.35824,0.22193,-0.093772,-0.34749,-0.39577,-0.29958,-0.33561,-0.098526,-0.226006,-0.06278,-0.15793,"Not hit"
"Pramef8",-0.37553,-0.10965,-0.0031515,0.21101,-0.24192,0.10622,0.068249,0.46369,-0.11159,0.13927,-0.12253575,0.158615,0.039965,"Not hit"
"Car6",-0.13671,0.19979,-0.070092,0.053241,0.053493,0.14215,0.095637,-0.016843,0.038268,0.075308,-0.0082995,0.0976955,-0.093036,"Not hit"
"Inpp5a",-0.38223,-0.15383,-0.070219,0.065093,-0.039613,-0.12138,-0.58554,-0.097109,-0.04252,-0.031227,-0.054916,-0.0281435,-0.031926,"Not hit"
"Grk4",-0.18937,-0.079068,0.0020227,-0.012364,-0.055899,-0.093328,-0.20138,-0.13229,0.0045885,-0.075533,-0.02693815,-0.052846,0.16887,"Not hit"
"Tmem139",-0.26731,0.08976,0.11648,0.10662,-0.30351,0.28284,0.23044,0.017342,-0.023712,0.25723,-0.093515,0.19473,-0.075097,"Not hit"
"Olfr866",0.15275,-0.3887,-0.13096,-0.20761,-0.11366,-0.02572,-0.16243,-0.36766,-0.12951,-0.082927,-0.12231,-0.116665,0.041508,"Not hit"
"Vps13c",-0.61232,-0.22466,-1.4639,-0.56066,-1.9399,-0.58619,-0.85649,-0.73762,-1.7373,-0.56711,-1.7019,-0.573425,-0.29715,"Not hit"
"Mtfmt",-0.45293,-0.1151,-0.22431,-0.22589,-0.53938,-0.18548,-0.80471,-0.80283,-0.25848,-0.19943,-0.381845,-0.205685,-0.2723,"Not hit"
"E430025E21Rik",-0.53057,-0.44709,-1.3031,-0.32312,-2.1641,-0.43844,-1.5269,-0.39692,-1.5316,-0.38467,-1.7336,-0.38078,-0.49292,"Not hit"
"Slc25a25",-0.34654,-0.13054,-0.25348,0.11973,-0.25726,0.20123,-0.17059,-0.053485,-0.25103,0.1479,-0.25537,0.16048,-0.029883,"Not hit"
"Spcs3",-0.49223,-0.13924,-1.721,-1.2225,-1.4253,-0.6924,-2.7759,-1.4202,-1.6103,-0.73521,-1.57315,-0.95745,-0.34008,"Not hit"
"Ssrp1",-0.48216,-0.079524,0.13764,-0.18027,-0.10627,-0.062517,-0.49238,-0.56829,0.023746,-0.10048,0.015685,-0.1213935,-0.38084,"Not hit"
"Bri3bp",-0.68278,-0.042546,0.19008,0.25529,-0.25065,-0.32084,-0.61662,-0.1684,-0.035736,-0.11871,-0.030285,-0.032775,-0.067436,"Not hit"
"Qrsl1",-0.96425,-0.052801,-1.9231,-1.3791,-2.2662,-0.30392,-2.1479,-2.4733,-1.9249,-0.80215,-2.09465,-0.84151,-0.97252,"Not hit"
"Rnf2",-0.47681,-0.67971,-0.71419,-0.9202,-0.62974,-0.80635,-1.3827,-1.7041,-0.63028,-0.88001,-0.671965,-0.863275,0.19184,"Not hit"
"Gm10767",-0.46577,-0.19822,-0.61536,-0.50588,-0.087326,-0.33679,-0.69381,-0.84219,-0.27977,-0.45077,-0.351343,-0.421335,-0.43094,"Not hit"
"Pknox1",-0.33133,-0.46867,-0.31435,-0.44821,-0.42219,0.037489,-0.82599,-0.30246,-0.41028,-0.18948,-0.36827,-0.2053605,0.11118,"Not hit"
"Olfr823",-0.27848,0.033414,-0.09964,-0.25264,0.068732,-0.092615,-0.0033092,0.082258,-0.023442,-0.19495,-0.015454,-0.1726275,-0.04289,"Not hit"
"Olfr824",-0.10336,-0.090654,-0.034974,0.072807,0.016186,-0.038335,0.056408,-0.18116,-0.022593,-0.018727,-0.009394,0.017236,-0.081294,"Not hit"
"Scrn1",-0.37054,-0.076862,0.058697,-0.11209,-0.14806,0.078598,-0.35087,-0.13339,-0.059527,-0.049193,-0.0446815,-0.016746,0.069647,"Not hit"
"Ptcd1",-0.48063,-0.49092,-1.1051,-0.88245,-1.543,-0.51365,-1.9615,-1.9702,-1.4315,-0.594,-1.32405,-0.69805,-0.32858,"Not hit"
"Rwdd4a",-0.30318,-0.26612,-0.10934,-0.48816,-0.23418,-0.54702,-0.24912,-0.3925,-0.10897,-0.48933,-0.17176,-0.51759,-0.30307,"Not hit"
"Shpk",-0.35213,-0.03359,-0.14623,0.1531,0.061891,-0.089279,0.15247,-0.29461,-0.084526,-0.04866,-0.0421695,0.0319105,-0.13276,"Not hit"
"Fermt2",-0.47201,-0.23013,0.077151,0.181,-0.12165,0.10601,-0.071407,-0.22427,-0.071661,0.10554,-0.0222495,0.143505,-0.25446,"Not hit"
