"","dmso_cd11b","dmso_gfp","hu_cd11b","hu_gfp","aph_cd11b","aph_gfp","e2_cd11b","e2_gfp","ha_cd11b","ha_gfp","ha_mean_cd11b","ha_mean_gfp","dmso_viab","is_hit"
"Krtap3-2",0.10897,0.018942,0.024236,0.034791,0.11101,0.013487,0.099504,0.064384,0.092056,0.013046,0.067623,0.024139,0.2096,"Not hit"
"Krtap3-3",0.10897,0.018942,0.024236,0.034791,0.11101,0.013487,0.099504,0.064384,0.092056,0.013046,0.067623,0.024139,0.2096,"Not hit"
"Topors",-0.39492,-0.44266,-0.72388,-0.84921,-0.19813,-0.45954,-0.80016,-1.0502,-0.57853,-0.56395,-0.461005,-0.654375,-0.15881,"Not hit"
"Ankrd17",-0.24103,-0.18567,0.49835,0.22376,0.18491,0.2675,-0.11025,-0.11898,0.3017,0.22478,0.34163,0.24563,-0.1943,"Not hit"
"Smad9",-0.30468,0.10728,-0.013042,0.0096225,0.070118,0.17681,0.051336,0.19785,0.0604,0.11028,0.028538,0.09321625,0.040647,"Not hit"
"Pyroxd1",-0.53825,-0.20935,-1.7152,-1.4785,-2.1659,-0.49427,-2.8762,-2.4039,-2.1008,-0.65615,-1.94055,-0.986385,-0.63461,"Not hit"
"Olfr883",-0.01758,-0.041861,0.25915,0.21145,0.14596,0.21219,0.079389,-0.052874,0.14554,0.21129,0.202555,0.21182,0.09618,"Not hit"
"Kansl3",-1.115,0.026484,-0.64343,-0.65571,-0.67877,-0.77352,-2.3401,-2.0329,-0.65326,-0.72058,-0.6611,-0.714615,-0.56971,"Not hit"
"Senp8",-0.54577,0.19602,-0.017108,-0.6896,-0.22955,-0.2914,-0.08696,-0.052631,-0.069129,-0.50057,-0.123329,-0.4905,0.071081,"Not hit"
"RP24-234J3.4",-0.21704,-0.039927,-0.41711,-0.15459,-0.95184,-0.36044,-0.87935,-0.95246,-0.70287,-0.21885,-0.684475,-0.257515,-0.27129,"Not hit"
"AK010878",-0.21704,-0.039927,-0.41711,-0.15459,-0.95184,-0.36044,-0.87935,-0.95246,-0.70287,-0.21885,-0.684475,-0.257515,-0.27129,"Not hit"
"D430041D05Rik",-0.27713,-0.096244,0.069931,-0.33509,0.050985,-0.081337,0.1798,0.036407,0.04999,-0.15834,0.060458,-0.2082135,-0.1295,"Not hit"
"Deaf1",-0.47594,-0.26619,-0.15023,-0.1494,0.16059,-0.073691,-0.43629,-0.30241,0.064914,-0.15007,0.00518,-0.1115455,0.14043,"Not hit"
"Ccdc60",-0.62983,-0.71392,-0.96253,-0.29303,-0.32155,-0.34735,-0.56455,-0.10553,-0.59766,-0.29376,-0.64204,-0.32019,-0.3936,"Not hit"
"Srsf5",-0.4792,0.082569,-1.0364,0.21649,-1.0014,0.049032,-0.94978,0.062004,-1.0022,0.13816,-1.0189,0.132761,-0.23388,"Not hit"
"Ubr5",-0.52673,-1.0547,-0.70537,-2.0205,-1.2679,-1.4119,-1.2862,-0.95633,-1.004,-1.529,-0.986635,-1.7162,-0.21541,"Not hit"
"Pm20d2",-0.45795,0.02213,-0.26778,-0.44702,-0.30763,0.093088,0.078978,0.11215,-0.30851,-0.032653,-0.287705,-0.176966,0.15129,"Not hit"
"Zfp62",-0.33385,0.20328,-0.80506,0.21826,-0.82438,0.0071817,0.01735,0.079239,-0.80376,0.12594,-0.81472,0.11272085,0.096809,"Not hit"
"Akr1c14",-0.26465,-0.24776,0.049635,-0.16084,0.057067,-0.072419,0.18273,0.077062,0.056067,-0.13145,0.053351,-0.1166295,0.068374,"Not hit"
"Mrps18c",-0.58513,-0.49989,-1.8981,-1.3125,-1.888,-1.1008,-2.0364,-2.8703,-1.8974,-1.1423,-1.89305,-1.20665,0.057968,"Not hit"
"Olfr1131",-0.21939,0.0696,0.018885,-0.11474,-0.27821,0.096802,-0.037004,0.26524,-0.23905,-0.058547,-0.1296625,-0.008969,0.14412,"Not hit"
"Tg",0.13233,-0.020483,0.082877,0.15623,0.24424,0.0026802,-0.0083133,-0.11512,0.15208,0.054948,0.1635585,0.0794551,0.093297,"Not hit"
"Pdgfb",0.050847,-0.18867,0.13796,0.30473,0.16832,0.083218,0.040071,-0.16255,0.13839,0.15278,0.15314,0.193974,-0.081373,"Not hit"
"Tmem192",-0.16493,-0.11406,0.13452,-0.32274,0.06154,-0.26238,-0.57983,0.081522,0.084009,-0.28004,0.09803,-0.29256,-0.24306,"Not hit"
"Polr3g",-0.43934,-0.18841,0.058144,-0.34579,0.079604,0.04518,0.0046019,-0.29997,0.058567,-0.055023,0.068874,-0.150305,0.012319,"Not hit"
"Ei24",-0.47265,-0.13906,-1.0238,-0.84533,-1.1529,-0.36539,-1.4604,-1.3964,-1.0463,-0.46284,-1.08835,-0.60536,-0.17178,"Not hit"
"Mrpl44",-0.39701,-0.36096,-1.4416,-0.79861,-1.8962,-0.26496,-2.0632,-2.0087,-1.6476,-0.61236,-1.6689,-0.531785,-0.33168,"Not hit"
"Papolb",-0.43852,0.082558,-0.2271,-0.18715,0.091374,-0.20676,-0.25891,-0.22554,-0.11372,-0.20718,-0.067863,-0.196955,0.20693,"Not hit"
"Coq3",-0.23667,-0.54598,-1.8838,-0.97034,-2.1199,-0.58645,-2.534,-2.6032,-2.0578,-0.83685,-2.00185,-0.778395,-0.28787,"Not hit"
"Minpp1",-0.44365,-0.02174,-0.1632,-0.018928,-0.1955,0.17329,-0.15537,0.036813,-0.16176,0.14284,-0.17935,0.077181,-0.42563,"Not hit"
