,tx,slen
1094,hu50,3.75
1095,hu50,4.5
1096,hu50,4.25
1097,hu50,3.75
1098,hu50,6.5
1099,hu50,4.5
1100,hu50,15.25
1101,hu50,7.0
1102,hu50,3.75
1103,hu50,9.5
1104,hu50,5.25
1105,hu50,4.5
1106,hu50,7.0
1107,hu50,4.5
1108,hu50,5.25
1109,hu50,5.5
1110,hu50,3.75
1111,hu50,7.75
1112,hu50,10.25
1113,hu50,5.5
1114,hu50,4.25
1115,hu50,4.0
1116,hu50,5.75
1117,hu50,5.0
1118,hu50,3.75
1119,hu50,4.75
1120,hu50,4.25
1121,hu50,4.0
1122,hu50,4.0
1123,hu50,4.5
1124,hu50,4.0
1125,hu50,5.5
1126,hu50,4.25
1127,hu50,8.75
1128,hu50,3.5
1129,hu50,9.0
1130,hu50,4.25
1131,hu50,4.75
1132,hu50,5.0
1133,hu50,3.75
1134,hu50,6.25
1135,hu50,10.25
1136,hu50,5.75
1137,hu50,4.25
1138,hu50,5.0
1139,hu50,4.5
1140,hu50,4.0
1141,hu50,7.0
1142,hu50,5.5
1143,hu50,8.25
1144,hu50,4.75
1145,hu50,42.25
1146,hu50,4.25
1147,hu50,15.25
1148,hu50,5.75
1149,hu50,7.25
1150,hu50,5.0
1151,hu50,4.5
1152,hu50,4.75
1153,hu50,4.25
1154,hu50,10.25
1155,hu50,8.5
1156,hu50,4.75
1157,hu50,4.0
1158,hu50,6.25
1159,hu50,4.25
1160,hu50,4.5
1161,hu50,4.75
1162,hu50,4.25
1163,hu50,3.5
1164,hu50,4.5
1165,hu50,31.75
1166,hu50,4.25
1167,hu50,6.0
1168,hu50,5.75
1169,hu50,33.25
1170,hu50,6.5
1171,hu50,6.5
1172,hu50,4.25
1173,hu50,6.25
1174,hu50,4.0
1175,hu50,4.25
1176,hu50,5.0
1177,hu50,4.0
1178,hu50,4.75
1179,hu50,8.75
1180,hu50,2.5
1181,hu50,4.5
1182,hu50,6.0
1183,hu50,5.0
1184,hu50,6.75
1185,hu50,5.75
1186,hu50,4.25
1187,hu50,5.5
1188,hu50,5.5
1189,hu50,4.0
1190,hu50,5.0
1191,hu50,3.5
1192,hu50,3.25
1193,hu50,3.5
1194,hu50,2.75
1195,hu50,7.5
1196,hu50,4.75
1197,hu50,21.25
1198,hu50,5.0
1199,hu50,6.0
1200,hu50,4.5
1201,hu50,6.75
1202,hu50,22.25
1203,hu50,5.75
1204,hu50,5.75
1205,hu50,4.0
1206,hu50,5.0
1207,hu50,13.75
1208,hu50,24.25
1209,hu50,6.75
1210,hu50,4.25
1211,hu50,4.0
1212,hu50,5.25
1213,hu50,4.25
1214,hu50,4.5
1215,hu50,5.25
1216,hu50,5.0
1217,hu50,7.5
1218,hu50,5.75
1219,hu50,5.25
1220,hu50,2.75
1221,hu50,4.25
1222,hu50,5.25
1223,hu50,4.25
1224,hu50,4.0
1225,hu50,3.75
1226,hu50,7.0
1227,hu50,4.25
1228,hu50,4.25
1229,hu50,3.0
1230,hu50,5.0
1231,hu50,3.75
1232,hu50,12.75
1233,hu50,4.75
1234,hu50,4.75
1235,hu50,4.5
1236,hu50,4.25
1237,hu50,6.75
1238,hu50,3.25
1239,hu50,2.5
1240,hu50,5.25
1241,hu50,3.75
1242,hu50,4.5
1243,hu50,4.25
1244,hu50,4.75
1245,hu50,7.5
1246,hu50,3.25
1247,hu50,5.25
1248,hu50,6.5
1249,hu50,4.0
1250,hu50,5.75
1251,hu50,4.25
1252,hu50,3.0
1253,hu50,3.75
1254,hu50,4.0
1255,hu50,12.0
1256,hu50,6.0
1257,hu50,4.5
1258,hu50,17.0
1259,hu50,4.0
1260,hu50,4.75
1261,hu50,2.75
1262,hu50,5.75
1263,hu50,23.75
1264,hu50,4.0
1265,hu50,4.75
1266,hu50,4.0
1267,hu50,5.25
1268,hu50,6.25
1269,hu50,8.0
1270,hu50,3.5
1271,hu50,5.5
1272,hu50,4.75
1273,hu50,5.5
1274,hu50,4.5
1275,hu50,4.25
1276,hu50,5.25
1277,hu50,5.25
1278,hu50,3.75
1279,hu50,3.5
1280,hu50,4.5
1281,hu50,4.25
1282,hu50,4.5
1283,hu50,4.0
1284,hu50,5.25
1285,hu50,37.5
1286,hu50,4.5
